,huggingface/transformers,google/trax,tensorflow/tensor2tensor
2020-01-24,8,1,0
2020-01-25,0,0,0
2020-01-26,0,0,0
2020-01-27,9,0,0
2020-01-28,15,2,1
2020-01-29,14,1,0
2020-01-30,11,1,0
2020-01-31,18,1,0
2020-02-01,2,3,1
2020-02-02,0,1,0
2020-02-03,5,3,0
2020-02-04,13,1,1
2020-02-05,4,2,0
2020-02-06,7,4,0
2020-02-07,13,0,1
2020-02-08,0,0,0
2020-02-09,0,0,0
2020-02-10,15,5,1
2020-02-11,8,2,1
2020-02-12,6,1,6
2020-02-13,5,1,1
2020-02-14,14,0,1
2020-02-15,0,3,0
2020-02-16,1,1,0
2020-02-17,5,2,0
2020-02-18,2,1,0
2020-02-19,9,4,0
2020-02-20,11,1,0
2020-02-21,7,4,1
2020-02-22,6,0,0
2020-02-23,6,1,0
2020-02-24,13,6,1
2020-02-25,10,6,0
2020-02-26,8,1,1
2020-02-27,6,2,2
2020-02-28,0,1,0
2020-02-29,2,0,0
2020-03-01,3,0,0
2020-03-02,11,1,1
2020-03-03,14,3,0
2020-03-04,22,7,0
2020-03-05,33,2,0
2020-03-06,13,0,0
2020-03-07,0,0,0
2020-03-08,6,0,0
2020-03-09,14,2,2
2020-03-10,8,5,1
2020-03-11,47,7,0
2020-03-12,7,3,0
2020-03-13,6,1,0
2020-03-14,1,0,0
2020-03-15,0,0,0
2020-03-16,7,2,0
2020-03-17,11,4,0
2020-03-18,8,6,1
2020-03-19,23,4,0
2020-03-20,5,2,0
2020-03-21,0,0,0
2020-03-22,0,1,0
2020-03-23,9,4,2
2020-03-24,13,2,1
2020-03-25,5,5,0
2020-03-26,15,1,0
2020-03-27,10,3,0
2020-03-28,0,1,0
2020-03-29,2,0,0
2020-03-30,11,7,0
2020-03-31,16,6,0
2020-04-01,7,3,0
2020-04-02,5,3,0
2020-04-03,10,2,0
2020-04-04,7,3,0
2020-04-05,2,1,0
2020-04-06,19,2,0
2020-04-07,8,1,0
2020-04-08,6,2,0
2020-04-09,5,0,0
2020-04-10,7,3,0
2020-04-11,2,0,0
2020-04-12,0,2,0
2020-04-13,2,3,0
2020-04-14,2,4,0
2020-04-15,2,4,0
2020-04-16,12,2,0
2020-04-17,8,4,1
2020-04-18,6,7,2
2020-04-19,0,0,0
2020-04-20,10,4,0
2020-04-21,4,5,0
2020-04-22,6,10,1
2020-04-23,9,5,1
2020-04-24,6,5,0
2020-04-25,1,4,1
2020-04-26,0,0,0
2020-04-27,9,6,0
2020-04-28,14,5,0
2020-04-29,5,7,1
2020-04-30,4,3,0
2020-05-01,16,4,0
2020-05-02,11,0,0
2020-05-03,1,2,0
2020-05-04,2,4,0
2020-05-05,4,6,1
2020-05-06,7,8,0
2020-05-07,17,6,0
2020-05-08,9,4,0
2020-05-09,0,1,0
2020-05-10,3,0,0
2020-05-11,17,7,0
2020-05-12,12,2,0
2020-05-13,7,3,0
2020-05-14,14,7,1
2020-05-15,10,4,0
2020-05-16,0,1,0
2020-05-17,1,2,0
2020-05-18,19,6,0
2020-05-19,13,11,0
2020-05-20,13,11,1
2020-05-21,4,8,0
2020-05-22,15,1,0
2020-05-23,1,0,0
2020-05-24,0,0,0
2020-05-25,11,3,0
2020-05-26,11,1,0
2020-05-27,10,1,0
2020-05-28,7,7,0
2020-05-29,8,6,1
2020-05-30,0,0,0
2020-05-31,0,0,0
2020-06-01,25,3,1
2020-06-02,11,2,1
2020-06-03,7,6,0
2020-06-04,14,4,0
2020-06-05,13,3,0
2020-06-06,3,1,0
2020-06-07,1,0,0
2020-06-08,9,2,0
2020-06-09,9,4,0
2020-06-10,14,2,0
2020-06-11,6,8,0
2020-06-12,7,2,1
2020-06-13,1,4,0
2020-06-14,2,1,0
2020-06-15,14,2,0
2020-06-16,13,3,5
2020-06-17,14,2,1
2020-06-18,10,5,1
2020-06-19,5,5,0
2020-06-20,7,2,0
2020-06-21,1,1,0
2020-06-22,30,3,0
2020-06-23,11,7,0
2020-06-24,24,4,0
2020-06-25,11,5,0
2020-06-26,12,5,0
2020-06-27,2,3,1
2020-06-28,4,8,0
2020-06-29,21,6,0
2020-06-30,18,9,0
2020-07-01,17,7,0
2020-07-02,11,4,0
2020-07-03,10,0,1
2020-07-04,0,0,0
2020-07-05,0,0,0
2020-07-06,13,2,0
2020-07-07,22,3,0
2020-07-08,9,1,0
2020-07-09,10,0,0
2020-07-10,20,2,0
2020-07-11,1,1,0
2020-07-12,1,0,0
2020-07-13,7,2,0
2020-07-14,14,2,0
2020-07-15,14,0,0
2020-07-16,10,7,0
2020-07-17,11,3,0
2020-07-18,8,1,3
2020-07-19,0,0,0
2020-07-20,17,2,0
2020-07-21,24,6,0
2020-07-22,7,4,0
2020-07-23,8,9,0
2020-07-24,13,3,0
2020-07-25,0,3,1
2020-07-26,3,0,0
2020-07-27,16,4,0
2020-07-28,21,2,0
2020-07-29,9,11,0
2020-07-30,10,2,0
2020-07-31,10,1,0
2020-08-01,2,1,0
2020-08-02,1,1,0
2020-08-03,11,2,0
2020-08-04,19,2,0
2020-08-05,10,1,0
2020-08-06,8,1,0
2020-08-07,19,2,0
2020-08-08,5,4,0
2020-08-09,2,4,0
2020-08-10,12,2,0
2020-08-11,28,12,0
2020-08-12,12,4,0
2020-08-13,11,1,0
2020-08-14,7,1,0
2020-08-15,0,0,0
2020-08-16,2,0,0
2020-08-17,28,3,0
2020-08-18,13,5,0
2020-08-19,7,3,0
2020-08-20,16,10,0
2020-08-21,8,6,0
2020-08-22,2,0,0
2020-08-23,3,0,0
2020-08-24,13,2,0
2020-08-25,20,4,0
2020-08-26,19,2,0
2020-08-27,12,4,0
2020-08-28,9,7,0
2020-08-29,3,0,0
2020-08-30,6,0,0
2020-08-31,15,4,0
2020-09-01,22,2,0
2020-09-02,12,1,0
2020-09-03,12,3,0
2020-09-04,8,5,0
2020-09-05,1,0,0
2020-09-06,1,0,0
2020-09-07,18,0,0
2020-09-08,9,4,0
2020-09-09,6,2,0
2020-09-10,24,2,0
2020-09-11,9,1,0
2020-09-12,1,1,0
2020-09-13,2,0,0
2020-09-14,14,0,0
2020-09-15,15,4,0
2020-09-16,11,4,0
2020-09-17,16,3,0
2020-09-18,27,5,0
2020-09-19,4,3,0
2020-09-20,3,0,0
2020-09-21,16,5,0
2020-09-22,24,3,0
2020-09-23,8,5,0
2020-09-24,15,4,0
2020-09-25,19,2,0
2020-09-26,0,1,0
2020-09-27,2,1,0
2020-09-28,14,1,0
2020-09-29,11,5,1
2020-09-30,16,0,0
2020-10-01,27,3,0
2020-10-02,1,0,0
2020-10-03,0,1,0
2020-10-04,2,0,0
2020-10-05,19,3,0
2020-10-06,16,4,0
2020-10-07,13,1,0
