,spring-projects/spring-boot,dropwizard/dropwizard,apache/tomee
2021-07-06,5,1,0
2021-07-07,2,0,8
2021-07-08,38,1,1
2021-07-09,32,0,0
2021-07-10,10,1,0
2021-07-11,11,3,0
2021-07-12,45,0,0
2021-07-13,41,0,0
2021-07-14,25,0,0
2021-07-15,40,0,1
2021-07-16,22,0,1
2021-07-17,0,0,0
2021-07-18,0,1,0
2021-07-19,53,0,0
2021-07-20,17,0,0
2021-07-21,13,0,0
2021-07-22,37,0,0
2021-07-23,18,1,0
2021-07-24,4,0,0
2021-07-25,0,0,0
2021-07-26,27,2,0
2021-07-27,10,0,0
2021-07-28,0,1,0
2021-07-29,19,2,0
2021-07-30,4,0,0
2021-07-31,0,1,0
2021-08-01,0,0,0
2021-08-02,4,0,0
2021-08-03,1,0,0
2021-08-04,8,0,2
2021-08-05,21,0,0
2021-08-06,4,0,0
2021-08-07,3,0,0
2021-08-08,0,0,0
2021-08-09,15,0,0
2021-08-10,23,1,0
2021-08-11,6,3,0
2021-08-12,32,0,0
2021-08-13,9,2,0
2021-08-14,0,0,0
2021-08-15,0,1,0
2021-08-16,34,1,0
2021-08-17,41,0,0
2021-08-18,35,0,0
2021-08-19,14,0,0
2021-08-20,11,1,0
2021-08-21,0,0,0
2021-08-22,0,1,0
2021-08-23,18,0,0
2021-08-24,2,0,0
2021-08-25,6,0,0
2021-08-26,0,0,1
2021-08-27,0,0,0
2021-08-28,5,4,0
2021-08-29,0,0,0
2021-08-30,0,0,0
2021-08-31,1,0,6
2021-09-01,0,5,0
2021-09-02,5,0,0
2021-09-03,0,0,0
2021-09-04,0,0,0
2021-09-05,18,0,0
2021-09-06,12,0,0
2021-09-07,6,0,1
2021-09-08,6,2,0
2021-09-09,29,0,0
2021-09-10,17,0,0
2021-09-11,2,0,0
2021-09-12,4,4,0
2021-09-13,28,12,0
2021-09-14,28,14,4
2021-09-15,34,2,5
2021-09-16,36,2,0
2021-09-17,13,0,0
2021-09-18,0,0,0
2021-09-19,0,2,0
2021-09-20,17,0,3
2021-09-21,45,0,2
2021-09-22,28,0,5
2021-09-23,22,4,0
2021-09-24,2,15,1
2021-09-25,0,1,0
2021-09-26,3,3,0
2021-09-27,0,0,3
2021-09-28,4,0,0
2021-09-29,0,0,0
2021-09-30,6,1,1
2021-10-01,21,0,1
2021-10-02,0,1,0
2021-10-03,3,0,1
2021-10-04,3,1,2
2021-10-05,24,1,2
2021-10-06,8,0,0
2021-10-07,20,0,2
2021-10-08,28,4,1
2021-10-09,0,0,0
2021-10-10,0,0,0
2021-10-11,25,0,0
2021-10-12,14,2,0
2021-10-13,13,0,0
2021-10-14,60,0,1
2021-10-15,21,0,0
2021-10-16,0,0,0
2021-10-17,0,26,0
2021-10-18,28,5,0
2021-10-19,46,4,1
2021-10-20,19,0,1
