,primer/css,zurb/foundation-sites,twbs/bootstrap
2019-12-15,0,0,2
2019-12-16,14,0,0
2019-12-17,12,1,0
2019-12-18,3,1,1
2019-12-19,0,0,0
2019-12-20,2,0,1
2019-12-21,0,1,0
2019-12-22,0,0,0
2019-12-23,0,0,0
2019-12-24,0,0,1
2019-12-25,0,0,14
2019-12-26,6,0,0
2019-12-27,7,0,2
2019-12-28,0,0,0
2019-12-29,0,0,0
2019-12-30,0,0,2
2019-12-31,0,0,0
2020-01-01,0,0,0
2020-01-02,0,1,4
2020-01-03,10,0,0
2020-01-04,0,0,2
2020-01-05,0,0,0
2020-01-06,0,0,1
2020-01-07,0,1,6
2020-01-08,0,0,1
2020-01-09,0,0,1
2020-01-10,0,0,1
2020-01-11,0,0,0
2020-01-12,0,0,0
2020-01-13,0,8,3
2020-01-14,0,0,1
2020-01-15,0,0,0
2020-01-16,0,0,1
2020-01-17,0,0,1
2020-01-18,0,0,0
2020-01-19,0,0,0
2020-01-20,0,0,0
2020-01-21,0,2,0
2020-01-22,0,0,0
2020-01-23,13,0,2
2020-01-24,1,0,0
2020-01-25,0,0,3
2020-01-26,0,0,0
2020-01-27,0,0,0
2020-01-28,1,0,1
2020-01-29,0,0,0
2020-01-30,0,0,0
2020-01-31,0,0,0
2020-02-01,0,0,1
2020-02-02,0,0,0
2020-02-03,0,24,4
2020-02-04,0,11,1
2020-02-05,0,6,2
2020-02-06,0,0,1
2020-02-07,0,2,1
2020-02-08,0,0,0
2020-02-09,0,0,1
2020-02-10,0,0,3
2020-02-11,2,2,2
2020-02-12,2,1,5
2020-02-13,2,0,3
2020-02-14,4,1,6
2020-02-15,0,0,8
2020-02-16,0,0,4
2020-02-17,0,1,9
2020-02-18,1,0,0
2020-02-19,6,0,0
2020-02-20,5,0,1
2020-02-21,24,0,0
2020-02-22,0,0,2
2020-02-23,1,0,1
2020-02-24,8,0,0
2020-02-25,10,0,0
2020-02-26,6,1,0
2020-02-27,5,0,0
2020-02-28,9,0,0
2020-02-29,0,0,1
2020-03-01,3,0,0
2020-03-02,11,0,1
2020-03-03,5,0,0
2020-03-04,0,1,3
2020-03-05,0,5,5
2020-03-06,0,0,2
2020-03-07,0,0,1
2020-03-08,0,0,3
2020-03-09,1,0,5
2020-03-10,1,0,10
2020-03-11,10,0,1
2020-03-12,1,0,3
2020-03-13,1,0,1
2020-03-14,0,0,2
2020-03-15,0,0,2
2020-03-16,3,0,1
2020-03-17,1,0,4
2020-03-18,2,0,18
2020-03-19,3,0,1
2020-03-20,2,0,4
2020-03-21,0,0,1
2020-03-22,0,0,0
2020-03-23,0,0,9
2020-03-24,10,0,8
2020-03-25,2,0,7
2020-03-26,7,0,1
2020-03-27,0,12,0
2020-03-28,0,21,12
2020-03-29,0,0,2
2020-03-30,0,0,8
2020-03-31,7,0,9
2020-04-01,7,0,7
2020-04-02,5,0,2
2020-04-03,1,0,0
2020-04-04,0,0,0
2020-04-05,0,0,0
2020-04-06,1,0,3
2020-04-07,5,2,0
2020-04-08,6,6,3
2020-04-09,1,0,4
2020-04-10,0,0,1
2020-04-11,0,0,2
2020-04-12,0,3,0
2020-04-13,4,0,9
2020-04-14,4,0,10
2020-04-15,4,0,6
2020-04-16,6,0,2
2020-04-17,3,0,6
2020-04-18,0,0,3
2020-04-19,0,0,0
2020-04-20,3,0,1
2020-04-21,1,0,0
2020-04-22,0,0,0
2020-04-23,0,0,0
2020-04-24,0,0,5
2020-04-25,0,0,0
2020-04-26,1,0,0
2020-04-27,1,0,14
2020-04-28,0,0,4
2020-04-29,0,0,10
2020-04-30,0,0,2
2020-05-01,0,0,3
2020-05-02,0,0,1
2020-05-03,0,0,0
2020-05-04,0,0,7
2020-05-05,3,1,6
2020-05-06,1,0,7
2020-05-07,0,0,2
2020-05-08,1,1,2
2020-05-09,0,0,0
2020-05-10,0,0,0
2020-05-11,0,1,4
2020-05-12,3,0,4
2020-05-13,0,0,6
2020-05-14,0,0,5
2020-05-15,0,0,5
2020-05-16,0,0,0
2020-05-17,0,0,0
2020-05-18,4,0,2
2020-05-19,2,0,2
2020-05-20,3,0,10
2020-05-21,9,0,0
2020-05-22,2,1,0
2020-05-23,0,0,0
2020-05-24,0,0,0
2020-05-25,0,0,0
2020-05-26,7,0,4
2020-05-27,1,0,0
2020-05-28,2,1,2
2020-05-29,1,2,0
2020-05-30,0,0,1
2020-05-31,2,0,1
2020-06-01,0,0,0
2020-06-02,0,0,0
2020-06-03,3,1,4
2020-06-04,3,0,1
2020-06-05,0,0,0
2020-06-06,0,0,0
2020-06-07,0,0,0
2020-06-08,0,0,1
2020-06-09,0,0,5
2020-06-10,0,0,4
2020-06-11,0,0,3
2020-06-12,1,0,7
2020-06-13,0,0,0
2020-06-14,0,0,5
2020-06-15,2,0,1
2020-06-16,1,0,27
2020-06-17,4,0,17
2020-06-18,0,1,6
2020-06-19,0,0,4
