,plotly/plotly.js,highcharts/highcharts,d3/d3
2021-01-20,14,2,0
2021-01-21,9,6,0
2021-01-22,12,2,2
2021-01-23,2,0,0
2021-01-24,0,0,0
2021-01-25,3,14,2
2021-01-26,3,14,0
2021-01-27,9,12,0
2021-01-28,4,0,0
2021-01-29,0,8,0
2021-01-30,0,0,0
2021-01-31,0,0,0
2021-02-01,0,4,0
2021-02-02,7,6,0
2021-02-03,12,12,0
2021-02-04,9,15,0
2021-02-05,0,16,0
2021-02-06,1,0,0
2021-02-07,0,0,0
2021-02-08,7,10,0
2021-02-09,25,26,0
2021-02-10,8,9,0
2021-02-11,12,8,0
2021-02-12,6,26,0
2021-02-13,14,0,0
2021-02-14,8,0,0
2021-02-15,1,13,0
2021-02-16,1,61,0
2021-02-17,10,10,0
2021-02-18,11,21,0
2021-02-19,9,25,0
2021-02-20,0,2,0
2021-02-21,0,0,0
2021-02-22,11,11,0
2021-02-23,10,11,0
2021-02-24,0,11,0
2021-02-25,1,11,0
2021-02-26,2,12,0
2021-02-27,0,0,0
2021-02-28,0,1,0
2021-03-01,16,36,0
2021-03-02,10,22,0
2021-03-03,4,33,0
2021-03-04,9,33,0
2021-03-05,4,29,0
2021-03-06,0,0,0
2021-03-07,0,0,0
2021-03-08,9,14,0
2021-03-09,2,23,0
2021-03-10,4,13,2
2021-03-11,10,20,0
2021-03-12,0,18,0
2021-03-13,0,0,0
2021-03-14,0,1,0
2021-03-15,3,28,1
2021-03-16,18,34,0
2021-03-17,5,29,0
2021-03-18,1,16,1
2021-03-19,0,18,0
2021-03-20,0,1,0
2021-03-21,0,0,0
2021-03-22,3,22,0
2021-03-23,5,30,0
2021-03-24,9,28,2
2021-03-25,11,15,0
2021-03-26,6,29,0
2021-03-27,0,0,0
2021-03-28,0,1,0
2021-03-29,6,15,2
2021-03-30,7,10,0
2021-03-31,2,10,0
2021-04-01,0,4,0
2021-04-02,2,9,0
2021-04-03,0,0,0
2021-04-04,0,0,0
2021-04-05,9,0,0
2021-04-06,2,18,0
2021-04-07,3,25,0
2021-04-08,13,24,0
2021-04-09,8,34,0
2021-04-10,4,0,0
2021-04-11,0,0,0
2021-04-12,0,23,0
2021-04-13,4,17,0
2021-04-14,3,24,0
2021-04-15,4,19,0
2021-04-16,7,11,2
2021-04-17,0,0,0
2021-04-18,0,0,0
2021-04-19,9,13,0
2021-04-20,1,36,0
2021-04-21,15,9,0
2021-04-22,7,8,0
2021-04-23,1,19,0
2021-04-24,0,4,0
2021-04-25,0,2,0
2021-04-26,5,42,0
2021-04-27,1,19,0
2021-04-28,0,20,0
2021-04-29,2,18,0
2021-04-30,0,11,0
2021-05-01,6,0,0
2021-05-02,0,2,0
2021-05-03,14,18,0
2021-05-04,14,19,0
2021-05-05,19,16,0
2021-05-06,13,27,0
2021-05-07,0,19,0
2021-05-08,9,0,0
2021-05-09,1,0,0
2021-05-10,10,29,0
2021-05-11,14,10,0
2021-05-12,5,24,0
2021-05-13,3,2,1
2021-05-14,15,3,0
2021-05-15,2,0,0
2021-05-16,0,0,0
2021-05-17,3,0,0
2021-05-18,13,22,0
2021-05-19,7,22,0
2021-05-20,9,18,0
2021-05-21,6,36,0
2021-05-22,7,0,0
2021-05-23,0,0,0
2021-05-24,1,7,0
2021-05-25,8,16,0
2021-05-26,17,19,0
2021-05-27,2,26,0
2021-05-28,5,19,0
2021-05-29,0,0,0
2021-05-30,0,0,0
2021-05-31,21,18,0
2021-06-01,9,18,0
2021-06-02,26,7,0
2021-06-03,14,19,0
2021-06-04,9,12,0
2021-06-05,0,0,0
2021-06-06,0,0,0
2021-06-07,9,5,0
2021-06-08,6,7,0
2021-06-09,0,8,0
2021-06-10,0,16,0
2021-06-11,9,8,5
2021-06-12,0,0,0
2021-06-13,0,3,0
2021-06-14,8,12,0
2021-06-15,11,3,0
2021-06-16,8,18,0
2021-06-17,20,37,0
2021-06-18,20,18,0
2021-06-19,0,1,0
2021-06-20,0,0,0
2021-06-21,4,7,0
2021-06-22,8,25,0
2021-06-23,9,20,0
2021-06-24,41,4,0
2021-06-25,16,13,0
2021-06-26,13,0,0
2021-06-27,2,0,0
2021-06-28,32,5,0
2021-06-29,22,3,0
2021-06-30,15,8,0
2021-07-01,0,3,0
2021-07-02,0,17,0
2021-07-03,0,3,0
2021-07-04,0,0,1
2021-07-05,7,20,0
2021-07-06,21,22,0
2021-07-07,35,12,0
2021-07-08,17,8,0
2021-07-09,17,18,0
2021-07-10,0,1,0
2021-07-11,0,0,0
2021-07-12,19,10,0
2021-07-13,10,7,0
2021-07-14,13,9,0
2021-07-15,0,25,0
2021-07-16,2,8,0
2021-07-17,25,1,0
2021-07-18,1,1,0
2021-07-19,17,6,0
2021-07-20,12,4,0
2021-07-21,11,5,0
2021-07-22,12,4,0
2021-07-23,12,9,0
2021-07-24,2,0,0
2021-07-25,0,2,0
2021-07-26,6,5,0
2021-07-27,4,7,0
2021-07-28,24,6,0
2021-07-29,11,5,0
2021-07-30,16,3,0
2021-07-31,0,7,0
2021-08-01,0,5,0
2021-08-02,1,8,0
2021-08-03,13,5,0
2021-08-04,17,5,0
2021-08-05,10,4,0
2021-08-06,3,4,0
2021-08-07,0,0,0
2021-08-08,0,0,0
2021-08-09,0,1,0
2021-08-10,39,6,0
2021-08-11,8,4,0
2021-08-12,12,8,0
2021-08-13,9,112,0
2021-08-14,1,0,0
2021-08-15,0,0,0
2021-08-16,15,16,2
2021-08-17,6,19,0
2021-08-18,8,14,0
2021-08-19,0,15,0
2021-08-20,0,3,0
2021-08-21,0,0,0
2021-08-22,0,0,0
2021-08-23,10,23,0
2021-08-24,5,9,0
2021-08-25,18,6,0
2021-08-26,14,12,0
2021-08-27,8,11,0
2021-08-28,0,0,0
2021-08-29,0,0,0
2021-08-30,10,5,0
2021-08-31,17,11,0
2021-09-01,9,6,0
2021-09-02,9,13,0
2021-09-03,14,11,0
2021-09-04,0,0,0
2021-09-05,0,0,0
2021-09-06,0,11,0
2021-09-07,2,9,0
2021-09-08,2,12,0
2021-09-09,0,6,0
2021-09-10,0,8,0
2021-09-11,0,0,0
2021-09-12,0,0,0
2021-09-13,7,16,0
2021-09-14,5,5,0
2021-09-15,7,16,0
2021-09-16,3,4,0
2021-09-17,0,33,0
2021-09-18,0,0,0
