,apache/httpcomponents-client,jetty/jetty.project,square/okhttp
2023-12-30,0,0,-0.1047951600718747
2023-12-31,0,0,-0.07460510728124978
2024-01-01,0,51,-0.06463927014999983
2024-01-02,0,11,-0.041994262679687394
2024-01-03,1,26,1.0
2024-01-04,0,0,1.9
2024-01-05,1,0,-0.24500000000000022
2024-01-06,1,0,0.8815
2024-01-07,1,1,1.8223375
2024-01-08,1,5,0.6975582499999999
2024-01-09,0,3,0.7361044875
2024-01-10,0,0,-0.26008022124999997
2024-01-11,0,5,-0.16269745551562476
2024-01-12,4,3,-0.12209349106718723
2024-01-13,0,0,-0.09099467632187472
2024-01-14,2,0,0.9389655319843752
2024-01-15,0,7,-0.15179118731718744
2024-01-16,2,8,-0.08245971433749993
2024-01-17,1,2,-0.04646716555156248
2024-01-18,2,2,-0.029061352535937404
2024-01-19,0,0,0.9838832500000001
2024-01-20,0,0,2.8868379875
2024-01-21,0,0,-0.35609369625000026
2024-01-22,1,0,1.8269316869843748
2024-01-23,0,1,0.6854386474640624
2024-01-24,0,9,-0.2681042499999999
2024-01-25,1,14,0.8364877375000002
2024-01-26,7,12,-0.2204047337499998
2024-01-27,0,1,-0.14074540176562472
2024-01-28,0,0,-0.1080445665828123
2024-01-29,4,16,0.9187915373921878
2024-01-30,0,7,1.8536529277187501
2024-01-31,2,3,-0.2845280305875001
2024-02-01,3,1,-0.13799254878593753
2024-02-02,0,3,-0.08723081301562494
2024-02-03,0,0,0.9341593974640627
2024-02-04,0,0,-0.14539551249999993
2024-02-05,1,1,-0.08241772124999992
2024-02-06,0,6,-0.06025570551562494
2024-02-07,0,1,-0.048197978567187355
2024-02-08,0,3,-0.032914455071874904
2024-02-09,0,1,-0.01316201249999996
2024-02-10,2,1,0.98890630375
2024-02-11,0,0,1.890431686984375
2024-02-12,0,0,-0.2533988525359377
2024-02-13,0,0,-0.11850000000000009
2024-02-14,1,4,-0.07766249999999997
2024-02-15,0,4,-0.05744174999999979
2024-02-16,0,1,-0.04539551249999985
2024-02-17,0,0,-0.03741772124999989
2024-02-18,0,0,-0.03175570551562491
2024-02-19,0,5,-0.02753547856718743
2024-02-20,0,4,-0.016797705071874957
2024-02-21,0,8,0.0
2024-02-22,0,4,0.0
2024-02-23,2,5,0.0
2024-02-24,0,0,0.0
2024-02-25,0,0,0.0
2024-02-26,0,9,0.0
2024-02-27,0,9,0.0
2024-02-28,0,7,0.0
2024-02-29,2,6,0.0
2024-03-01,0,9,0.0
2024-03-02,0,2,0.0
2024-03-03,0,0,0.0
2024-03-04,0,0,0.0
2024-03-05,0,1,0.0
2024-03-06,1,2,1.0
2024-03-07,0,0,-0.10000000000000009
2024-03-08,0,0,-0.04500000000000003
2024-03-09,0,0,-0.028500000000000022
2024-03-10,0,0,-0.020662499999999924
2024-03-11,1,0,-0.016116749999999947
2024-03-12,0,1,-0.01316201249999996
2024-03-13,0,8,-0.011093696249999967
2024-03-14,0,0,-0.009568313015624975
2024-03-15,0,1,-0.008398852535937478
2024-03-16,0,0,0.0
2024-03-17,0,0,1.0
2024-03-18,1,0,-0.10000000000000009
2024-03-19,0,5,-0.04500000000000003
2024-03-20,0,3,-0.028500000000000022
2024-03-21,0,2,-0.020662499999999924
2024-03-22,0,3,0.9838832500000001
2024-03-23,0,0,0.8868379875
2024-03-24,0,5,0.8439063037499999
2024-03-25,0,11,-0.18306831301562512
2024-03-26,0,4,-0.10256135253593746
2024-03-27,0,11,-0.0652792499999999
2024-03-28,0,4,-0.04994126249999983
2024-03-29,0,7,-0.040372458749999875
2024-03-30,0,3,-0.0338240217656249
2024-03-31,0,0,1.9709391381984376
2024-04-01,0,10,5.7820328344484375
2024-04-02,1,10,2.301601147464062
2024-04-03,1,4,1.3729999999999996
2024-04-04,0,7,0.4526749999999997
2024-04-05,0,1,1.5682915000000004
2024-04-06,0,0,8.512987975
2024-04-07,0,0,-1.2093347175000002
2024-04-08,0,0,-0.6400808410312497
2024-04-09,1,1,0.5522455530843754
2024-04-10,0,1,0.567356540737501
2024-04-11,0,2,1.628198345110938
2024-04-12,0,1,0.5594884769125003
2024-04-13,0,1,-0.36654124481718725
2024-04-14,0,0,1.7583082277875004
2024-04-15,0,2,3.6253065646765625
2024-04-16,0,2,-0.5671517087500002
2024-04-17,0,9,3.6998972157343752
2024-04-18,0,7,2.391358429448437
2024-04-19,0,5,-0.6335126748171874
2024-04-20,0,0,0.6338429569125001
2024-04-21,0,0,-0.3513842950359371
2024-04-22,0,7,-0.23496591103124945
2024-04-23,0,7,-0.18456925713437458
2024-04-24,0,10,0.8618812673562504
2024-04-25,1,2,-0.18767109081249983
2024-04-26,0,5,-0.12046236169062483
2024-04-27,0,0,-0.06479025385781242
2024-04-28,1,0,-0.0302308130156249
2024-04-29,0,0,0.9754843974640626
2024-04-30,0,3,-0.11316201250000005
2024-05-01,0,7,-0.05609369625
2024-05-02,0,11,-0.038068313015624994
2024-05-03,0,13,-0.029061352535937404
2024-05-04,0,6,-0.016116749999999947
2024-05-05,0,0,-0.01316201249999996
2024-05-06,0,2,-0.011093696249999967
2024-05-07,0,3,-0.009568313015624975
2024-05-08,0,0,-0.008398852535937478
2024-05-09,0,0,0.0
2024-05-10,0,3,0.0
2024-05-11,0,0,0.0
2024-05-12,0,2,0.0
2024-05-13,0,6,1.0
2024-05-14,0,3,0.8999999999999999
2024-05-15,0,0,-0.14500000000000013
2024-05-16,1,4,-0.07350000000000005
2024-05-17,0,1,-0.04916249999999994
2024-05-18,0,0,-0.036779249999999875
2024-05-19,0,1,-0.02927876249999991
2024-05-20,0,7,-0.024255708749999928
2024-05-21,0,2,-0.02066200926562494
2024-05-22,2,7,-0.017967165551562456
2024-05-23,0,10,-0.008398852535937478
2024-05-24,0,0,0.0
2024-05-25,0,1,0.0
2024-05-26,0,0,0.0
2024-05-27,0,14,0.0
2024-05-28,0,5,0.0
2024-05-29,0,1,0.0
2024-05-30,0,6,0.0
2024-05-31,0,0,0.0
2024-06-01,0,0,0.0
2024-06-02,0,1,0.0
2024-06-03,0,1,0.0
2024-06-04,0,8,0.0
2024-06-05,1,0,0.0
2024-06-06,1,1,0.0
2024-06-07,0,0,0.0
2024-06-08,0,0,0.0
2024-06-09,0,0,0.0
2024-06-10,2,1,0.0
2024-06-11,0,5,0.0
2024-06-12,0,10,0.0
2024-06-13,0,8,0.0
2024-06-14,0,2,0.0
2024-06-15,0,0,0.0
2024-06-16,0,0,0.0
2024-06-17,0,2,0.0
2024-06-18,0,5,0.0
2024-06-19,0,15,0.0
2024-06-20,1,10,1.0
2024-06-21,4,16,-0.10000000000000009
2024-06-22,2,1,1.955
2024-06-23,0,1,0.7714999999999999
2024-06-24,0,13,-0.21066250000000009
2024-06-25,0,7,-0.11811675000000002
2024-06-26,2,4,-0.08298701249999983
2024-06-27,4,29,-0.06398969624999978
2024-06-28,0,4,-0.052009088015624844
2024-06-29,0,0,-0.04374825753593737
2024-06-30,0,0,-0.030230322281249916
2024-07-01,0,3,-0.026366018087499932
2024-07-02,0,1,-0.008398852535937478
2024-07-03,0,5,0.0
2024-07-04,0,1,0.0
2024-07-05,0,5,0.0
2024-07-06,0,0,1.0
2024-07-07,0,0,-0.10000000000000009
2024-07-08,0,9,-0.04500000000000003
2024-07-09,0,5,-0.028500000000000022
2024-07-10,0,5,-0.020662499999999924
2024-07-11,0,2,-0.016116749999999947
2024-07-12,0,4,-0.01316201249999996
2024-07-13,0,0,-0.011093696249999967
2024-07-14,0,1,-0.009568313015624975
2024-07-15,1,6,-0.008398852535937478
2024-07-16,0,12,0.0
2024-07-17,0,3,0.0
2024-07-18,0,6,0.0
2024-07-19,0,7,0.0
2024-07-20,0,0,0.0
2024-07-21,0,0,0.0
2024-07-22,0,3,0.0
2024-07-23,0,5,0.0
2024-07-24,0,8,0.0
2024-07-25,0,12,0.0
2024-07-26,0,1,0.0
2024-07-27,0,2,0.0
2024-07-28,0,1,0.0
2024-07-29,0,2,0.0
2024-07-30,0,3,0.0
2024-07-31,0,1,0.0
2024-08-01,0,3,0.0
2024-08-02,0,4,0.0
2024-08-03,1,7,0.0
2024-08-04,0,4,0.0
2024-08-05,1,3,0.0
2024-08-06,0,0,0.0
2024-08-07,0,7,0.0
2024-08-08,0,0,0.0
2024-08-09,0,0,0.0
2024-08-10,0,0,0.0
2024-08-11,1,0,0.0
2024-08-12,0,2,0.0
2024-08-13,0,8,0.0
2024-08-14,0,7,0.0
2024-08-15,0,1,0.0
2024-08-16,1,2,0.0
2024-08-17,5,0,0.0
2024-08-18,1,0,0.0
2024-08-19,2,0,0.0
2024-08-20,1,7,0.0
2024-08-21,0,12,0.0
2024-08-22,2,15,0.0
2024-08-23,1,26,0.0
2024-08-24,2,1,0.0
