,sindresorhus/type-fest,microsoft/TypeScript,definitelytyped/definitelytyped
2023-10-10,0,4,22
2023-10-11,0,1,15
2023-10-12,0,4,15
2023-10-13,0,2,9
2023-10-14,0,1,5
2023-10-15,0,1,1
2023-10-16,1,4,5
2023-10-17,3,1,13
2023-10-18,3,1,18
2023-10-19,0,4,18
2023-10-20,0,2,6
2023-10-21,3,1,1
2023-10-22,0,0,6
2023-10-23,1,2,5
2023-10-24,1,5,5
2023-10-25,6,5,11
2023-10-26,1,5,11
2023-10-27,0,3,11
2023-10-28,0,5,2
2023-10-29,0,1,4
2023-10-30,1,4,14
2023-10-31,0,2,9
2023-11-01,0,1,8
2023-11-02,1,3,6
2023-11-03,0,10,12
2023-11-04,1,1,4
2023-11-05,0,1,5
2023-11-06,0,3,9
2023-11-07,1,3,9
2023-11-08,4,2,7
2023-11-09,2,3,5
2023-11-10,0,1,7
2023-11-11,1,0,3
2023-11-12,0,0,2
2023-11-13,4,4,3
2023-11-14,0,2,3
2023-11-15,3,5,4
2023-11-16,0,6,12
2023-11-17,4,4,4
2023-11-18,1,1,1
2023-11-19,0,1,0
2023-11-20,1,4,12
2023-11-21,2,13,16
2023-11-22,0,5,15
2023-11-23,0,0,9
2023-11-24,1,0,3
2023-11-25,0,0,1
2023-11-26,0,0,2
2023-11-27,0,5,9
2023-11-28,1,7,21
2023-11-29,0,10,10
2023-11-30,0,10,9
2023-12-01,0,4,10
2023-12-02,2,2,7
2023-12-03,0,0,16
2023-12-04,2,3,66
2023-12-05,0,3,38
2023-12-06,0,3,76
2023-12-07,1,5,11
2023-12-08,0,7,10
2023-12-09,0,0,4
2023-12-10,0,1,0
2023-12-11,0,7,9
2023-12-12,0,2,24
2023-12-13,0,6,10
2023-12-14,0,0,6
2023-12-15,1,4,25
2023-12-16,0,1,5
2023-12-17,0,0,6
2023-12-18,0,1,9
2023-12-19,0,1,4
2023-12-20,0,1,3
2023-12-21,0,1,12
2023-12-22,0,0,7
2023-12-23,0,0,2
2023-12-24,0,0,2
2023-12-25,0,0,3
2023-12-26,0,1,8
2023-12-27,2,0,21
2023-12-28,0,0,17
2023-12-29,0,0,14
2023-12-30,0,1,6
2023-12-31,0,0,1
2024-01-01,0,0,21
2024-01-02,1,9,17
2024-01-03,0,3,16
2024-01-04,1,5,4
2024-01-05,0,3,5
2024-01-06,0,1,6
2024-01-07,0,0,2
2024-01-08,0,2,11
2024-01-09,0,9,12
2024-01-10,0,5,5
2024-01-11,0,7,8
2024-01-12,0,3,5
2024-01-13,0,1,1
2024-01-14,0,0,5
2024-01-15,0,1,5
2024-01-16,0,6,10
2024-01-17,0,2,9
2024-01-18,0,3,5
2024-01-19,0,9,9
2024-01-20,0,1,5
2024-01-21,2,0,4
2024-01-22,1,2,14
2024-01-23,0,2,6
2024-01-24,2,2,7
2024-01-25,0,3,21
2024-01-26,0,1,16
2024-01-27,0,1,5
2024-01-28,0,2,5
2024-01-29,0,4,11
2024-01-30,2,4,8
2024-01-31,0,3,11
2024-02-01,0,4,23
2024-02-02,0,3,5
2024-02-03,0,0,9
2024-02-04,0,1,4
2024-02-05,0,1,9
2024-02-06,0,1,11
2024-02-07,0,5,18
2024-02-08,0,1,15
2024-02-09,0,2,8
2024-02-10,0,1,4
2024-02-11,0,1,4
2024-02-12,0,3,14
2024-02-13,0,6,11
2024-02-14,0,2,5
2024-02-15,0,4,13
2024-02-16,0,5,5
2024-02-17,0,1,6
2024-02-18,0,0,2
2024-02-19,0,1,8
2024-02-20,0,3,6
2024-02-21,0,3,7
2024-02-22,2,4,11
2024-02-23,0,8,23
2024-02-24,0,1,10
2024-02-25,0,1,0
2024-02-26,0,4,27
2024-02-27,0,3,20
2024-02-28,0,5,10
2024-02-29,0,2,34
2024-03-01,0,5,24
2024-03-02,0,4,5
2024-03-03,0,1,2
2024-03-04,3,6,13
2024-03-05,2,0,14
2024-03-06,0,3,7
2024-03-07,0,1,8
2024-03-08,2,4,8
2024-03-09,0,0,1
2024-03-10,0,1,2
2024-03-11,0,7,10
2024-03-12,1,6,3
2024-03-13,0,4,3
2024-03-14,0,3,7
2024-03-15,0,9,7
2024-03-16,1,2,2
2024-03-17,0,1,7
2024-03-18,2,7,20
2024-03-19,2,5,19
2024-03-20,3,6,10
2024-03-21,0,7,21
2024-03-22,1,1,20
2024-03-23,0,0,5
2024-03-24,2,0,1
2024-03-25,0,8,14
2024-03-26,0,4,8
2024-03-27,0,15,4
2024-03-28,0,5,8
2024-03-29,0,9,9
2024-03-30,1,1,8
2024-03-31,1,0,2
2024-04-01,0,2,6
2024-04-02,4,7,5
2024-04-03,1,7,14
2024-04-04,0,11,13
2024-04-05,0,5,16
2024-04-06,0,1,1
2024-04-07,0,1,6
2024-04-08,1,4,5
2024-04-09,1,4,22
2024-04-10,1,3,11
2024-04-11,0,2,7
2024-04-12,1,8,6
2024-04-13,1,1,3
2024-04-14,0,0,6
2024-04-15,0,2,13
2024-04-16,0,6,7
2024-04-17,0,5,7
2024-04-18,0,5,5
2024-04-19,0,17,12
2024-04-20,0,1,3
2024-04-21,0,0,1
2024-04-22,2,1,3
2024-04-23,0,0,3
2024-04-24,3,5,3
2024-04-25,0,5,3
2024-04-26,0,6,3
2024-04-27,0,0,4
2024-04-28,0,0,0
2024-04-29,6,4,5
2024-04-30,0,3,3
2024-05-01,2,4,14
2024-05-02,0,1,12
2024-05-03,0,1,11
2024-05-04,0,0,5
2024-05-05,0,0,1
2024-05-06,2,4,8
2024-05-07,0,6,4
2024-05-08,0,4,4
2024-05-09,0,2,2
2024-05-10,0,6,5
2024-05-11,0,0,3
2024-05-12,0,0,3
2024-05-13,0,4,8
2024-05-14,0,4,7
2024-05-15,0,1,5
2024-05-16,0,4,18
2024-05-17,0,0,6
2024-05-18,0,0,4
2024-05-19,0,0,3
2024-05-20,0,2,2
2024-05-21,0,7,8
2024-05-22,0,5,2
2024-05-23,0,6,4
2024-05-24,0,7,3
2024-05-25,2,0,0
2024-05-26,0,0,1
2024-05-27,0,0,2
2024-05-28,0,2,3
2024-05-29,0,7,14
2024-05-30,0,4,11
2024-05-31,0,11,11
2024-06-01,0,0,1
2024-06-02,0,0,1
2024-06-03,0,6,3
2024-06-04,2,6,2
2024-06-05,0,1,3
2024-06-06,0,1,1
2024-06-07,3,0,0
2024-06-08,0,0,3
2024-06-09,0,0,1
2024-06-10,0,0,4
2024-06-11,0,0,4
2024-06-12,0,7,3
