,davisking/dlib,scikit-image/scikit-image,opencv/opencv
2018-12-05,1,0,13
2018-12-06,2,0,5
2018-12-07,0,7,5
2018-12-08,0,0,3
2018-12-09,0,4,3
2018-12-10,0,0,2
2018-12-11,1,0,3
2018-12-12,0,2,11
2018-12-13,0,0,8
2018-12-14,0,0,11
2018-12-15,0,2,2
2018-12-16,0,0,3
2018-12-17,0,1,5
2018-12-18,0,18,11
2018-12-19,0,22,10
2018-12-20,0,16,5
2018-12-21,0,2,18
2018-12-22,0,0,6
2018-12-23,0,0,1
2018-12-24,0,1,4
2018-12-25,0,1,8
2018-12-26,0,8,8
2018-12-27,0,1,3
2018-12-28,0,3,2
2018-12-29,0,1,0
2018-12-30,0,2,0
2018-12-31,0,1,1
2019-01-01,0,1,0
2019-01-02,0,2,3
2019-01-03,0,1,3
2019-01-04,0,2,2
2019-01-05,1,3,1
2019-01-06,4,2,1
2019-01-07,0,0,1
2019-01-08,2,9,2
2019-01-09,2,2,15
2019-01-10,0,6,3
2019-01-11,0,2,3
2019-01-12,0,0,1
2019-01-13,0,0,4
2019-01-14,0,1,3
2019-01-15,0,5,5
2019-01-16,0,0,5
2019-01-17,0,14,7
2019-01-18,0,2,9
2019-01-19,0,1,1
2019-01-20,2,0,1
2019-01-21,0,0,8
2019-01-22,0,1,3
2019-01-23,0,2,0
2019-01-24,0,4,6
2019-01-25,0,1,7
2019-01-26,0,1,0
2019-01-27,0,2,0
2019-01-28,0,3,5
2019-01-29,0,3,4
2019-01-30,0,0,4
2019-01-31,0,2,3
2019-02-01,0,7,8
2019-02-02,0,3,1
2019-02-03,0,2,0
2019-02-04,0,7,1
2019-02-05,0,2,5
2019-02-06,0,1,4
2019-02-07,1,1,8
2019-02-08,0,1,19
2019-02-09,0,5,3
2019-02-10,0,6,0
2019-02-11,0,5,8
2019-02-12,0,1,10
2019-02-13,0,1,6
2019-02-14,0,4,14
2019-02-15,0,7,4
2019-02-16,0,5,0
2019-02-17,0,0,0
2019-02-18,1,3,10
2019-02-19,0,0,13
2019-02-20,6,6,4
2019-02-21,0,1,8
2019-02-22,0,2,7
2019-02-23,0,2,5
2019-02-24,0,2,0
2019-02-25,0,5,8
2019-02-26,1,7,11
2019-02-27,0,1,4
2019-02-28,0,3,4
2019-03-01,0,2,10
2019-03-02,1,2,4
2019-03-03,3,0,3
2019-03-04,3,2,12
2019-03-05,0,1,17
2019-03-06,0,1,4
2019-03-07,0,3,13
2019-03-08,3,5,1
2019-03-09,0,3,2
2019-03-10,8,0,1
2019-03-11,0,0,18
2019-03-12,0,7,9
2019-03-13,0,3,16
2019-03-14,1,1,9
2019-03-15,4,0,9
2019-03-16,0,0,2
2019-03-17,1,0,0
2019-03-18,7,0,12
2019-03-19,6,4,10
2019-03-20,0,0,9
2019-03-21,0,0,9
2019-03-22,0,0,5
2019-03-23,0,0,1
2019-03-24,0,0,1
2019-03-25,0,3,5
2019-03-26,0,4,7
2019-03-27,0,0,5
2019-03-28,1,4,9
2019-03-29,0,0,4
2019-03-30,0,1,3
2019-03-31,0,0,15
2019-04-01,0,0,9
2019-04-02,0,3,19
2019-04-03,0,10,9
2019-04-04,1,1,6
2019-04-05,0,0,8
2019-04-06,0,0,3
2019-04-07,1,0,4
2019-04-08,0,0,4
2019-04-09,0,0,1
2019-04-10,0,0,2
2019-04-11,0,0,4
2019-04-12,0,8,10
2019-04-13,0,0,5
2019-04-14,3,2,3
2019-04-15,0,2,6
2019-04-16,0,2,13
2019-04-17,0,1,6
2019-04-18,0,0,1
2019-04-19,1,0,4
2019-04-20,0,0,4
2019-04-21,0,1,3
2019-04-22,0,0,14
2019-04-23,0,7,3
2019-04-24,0,0,7
2019-04-25,0,4,2
2019-04-26,2,1,10
2019-04-27,1,1,3
2019-04-28,0,1,0
2019-04-29,0,2,9
2019-04-30,0,2,15
2019-05-01,0,3,4
2019-05-02,0,0,1
2019-05-03,0,0,3
2019-05-04,1,0,1
2019-05-05,2,0,4
2019-05-06,0,0,2
2019-05-07,0,0,11
2019-05-08,0,0,1
2019-05-09,0,0,0
2019-05-10,0,3,0
2019-05-11,0,3,0
2019-05-12,0,2,0
2019-05-13,0,1,1
2019-05-14,1,5,13
2019-05-15,0,4,12
2019-05-16,1,2,7
2019-05-17,2,4,4
2019-05-18,0,0,3
2019-05-19,0,5,2
2019-05-20,4,1,6
2019-05-21,0,0,2
2019-05-22,0,0,12
2019-05-23,0,1,9
2019-05-24,0,0,5
2019-05-25,1,3,2
2019-05-26,0,1,3
2019-05-27,0,2,23
2019-05-28,0,6,5
2019-05-29,0,1,11
2019-05-30,0,0,6
2019-05-31,0,1,2
2019-06-01,1,2,0
2019-06-02,3,3,3
2019-06-03,0,3,11
2019-06-04,0,2,15
2019-06-05,0,1,7
2019-06-06,0,0,9
2019-06-07,0,0,13
2019-06-08,1,0,5
2019-06-09,1,11,2
2019-06-10,0,0,6
2019-06-11,0,0,16
2019-06-12,0,0,1
2019-06-13,0,17,5
2019-06-14,0,1,17
2019-06-15,0,0,4
2019-06-16,0,0,2
2019-06-17,0,0,3
2019-06-18,0,3,0
2019-06-19,0,48,1
2019-06-20,0,22,13
2019-06-21,0,1,12
2019-06-22,0,0,6
2019-06-23,0,0,3
2019-06-24,0,9,7
2019-06-25,0,2,8
2019-06-26,1,2,14
2019-06-27,0,0,7
2019-06-28,0,9,12
2019-06-29,0,0,7
2019-06-30,0,7,3
2019-07-01,0,3,7
2019-07-02,0,0,13
2019-07-03,0,0,7
2019-07-04,1,2,10
2019-07-05,1,2,2
2019-07-06,0,8,3
2019-07-07,0,2,2
2019-07-08,0,0,1
2019-07-09,0,5,7
2019-07-10,0,4,0
2019-07-11,0,2,2
2019-07-12,1,3,7
2019-07-13,0,12,0
2019-07-14,0,7,0
2019-07-15,0,1,3
2019-07-16,0,2,17
2019-07-17,0,1,1
2019-07-18,0,0,11
2019-07-19,2,1,8
2019-07-20,0,8,3
2019-07-21,0,1,3
2019-07-22,0,3,2
2019-07-23,0,3,1
2019-07-24,0,2,5
2019-07-25,0,4,14
2019-07-26,0,1,4
2019-07-27,2,13,3
2019-07-28,0,0,3
2019-07-29,1,10,1
2019-07-30,0,1,9
2019-07-31,0,3,3
2019-08-01,0,5,5
2019-08-02,0,0,4
2019-08-03,0,1,1
2019-08-04,0,2,4
2019-08-05,0,3,21
2019-08-06,0,0,7
2019-08-07,0,0,6
2019-08-08,0,0,10
2019-08-09,0,3,5
2019-08-10,0,4,0
