,rescript-lang/rescript-compiler,google/closure-compiler,microsoft/typescript
2019-07-28,0,0,3
2019-07-29,27,6,14
2019-07-30,12,4,9
2019-07-31,6,0,7
2019-08-01,8,9,10
2019-08-02,6,2,16
2019-08-03,0,6,5
2019-08-04,4,0,6
2019-08-05,16,0,9
2019-08-06,8,3,22
2019-08-07,7,0,10
2019-08-08,18,0,11
2019-08-09,6,0,37
2019-08-10,0,3,8
2019-08-11,2,0,0
2019-08-12,8,1,7
2019-08-13,0,2,7
2019-08-14,9,3,16
2019-08-15,14,2,22
2019-08-16,6,5,23
2019-08-17,0,0,4
2019-08-18,0,0,2
2019-08-19,6,5,14
2019-08-20,1,2,10
2019-08-21,2,4,7
2019-08-22,3,2,6
2019-08-23,4,7,9
2019-08-24,4,0,1
2019-08-25,0,0,0
2019-08-26,7,0,11
2019-08-27,2,13,13
2019-08-28,13,4,8
2019-08-29,10,4,7
2019-08-30,2,0,10
2019-08-31,0,7,5
2019-09-01,0,0,0
2019-09-02,14,0,4
2019-09-03,12,4,8
2019-09-04,2,0,18
2019-09-05,0,10,14
2019-09-06,4,0,7
2019-09-07,0,0,3
2019-09-08,2,0,0
2019-09-09,24,0,11
2019-09-10,3,10,8
2019-09-11,19,12,19
2019-09-12,10,4,11
2019-09-13,0,4,7
2019-09-14,0,0,3
2019-09-15,6,0,5
2019-09-16,1,2,9
2019-09-17,9,3,12
2019-09-18,8,7,13
2019-09-19,12,0,6
2019-09-20,7,10,12
2019-09-21,5,0,8
2019-09-22,0,0,0
2019-09-23,7,5,15
2019-09-24,2,5,30
2019-09-25,3,0,18
2019-09-26,8,12,13
2019-09-27,1,1,23
2019-09-28,5,0,0
2019-09-29,0,0,0
2019-09-30,0,8,17
2019-10-01,4,1,14
2019-10-02,1,2,8
2019-10-03,0,2,12
2019-10-04,0,8,16
2019-10-05,0,0,5
2019-10-06,0,0,7
2019-10-07,1,6,3
