,google/guava,apache/commons-io,apache/commons-lang
2014-03-13,5,0,1
2014-03-14,0,0,1
2014-03-15,0,0,10
2014-03-16,0,0,0
2014-03-17,1,0,1
2014-03-18,0,0,5
2014-03-19,8,0,0
2014-03-20,2,0,0
2014-03-21,0,0,2
2014-03-22,4,0,0
2014-03-23,1,0,1
2014-03-24,0,0,0
2014-03-25,0,0,0
2014-03-26,0,0,0
2014-03-27,0,0,0
2014-03-28,0,1,9
2014-03-29,0,0,9
2014-03-30,0,0,1
2014-03-31,8,0,1
2014-04-01,0,0,1
2014-04-02,0,0,0
2014-04-03,0,0,0
2014-04-04,0,0,0
2014-04-05,0,0,0
2014-04-06,0,0,7
2014-04-07,9,0,0
2014-04-08,3,0,0
2014-04-09,5,0,5
2014-04-10,1,10,6
2014-04-11,2,0,1
2014-04-12,0,1,0
2014-04-13,0,0,0
2014-04-14,2,0,0
2014-04-15,0,0,0
2014-04-16,9,0,0
2014-04-17,2,0,0
2014-04-18,0,0,0
2014-04-19,0,0,0
2014-04-20,0,0,0
2014-04-21,0,0,2
2014-04-22,0,0,0
2014-04-23,0,0,2
2014-04-24,0,0,1
2014-04-25,11,2,5
2014-04-26,0,0,1
2014-04-27,0,0,0
2014-04-28,3,0,0
2014-04-29,0,0,0
2014-04-30,0,0,1
2014-05-01,0,0,0
2014-05-02,0,0,4
2014-05-03,0,0,1
2014-05-04,0,0,6
2014-05-05,0,0,5
2014-05-06,0,0,9
2014-05-07,14,0,6
2014-05-08,0,0,0
2014-05-09,0,1,1
2014-05-10,0,0,2
2014-05-11,0,0,0
2014-05-12,3,0,0
2014-05-13,4,0,3
2014-05-14,1,0,0
2014-05-15,2,0,0
2014-05-16,0,0,0
2014-05-17,0,0,0
2014-05-18,0,0,0
2014-05-19,0,0,0
2014-05-20,0,0,0
2014-05-21,0,0,0
2014-05-22,0,0,0
2014-05-23,4,0,0
2014-05-24,0,0,0
2014-05-25,0,0,0
2014-05-26,0,0,0
2014-05-27,0,0,0
2014-05-28,0,0,0
2014-05-29,0,2,0
2014-05-30,0,0,0
2014-05-31,0,0,0
2014-06-01,0,0,0
2014-06-02,3,0,2
2014-06-03,0,1,0
2014-06-04,0,0,0
2014-06-05,0,0,0
2014-06-06,0,0,1
2014-06-07,0,0,0
2014-06-08,0,0,0
2014-06-09,0,0,0
2014-06-10,0,0,0
2014-06-11,16,0,0
2014-06-12,0,0,0
2014-06-13,2,0,0
2014-06-14,0,0,0
2014-06-15,0,0,0
2014-06-16,7,0,0
2014-06-17,0,0,0
2014-06-18,2,1,0
2014-06-19,0,0,0
2014-06-20,6,0,0
2014-06-21,0,0,0
2014-06-22,0,0,0
2014-06-23,0,0,0
2014-06-24,0,0,0
2014-06-25,8,0,0
2014-06-26,0,0,0
2014-06-27,0,0,22
2014-06-28,0,0,0
2014-06-29,0,0,3
2014-06-30,2,0,0
2014-07-01,0,0,0
2014-07-02,0,0,0
2014-07-03,0,0,0
2014-07-04,0,0,0
2014-07-05,0,0,0
2014-07-06,0,0,0
2014-07-07,12,0,0
2014-07-08,0,0,0
2014-07-09,0,0,2
2014-07-10,0,0,0
2014-07-11,0,0,0
2014-07-12,0,0,2
2014-07-13,0,0,1
2014-07-14,0,0,0
2014-07-15,0,0,0
2014-07-16,9,1,0
2014-07-17,0,0,0
2014-07-18,0,0,0
2014-07-19,0,0,0
2014-07-20,0,1,4
2014-07-21,0,0,1
2014-07-22,0,0,0
2014-07-23,0,0,0
2014-07-24,0,0,0
2014-07-25,0,0,0
2014-07-26,0,0,2
2014-07-27,0,0,0
2014-07-28,10,1,0
2014-07-29,0,0,0
2014-07-30,2,1,0
2014-07-31,0,0,0
2014-08-01,1,0,0
2014-08-02,0,0,0
2014-08-03,0,0,0
2014-08-04,2,0,0
2014-08-05,7,0,0
2014-08-06,0,1,2
2014-08-07,0,0,0
2014-08-08,0,0,0
2014-08-09,0,0,0
2014-08-10,0,0,0
2014-08-11,0,0,0
2014-08-12,2,0,0
2014-08-13,0,0,0
2014-08-14,0,0,0
2014-08-15,0,0,0
2014-08-16,0,0,0
2014-08-17,0,0,0
2014-08-18,0,0,0
2014-08-19,0,0,0
2014-08-20,8,0,0
2014-08-21,0,0,0
2014-08-22,0,0,0
2014-08-23,0,0,1
2014-08-24,0,0,0
2014-08-25,1,0,2
2014-08-26,0,0,2
2014-08-27,0,0,0
2014-08-28,0,0,0
2014-08-29,0,0,0
2014-08-30,0,0,0
2014-08-31,0,0,0
2014-09-01,0,0,0
2014-09-02,1,0,0
2014-09-03,3,0,0
2014-09-04,3,0,0
2014-09-05,2,0,0
2014-09-06,0,0,0
2014-09-07,0,0,0
2014-09-08,0,0,0
2014-09-09,0,0,1
2014-09-10,0,0,1
2014-09-11,0,0,0
2014-09-12,0,0,0
2014-09-13,0,0,0
2014-09-14,0,0,0
2014-09-15,0,0,0
2014-09-16,0,0,0
2014-09-17,0,0,0
2014-09-18,0,0,0
2014-09-19,0,0,0
2014-09-20,0,0,0
2014-09-21,0,0,0
2014-09-22,0,0,0
2014-09-23,17,0,0
2014-09-24,7,0,0
2014-09-25,4,0,0
2014-09-26,0,0,2
2014-09-27,0,0,2
2014-09-28,0,0,1
2014-09-29,6,0,1
2014-09-30,0,0,0
2014-10-01,1,0,0
2014-10-02,0,0,2
2014-10-03,0,0,0
2014-10-04,0,0,0
2014-10-05,0,0,0
2014-10-06,0,0,0
2014-10-07,0,0,0
2014-10-08,0,0,1
2014-10-09,1,0,4
2014-10-10,0,0,0
2014-10-11,0,0,0
2014-10-12,0,0,0
2014-10-13,0,0,0
2014-10-14,0,0,0
2014-10-15,0,0,0
2014-10-16,0,3,1
2014-10-17,0,0,0
2014-10-18,0,0,0
2014-10-19,0,0,1
2014-10-20,0,0,0
2014-10-21,0,0,0
2014-10-22,0,0,0
2014-10-23,0,0,1
2014-10-24,0,0,0
2014-10-25,0,0,0
2014-10-26,0,0,0
2014-10-27,0,7,1
2014-10-28,0,0,0
2014-10-29,22,0,0
2014-10-30,7,0,0
2014-10-31,2,2,0
2014-11-01,0,0,0
2014-11-02,0,0,0
2014-11-03,0,0,0
2014-11-04,5,0,0
2014-11-05,2,0,0
2014-11-06,5,0,0
2014-11-07,2,0,0
2014-11-08,0,0,0
2014-11-09,0,0,1
2014-11-10,4,0,0
2014-11-11,1,0,0
2014-11-12,0,0,0
2014-11-13,0,0,0
2014-11-14,4,0,1
2014-11-15,0,0,0
2014-11-16,0,0,0
2014-11-17,0,0,0
2014-11-18,0,0,0
2014-11-19,5,0,0
2014-11-20,0,0,0
2014-11-21,0,0,0
2014-11-22,0,0,0
2014-11-23,0,0,1
2014-11-24,0,0,0
2014-11-25,0,0,0
2014-11-26,0,0,0
2014-11-27,0,0,0
2014-11-28,0,0,0
2014-11-29,0,0,0
2014-11-30,0,0,0
2014-12-01,10,5,0
2014-12-02,0,2,0
2014-12-03,5,2,1
2014-12-04,0,0,0
2014-12-05,3,0,2
2014-12-06,0,0,0
2014-12-07,0,0,0
2014-12-08,0,0,0
2014-12-09,0,1,0
2014-12-10,0,0,0
2014-12-11,0,0,0
2014-12-12,0,0,1
2014-12-13,0,0,1
2014-12-14,0,0,1
2014-12-15,0,0,0
2014-12-16,0,0,0
2014-12-17,14,0,0
2014-12-18,2,0,0
2014-12-19,4,0,0
2014-12-20,0,0,0
2014-12-21,0,0,0
2014-12-22,0,0,0
2014-12-23,1,0,0
2014-12-24,0,0,0
2014-12-25,0,0,1
2014-12-26,0,0,1
2014-12-27,0,0,11
2014-12-28,0,0,0
2014-12-29,1,0,0
2014-12-30,1,0,0
2014-12-31,0,0,1
2015-01-01,0,0,6
2015-01-02,0,0,1
2015-01-03,0,0,0
2015-01-04,0,0,0
2015-01-05,0,0,0
2015-01-06,0,2,0
2015-01-07,6,0,0
2015-01-08,0,0,0
2015-01-09,0,0,0
2015-01-10,0,0,0
2015-01-11,0,0,0
2015-01-12,0,0,1
2015-01-13,0,0,0
2015-01-14,13,0,0
2015-01-15,5,1,0
2015-01-16,1,0,0
2015-01-17,0,0,0
2015-01-18,0,0,0
2015-01-19,0,0,0
2015-01-20,6,0,1
2015-01-21,0,0,0
2015-01-22,8,0,0
2015-01-23,0,0,11
2015-01-24,0,0,0
2015-01-25,0,0,0
2015-01-26,0,0,0
2015-01-27,0,0,1
2015-01-28,0,0,0
2015-01-29,22,0,0
2015-01-30,2,0,0
2015-01-31,0,0,0
2015-02-01,0,0,0
2015-02-02,0,0,0
2015-02-03,0,0,0
2015-02-04,0,0,0
2015-02-05,0,1,0
2015-02-06,0,0,0
2015-02-07,0,0,0
2015-02-08,0,0,0
2015-02-09,14,2,0
2015-02-10,0,0,0
2015-02-11,10,0,0
2015-02-12,5,0,0
2015-02-13,0,0,0
2015-02-14,0,0,0
2015-02-15,0,0,0
2015-02-16,0,0,0
2015-02-17,0,0,0
2015-02-18,3,0,0
2015-02-19,9,0,0
2015-02-20,0,0,0
2015-02-21,0,0,0
2015-02-22,0,0,0
2015-02-23,12,0,2
2015-02-24,0,1,1
2015-02-25,2,0,0
2015-02-26,7,0,1
2015-02-27,0,0,0
2015-02-28,0,0,0
2015-03-01,0,0,5
2015-03-02,4,0,6
2015-03-03,1,0,0
2015-03-04,1,0,0
2015-03-05,2,0,0
2015-03-06,1,0,0
2015-03-07,0,0,0
2015-03-08,0,0,0
2015-03-09,1,0,0
2015-03-10,0,0,0
2015-03-11,0,0,0
2015-03-12,0,0,0
2015-03-13,0,0,8
2015-03-14,0,0,8
2015-03-15,0,0,0
2015-03-16,4,0,0
2015-03-17,0,0,0
2015-03-18,0,0,0
2015-03-19,0,0,0
2015-03-20,9,0,0
2015-03-21,0,0,0
2015-03-22,0,0,1
2015-03-23,12,0,5
2015-03-24,0,1,1
2015-03-25,0,0,0
2015-03-26,0,0,2
2015-03-27,0,0,2
2015-03-28,0,0,15
2015-03-29,0,0,0
2015-03-30,0,0,0
2015-03-31,0,0,0
2015-04-01,0,0,1
2015-04-02,0,0,0
2015-04-03,0,0,8
2015-04-04,0,0,0
2015-04-05,0,0,0
2015-04-06,0,0,24
2015-04-07,0,0,1
2015-04-08,0,0,12
2015-04-09,0,0,4
2015-04-10,0,0,0
2015-04-11,0,0,1
2015-04-12,0,0,2
2015-04-13,0,0,0
2015-04-14,40,1,1
2015-04-15,0,0,1
2015-04-16,3,0,0
2015-04-17,0,0,0
2015-04-18,0,0,1
2015-04-19,0,0,0
2015-04-20,0,2,0
2015-04-21,0,0,0
2015-04-22,0,0,0
2015-04-23,0,0,0
2015-04-24,7,0,0
2015-04-25,0,1,0
2015-04-26,0,0,0
2015-04-27,0,0,3
2015-04-28,2,0,16
2015-04-29,0,0,12
2015-04-30,0,0,3
2015-05-01,0,0,18
2015-05-02,0,0,2
2015-05-03,0,0,4
2015-05-04,0,0,17
2015-05-05,0,0,15
2015-05-06,0,0,5
2015-05-07,0,0,30
2015-05-08,0,1,1
2015-05-09,0,0,2
2015-05-10,0,0,0
2015-05-11,4,0,2
2015-05-12,9,0,4
2015-05-13,0,0,0
2015-05-14,1,0,0
2015-05-15,1,0,0
2015-05-16,0,0,0
2015-05-17,0,0,0
2015-05-18,0,0,1
2015-05-19,0,0,2
2015-05-20,9,2,0
2015-05-21,0,4,0
2015-05-22,0,6,0
2015-05-23,0,0,0
2015-05-24,0,0,0
2015-05-25,0,0,0
2015-05-26,6,0,0
2015-05-27,0,0,0
2015-05-28,0,0,1
2015-05-29,3,0,0
2015-05-30,0,0,0
2015-05-31,0,0,0
2015-06-01,20,0,0
2015-06-02,5,0,0
2015-06-03,2,0,0
2015-06-04,0,0,0
2015-06-05,0,0,0
2015-06-06,0,0,1
2015-06-07,0,0,1
2015-06-08,6,0,0
2015-06-09,0,0,0
2015-06-10,8,0,0
2015-06-11,3,0,0
2015-06-12,2,0,8
2015-06-13,0,0,0
2015-06-14,0,0,0
2015-06-15,7,0,0
2015-06-16,4,0,0
2015-06-17,0,0,0
2015-06-18,0,1,0
2015-06-19,0,10,0
2015-06-20,0,4,0
2015-06-21,0,6,0
2015-06-22,9,0,0
2015-06-23,3,1,0
2015-06-24,0,2,3
2015-06-25,0,2,0
2015-06-26,6,7,1
2015-06-27,0,1,1
2015-06-28,0,0,0
2015-06-29,0,1,0
2015-06-30,0,0,0
2015-07-01,0,0,0
2015-07-02,0,0,0
2015-07-03,0,0,0
2015-07-04,0,0,0
2015-07-05,0,0,0
2015-07-06,8,0,0
2015-07-07,2,0,0
2015-07-08,4,0,4
2015-07-09,0,0,0
2015-07-10,2,0,0
2015-07-11,0,0,1
2015-07-12,0,0,1
2015-07-13,0,0,0
2015-07-14,1,0,2
2015-07-15,1,0,1
2015-07-16,3,0,0
2015-07-17,1,0,0
2015-07-18,0,0,0
2015-07-19,0,0,2
2015-07-20,0,0,0
2015-07-21,0,0,0
2015-07-22,3,0,0
2015-07-23,0,0,0
2015-07-24,3,0,3
2015-07-25,0,0,1
2015-07-26,0,0,0
2015-07-27,0,0,0
2015-07-28,4,0,0
2015-07-29,0,0,0
2015-07-30,0,0,0
2015-07-31,0,0,0
2015-08-01,0,0,0
2015-08-02,0,0,0
2015-08-03,20,0,0
2015-08-04,2,0,0
2015-08-05,1,0,0
2015-08-06,4,3,0
2015-08-07,4,0,0
2015-08-08,0,0,0
2015-08-09,0,0,0
2015-08-10,6,1,1
2015-08-11,0,0,2
2015-08-12,1,0,1
2015-08-13,6,0,0
2015-08-14,1,0,0
2015-08-15,0,0,0
2015-08-16,0,0,0
2015-08-17,0,0,0
2015-08-18,2,1,0
2015-08-19,4,0,0
2015-08-20,0,0,0
2015-08-21,0,0,0
2015-08-22,0,0,0
2015-08-23,0,0,0
2015-08-24,1,0,0
2015-08-25,3,0,0
2015-08-26,0,0,0
2015-08-27,2,0,0
2015-08-28,0,0,0
2015-08-29,0,0,0
2015-08-30,0,0,0
2015-08-31,1,0,0
2015-09-01,1,0,0
2015-09-02,0,0,0
2015-09-03,4,0,0
2015-09-04,0,0,0
2015-09-05,0,0,0
2015-09-06,0,0,0
2015-09-07,0,0,0
2015-09-08,0,0,0
2015-09-09,3,0,0
2015-09-10,0,3,0
2015-09-11,0,0,0
2015-09-12,0,0,0
2015-09-13,0,0,0
2015-09-14,1,0,0
2015-09-15,1,0,0
2015-09-16,0,0,0
2015-09-17,0,0,0
2015-09-18,2,0,0
2015-09-19,0,0,0
2015-09-20,0,0,0
2015-09-21,1,1,0
2015-09-22,0,0,0
2015-09-23,0,0,0
2015-09-24,0,0,0
2015-09-25,3,0,0
2015-09-26,0,0,0
2015-09-27,0,0,0
2015-09-28,3,0,0
2015-09-29,3,0,0
2015-09-30,2,0,0
2015-10-01,0,0,0
2015-10-02,0,0,0
2015-10-03,0,0,0
2015-10-04,0,0,0
2015-10-05,2,0,1
2015-10-06,0,0,0
2015-10-07,0,0,0
2015-10-08,2,0,0
2015-10-09,2,0,0
2015-10-10,0,0,0
2015-10-11,0,0,0
2015-10-12,4,0,1
2015-10-13,4,0,0
2015-10-14,0,0,1
2015-10-15,3,0,0
2015-10-16,1,0,1
2015-10-17,0,0,4
2015-10-18,0,0,0
2015-10-19,2,0,4
2015-10-20,3,0,3
2015-10-21,0,0,1
2015-10-22,0,0,0
2015-10-23,6,0,1
2015-10-24,0,0,0
2015-10-25,0,0,0
2015-10-26,6,0,0
2015-10-27,6,0,1
2015-10-28,0,0,0
2015-10-29,8,0,0
2015-10-30,4,0,0
2015-10-31,0,0,0
2015-11-01,0,0,0
2015-11-02,0,0,4
2015-11-03,0,0,1
2015-11-04,12,0,0
2015-11-05,0,0,3
2015-11-06,4,0,3
2015-11-07,0,0,0
2015-11-08,0,0,1
2015-11-09,1,1,0
2015-11-10,2,0,0
2015-11-11,0,0,0
2015-11-12,1,10,0
2015-11-13,2,0,0
2015-11-14,0,2,0
2015-11-15,0,1,0
2015-11-16,2,0,2
2015-11-17,2,0,0
2015-11-18,0,0,0
2015-11-19,2,8,0
2015-11-20,1,0,1
2015-11-21,0,0,0
2015-11-22,0,5,0
2015-11-23,0,2,0
2015-11-24,0,0,0
2015-11-25,0,0,0
2015-11-26,0,1,0
2015-11-27,0,0,0
2015-11-28,0,0,0
2015-11-29,0,0,0
2015-11-30,3,0,0
2015-12-01,1,0,0
2015-12-02,0,0,0
2015-12-03,1,0,0
2015-12-04,3,0,0
2015-12-05,0,0,0
2015-12-06,0,0,0
2015-12-07,3,1,0
2015-12-08,2,0,0
2015-12-09,4,4,1
2015-12-10,1,2,0
2015-12-11,5,0,3
2015-12-12,0,0,1
2015-12-13,0,0,0
2015-12-14,12,0,1
2015-12-15,6,0,0
2015-12-16,4,0,0
2015-12-17,3,0,2
2015-12-18,2,0,0
2015-12-19,0,1,0
2015-12-20,0,0,0
2015-12-21,4,2,0
2015-12-22,1,5,0
2015-12-23,1,7,0
2015-12-24,0,0,0
2015-12-25,0,0,2
2015-12-26,0,3,0
2015-12-27,0,0,0
2015-12-28,0,0,0
2015-12-29,3,1,0
2015-12-30,0,1,0
2015-12-31,0,0,0
2016-01-01,0,1,0
2016-01-02,0,0,0
2016-01-03,0,0,0
2016-01-04,3,0,0
2016-01-05,0,0,0
2016-01-06,3,0,0
2016-01-07,7,1,0
2016-01-08,2,0,0
2016-01-09,0,0,0
2016-01-10,0,0,0
2016-01-11,3,0,0
2016-01-12,1,0,0
2016-01-13,3,0,0
2016-01-14,4,0,2
2016-01-15,2,0,0
2016-01-16,0,0,3
2016-01-17,0,0,1
2016-01-18,0,1,1
2016-01-19,1,0,1
2016-01-20,1,0,0
2016-01-21,5,0,0
2016-01-22,2,0,0
2016-01-23,0,0,0
2016-01-24,0,0,0
2016-01-25,7,0,0
2016-01-26,3,0,2
2016-01-27,0,0,0
2016-01-28,4,0,0
2016-01-29,1,0,0
2016-01-30,0,0,0
2016-01-31,0,0,0
2016-02-01,6,0,4
2016-02-02,7,0,0
2016-02-03,4,0,0
2016-02-04,5,0,0
2016-02-05,1,0,0
2016-02-06,4,0,0
2016-02-07,4,0,0
2016-02-08,5,0,0
2016-02-09,3,0,0
2016-02-10,3,0,0
2016-02-11,6,0,0
2016-02-12,1,0,0
2016-02-13,0,0,0
2016-02-14,0,0,0
2016-02-15,0,0,0
2016-02-16,0,0,0
2016-02-17,10,0,0
2016-02-18,9,0,0
2016-02-19,10,0,0
2016-02-20,0,0,0
2016-02-21,0,0,0
2016-02-22,4,0,0
2016-02-23,7,0,0
2016-02-24,0,0,3
2016-02-25,3,0,6
2016-02-26,3,0,6
2016-02-27,0,0,0
2016-02-28,0,0,0
2016-02-29,3,0,0
2016-03-01,4,0,2
2016-03-02,5,0,1
2016-03-03,5,0,0
2016-03-04,1,0,0
2016-03-05,3,0,0
2016-03-06,0,0,0
2016-03-07,3,0,0
2016-03-08,5,0,0
2016-03-09,1,0,1
2016-03-10,3,0,0
2016-03-11,1,0,0
2016-03-12,0,0,0
2016-03-13,0,0,1
2016-03-14,2,0,2
2016-03-15,2,0,0
2016-03-16,3,0,0
2016-03-17,1,0,0
2016-03-18,4,0,0
2016-03-19,3,0,0
2016-03-20,0,0,0
2016-03-21,2,0,0
2016-03-22,6,0,0
2016-03-23,2,0,0
2016-03-24,0,0,0
2016-03-25,0,0,0
2016-03-26,0,0,0
2016-03-27,0,0,0
2016-03-28,0,0,0
2016-03-29,2,0,0
2016-03-30,3,0,0
2016-03-31,1,0,0
2016-04-01,1,0,0
2016-04-02,0,0,0
2016-04-03,0,0,0
2016-04-04,2,0,0
2016-04-05,2,0,0
2016-04-06,2,6,0
2016-04-07,6,0,0
2016-04-08,0,0,0
2016-04-09,0,0,0
2016-04-10,0,0,1
2016-04-11,3,0,1
2016-04-12,0,3,0
2016-04-13,1,0,4
2016-04-14,1,8,0
2016-04-15,3,0,0
2016-04-16,0,0,0
2016-04-17,0,0,0
2016-04-18,1,0,0
2016-04-19,2,0,0
2016-04-20,7,0,3
2016-04-21,2,0,0
2016-04-22,1,0,1
2016-04-23,0,0,1
2016-04-24,0,0,9
2016-04-25,4,0,0
2016-04-26,4,5,0
2016-04-27,0,1,0
2016-04-28,0,5,0
2016-04-29,0,0,0
2016-04-30,0,0,0
2016-05-01,0,0,1
2016-05-02,1,0,0
2016-05-03,5,0,0
2016-05-04,2,0,0
2016-05-05,3,0,0
2016-05-06,0,4,0
2016-05-07,0,5,0
2016-05-08,0,0,3
2016-05-09,0,1,1
2016-05-10,0,0,2
2016-05-11,3,0,2
2016-05-12,0,0,2
2016-05-13,2,0,0
2016-05-14,0,0,0
2016-05-15,0,0,0
2016-05-16,1,0,0
2016-05-17,0,0,0
2016-05-18,0,0,0
2016-05-19,1,0,3
2016-05-20,1,1,2
2016-05-21,0,0,2
2016-05-22,0,0,6
2016-05-23,2,0,0
2016-05-24,0,0,3
2016-05-25,0,0,0
2016-05-26,3,0,2
2016-05-27,2,0,3
2016-05-28,0,0,2
2016-05-29,0,0,3
2016-05-30,0,0,2
2016-05-31,0,0,0
2016-06-01,0,0,0
2016-06-02,0,2,4
2016-06-03,1,0,5
2016-06-04,0,0,0
2016-06-05,0,0,7
2016-06-06,0,0,0
2016-06-07,0,6,2
2016-06-08,9,0,5
2016-06-09,0,0,0
2016-06-10,0,0,1
2016-06-11,0,0,0
2016-06-12,0,0,2
2016-06-13,1,0,0
2016-06-14,2,0,1
2016-06-15,0,0,1
2016-06-16,3,0,1
2016-06-17,7,0,0
2016-06-18,1,0,0
2016-06-19,0,0,0
2016-06-20,5,0,0
2016-06-21,6,0,0
2016-06-22,6,0,0
2016-06-23,5,0,0
2016-06-24,0,0,2
2016-06-25,0,0,0
2016-06-26,0,1,0
2016-06-27,12,0,0
2016-06-28,5,0,0
2016-06-29,0,2,0
2016-06-30,5,1,0
2016-07-01,0,0,0
2016-07-02,0,0,0
2016-07-03,0,0,0
2016-07-04,1,0,0
2016-07-05,0,0,2
2016-07-06,2,2,2
2016-07-07,1,0,0
2016-07-08,6,0,0
2016-07-09,6,0,0
2016-07-10,1,0,0
2016-07-11,7,0,0
2016-07-12,4,0,0
2016-07-13,3,0,0
2016-07-14,2,0,0
2016-07-15,8,0,0
2016-07-16,1,0,0
2016-07-17,0,0,1
2016-07-18,3,0,0
2016-07-19,3,0,0
2016-07-20,0,0,0
2016-07-21,0,2,0
2016-07-22,0,0,0
2016-07-23,1,0,0
2016-07-24,0,0,0
2016-07-25,4,0,0
