,microsoft/TypeScript,sindresorhus/type-fest,definitelytyped/definitelytyped
2022-02-16,4,0,7
2022-02-17,11,0,8
2022-02-18,7,0,8
2022-02-19,1,2,4
2022-02-20,2,0,4
2022-02-21,1,0,11
2022-02-22,2,0,12
2022-02-23,2,0,19
2022-02-24,1,0,15
2022-02-25,6,0,14
2022-02-26,0,0,2
2022-02-27,0,0,6
2022-02-28,4,0,11
2022-03-01,3,0,31
2022-03-02,4,0,23
2022-03-03,4,0,9
2022-03-04,8,0,12
2022-03-05,7,0,10
2022-03-06,0,0,1
2022-03-07,2,0,17
2022-03-08,2,0,9
2022-03-09,6,0,7
2022-03-10,1,0,15
2022-03-11,5,0,8
2022-03-12,2,0,8
2022-03-13,0,0,1
2022-03-14,4,0,17
2022-03-15,2,0,13
2022-03-16,7,1,17
2022-03-17,6,0,10
2022-03-18,0,0,10
2022-03-19,0,2,17
2022-03-20,1,0,4
2022-03-21,1,0,23
2022-03-22,7,0,6
2022-03-23,6,0,21
2022-03-24,4,0,13
2022-03-25,5,0,16
2022-03-26,1,0,6
2022-03-27,1,0,4
2022-03-28,4,0,11
2022-03-29,2,0,36
2022-03-30,8,2,19
2022-03-31,2,2,19
2022-04-01,5,0,6
2022-04-02,1,0,2
2022-04-03,1,0,1
2022-04-04,12,0,12
2022-04-05,13,0,10
2022-04-06,7,0,2
2022-04-07,7,0,11
2022-04-08,13,0,10
2022-04-09,2,1,15
2022-04-10,1,0,2
2022-04-11,6,0,13
2022-04-12,3,0,11
2022-04-13,3,0,21
2022-04-14,8,0,29
2022-04-15,3,0,7
2022-04-16,0,0,5
2022-04-17,0,0,4
2022-04-18,2,1,21
2022-04-19,3,0,17
2022-04-20,2,0,9
2022-04-21,5,0,24
2022-04-22,5,0,17
2022-04-23,0,0,4
2022-04-24,0,0,7
2022-04-25,4,0,15
2022-04-26,2,0,28
2022-04-27,7,0,11
2022-04-28,2,0,13
2022-04-29,4,0,2
2022-04-30,0,0,3
2022-05-01,2,0,2
2022-05-02,6,0,20
2022-05-03,3,0,12
2022-05-04,9,0,7
2022-05-05,8,0,9
2022-05-06,5,0,11
2022-05-07,3,0,3
2022-05-08,1,0,3
2022-05-09,13,0,12
2022-05-10,6,0,10
2022-05-11,5,0,10
2022-05-12,4,0,19
2022-05-13,5,1,7
2022-05-14,2,0,5
2022-05-15,1,0,8
2022-05-16,5,0,18
2022-05-17,2,0,15
2022-05-18,1,0,14
2022-05-19,4,0,12
2022-05-20,2,0,10
2022-05-21,0,0,6
2022-05-22,0,0,2
2022-05-23,2,0,11
2022-05-24,3,6,11
2022-05-25,3,0,13
2022-05-26,3,0,8
2022-05-27,5,1,10
2022-05-28,1,0,6
2022-05-29,2,0,3
2022-05-30,1,0,4
2022-05-31,8,0,11
2022-06-01,4,0,18
2022-06-02,5,0,4
2022-06-03,4,0,12
2022-06-04,1,0,9
2022-06-05,0,0,5
2022-06-06,6,0,11
2022-06-07,3,0,12
2022-06-08,6,0,13
2022-06-09,4,0,13
2022-06-10,6,0,8
2022-06-11,2,0,2
2022-06-12,1,0,3
2022-06-13,1,2,7
2022-06-14,6,0,13
2022-06-15,6,0,12
2022-06-16,4,0,9
2022-06-17,8,0,3
2022-06-18,1,0,3
2022-06-19,1,0,2
2022-06-20,3,0,8
2022-06-21,5,0,18
2022-06-22,2,0,10
2022-06-23,0,0,15
2022-06-24,3,2,3
2022-06-25,0,0,7
2022-06-26,1,0,6
2022-06-27,4,0,11
2022-06-28,3,0,10
2022-06-29,5,0,8
2022-06-30,3,4,23
2022-07-01,2,0,3
2022-07-02,1,2,1
2022-07-03,1,3,6
2022-07-04,1,0,11
2022-07-05,6,0,23
2022-07-06,14,0,14
2022-07-07,5,0,11
2022-07-08,1,0,12
2022-07-09,1,0,2
2022-07-10,0,0,2
2022-07-11,1,0,8
2022-07-12,2,0,11
2022-07-13,2,0,15
2022-07-14,5,0,22
2022-07-15,2,0,10
2022-07-16,2,0,3
2022-07-17,0,0,5
2022-07-18,4,0,10
2022-07-19,8,2,10
2022-07-20,4,2,20
2022-07-21,1,0,9
2022-07-22,3,0,8
2022-07-23,1,0,1
2022-07-24,2,1,4
2022-07-25,6,0,15
2022-07-26,4,0,9
2022-07-27,9,0,14
2022-07-28,3,0,9
2022-07-29,7,0,5
2022-07-30,2,3,4
2022-07-31,2,0,3
2022-08-01,5,0,12
2022-08-02,2,0,7
2022-08-03,8,0,8
2022-08-04,3,0,15
2022-08-05,3,0,17
2022-08-06,1,0,3
2022-08-07,2,0,6
2022-08-08,2,0,7
2022-08-09,12,0,3
2022-08-10,10,0,16
2022-08-11,4,0,4
2022-08-12,2,0,19
2022-08-13,1,0,5
2022-08-14,2,0,0
2022-08-15,7,0,23
2022-08-16,7,0,18
2022-08-17,3,1,22
2022-08-18,6,2,10
2022-08-19,6,0,14
2022-08-20,1,0,1
2022-08-21,2,0,3
2022-08-22,4,4,19
2022-08-23,5,0,15
2022-08-24,4,2,29
2022-08-25,6,0,6
2022-08-26,10,4,5
2022-08-27,3,0,6
2022-08-28,1,2,7
2022-08-29,3,7,44
2022-08-30,3,0,14
2022-08-31,5,1,13
2022-09-01,7,2,8
2022-09-02,5,0,5
2022-09-03,1,1,1
2022-09-04,0,0,2
2022-09-05,0,2,2
2022-09-06,5,0,8
2022-09-07,3,0,16
2022-09-08,4,0,8
2022-09-09,3,0,12
2022-09-10,1,0,5
2022-09-11,0,0,9
2022-09-12,8,0,20
2022-09-13,4,0,26
2022-09-14,3,0,8
2022-09-15,6,1,27
2022-09-16,8,0,9
2022-09-17,2,0,5
2022-09-18,1,0,4
2022-09-19,6,0,4
2022-09-20,9,0,6
2022-09-21,8,3,7
2022-09-22,6,0,3
2022-09-23,5,0,7
2022-09-24,1,1,22
2022-09-25,1,0,5
2022-09-26,5,1,16
2022-09-27,2,0,9
2022-09-28,5,0,10
2022-09-29,6,1,11
2022-09-30,3,0,11
2022-10-01,1,0,4
2022-10-02,0,0,7
2022-10-03,4,0,7
2022-10-04,5,0,14
2022-10-05,3,0,22
2022-10-06,2,0,13
2022-10-07,5,0,4
2022-10-08,1,0,3
2022-10-09,0,2,1
2022-10-10,3,1,7
2022-10-11,2,0,12
2022-10-12,1,1,12
2022-10-13,8,1,7
2022-10-14,3,1,16
2022-10-15,1,0,10
2022-10-16,2,0,7
2022-10-17,3,1,5
2022-10-18,5,0,11
2022-10-19,6,5,21
2022-10-20,3,2,16
2022-10-21,5,1,6
2022-10-22,2,0,6
2022-10-23,1,0,3
2022-10-24,2,0,12
2022-10-25,4,1,15
2022-10-26,4,0,21
2022-10-27,2,0,12
2022-10-28,5,0,13
2022-10-29,1,0,7
2022-10-30,1,0,3
2022-10-31,5,0,18
2022-11-01,2,0,19
2022-11-02,7,0,24
2022-11-03,3,0,8
2022-11-04,1,1,29
2022-11-05,2,5,3
2022-11-06,1,0,5
2022-11-07,44,0,32
2022-11-08,8,0,23
2022-11-09,7,0,6
2022-11-10,3,0,1
2022-11-11,5,0,11
2022-11-12,1,0,1
2022-11-13,0,0,7
2022-11-14,1,0,30
2022-11-15,8,0,15
2022-11-16,3,0,13
2022-11-17,4,0,10
2022-11-18,3,0,5
2022-11-19,1,0,2
2022-11-20,2,0,4
2022-11-21,1,0,11
2022-11-22,2,0,10
2022-11-23,1,0,5
2022-11-24,1,0,4
2022-11-25,0,0,6
2022-11-26,0,1,6
2022-11-27,0,0,3
2022-11-28,3,4,7
2022-11-29,6,0,3
2022-11-30,4,0,9
2022-12-01,3,0,7
2022-12-02,3,0,6
2022-12-03,1,0,7
2022-12-04,1,0,3
2022-12-05,7,0,21
2022-12-06,10,0,15
2022-12-07,9,0,8
2022-12-08,4,3,9
2022-12-09,12,0,8
2022-12-10,1,0,4
2022-12-11,1,0,9
2022-12-12,6,0,7
2022-12-13,9,2,8
2022-12-14,2,0,10
2022-12-15,6,0,4
2022-12-16,6,0,9
2022-12-17,2,0,4
2022-12-18,1,0,4
2022-12-19,3,0,11
2022-12-20,7,0,5
2022-12-21,1,0,5
2022-12-22,1,0,6
2022-12-23,0,0,8
2022-12-24,0,0,2
2022-12-25,0,7,1
2022-12-26,0,0,5
2022-12-27,1,0,17
2022-12-28,2,0,7
2022-12-29,0,0,12
2022-12-30,4,0,5
2022-12-31,1,0,6
2023-01-01,0,0,4
2023-01-02,1,0,3
2023-01-03,3,0,5
2023-01-04,1,2,8
2023-01-05,5,0,2
2023-01-06,6,0,3
2023-01-07,2,0,4
2023-01-08,1,0,3
2023-01-09,8,0,5
2023-01-10,9,0,9
2023-01-11,7,0,10
2023-01-12,4,0,10
2023-01-13,8,2,5
2023-01-14,1,0,2
2023-01-15,1,2,1
2023-01-16,1,0,17
2023-01-17,7,0,4
2023-01-18,4,0,24
2023-01-19,8,0,5
2023-01-20,19,2,6
2023-01-21,5,0,2
2023-01-22,1,0,2
2023-01-23,5,0,15
2023-01-24,3,0,16
2023-01-25,7,0,16
2023-01-26,2,0,8
2023-01-27,6,0,7
2023-01-28,1,0,3
2023-01-29,1,0,4
2023-01-30,3,2,11
2023-01-31,5,0,8
2023-02-01,11,0,6
2023-02-02,11,0,10
2023-02-03,7,0,18
2023-02-04,2,2,12
2023-02-05,1,0,1
2023-02-06,8,0,7
2023-02-07,4,2,10
2023-02-08,2,0,5
2023-02-09,8,2,6
2023-02-10,4,0,9
2023-02-11,1,0,3
2023-02-12,0,0,2
2023-02-13,5,0,13
2023-02-14,10,0,32
2023-02-15,4,0,28
2023-02-16,10,0,10
2023-02-17,5,3,10
2023-02-18,5,0,6
2023-02-19,0,0,5
2023-02-20,1,0,6
2023-02-21,8,0,9
2023-02-22,7,0,9
2023-02-23,4,0,13
2023-02-24,3,0,10
2023-02-25,0,0,5
2023-02-26,1,2,7
2023-02-27,5,0,5
2023-02-28,6,0,12
2023-03-01,19,0,6
2023-03-02,4,0,14
2023-03-03,5,0,7
2023-03-04,2,0,7
2023-03-05,0,0,1
2023-03-06,5,0,10
2023-03-07,20,0,6
2023-03-08,9,0,13
2023-03-09,6,0,6
2023-03-10,5,1,6
2023-03-11,1,1,4
2023-03-12,1,0,6
