,vercel/next.js,gatsbyjs/gatsby,phenomic/phenomic
2017-03-15,10,4,0
2017-03-16,1,3,0
2017-03-17,0,2,0
2017-03-18,2,2,0
2017-03-19,1,0,0
2017-03-20,0,4,0
2017-03-21,1,17,0
2017-03-22,1,0,0
2017-03-23,1,3,0
2017-03-24,3,3,0
2017-03-25,2,1,0
2017-03-26,4,0,0
2017-03-27,4,7,0
2017-03-28,5,4,0
2017-03-29,5,4,0
2017-03-30,5,1,2
2017-03-31,2,0,19
2017-04-01,3,0,5
2017-04-02,1,0,1
2017-04-03,5,5,0
2017-04-04,3,1,1
2017-04-05,6,0,0
2017-04-06,12,1,1
2017-04-07,7,1,0
2017-04-08,0,0,0
2017-04-09,0,0,0
2017-04-10,2,7,1
2017-04-11,7,7,0
2017-04-12,2,3,0
2017-04-13,3,1,0
2017-04-14,1,5,0
2017-04-15,0,1,0
2017-04-16,0,0,0
2017-04-17,3,7,0
2017-04-18,7,2,3
2017-04-19,2,9,3
2017-04-20,0,2,0
2017-04-21,0,3,0
2017-04-22,12,4,0
2017-04-23,2,1,0
2017-04-24,1,10,0
2017-04-25,1,2,0
2017-04-26,2,3,0
2017-04-27,9,16,0
2017-04-28,1,6,0
2017-04-29,0,12,0
2017-04-30,5,6,0
2017-05-01,1,8,0
2017-05-02,2,16,2
2017-05-03,5,10,0
2017-05-04,6,8,0
2017-05-05,0,4,0
2017-05-06,5,9,0
2017-05-07,4,0,0
2017-05-08,4,4,0
2017-05-09,11,4,0
2017-05-10,5,2,0
2017-05-11,8,10,82
2017-05-12,1,5,11
2017-05-13,2,0,0
2017-05-14,3,0,0
2017-05-15,19,6,8
2017-05-16,11,17,13
2017-05-17,3,11,0
2017-05-18,4,2,0
2017-05-19,2,7,3
2017-05-20,2,5,0
2017-05-21,3,0,0
2017-05-22,3,8,1
2017-05-23,1,10,2
2017-05-24,0,0,0
2017-05-25,5,3,24
2017-05-26,0,8,17
2017-05-27,8,2,4
2017-05-28,0,1,0
2017-05-29,1,2,0
2017-05-30,2,8,1
2017-05-31,6,6,0
2017-06-01,5,4,25
2017-06-02,5,18,19
2017-06-03,1,12,13
2017-06-04,0,0,2
2017-06-05,8,6,5
2017-06-06,10,6,1
2017-06-07,5,8,1
2017-06-08,5,4,17
2017-06-09,6,0,7
2017-06-10,0,4,8
2017-06-11,1,1,2
2017-06-12,3,1,5
2017-06-13,3,13,0
2017-06-14,1,5,0
2017-06-15,2,15,1
2017-06-16,8,16,0
2017-06-17,0,2,0
2017-06-18,0,2,0
2017-06-19,2,5,0
2017-06-20,3,10,0
2017-06-21,3,14,0
2017-06-22,3,9,0
2017-06-23,8,11,0
2017-06-24,0,4,0
2017-06-25,1,0,0
2017-06-26,5,4,0
2017-06-27,2,10,0
2017-06-28,12,9,0
2017-06-29,7,9,0
2017-06-30,4,12,0
2017-07-01,9,16,0
2017-07-02,7,15,0
2017-07-03,5,4,0
2017-07-04,0,13,0
2017-07-05,2,2,0
2017-07-06,5,27,5
2017-07-07,3,7,0
2017-07-08,10,14,4
2017-07-09,16,12,0
2017-07-10,1,7,1
2017-07-11,1,7,5
2017-07-12,2,9,5
2017-07-13,3,12,0
2017-07-14,2,2,0
2017-07-15,4,0,0
2017-07-16,3,3,0
2017-07-17,5,0,0
2017-07-18,4,5,0
2017-07-19,0,25,0
2017-07-20,6,8,0
2017-07-21,1,0,0
2017-07-22,1,0,0
2017-07-23,2,0,0
2017-07-24,9,1,0
2017-07-25,2,14,0
2017-07-26,4,12,0
2017-07-27,2,17,0
2017-07-28,6,4,0
2017-07-29,1,0,0
2017-07-30,2,0,0
2017-07-31,1,0,0
2017-08-01,1,18,0
2017-08-02,0,19,0
2017-08-03,1,5,0
2017-08-04,0,4,0
2017-08-05,0,10,0
2017-08-06,1,0,0
2017-08-07,3,4,0
2017-08-08,1,10,0
2017-08-09,8,7,30
2017-08-10,3,14,7
2017-08-11,0,12,0
2017-08-12,1,0,0
2017-08-13,3,0,0
2017-08-14,1,20,3
2017-08-15,1,10,0
2017-08-16,6,5,0
2017-08-17,1,5,1
2017-08-18,2,7,2
2017-08-19,2,7,0
2017-08-20,0,3,0
2017-08-21,1,1,0
2017-08-22,0,7,0
2017-08-23,1,16,0
2017-08-24,3,15,0
2017-08-25,0,10,0
2017-08-26,0,0,0
2017-08-27,2,0,0
2017-08-28,2,25,0
2017-08-29,0,16,1
2017-08-30,6,10,0
2017-08-31,3,20,0
2017-09-01,3,10,0
2017-09-02,0,9,0
2017-09-03,0,5,0
2017-09-04,1,8,32
2017-09-05,2,5,5
2017-09-06,0,0,1
2017-09-07,0,3,2
2017-09-08,7,2,2
2017-09-09,1,14,0
2017-09-10,1,7,0
2017-09-11,0,5,7
2017-09-12,2,6,0
2017-09-13,0,3,0
2017-09-14,1,10,1
2017-09-15,0,10,14
2017-09-16,0,10,9
2017-09-17,1,0,0
2017-09-18,0,18,0
2017-09-19,1,6,1
2017-09-20,0,21,0
2017-09-21,0,6,0
2017-09-22,0,10,1
2017-09-23,1,3,0
2017-09-24,0,0,0
2017-09-25,0,14,0
2017-09-26,1,20,11
2017-09-27,9,0,3
2017-09-28,4,15,5
2017-09-29,0,10,0
2017-09-30,2,4,2
2017-10-01,0,4,0
2017-10-02,1,10,0
2017-10-03,2,4,3
2017-10-04,2,3,0
2017-10-05,4,11,5
2017-10-06,2,2,1
2017-10-07,3,21,0
2017-10-08,3,5,0
2017-10-09,8,8,1
2017-10-10,2,9,0
2017-10-11,4,2,4
2017-10-12,0,25,2
2017-10-13,2,15,0
2017-10-14,4,5,0
2017-10-15,5,8,0
2017-10-16,6,13,7
2017-10-17,3,15,1
2017-10-18,0,18,0
2017-10-19,6,10,3
2017-10-20,3,18,0
2017-10-21,3,1,0
2017-10-22,3,2,0
2017-10-23,7,5,0
2017-10-24,0,16,2
2017-10-25,0,20,0
2017-10-26,1,18,0
2017-10-27,1,11,0
2017-10-28,17,2,0
2017-10-29,0,0,0
2017-10-30,4,10,0
2017-10-31,3,20,0
2017-11-01,1,27,1
2017-11-02,1,18,0
2017-11-03,0,11,0
2017-11-04,6,10,0
2017-11-05,6,0,0
2017-11-06,3,9,0
2017-11-07,0,14,0
2017-11-08,1,3,0
2017-11-09,1,27,0
2017-11-10,0,11,10
2017-11-11,1,1,0
2017-11-12,0,0,0
2017-11-13,6,20,0
2017-11-14,0,7,2
2017-11-15,5,5,0
2017-11-16,4,5,0
2017-11-17,1,7,0
2017-11-18,0,2,0
2017-11-19,0,2,0
2017-11-20,1,7,0
2017-11-21,0,5,0
2017-11-22,0,0,0
2017-11-23,8,0,0
2017-11-24,0,1,0
2017-11-25,1,0,1
2017-11-26,0,0,0
2017-11-27,0,19,0
2017-11-28,2,28,13
2017-11-29,0,8,0
2017-11-30,0,5,0
2017-12-01,0,0,0
2017-12-02,7,0,1
2017-12-03,5,14,0
2017-12-04,6,2,4
2017-12-05,5,1,1
2017-12-06,2,10,4
2017-12-07,4,0,1
2017-12-08,7,0,0
2017-12-09,2,4,0
2017-12-10,1,7,0
2017-12-11,1,0,0
2017-12-12,0,5,0
2017-12-13,3,23,0
2017-12-14,3,20,5
2017-12-15,0,9,4
2017-12-16,0,10,2
2017-12-17,0,7,6
2017-12-18,3,6,1
2017-12-19,2,9,0
2017-12-20,0,7,6
2017-12-21,0,13,3
2017-12-22,1,8,0
2017-12-23,0,4,0
2017-12-24,1,0,3
2017-12-25,0,2,0
2017-12-26,1,0,0
2017-12-27,3,2,0
2017-12-28,2,1,1
2017-12-29,1,2,0
2017-12-30,0,1,0
2017-12-31,0,1,0
2018-01-01,1,3,0
2018-01-02,0,11,0
2018-01-03,2,3,0
2018-01-04,0,0,0
2018-01-05,0,0,0
2018-01-06,1,0,0
2018-01-07,0,0,0
2018-01-08,1,10,0
2018-01-09,0,1,0
2018-01-10,0,28,4
2018-01-11,0,17,8
2018-01-12,1,17,0
2018-01-13,11,8,0
2018-01-14,0,5,0
2018-01-15,1,9,0
2018-01-16,0,13,0
2018-01-17,0,1,0
2018-01-18,0,17,0
2018-01-19,0,21,0
2018-01-20,0,14,0
2018-01-21,0,8,0
2018-01-22,0,16,0
2018-01-23,0,16,6
2018-01-24,0,3,2
2018-01-25,1,15,0
2018-01-26,2,22,0
2018-01-27,1,12,0
2018-01-28,0,4,0
2018-01-29,0,15,0
2018-01-30,4,17,0
2018-01-31,15,2,0
2018-02-01,7,12,0
2018-02-02,5,11,0
2018-02-03,4,3,0
2018-02-04,5,1,0
2018-02-05,11,7,0
2018-02-06,8,24,0
2018-02-07,5,16,0
2018-02-08,3,17,0
2018-02-09,10,26,0
2018-02-10,0,13,0
2018-02-11,3,0,0
2018-02-12,2,8,0
2018-02-13,6,16,0
2018-02-14,9,8,0
2018-02-15,2,15,0
2018-02-16,9,25,0
2018-02-17,2,16,0
2018-02-18,4,0,0
2018-02-19,5,8,0
2018-02-20,1,13,0
2018-02-21,3,12,0
2018-02-22,2,15,0
2018-02-23,1,14,0
2018-02-24,3,11,0
2018-02-25,5,5,0
2018-02-26,4,12,8
2018-02-27,3,21,5
2018-02-28,5,19,1
2018-03-01,0,12,0
2018-03-02,0,15,0
2018-03-03,1,4,0
2018-03-04,1,6,0
2018-03-05,3,15,0
2018-03-06,7,16,7
2018-03-07,6,26,0
2018-03-08,5,20,4
2018-03-09,3,3,0
2018-03-10,1,0,0
2018-03-11,1,4,0
2018-03-12,3,4,2
2018-03-13,1,20,4
2018-03-14,2,13,0
2018-03-15,2,11,4
2018-03-16,3,26,1
2018-03-17,1,8,0
2018-03-18,0,13,2
2018-03-19,0,11,0
2018-03-20,0,10,0
2018-03-21,2,17,0
2018-03-22,0,8,0
2018-03-23,6,10,0
2018-03-24,0,5,0
2018-03-25,2,2,0
2018-03-26,2,16,0
2018-03-27,1,9,0
2018-03-28,2,6,0
2018-03-29,6,7,6
2018-03-30,6,5,3
2018-03-31,15,1,1
2018-04-01,0,6,7
2018-04-02,1,13,1
2018-04-03,8,16,1
2018-04-04,1,16,2
2018-04-05,1,7,3
2018-04-06,0,14,3
2018-04-07,1,14,2
2018-04-08,0,4,0
2018-04-09,1,4,10
2018-04-10,0,9,1
2018-04-11,0,16,13
2018-04-12,4,11,9
2018-04-13,2,7,0
2018-04-14,2,17,0
2018-04-15,0,4,0
2018-04-16,0,12,1
2018-04-17,0,21,2
2018-04-18,7,13,0
2018-04-19,0,4,0
2018-04-20,0,8,0
2018-04-21,0,2,0
2018-04-22,5,17,0
2018-04-23,6,13,0
2018-04-24,2,25,0
2018-04-25,2,14,0
2018-04-26,3,10,0
2018-04-27,2,20,0
2018-04-28,0,3,1
2018-04-29,3,1,0
2018-04-30,0,11,1
2018-05-01,2,17,0
2018-05-02,2,17,9
2018-05-03,0,22,2
2018-05-04,0,20,4
2018-05-05,8,11,10
2018-05-06,5,2,1
2018-05-07,3,7,0
2018-05-08,4,10,2
2018-05-09,3,14,4
2018-05-10,4,12,8
2018-05-11,4,15,7
2018-05-12,5,0,0
2018-05-13,10,3,0
2018-05-14,5,8,5
2018-05-15,4,21,1
2018-05-16,14,11,0
2018-05-17,2,7,0
2018-05-18,2,9,0
2018-05-19,1,2,0
2018-05-20,0,0,0
2018-05-21,5,4,0
2018-05-22,0,4,2
2018-05-23,7,2,0
2018-05-24,2,6,0
2018-05-25,14,4,1
2018-05-26,1,1,0
2018-05-27,1,3,0
2018-05-28,0,6,0
2018-05-29,4,3,0
2018-05-30,0,7,0
2018-05-31,3,44,3
2018-06-01,3,17,3
2018-06-02,0,4,3
2018-06-03,0,1,0
2018-06-04,3,23,0
2018-06-05,1,16,0
2018-06-06,2,21,1
2018-06-07,5,13,2
2018-06-08,3,16,0
2018-06-09,1,0,0
2018-06-10,1,0,0
2018-06-11,1,7,1
2018-06-12,1,22,0
2018-06-13,6,6,3
2018-06-14,6,21,1
2018-06-15,3,17,0
2018-06-16,4,27,0
2018-06-17,1,23,0
2018-06-18,2,5,0
2018-06-19,2,15,0
2018-06-20,0,11,0
2018-06-21,0,105,0
2018-06-22,4,8,0
2018-06-23,2,5,0
2018-06-24,1,4,0
2018-06-25,3,18,0
2018-06-26,0,6,0
2018-06-27,2,14,0
2018-06-28,8,15,0
2018-06-29,5,3,0
2018-06-30,2,0,0
2018-07-01,0,3,0
2018-07-02,1,9,0
2018-07-03,0,15,0
2018-07-04,1,4,0
2018-07-05,2,2,0
2018-07-06,3,23,0
2018-07-07,0,2,0
2018-07-08,0,0,0
2018-07-09,1,13,0
2018-07-10,1,11,0
2018-07-11,4,22,0
2018-07-12,1,22,0
2018-07-13,3,17,0
2018-07-14,0,2,0
2018-07-15,1,5,0
2018-07-16,0,11,0
2018-07-17,1,23,0
2018-07-18,2,18,0
2018-07-19,2,20,0
2018-07-20,0,34,0
2018-07-21,4,3,0
2018-07-22,1,0,0
2018-07-23,1,11,0
2018-07-24,3,13,0
2018-07-25,3,15,0
2018-07-26,2,10,0
2018-07-27,4,14,0
2018-07-28,0,7,0
2018-07-29,0,3,0
2018-07-30,2,13,0
2018-07-31,2,25,0
2018-08-01,2,16,0
2018-08-02,0,17,0
2018-08-03,0,21,0
2018-08-04,3,4,1
2018-08-05,3,0,0
2018-08-06,0,33,0
2018-08-07,9,42,0
2018-08-08,3,23,0
2018-08-09,3,32,0
2018-08-10,2,22,0
2018-08-11,1,5,0
2018-08-12,2,0,0
2018-08-13,8,19,0
2018-08-14,1,19,0
2018-08-15,4,29,0
2018-08-16,0,32,0
2018-08-17,3,10,0
2018-08-18,0,1,0
2018-08-19,1,0,0
2018-08-20,4,19,0
2018-08-21,0,11,0
2018-08-22,3,3,0
2018-08-23,4,3,0
2018-08-24,8,2,0
2018-08-25,4,0,0
2018-08-26,0,1,0
2018-08-27,2,6,0
2018-08-28,4,17,0
2018-08-29,1,20,0
2018-08-30,8,7,0
2018-08-31,3,18,0
2018-09-01,1,4,0
2018-09-02,10,0,0
2018-09-03,8,23,0
2018-09-04,13,15,0
2018-09-05,7,23,0
2018-09-06,2,13,0
2018-09-07,6,20,0
2018-09-08,1,9,0
2018-09-09,2,1,0
2018-09-10,1,25,0
2018-09-11,2,19,0
2018-09-12,7,16,0
2018-09-13,0,20,0
2018-09-14,4,15,0
2018-09-15,0,0,0
2018-09-16,8,0,0
2018-09-17,5,54,0
2018-09-18,1,38,0
2018-09-19,3,42,0
2018-09-20,7,25,0
2018-09-21,1,10,0
2018-09-22,5,1,0
2018-09-23,6,16,0
2018-09-24,1,23,0
2018-09-25,6,16,0
2018-09-26,2,10,0
2018-09-27,9,19,0
2018-09-28,8,18,0
2018-09-29,10,2,0
2018-09-30,3,7,0
2018-10-01,8,25,0
2018-10-02,20,25,0
2018-10-03,2,19,0
2018-10-04,0,18,0
2018-10-05,3,22,0
2018-10-06,4,1,0
2018-10-07,4,4,0
2018-10-08,2,22,0
2018-10-09,4,39,0
2018-10-10,5,18,0
2018-10-11,4,14,0
2018-10-12,3,13,0
2018-10-13,0,4,0
2018-10-14,1,5,0
2018-10-15,3,28,0
2018-10-16,1,25,0
2018-10-17,1,6,1
2018-10-18,2,13,1
2018-10-19,1,18,7
2018-10-20,12,2,0
2018-10-21,0,2,0
2018-10-22,3,20,0
2018-10-23,1,19,0
2018-10-24,0,17,2
2018-10-25,1,15,0
2018-10-26,2,20,0
2018-10-27,0,9,7
2018-10-28,4,4,0
2018-10-29,1,18,0
2018-10-30,1,22,0
2018-10-31,0,13,0
2018-11-01,2,19,0
2018-11-02,6,17,0
2018-11-03,7,3,0
2018-11-04,15,12,0
2018-11-05,5,11,0
2018-11-06,1,21,0
2018-11-07,9,14,0
2018-11-08,2,15,0
2018-11-09,3,17,0
2018-11-10,1,4,0
2018-11-11,2,5,0
2018-11-12,1,15,0
2018-11-13,6,8,0
2018-11-14,1,8,0
2018-11-15,2,13,0
2018-11-16,0,21,0
2018-11-17,1,5,0
2018-11-18,6,2,0
2018-11-19,1,8,0
2018-11-20,5,11,0
2018-11-21,5,16,0
2018-11-22,3,8,0
2018-11-23,1,0,0
2018-11-24,2,0,0
2018-11-25,5,0,0
2018-11-26,1,14,7
2018-11-27,4,17,0
2018-11-28,7,11,0
2018-11-29,5,9,0
2018-11-30,4,6,0
2018-12-01,1,8,0
2018-12-02,2,4,0
2018-12-03,9,10,0
2018-12-04,11,17,0
2018-12-05,9,14,9
2018-12-06,7,11,22
2018-12-07,2,15,0
2018-12-08,1,3,8
2018-12-09,1,0,7
2018-12-10,13,6,0
2018-12-11,5,11,0
2018-12-12,4,14,0
2018-12-13,7,8,2
2018-12-14,4,1,0
2018-12-15,3,1,0
2018-12-16,7,2,0
2018-12-17,7,22,0
2018-12-18,2,23,1
2018-12-19,0,12,0
2018-12-20,0,15,2
2018-12-21,2,13,0
2018-12-22,0,1,0
2018-12-23,4,2,0
2018-12-24,1,4,0
2018-12-25,0,3,0
2018-12-26,4,4,0
2018-12-27,1,22,0
2018-12-28,2,12,0
2018-12-29,0,5,0
2018-12-30,0,2,0
2018-12-31,5,17,0
2019-01-01,2,14,0
2019-01-02,9,16,0
2019-01-03,1,13,0
2019-01-04,1,19,0
2019-01-05,3,2,0
2019-01-06,4,4,0
2019-01-07,0,8,2
2019-01-08,3,26,0
2019-01-09,1,14,0
2019-01-10,5,13,0
2019-01-11,11,11,0
2019-01-12,1,3,0
2019-01-13,1,0,0
2019-01-14,5,8,0
2019-01-15,1,12,0
2019-01-16,3,7,0
2019-01-17,4,6,0
2019-01-18,6,4,6
2019-01-19,4,0,0
2019-01-20,2,0,0
2019-01-21,6,8,0
2019-01-22,2,4,0
2019-01-23,2,13,0
2019-01-24,6,35,0
2019-01-25,6,24,0
2019-01-26,7,0,0
2019-01-27,4,0,0
2019-01-28,1,38,0
2019-01-29,4,35,2
2019-01-30,1,13,0
2019-01-31,3,24,0
2019-02-01,2,23,0
2019-02-02,0,4,0
2019-02-03,5,1,1
2019-02-04,1,13,1
2019-02-05,0,19,0
2019-02-06,0,12,0
2019-02-07,1,15,0
2019-02-08,3,19,0
2019-02-09,0,4,0
2019-02-10,12,2,0
2019-02-11,16,4,0
2019-02-12,3,27,0
2019-02-13,7,10,0
2019-02-14,5,9,1
2019-02-15,2,18,0
2019-02-16,4,3,0
2019-02-17,8,2,0
2019-02-18,3,15,0
2019-02-19,6,25,0
2019-02-20,15,29,0
2019-02-21,8,13,0
2019-02-22,14,24,0
2019-02-23,3,0,0
2019-02-24,2,4,0
2019-02-25,6,21,0
2019-02-26,6,19,0
2019-02-27,10,18,0
2019-02-28,9,23,0
2019-03-01,9,12,0
2019-03-02,4,4,0
2019-03-03,3,5,0
2019-03-04,1,28,1
2019-03-05,7,34,0
2019-03-06,3,5,0
2019-03-07,11,13,0
2019-03-08,7,17,0
2019-03-09,1,3,0
2019-03-10,6,3,0
2019-03-11,9,45,0
2019-03-12,11,20,0
2019-03-13,3,14,0
2019-03-14,4,16,0
2019-03-15,8,16,5
2019-03-16,6,8,0
2019-03-17,3,0,0
2019-03-18,7,19,0
2019-03-19,9,26,0
2019-03-20,12,14,0
2019-03-21,0,20,2
2019-03-22,3,18,0
2019-03-23,6,6,0
2019-03-24,4,0,5
2019-03-25,10,39,0
2019-03-26,5,25,0
2019-03-27,14,23,0
2019-03-28,3,8,0
2019-03-29,5,10,0
2019-03-30,8,3,0
2019-03-31,2,3,0
2019-04-01,4,13,0
2019-04-02,10,26,0
2019-04-03,20,19,0
2019-04-04,12,27,0
2019-04-05,16,12,0
2019-04-06,6,3,0
2019-04-07,9,4,0
2019-04-08,7,23,0
2019-04-09,19,20,0
2019-04-10,17,5,0
2019-04-11,12,20,0
2019-04-12,0,20,0
2019-04-13,6,11,0
2019-04-14,0,4,0
2019-04-15,8,16,0
2019-04-16,7,12,0
2019-04-17,6,13,0
2019-04-18,3,29,0
2019-04-19,4,18,0
2019-04-20,2,2,0
2019-04-21,7,7,0
2019-04-22,9,14,0
2019-04-23,8,21,0
2019-04-24,23,22,0
2019-04-25,13,20,0
2019-04-26,10,6,0
2019-04-27,0,12,0
2019-04-28,9,2,0
2019-04-29,1,20,0
2019-04-30,4,13,0
2019-05-01,9,14,0
2019-05-02,4,21,0
2019-05-03,4,14,0
2019-05-04,2,7,0
2019-05-05,4,3,0
2019-05-06,7,5,0
2019-05-07,4,7,0
2019-05-08,5,2,0
2019-05-09,6,10,0
2019-05-10,4,6,0
2019-05-11,5,0,0
2019-05-12,1,0,0
2019-05-13,2,8,0
2019-05-14,4,18,0
2019-05-15,4,15,0
2019-05-16,7,22,0
2019-05-17,7,28,0
2019-05-18,3,10,0
2019-05-19,2,0,0
2019-05-20,1,19,0
2019-05-21,1,14,0
2019-05-22,5,17,0
2019-05-23,10,14,0
2019-05-24,2,13,0
2019-05-25,0,2,0
2019-05-26,1,10,0
2019-05-27,9,16,0
2019-05-28,7,12,2
2019-05-29,6,22,5
2019-05-30,11,12,1
2019-05-31,4,25,0
2019-06-01,1,7,0
2019-06-02,2,7,0
2019-06-03,0,13,1
2019-06-04,3,9,0
2019-06-05,8,13,0
2019-06-06,8,15,0
2019-06-07,2,17,0
2019-06-08,2,3,0
2019-06-09,2,2,0
2019-06-10,12,26,0
2019-06-11,2,15,0
2019-06-12,0,22,0
2019-06-13,3,13,0
2019-06-14,2,18,0
2019-06-15,0,2,0
2019-06-16,0,0,0
2019-06-17,1,11,1
2019-06-18,5,22,0
2019-06-19,7,17,0
2019-06-20,2,14,0
2019-06-21,4,17,0
2019-06-22,1,4,0
2019-06-23,1,1,0
2019-06-24,9,33,0
2019-06-25,5,24,0
2019-06-26,8,19,0
2019-06-27,4,230,0
2019-06-28,11,14,0
2019-06-29,4,6,0
2019-06-30,0,4,0
2019-07-01,9,22,0
2019-07-02,2,27,0
2019-07-03,11,31,0
2019-07-04,3,19,0
2019-07-05,7,16,0
2019-07-06,0,18,0
2019-07-07,2,3,0
2019-07-08,20,12,0
2019-07-09,15,15,0
2019-07-10,14,17,0
2019-07-11,9,21,0
2019-07-12,4,34,1
2019-07-13,1,4,0
2019-07-14,1,4,0
2019-07-15,11,32,0
2019-07-16,16,23,0
2019-07-17,5,25,0
2019-07-18,6,15,0
2019-07-19,3,16,0
2019-07-20,0,10,0
2019-07-21,0,0,0
2019-07-22,5,19,0
2019-07-23,1,38,0
2019-07-24,1,13,0
2019-07-25,16,9,0
2019-07-26,4,15,0
2019-07-27,6,2,0
2019-07-28,1,1,0
2019-07-29,11,29,0
2019-07-30,7,34,0
2019-07-31,5,6,0
2019-08-01,6,37,0
2019-08-02,1,19,0
2019-08-03,4,3,0
2019-08-04,2,6,0
2019-08-05,4,19,0
2019-08-06,5,22,0
2019-08-07,3,12,0
2019-08-08,6,29,0
2019-08-09,4,29,0
2019-08-10,1,4,0
2019-08-11,9,12,0
2019-08-12,13,21,0
2019-08-13,8,32,0
2019-08-14,11,17,0
2019-08-15,6,20,0
2019-08-16,6,13,0
2019-08-17,0,0,0
2019-08-18,5,0,0
2019-08-19,9,10,0
2019-08-20,16,26,0
2019-08-21,5,23,0
2019-08-22,6,7,0
2019-08-23,12,17,0
2019-08-24,5,11,0
2019-08-25,2,4,0
2019-08-26,2,7,0
2019-08-27,5,4,0
2019-08-28,2,19,0
2019-08-29,6,20,0
2019-08-30,3,19,0
2019-08-31,2,1,0
2019-09-01,1,27,0
2019-09-02,6,22,0
2019-09-03,6,20,0
2019-09-04,6,20,0
2019-09-05,5,13,0
2019-09-06,7,5,0
2019-09-07,3,7,0
2019-09-08,1,0,0
2019-09-09,3,32,0
2019-09-10,7,15,0
2019-09-11,9,8,0
