,gatsbyjs/gatsby,gohugoio/hugo,vercel/next.js
2021-06-25,5,1,7
2021-06-26,1,1,0
2021-06-27,0,5,0
2021-06-28,6,5,6
2021-06-29,8,7,5
2021-06-30,6,1,10
2021-07-01,10,4,13
2021-07-02,11,0,12
2021-07-03,0,1,0
2021-07-04,0,5,1
2021-07-05,6,9,2
2021-07-06,9,0,9
2021-07-07,2,2,10
2021-07-08,3,0,7
2021-07-09,6,0,7
2021-07-10,0,1,3
2021-07-11,0,0,2
2021-07-12,6,0,19
2021-07-13,7,0,5
2021-07-14,10,1,4
2021-07-15,10,6,8
2021-07-16,8,0,13
2021-07-17,1,0,0
2021-07-18,0,0,0
2021-07-19,7,1,9
2021-07-20,3,3,20
2021-07-21,3,10,5
2021-07-22,5,0,12
2021-07-23,7,0,11
2021-07-24,0,0,2
2021-07-25,0,1,9
2021-07-26,3,3,6
2021-07-27,3,3,10
2021-07-28,2,3,3
2021-07-29,3,2,7
2021-07-30,0,8,2
2021-07-31,1,0,1
2021-08-01,0,2,2
2021-08-02,3,3,9
2021-08-03,5,17,11
2021-08-04,9,1,6
2021-08-05,6,0,9
2021-08-06,9,0,7
2021-08-07,2,0,0
2021-08-08,0,0,1
2021-08-09,12,1,8
2021-08-10,4,2,7
2021-08-11,7,0,17
2021-08-12,4,0,16
2021-08-13,7,0,15
2021-08-14,0,1,12
2021-08-15,0,0,5
2021-08-16,9,1,10
2021-08-17,2,0,8
2021-08-18,2,0,10
2021-08-19,5,1,9
2021-08-20,9,0,7
2021-08-21,0,2,0
2021-08-22,0,2,1
2021-08-23,6,2,6
2021-08-24,4,0,10
2021-08-25,3,1,12
2021-08-26,12,0,3
2021-08-27,7,0,2
2021-08-28,0,0,1
2021-08-29,0,0,1
2021-08-30,7,0,7
2021-08-31,4,3,9
2021-09-01,7,2,6
2021-09-02,7,6,16
2021-09-03,6,0,7
2021-09-04,0,5,1
2021-09-05,0,0,1
2021-09-06,7,0,13
2021-09-07,8,0,18
2021-09-08,14,0,6
2021-09-09,9,0,8
2021-09-10,11,0,4
2021-09-11,4,0,3
2021-09-12,1,1,1
2021-09-13,9,0,14
2021-09-14,9,0,5
2021-09-15,13,0,11
2021-09-16,0,0,18
2021-09-17,6,2,13
2021-09-18,0,0,2
2021-09-19,1,1,2
2021-09-20,6,0,7
2021-09-21,4,0,19
2021-09-22,8,2,9
2021-09-23,2,1,4
2021-09-24,3,0,6
2021-09-25,0,0,0
2021-09-26,0,0,2
2021-09-27,5,0,6
2021-09-28,1,0,10
2021-09-29,2,0,10
2021-09-30,3,0,9
2021-10-01,4,0,8
2021-10-02,0,0,1
2021-10-03,1,0,2
2021-10-04,10,0,6
2021-10-05,5,2,16
2021-10-06,1,0,14
2021-10-07,2,0,5
2021-10-08,4,0,6
2021-10-09,0,2,6
2021-10-10,0,3,10
2021-10-11,11,0,21
2021-10-12,9,1,6
2021-10-13,19,0,17
2021-10-14,9,1,9
2021-10-15,1,0,16
2021-10-16,0,1,5
2021-10-17,0,2,7
2021-10-18,12,3,17
2021-10-19,7,4,11
2021-10-20,3,1,16
2021-10-21,9,0,17
2021-10-22,9,2,16
2021-10-23,0,0,7
2021-10-24,0,0,13
2021-10-25,16,3,21
2021-10-26,3,1,41
2021-10-27,5,0,26
2021-10-28,3,0,27
2021-10-29,14,0,14
2021-10-30,2,2,13
2021-10-31,0,4,3
2021-11-01,3,4,14
2021-11-02,13,5,18
2021-11-03,4,1,24
2021-11-04,4,1,14
2021-11-05,2,5,10
2021-11-06,0,0,6
2021-11-07,0,0,2
2021-11-08,10,6,18
2021-11-09,8,0,23
2021-11-10,5,1,6
2021-11-11,5,0,24
2021-11-12,2,4,7
2021-11-13,1,1,5
2021-11-14,0,0,6
2021-11-15,6,6,22
2021-11-16,5,1,15
2021-11-17,6,5,12
2021-11-18,0,0,10
2021-11-19,2,0,10
2021-11-20,0,0,2
2021-11-21,0,1,10
2021-11-22,7,0,8
2021-11-23,7,0,5
2021-11-24,3,0,4
2021-11-25,3,0,8
2021-11-26,5,0,15
2021-11-27,1,0,0
2021-11-28,0,0,3
2021-11-29,5,0,10
2021-11-30,4,2,15
2021-12-01,2,1,8
2021-12-02,6,7,8
2021-12-03,6,3,16
2021-12-04,0,2,6
2021-12-05,0,0,5
2021-12-06,3,0,4
2021-12-07,2,4,13
2021-12-08,5,8,11
2021-12-09,6,1,7
2021-12-10,2,7,7
2021-12-11,0,2,2
2021-12-12,0,1,4
2021-12-13,0,3,11
2021-12-14,4,1,9
2021-12-15,2,0,6
2021-12-16,4,2,17
2021-12-17,7,10,10
2021-12-18,1,0,5
2021-12-19,2,0,2
2021-12-20,1,0,8
2021-12-21,1,0,10
2021-12-22,1,9,8
2021-12-23,0,8,5
2021-12-24,0,0,2
2021-12-25,0,0,1
2021-12-26,0,0,2
2021-12-27,0,0,0
2021-12-28,3,0,2
2021-12-29,1,0,2
2021-12-30,4,2,0
2021-12-31,1,0,1
2022-01-01,0,1,5
2022-01-02,0,0,3
2022-01-03,5,0,9
2022-01-04,4,7,8
2022-01-05,1,1,12
2022-01-06,6,1,7
2022-01-07,7,4,1
2022-01-08,0,1,1
2022-01-09,0,0,0
2022-01-10,2,0,7
2022-01-11,10,3,5
2022-01-12,4,9,14
2022-01-13,9,2,8
2022-01-14,6,0,11
2022-01-15,0,1,1
2022-01-16,0,4,2
2022-01-17,4,1,14
2022-01-18,6,0,3
2022-01-19,4,0,9
2022-01-20,6,0,5
2022-01-21,3,0,12
2022-01-22,0,0,1
2022-01-23,0,0,3
2022-01-24,1,0,12
2022-01-25,5,0,6
2022-01-26,2,1,17
2022-01-27,4,7,28
2022-01-28,11,1,9
2022-01-29,0,1,1
2022-01-30,0,0,2
2022-01-31,7,0,9
2022-02-01,3,1,17
2022-02-02,5,0,17
2022-02-03,3,0,10
2022-02-04,6,0,18
2022-02-05,0,1,14
2022-02-06,0,0,28
2022-02-07,9,0,14
2022-02-08,12,0,17
2022-02-09,4,10,10
2022-02-10,1,7,16
2022-02-11,1,4,15
2022-02-12,0,0,3
2022-02-13,1,0,6
2022-02-14,1,4,11
2022-02-15,5,6,14
2022-02-16,6,5,20
2022-02-17,4,4,23
2022-02-18,5,4,24
2022-02-19,0,2,4
2022-02-20,0,0,0
2022-02-21,5,2,14
2022-02-22,4,0,7
2022-02-23,6,7,7
2022-02-24,0,4,10
2022-02-25,3,1,17
2022-02-26,0,6,4
2022-02-27,0,6,0
2022-02-28,6,8,8
2022-03-01,15,1,10
2022-03-02,7,6,17
2022-03-03,5,0,4
2022-03-04,1,4,3
2022-03-05,0,0,2
2022-03-06,0,1,2
2022-03-07,5,0,10
2022-03-08,5,14,13
2022-03-09,3,5,7
2022-03-10,5,6,9
2022-03-11,5,7,14
2022-03-12,0,4,3
2022-03-13,0,0,2
2022-03-14,11,3,11
2022-03-15,3,1,9
2022-03-16,5,11,11
2022-03-17,4,3,12
2022-03-18,6,0,15
2022-03-19,0,0,2
2022-03-20,0,3,1
2022-03-21,7,2,12
2022-03-22,4,5,9
2022-03-23,6,1,7
2022-03-24,8,0,11
2022-03-25,0,2,6
2022-03-26,0,8,5
2022-03-27,0,0,3
2022-03-28,2,0,15
2022-03-29,4,0,4
2022-03-30,7,0,21
2022-03-31,2,0,28
2022-04-01,9,1,19
2022-04-02,0,0,0
2022-04-03,0,1,0
2022-04-04,2,0,16
2022-04-05,2,5,19
2022-04-06,4,0,21
2022-04-07,6,0,10
2022-04-08,4,7,11
2022-04-09,0,0,1
2022-04-10,0,1,0
2022-04-11,5,2,22
2022-04-12,2,1,15
2022-04-13,1,2,16
2022-04-14,3,5,13
2022-04-15,1,0,15
2022-04-16,0,5,9
2022-04-17,0,4,1
2022-04-18,0,5,3
2022-04-19,4,0,9
2022-04-20,2,0,6
2022-04-21,8,0,11
2022-04-22,3,0,10
2022-04-23,0,4,1
2022-04-24,0,0,2
2022-04-25,6,0,31
2022-04-26,6,1,16
2022-04-27,4,5,28
2022-04-28,5,7,23
2022-04-29,5,0,9
2022-04-30,1,0,5
2022-05-01,0,0,3
2022-05-02,0,0,12
2022-05-03,8,1,11
2022-05-04,2,0,3
2022-05-05,9,0,9
2022-05-06,2,2,2
2022-05-07,0,0,4
2022-05-08,0,6,2
2022-05-09,1,2,4
2022-05-10,3,0,7
2022-05-11,4,1,7
2022-05-12,3,0,10
2022-05-13,1,2,11
2022-05-14,0,4,3
2022-05-15,0,3,1
2022-05-16,8,4,5
2022-05-17,2,1,29
2022-05-18,2,5,5
2022-05-19,9,0,15
2022-05-20,7,0,5
2022-05-21,0,1,3
2022-05-22,0,0,31
2022-05-23,7,0,27
2022-05-24,5,1,14
2022-05-25,5,5,5
2022-05-26,1,1,12
2022-05-27,4,5,12
2022-05-28,0,1,1
2022-05-29,0,3,20
2022-05-30,9,3,10
2022-05-31,6,8,10
2022-06-01,11,4,9
2022-06-02,10,0,8
2022-06-03,4,1,4
2022-06-04,0,1,2
2022-06-05,0,1,1
2022-06-06,1,2,16
2022-06-07,5,2,7
2022-06-08,3,3,20
2022-06-09,6,0,7
2022-06-10,0,0,9
2022-06-11,0,0,4
2022-06-12,0,3,1
2022-06-13,9,4,17
2022-06-14,1,3,17
2022-06-15,1,2,11
2022-06-16,1,7,16
2022-06-17,0,0,7
2022-06-18,0,0,3
2022-06-19,0,0,7
2022-06-20,2,0,17
2022-06-21,6,0,16
2022-06-22,7,0,13
2022-06-23,2,0,20
2022-06-24,2,1,35
2022-06-25,0,1,5
2022-06-26,0,1,13
2022-06-27,2,1,47
2022-06-28,2,4,29
2022-06-29,3,0,40
2022-06-30,4,1,21
2022-07-01,5,0,3
2022-07-02,0,0,3
2022-07-03,0,0,1
2022-07-04,2,0,6
2022-07-05,3,0,18
2022-07-06,2,0,28
2022-07-07,2,0,13
2022-07-08,3,0,28
2022-07-09,0,1,9
2022-07-10,0,0,2
2022-07-11,2,0,29
2022-07-12,3,0,21
2022-07-13,2,1,101
2022-07-14,3,0,20
2022-07-15,3,0,13
2022-07-16,1,0,4
2022-07-17,0,0,1
2022-07-18,5,0,52
2022-07-19,9,0,28
2022-07-20,12,0,29
2022-07-21,1,0,23
2022-07-22,5,0,19
2022-07-23,1,0,1
2022-07-24,0,0,1
2022-07-25,9,0,12
2022-07-26,6,1,15
2022-07-27,5,0,23
2022-07-28,3,0,17
2022-07-29,2,0,13
2022-07-30,0,0,3
2022-07-31,0,1,8
2022-08-01,3,1,13
2022-08-02,3,0,12
2022-08-03,7,3,15
2022-08-04,4,0,17
2022-08-05,1,0,13
2022-08-06,0,0,3
2022-08-07,0,1,8
2022-08-08,3,0,22
2022-08-09,2,0,17
2022-08-10,6,0,18
2022-08-11,11,0,22
2022-08-12,4,0,21
2022-08-13,0,3,3
2022-08-14,0,1,2
2022-08-15,7,0,10
2022-08-16,3,0,18
2022-08-17,5,0,6
2022-08-18,5,0,7
2022-08-19,7,3,1
2022-08-20,0,0,4
2022-08-21,0,0,7
2022-08-22,1,1,24
2022-08-23,2,0,24
2022-08-24,5,0,23
2022-08-25,5,0,12
2022-08-26,3,1,26
2022-08-27,1,0,2
2022-08-28,0,4,7
2022-08-29,4,3,12
2022-08-30,3,2,15
2022-08-31,1,1,11
2022-09-01,2,3,7
2022-09-02,3,1,5
2022-09-03,0,1,3
2022-09-04,0,0,1
2022-09-05,1,0,12
2022-09-06,2,1,21
2022-09-07,7,0,18
2022-09-08,6,2,41
2022-09-09,4,0,11
2022-09-10,0,0,0
2022-09-11,0,0,1
2022-09-12,4,0,16
2022-09-13,4,2,15
2022-09-14,6,4,15
2022-09-15,3,5,16
2022-09-16,7,0,19
2022-09-17,1,0,0
2022-09-18,0,3,5
2022-09-19,5,1,32
2022-09-20,3,0,15
2022-09-21,10,0,22
2022-09-22,6,5,23
2022-09-23,5,5,15
2022-09-24,0,0,3
2022-09-25,0,0,2
2022-09-26,1,3,16
2022-09-27,4,2,32
2022-09-28,5,0,36
2022-09-29,1,3,31
2022-09-30,4,0,37
2022-10-01,0,0,18
2022-10-02,0,1,8
2022-10-03,1,0,10
2022-10-04,5,6,13
2022-10-05,5,3,10
2022-10-06,1,0,25
2022-10-07,4,0,19
2022-10-08,0,0,2
2022-10-09,0,0,4
2022-10-10,6,0,22
2022-10-11,6,1,31
2022-10-12,2,0,13
2022-10-13,3,0,47
2022-10-14,6,1,14
2022-10-15,0,0,16
2022-10-16,0,0,6
2022-10-17,2,0,24
2022-10-18,9,0,47
2022-10-19,2,1,35
2022-10-20,7,0,39
2022-10-21,1,0,42
2022-10-22,0,0,25
2022-10-23,0,0,14
2022-10-24,6,1,55
2022-10-25,8,1,58
2022-10-26,5,5,17
2022-10-27,3,0,39
2022-10-28,1,2,48
2022-10-29,0,0,16
2022-10-30,1,0,20
2022-10-31,1,0,23
2022-11-01,3,1,8
2022-11-02,2,0,25
2022-11-03,8,0,37
2022-11-04,5,0,16
2022-11-05,0,0,1
2022-11-06,0,0,6
2022-11-07,7,0,19
2022-11-08,7,0,20
2022-11-09,11,0,13
2022-11-10,0,1,24
2022-11-11,0,0,8
2022-11-12,0,0,4
2022-11-13,0,0,0
2022-11-14,8,1,27
2022-11-15,4,3,13
2022-11-16,7,0,22
2022-11-17,9,8,10
2022-11-18,0,1,16
2022-11-19,0,1,4
2022-11-20,0,0,5
2022-11-21,3,1,13
2022-11-22,7,0,20
2022-11-23,7,0,23
2022-11-24,6,4,9
2022-11-25,4,1,12
2022-11-26,0,0,4
2022-11-27,0,0,1
2022-11-28,1,0,11
2022-11-29,4,0,21
2022-11-30,2,0,10
2022-12-01,5,0,24
2022-12-02,3,4,17
2022-12-03,0,3,8
2022-12-04,0,1,7
2022-12-05,2,4,16
2022-12-06,3,9,12
2022-12-07,4,0,23
2022-12-08,7,0,23
2022-12-09,4,0,16
2022-12-10,0,1,5
2022-12-11,0,2,1
2022-12-12,1,0,22
2022-12-13,2,2,24
2022-12-14,9,5,11
2022-12-15,3,0,13
2022-12-16,5,0,13
2022-12-17,0,0,6
2022-12-18,0,0,8
2022-12-19,1,5,29
2022-12-20,0,4,33
2022-12-21,1,5,26
2022-12-22,1,4,16
2022-12-23,3,6,8
2022-12-24,0,3,3
2022-12-25,0,1,0
2022-12-26,0,0,0
2022-12-27,0,0,2
2022-12-28,0,0,1
2022-12-29,0,0,0
2022-12-30,0,0,3
2022-12-31,0,0,4
2023-01-01,0,0,2
2023-01-02,0,1,0
2023-01-03,7,1,24
2023-01-04,2,2,11
2023-01-05,6,0,14
2023-01-06,1,0,25
2023-01-07,0,1,2
2023-01-08,0,0,1
2023-01-09,6,1,10
2023-01-10,3,0,17
2023-01-11,6,0,12
2023-01-12,6,0,35
2023-01-13,1,0,15
2023-01-14,0,0,6
2023-01-15,0,0,1
2023-01-16,3,5,13
2023-01-17,3,11,20
2023-01-18,4,0,16
2023-01-19,6,0,22
2023-01-20,2,0,32
2023-01-21,0,0,9
2023-01-22,0,0,2
2023-01-23,3,0,17
2023-01-24,4,1,23
2023-01-25,3,1,18
2023-01-26,6,1,25
2023-01-27,0,0,30
2023-01-28,0,0,23
2023-01-29,0,0,4
2023-01-30,6,0,13
2023-01-31,1,3,17
2023-02-01,4,0,27
2023-02-02,1,0,27
2023-02-03,2,2,16
2023-02-04,0,0,5
2023-02-05,0,7,2
2023-02-06,2,0,20
2023-02-07,4,1,35
2023-02-08,2,1,16
2023-02-09,1,0,20
2023-02-10,0,0,28
2023-02-11,0,0,10
2023-02-12,0,0,3
2023-02-13,2,0,26
2023-02-14,0,0,28
2023-02-15,3,0,32
2023-02-16,4,0,27
2023-02-17,1,0,30
2023-02-18,0,0,22
2023-02-19,0,0,4
2023-02-20,2,0,13
2023-02-21,1,3,20
2023-02-22,5,9,51
2023-02-23,0,10,37
2023-02-24,2,2,18
2023-02-25,0,1,14
2023-02-26,0,1,1
2023-02-27,1,1,25
2023-02-28,0,0,24
2023-03-01,2,15,36
2023-03-02,0,5,44
2023-03-03,0,0,10
2023-03-04,0,7,15
2023-03-05,0,4,8
2023-03-06,1,1,13
2023-03-07,4,3,37
2023-03-08,0,3,29
2023-03-09,0,0,20
2023-03-10,1,2,16
2023-03-11,0,2,3
2023-03-12,0,6,1
2023-03-13,1,0,26
2023-03-14,5,2,16
2023-03-15,0,1,6
2023-03-16,2,0,19
2023-03-17,0,0,28
2023-03-18,0,0,1
2023-03-19,0,0,3
2023-03-20,1,2,23
2023-03-21,2,0,20
2023-03-22,2,0,23
2023-03-23,1,0,23
2023-03-24,0,0,31
2023-03-25,1,0,12
2023-03-26,0,0,2
2023-03-27,1,0,25
2023-03-28,4,0,17
2023-03-29,4,1,12
2023-03-30,4,1,21
2023-03-31,1,0,31
2023-04-01,0,0,18
2023-04-02,0,0,14
2023-04-03,7,0,17
2023-04-04,1,0,23
2023-04-05,3,0,33
2023-04-06,2,0,32
2023-04-07,0,0,14
2023-04-08,0,0,4
2023-04-09,0,1,0
2023-04-10,0,0,6
2023-04-11,1,0,10
2023-04-12,5,1,19
2023-04-13,3,1,17
2023-04-14,2,0,22
2023-04-15,0,0,2
2023-04-16,0,0,1
2023-04-17,2,0,20
2023-04-18,5,1,22
2023-04-19,6,0,17
2023-04-20,1,1,19
2023-04-21,0,0,23
2023-04-22,0,0,1
2023-04-23,0,0,6
2023-04-24,0,1,19
2023-04-25,0,0,16
2023-04-26,1,0,25
2023-04-27,4,1,22
2023-04-28,2,0,22
2023-04-29,0,0,10
2023-04-30,0,0,6
2023-05-01,1,0,31
2023-05-02,6,0,26
2023-05-03,2,0,43
2023-05-04,2,1,44
2023-05-05,3,0,9
2023-05-06,0,2,1
2023-05-07,0,0,2
2023-05-08,0,0,18
2023-05-09,0,0,22
2023-05-10,2,0,22
2023-05-11,0,0,23
2023-05-12,2,0,9
2023-05-13,0,0,5
2023-05-14,0,0,0
2023-05-15,1,3,14
2023-05-16,2,4,9
2023-05-17,2,10,9
2023-05-18,0,7,11
2023-05-19,0,9,19
2023-05-20,0,4,2
2023-05-21,0,2,3
2023-05-22,1,12,15
2023-05-23,0,7,23
2023-05-24,0,7,16
2023-05-25,1,0,18
2023-05-26,0,0,15
2023-05-27,0,9,3
2023-05-28,0,8,7
2023-05-29,0,2,2
2023-05-30,3,5,8
2023-05-31,1,1,10
2023-06-01,5,10,9
2023-06-02,0,4,12
2023-06-03,0,0,0
2023-06-04,0,0,0
2023-06-05,2,5,14
2023-06-06,0,0,20
2023-06-07,0,0,9
2023-06-08,0,0,35
2023-06-09,0,0,30
2023-06-10,0,0,13
2023-06-11,0,0,3
2023-06-12,2,12,28
2023-06-13,1,7,22
2023-06-14,0,4,57
2023-06-15,4,1,20
2023-06-16,1,0,16
2023-06-17,0,1,0
2023-06-18,0,3,0
2023-06-19,0,13,17
2023-06-20,0,1,13
2023-06-21,0,3,19
2023-06-22,0,0,24
2023-06-23,0,6,24
2023-06-24,0,2,12
2023-06-25,0,0,7
2023-06-26,2,3,13
2023-06-27,1,2,16
2023-06-28,1,7,19
2023-06-29,1,4,31
2023-06-30,0,3,20
2023-07-01,0,3,2
2023-07-02,0,2,3
2023-07-03,4,4,17
2023-07-04,0,1,24
2023-07-05,0,1,25
2023-07-06,1,0,32
2023-07-07,0,1,20
2023-07-08,0,11,1
2023-07-09,0,0,9
2023-07-10,0,0,28
2023-07-11,0,1,9
2023-07-12,0,0,22
2023-07-13,0,5,11
2023-07-14,0,0,9
2023-07-15,0,1,1
2023-07-16,0,1,3
2023-07-17,0,1,16
2023-07-18,0,0,18
2023-07-19,0,8,18
2023-07-20,0,2,17
2023-07-21,2,0,25
2023-07-22,0,0,7
2023-07-23,0,0,4
2023-07-24,1,0,16
2023-07-25,1,0,7
2023-07-26,1,1,19
2023-07-27,0,5,15
2023-07-28,0,8,15
2023-07-29,0,7,8
2023-07-30,0,4,4
2023-07-31,0,4,14
2023-08-01,0,3,20
2023-08-02,0,1,21
2023-08-03,0,1,20
2023-08-04,0,3,26
2023-08-05,0,2,5
2023-08-06,0,0,5
2023-08-07,0,4,25
2023-08-08,0,2,11
2023-08-09,0,1,18
2023-08-10,0,0,8
2023-08-11,0,0,19
2023-08-12,0,0,6
2023-08-13,0,0,0
2023-08-14,0,0,29
2023-08-15,0,1,19
2023-08-16,0,0,20
2023-08-17,0,0,20
2023-08-18,0,0,16
2023-08-19,0,0,4
2023-08-20,0,0,10
2023-08-21,0,3,17
2023-08-22,7,1,16
2023-08-23,1,8,15
2023-08-24,3,1,24
2023-08-25,1,0,21
2023-08-26,0,0,6
2023-08-27,0,0,11
2023-08-28,1,0,16
2023-08-29,0,0,22
2023-08-30,1,10,24
2023-08-31,0,8,17
2023-09-01,0,0,22
2023-09-02,0,0,9
2023-09-03,0,0,9
2023-09-04,0,0,10
2023-09-05,1,0,17
2023-09-06,0,0,17
2023-09-07,2,0,13
2023-09-08,0,0,15
2023-09-09,0,0,1
2023-09-10,0,0,4
2023-09-11,0,1,14
