,spring-projects/spring-framework,apache/struts,apache/tomcat
2020-11-29,0,3,0
2020-11-30,3,0,2
2020-12-01,4,0,4
2020-12-02,4,2,12
2020-12-03,8,2,0
2020-12-04,4,1,13
2020-12-05,0,0,0
2020-12-06,0,1,1
2020-12-07,13,5,6
2020-12-08,9,0,17
2020-12-09,1,0,2
2020-12-10,2,1,3
2020-12-11,4,1,1
2020-12-12,1,1,1
2020-12-13,0,1,0
2020-12-14,1,0,3
2020-12-15,5,0,4
2020-12-16,3,0,0
2020-12-17,4,2,2
2020-12-18,1,0,1
2020-12-19,1,0,0
2020-12-20,1,0,0
2020-12-21,2,1,1
2020-12-22,0,1,1
2020-12-23,1,0,2
2020-12-24,0,2,0
2020-12-25,0,0,0
2020-12-26,0,0,0
2020-12-27,0,3,0
2020-12-28,2,4,1
2020-12-29,0,0,2
2020-12-30,1,0,1
2020-12-31,0,0,0
2021-01-01,0,0,0
2021-01-02,2,4,0
2021-01-03,1,5,0
2021-01-04,5,2,6
2021-01-05,4,0,5
2021-01-06,7,3,0
2021-01-07,3,0,2
2021-01-08,4,2,1
2021-01-09,0,0,0
2021-01-10,0,4,0
2021-01-11,14,5,0
2021-01-12,11,0,0
2021-01-13,1,0,0
2021-01-14,5,0,1
2021-01-15,0,0,7
2021-01-16,0,0,0
2021-01-17,0,0,1
2021-01-18,1,0,7
2021-01-19,4,0,1
2021-01-20,0,0,2
2021-01-21,4,0,2
2021-01-22,6,0,10
2021-01-23,0,5,0
2021-01-24,3,0,1
2021-01-25,3,0,0
2021-01-26,7,0,13
2021-01-27,5,0,7
2021-01-28,4,0,13
2021-01-29,3,1,1
2021-01-30,0,0,0
2021-01-31,0,0,0
2021-02-01,1,0,11
2021-02-02,9,0,6
2021-02-03,7,0,0
2021-02-04,8,0,1
2021-02-05,8,0,8
2021-02-06,0,0,0
2021-02-07,0,1,0
2021-02-08,3,1,3
2021-02-09,3,0,1
2021-02-10,3,0,0
2021-02-11,8,0,1
2021-02-12,3,0,3
2021-02-13,1,0,0
2021-02-14,8,0,0
2021-02-15,26,0,0
2021-02-16,11,0,2
2021-02-17,6,0,3
2021-02-18,2,0,6
2021-02-19,2,0,5
2021-02-20,0,0,0
2021-02-21,2,0,0
2021-02-22,7,0,2
2021-02-23,5,1,2
2021-02-24,7,0,1
2021-02-25,11,0,8
2021-02-26,5,1,8
2021-02-27,0,0,0
2021-02-28,0,1,0
2021-03-01,3,0,2
2021-03-02,6,0,3
2021-03-03,3,0,5
2021-03-04,6,0,3
2021-03-05,1,0,3
2021-03-06,0,0,0
2021-03-07,0,0,0
2021-03-08,8,0,0
2021-03-09,6,0,3
2021-03-10,5,0,3
2021-03-11,4,0,2
2021-03-12,7,0,3
2021-03-13,3,0,0
2021-03-14,0,0,0
2021-03-15,16,4,10
2021-03-16,10,0,6
2021-03-17,0,0,3
2021-03-18,1,0,2
2021-03-19,0,0,9
2021-03-20,0,0,0
2021-03-21,0,0,0
2021-03-22,4,2,9
2021-03-23,1,1,9
2021-03-24,0,0,12
2021-03-25,0,0,4
2021-03-26,0,2,4
2021-03-27,0,0,0
2021-03-28,0,1,0
2021-03-29,4,1,6
2021-03-30,3,0,2
2021-03-31,2,0,1
2021-04-01,3,0,1
2021-04-02,2,0,0
2021-04-03,0,0,0
2021-04-04,0,0,0
2021-04-05,0,0,0
2021-04-06,1,2,0
2021-04-07,2,0,15
2021-04-08,5,0,11
2021-04-09,6,0,1
2021-04-10,0,0,0
2021-04-11,0,0,0
2021-04-12,10,0,2
2021-04-13,9,0,12
2021-04-14,0,0,0
2021-04-15,6,0,1
2021-04-16,4,0,1
2021-04-17,0,0,0
2021-04-18,1,0,0
2021-04-19,0,0,3
2021-04-20,7,0,14
2021-04-21,8,0,1
2021-04-22,6,0,5
2021-04-23,0,0,0
2021-04-24,0,0,0
2021-04-25,0,0,0
2021-04-26,3,0,3
2021-04-27,2,0,0
2021-04-28,7,0,3
2021-04-29,10,0,0
2021-04-30,6,0,2
2021-05-01,0,0,0
2021-05-02,0,2,0
2021-05-03,4,0,0
2021-05-04,12,2,1
2021-05-05,5,0,7
2021-05-06,1,0,0
2021-05-07,5,0,5
2021-05-08,3,0,6
2021-05-09,0,0,0
2021-05-10,7,0,1
2021-05-11,13,0,0
2021-05-12,6,0,1
2021-05-13,2,0,2
2021-05-14,2,0,3
2021-05-15,0,0,0
2021-05-16,5,0,1
2021-05-17,7,0,5
2021-05-18,4,0,2
2021-05-19,0,0,5
2021-05-20,2,0,5
2021-05-21,1,0,4
2021-05-22,0,0,2
2021-05-23,4,0,1
2021-05-24,1,0,14
2021-05-25,0,0,16
2021-05-26,8,0,15
2021-05-27,2,0,7
2021-05-28,2,0,0
2021-05-29,0,0,0
2021-05-30,2,0,0
2021-05-31,3,2,0
2021-06-01,2,0,8
2021-06-02,3,0,3
2021-06-03,0,1,5
2021-06-04,5,0,7
2021-06-05,0,0,0
2021-06-06,0,0,0
2021-06-07,3,1,5
2021-06-08,18,0,12
2021-06-09,3,0,2
2021-06-10,0,0,1
2021-06-11,1,0,1
2021-06-12,0,0,0
2021-06-13,0,0,1
2021-06-14,1,1,0
2021-06-15,6,1,14
2021-06-16,0,0,6
2021-06-17,0,0,2
2021-06-18,0,1,3
2021-06-19,0,1,1
2021-06-20,0,1,0
2021-06-21,7,0,3
2021-06-22,5,0,10
2021-06-23,2,0,11
2021-06-24,4,0,4
2021-06-25,1,0,8
2021-06-26,0,0,0
2021-06-27,0,5,0
2021-06-28,1,0,2
2021-06-29,3,0,0
2021-06-30,7,0,4
2021-07-01,0,1,4
2021-07-02,6,0,2
2021-07-03,0,0,0
2021-07-04,0,2,0
2021-07-05,0,0,0
2021-07-06,2,0,2
2021-07-07,5,0,2
2021-07-08,1,0,4
2021-07-09,13,0,3
2021-07-10,0,0,0
2021-07-11,3,0,0
2021-07-12,12,0,0
2021-07-13,11,0,2
2021-07-14,1,0,0
2021-07-15,0,0,2
2021-07-16,1,0,3
2021-07-17,2,0,0
2021-07-18,0,0,0
2021-07-19,0,0,0
2021-07-20,0,0,0
2021-07-21,0,0,10
2021-07-22,0,0,4
2021-07-23,5,0,5
2021-07-24,1,0,0
2021-07-25,1,0,0
2021-07-26,0,0,9
2021-07-27,3,0,18
2021-07-28,2,0,42
2021-07-29,9,0,2
2021-07-30,3,0,1
2021-07-31,2,0,0
2021-08-01,0,0,0
2021-08-02,0,0,0
2021-08-03,0,0,4
2021-08-04,4,0,0
2021-08-05,0,0,0
2021-08-06,0,0,2
2021-08-07,1,0,2
2021-08-08,2,0,0
2021-08-09,1,0,0
2021-08-10,0,0,0
2021-08-11,2,0,0
2021-08-12,2,0,0
2021-08-13,0,0,0
2021-08-14,0,0,0
2021-08-15,0,0,0
2021-08-16,0,0,1
2021-08-17,2,0,12
2021-08-18,2,0,7
2021-08-19,5,0,4
2021-08-20,0,0,1
2021-08-21,0,0,8
2021-08-22,6,0,0
2021-08-23,8,0,6
2021-08-24,0,0,1
2021-08-25,2,0,1
2021-08-26,2,0,3
2021-08-27,0,0,1
2021-08-28,0,0,0
2021-08-29,0,0,0
2021-08-30,5,0,1
2021-08-31,3,0,7
2021-09-01,1,0,4
2021-09-02,5,0,13
2021-09-03,3,0,3
2021-09-04,0,0,0
2021-09-05,0,0,1
2021-09-06,9,0,5
2021-09-07,7,0,2
2021-09-08,1,0,1
2021-09-09,3,0,6
2021-09-10,5,0,1
2021-09-11,0,0,0
2021-09-12,2,0,0
2021-09-13,12,0,4
2021-09-14,17,0,3
2021-09-15,13,0,4
2021-09-16,2,0,3
2021-09-17,16,0,8
2021-09-18,0,0,0
2021-09-19,0,0,0
2021-09-20,5,0,2
2021-09-21,21,0,0
2021-09-22,4,1,10
2021-09-23,8,2,9
2021-09-24,3,5,7
2021-09-25,1,0,0
2021-09-26,0,0,0
2021-09-27,8,0,13
2021-09-28,16,1,7
2021-09-29,5,0,3
2021-09-30,11,0,2
2021-10-01,13,0,1
2021-10-02,4,0,0
2021-10-03,2,0,0
2021-10-04,0,1,2
2021-10-05,12,0,0
2021-10-06,8,0,1
2021-10-07,5,0,6
2021-10-08,10,0,1
2021-10-09,0,0,0
2021-10-10,2,0,0
2021-10-11,9,0,3
2021-10-12,14,0,7
2021-10-13,19,0,1
2021-10-14,28,0,6
2021-10-15,0,0,0
2021-10-16,0,0,0
2021-10-17,6,0,0
2021-10-18,6,2,0
2021-10-19,9,0,0
2021-10-20,4,0,0
2021-10-21,6,0,1
2021-10-22,12,0,0
2021-10-23,7,0,0
2021-10-24,0,0,0
2021-10-25,7,0,0
2021-10-26,2,0,0
2021-10-27,2,0,0
2021-10-28,5,0,0
2021-10-29,3,0,1
2021-10-30,0,4,0
2021-10-31,0,1,0
2021-11-01,0,0,1
2021-11-02,2,1,1
2021-11-03,2,0,5
2021-11-04,2,1,4
2021-11-05,2,0,10
2021-11-06,0,1,6
2021-11-07,0,0,1
2021-11-08,2,0,12
2021-11-09,12,0,3
2021-11-10,10,3,1
2021-11-11,2,2,4
2021-11-12,0,4,1
2021-11-13,0,1,0
2021-11-14,0,0,0
2021-11-15,0,1,4
2021-11-16,2,6,0
2021-11-17,6,2,1
2021-11-18,3,0,14
2021-11-19,4,0,2
2021-11-20,0,0,0
2021-11-21,0,0,0
2021-11-22,24,0,2
2021-11-23,9,0,11
2021-11-24,16,1,8
2021-11-25,6,0,11
2021-11-26,0,0,2
2021-11-27,0,0,0
2021-11-28,4,0,0
2021-11-29,3,1,3
2021-11-30,12,0,0
2021-12-01,1,1,4
2021-12-02,20,0,7
2021-12-03,15,0,3
2021-12-04,0,0,0
2021-12-05,0,0,0
2021-12-06,3,0,6
2021-12-07,3,0,3
2021-12-08,2,0,3
2021-12-09,6,0,5
2021-12-10,8,1,4
2021-12-11,0,0,0
2021-12-12,5,9,0
2021-12-13,11,0,0
2021-12-14,31,0,0
2021-12-15,15,1,2
2021-12-16,2,0,1
2021-12-17,0,2,0
2021-12-18,0,4,0
2021-12-19,0,2,0
2021-12-20,0,4,1
2021-12-21,14,4,4
2021-12-22,0,0,0
2021-12-23,0,0,1
2021-12-24,0,3,0
2021-12-25,0,0,0
2021-12-26,0,1,0
2021-12-27,4,0,0
2021-12-28,0,1,0
2021-12-29,9,1,0
2021-12-30,0,2,0
2021-12-31,0,0,6
2022-01-01,0,2,6
2022-01-02,0,0,13
2022-01-03,9,0,4
2022-01-04,20,2,1
2022-01-05,0,0,2
2022-01-06,2,1,3
2022-01-07,9,1,4
2022-01-08,8,0,1
2022-01-09,9,0,0
2022-01-10,9,0,7
2022-01-11,12,0,2
2022-01-12,17,0,8
2022-01-13,10,6,3
2022-01-14,2,1,8
2022-01-15,0,0,2
2022-01-16,0,0,0
2022-01-17,7,0,0
2022-01-18,4,1,2
2022-01-19,4,0,0
2022-01-20,3,0,4
2022-01-21,8,0,1
2022-01-22,3,0,0
2022-01-23,0,5,0
2022-01-24,3,0,4
2022-01-25,9,0,0
2022-01-26,11,0,9
2022-01-27,5,0,2
2022-01-28,8,0,0
2022-01-29,3,5,0
2022-01-30,4,0,0
2022-01-31,2,1,2
2022-02-01,2,0,2
2022-02-02,4,0,4
2022-02-03,11,0,1
2022-02-04,16,0,0
2022-02-05,11,0,0
2022-02-06,0,2,0
2022-02-07,2,0,3
2022-02-08,6,0,2
2022-02-09,0,1,0
2022-02-10,9,1,8
2022-02-11,11,0,5
2022-02-12,2,0,0
2022-02-13,0,2,1
2022-02-14,17,0,0
2022-02-15,16,0,3
2022-02-16,12,0,1
2022-02-17,8,0,1
2022-02-18,6,0,1
2022-02-19,10,0,8
2022-02-20,0,4,0
2022-02-21,0,2,4
2022-02-22,1,0,2
2022-02-23,0,1,1
2022-02-24,6,2,1
2022-02-25,0,0,2
2022-02-26,0,0,0
2022-02-27,0,0,0
2022-02-28,12,0,2
2022-03-01,10,1,4
2022-03-02,3,0,0
2022-03-03,1,1,0
2022-03-04,3,1,0
2022-03-05,3,0,0
2022-03-06,2,0,0
2022-03-07,0,2,0
2022-03-08,1,0,4
2022-03-09,21,0,4
2022-03-10,8,0,1
2022-03-11,5,0,0
2022-03-12,9,0,0
2022-03-13,2,0,1
2022-03-14,3,0,1
2022-03-15,11,2,10
2022-03-16,24,0,2
2022-03-17,3,0,7
2022-03-18,6,0,2
2022-03-19,0,0,1
2022-03-20,4,0,0
2022-03-21,3,1,1
2022-03-22,7,0,5
2022-03-23,4,0,2
2022-03-24,4,0,5
2022-03-25,5,0,0
2022-03-26,0,0,0
2022-03-27,11,0,0
2022-03-28,0,3,0
2022-03-29,7,0,10
2022-03-30,0,0,6
2022-03-31,5,0,2
2022-04-01,5,0,3
2022-04-02,0,0,0
2022-04-03,0,0,0
2022-04-04,8,1,0
2022-04-05,0,0,3
2022-04-06,1,0,0
2022-04-07,4,1,3
2022-04-08,12,0,0
2022-04-09,3,0,0
2022-04-10,0,0,0
2022-04-11,7,0,1
2022-04-12,10,0,0
2022-04-13,5,0,0
2022-04-14,11,0,1
2022-04-15,1,0,0
2022-04-16,2,0,0
2022-04-17,0,0,0
2022-04-18,0,0,0
2022-04-19,0,0,0
2022-04-20,1,0,1
2022-04-21,0,0,3
2022-04-22,0,0,0
2022-04-23,0,0,1
2022-04-24,7,0,0
2022-04-25,2,0,1
2022-04-26,5,0,2
2022-04-27,9,0,1
2022-04-28,5,0,3
2022-04-29,3,0,2
2022-04-30,0,0,0
2022-05-01,0,1,0
2022-05-02,1,1,0
2022-05-03,20,0,0
2022-05-04,0,3,1
2022-05-05,45,2,1
2022-05-06,5,5,7
2022-05-07,6,0,0
2022-05-08,0,1,0
2022-05-09,16,0,7
2022-05-10,21,1,18
2022-05-11,21,0,1
2022-05-12,3,0,2
2022-05-13,1,0,0
2022-05-14,4,1,0
2022-05-15,2,3,0
2022-05-16,5,3,7
2022-05-17,6,4,9
2022-05-18,1,0,7
2022-05-19,0,1,4
2022-05-20,4,1,8
2022-05-21,3,0,0
2022-05-22,0,0,0
2022-05-23,14,3,2
2022-05-24,7,3,3
2022-05-25,4,2,0
2022-05-26,1,0,4
2022-05-27,3,0,1
2022-05-28,0,0,0
2022-05-29,0,0,0
2022-05-30,8,0,1
2022-05-31,10,0,13
2022-06-01,10,0,5
2022-06-02,4,2,2
2022-06-03,18,0,0
2022-06-04,2,0,0
2022-06-05,1,1,0
2022-06-06,2,1,6
2022-06-07,14,0,0
2022-06-08,16,1,5
2022-06-09,15,0,22
2022-06-10,4,2,2
2022-06-11,0,0,0
2022-06-12,0,0,1
2022-06-13,16,0,4
2022-06-14,31,4,5
2022-06-15,10,4,4
2022-06-16,4,0,10
2022-06-17,4,3,13
2022-06-18,0,6,0
2022-06-19,1,0,0
2022-06-20,16,1,7
2022-06-21,10,3,5
2022-06-22,0,1,1
2022-06-23,8,0,11
2022-06-24,11,0,0
2022-06-25,5,0,0
2022-06-26,0,0,0
2022-06-27,15,2,0
2022-06-28,2,0,4
2022-06-29,8,0,4
2022-06-30,18,0,1
2022-07-01,11,0,0
2022-07-02,3,0,0
2022-07-03,9,1,0
2022-07-04,11,0,0
2022-07-05,10,0,0
2022-07-06,12,0,0
2022-07-07,6,6,2
2022-07-08,7,4,0
2022-07-09,4,0,0
2022-07-10,4,0,0
2022-07-11,16,4,2
2022-07-12,29,0,0
2022-07-13,56,0,11
2022-07-14,6,0,1
2022-07-15,8,0,0
2022-07-16,0,0,0
2022-07-17,0,0,0
2022-07-18,6,0,0
2022-07-19,9,0,0
2022-07-20,5,0,1
2022-07-21,1,0,1
2022-07-22,8,0,0
2022-07-23,0,0,0
2022-07-24,0,1,0
2022-07-25,6,0,0
2022-07-26,3,0,0
2022-07-27,10,0,0
2022-07-28,9,0,0
2022-07-29,27,0,0
2022-07-30,6,0,0
2022-07-31,3,1,0
2022-08-01,12,0,9
2022-08-02,10,0,5
2022-08-03,10,0,3
2022-08-04,17,0,1
2022-08-05,5,0,0
2022-08-06,5,3,0
2022-08-07,0,2,0
2022-08-08,4,13,6
2022-08-09,5,3,1
2022-08-10,3,0,0
2022-08-11,10,2,5
2022-08-12,6,2,0
2022-08-13,2,0,0
2022-08-14,0,0,0
2022-08-15,1,0,0
2022-08-16,12,0,5
2022-08-17,7,0,1
2022-08-18,2,0,3
2022-08-19,6,0,1
2022-08-20,1,0,0
2022-08-21,3,1,3
2022-08-22,9,0,4
2022-08-23,15,2,6
2022-08-24,5,1,7
2022-08-25,5,4,6
2022-08-26,6,0,0
2022-08-27,0,0,0
2022-08-28,7,0,0
2022-08-29,0,2,2
2022-08-30,9,0,2
2022-08-31,12,0,4
2022-09-01,8,1,3
2022-09-02,25,3,15
2022-09-03,4,1,0
2022-09-04,10,4,1
2022-09-05,12,0,2
2022-09-06,17,0,0
2022-09-07,13,0,1
2022-09-08,16,0,4
2022-09-09,20,0,14
2022-09-10,7,0,0
2022-09-11,1,0,0
2022-09-12,36,0,6
2022-09-13,17,0,7
2022-09-14,32,5,7
2022-09-15,10,0,15
2022-09-16,2,0,2
2022-09-17,0,3,0
2022-09-18,2,1,0
2022-09-19,5,0,0
2022-09-20,16,10,3
2022-09-21,4,6,9
2022-09-22,2,0,1
2022-09-23,5,0,6
2022-09-24,0,0,0
2022-09-25,3,3,0
2022-09-26,32,0,0
2022-09-27,11,2,5
2022-09-28,18,6,10
2022-09-29,6,0,0
2022-09-30,21,6,13
2022-10-01,0,0,0
2022-10-02,3,0,0
2022-10-03,17,0,3
2022-10-04,21,0,0
2022-10-05,25,1,4
2022-10-06,14,1,8
2022-10-07,24,0,2
2022-10-08,11,0,3
2022-10-09,2,0,0
2022-10-10,23,0,3
2022-10-11,18,0,10
2022-10-12,6,0,8
2022-10-13,5,2,0
2022-10-14,2,4,2
2022-10-15,0,0,0
2022-10-16,2,4,0
2022-10-17,8,6,0
2022-10-18,32,0,0
2022-10-19,16,5,9
2022-10-20,7,2,3
2022-10-21,4,6,2
2022-10-22,0,0,0
2022-10-23,0,0,0
2022-10-24,4,7,0
2022-10-25,8,2,0
2022-10-26,2,0,1
2022-10-27,5,2,2
2022-10-28,2,0,4
2022-10-29,0,0,0
2022-10-30,2,1,0
2022-10-31,4,0,10
2022-11-01,9,0,3
2022-11-02,31,6,2
2022-11-03,2,0,0
2022-11-04,9,5,1
2022-11-05,6,3,0
2022-11-06,3,7,0
2022-11-07,6,1,4
2022-11-08,28,3,9
2022-11-09,3,0,2
2022-11-10,7,0,1
2022-11-11,12,2,2
2022-11-12,3,0,0
2022-11-13,4,3,0
2022-11-14,19,0,6
2022-11-15,16,2,0
2022-11-16,7,0,8
2022-11-17,11,0,4
2022-11-18,10,0,9
2022-11-19,9,0,0
2022-11-20,3,0,0
2022-11-21,10,0,5
2022-11-22,20,0,2
2022-11-23,3,0,0
2022-11-24,6,0,0
2022-11-25,9,0,2
2022-11-26,7,0,0
2022-11-27,0,2,0
2022-11-28,11,2,2
2022-11-29,8,0,4
2022-11-30,2,0,4
2022-12-01,7,1,2
2022-12-02,4,0,1
2022-12-03,5,0,0
2022-12-04,1,3,0
2022-12-05,12,0,3
2022-12-06,13,0,1
2022-12-07,10,0,0
2022-12-08,2,1,3
2022-12-09,15,5,2
2022-12-10,1,0,0
2022-12-11,2,0,0
2022-12-12,5,0,1
2022-12-13,11,5,0
2022-12-14,3,1,1
2022-12-15,1,0,0
2022-12-16,4,0,1
2022-12-17,12,0,0
2022-12-18,12,1,0
2022-12-19,1,0,1
2022-12-20,3,0,2
2022-12-21,0,0,1
2022-12-22,0,0,0
2022-12-23,5,0,0
2022-12-24,0,0,0
2022-12-25,0,0,0
2022-12-26,0,0,0
2022-12-27,0,0,0
2022-12-28,0,1,0
2022-12-29,0,1,0
2022-12-30,0,0,0
2022-12-31,0,0,0
2023-01-01,0,0,0
2023-01-02,0,0,0
2023-01-03,3,0,6
2023-01-04,1,1,4
2023-01-05,0,0,3
2023-01-06,3,0,5
2023-01-07,0,0,0
2023-01-08,0,0,0
2023-01-09,5,0,4
2023-01-10,9,0,0
2023-01-11,10,0,11
2023-01-12,0,0,30
2023-01-13,1,0,5
2023-01-14,0,0,0
2023-01-15,0,0,0
2023-01-16,6,1,1
2023-01-17,7,0,2
2023-01-18,2,0,12
2023-01-19,13,0,22
2023-01-20,11,0,15
2023-01-21,0,0,0
2023-01-22,0,3,0
2023-01-23,4,1,13
2023-01-24,2,0,15
2023-01-25,1,1,7
2023-01-26,1,2,1
2023-01-27,5,0,10
2023-01-28,3,0,0
2023-01-29,4,0,1
2023-01-30,20,8,2
2023-01-31,20,0,1
2023-02-01,6,1,4
2023-02-02,13,0,6
2023-02-03,4,0,2
2023-02-04,0,0,0
2023-02-05,0,0,0
2023-02-06,0,0,0
2023-02-07,19,0,0
2023-02-08,2,0,0
2023-02-09,3,0,6
2023-02-10,0,0,4
2023-02-11,0,0,0
2023-02-12,0,1,0
2023-02-13,17,0,6
2023-02-14,15,2,9
2023-02-15,11,0,17
2023-02-16,0,0,8
2023-02-17,1,0,5
2023-02-18,0,1,0
2023-02-19,7,0,0
2023-02-20,4,2,1
2023-02-21,4,0,0
2023-02-22,4,0,7
2023-02-23,1,0,8
2023-02-24,8,0,5
2023-02-25,0,1,0
2023-02-26,5,0,3
2023-02-27,10,0,9
2023-02-28,10,2,0
2023-03-01,5,1,9
2023-03-02,14,3,5
2023-03-03,1,1,7
2023-03-04,1,1,0
2023-03-05,9,0,0
2023-03-06,14,0,7
2023-03-07,8,8,7
2023-03-08,6,0,8
2023-03-09,4,0,8
2023-03-10,5,0,1
2023-03-11,0,1,0
2023-03-12,1,5,0
2023-03-13,4,4,1
2023-03-14,7,1,9
2023-03-15,2,3,10
2023-03-16,0,0,1
2023-03-17,6,0,3
2023-03-18,0,0,0
2023-03-19,5,0,0
2023-03-20,2,0,0
2023-03-21,4,1,2
2023-03-22,6,14,4
2023-03-23,4,0,7
2023-03-24,4,1,1
2023-03-25,3,0,0
2023-03-26,0,1,2
2023-03-27,5,0,5
2023-03-28,6,0,0
2023-03-29,5,3,2
2023-03-30,6,2,4
2023-03-31,5,0,0
2023-04-01,4,0,0
2023-04-02,1,0,0
2023-04-03,8,0,6
2023-04-04,11,0,0
2023-04-05,4,0,1
2023-04-06,4,0,6
2023-04-07,6,4,0
2023-04-08,0,0,0
2023-04-09,0,1,0
2023-04-10,1,2,0
2023-04-11,5,0,12
2023-04-12,8,0,9
2023-04-13,6,0,11
2023-04-14,9,0,3
2023-04-15,1,0,0
2023-04-16,0,0,0
2023-04-17,2,0,0
2023-04-18,5,0,3
2023-04-19,5,0,1
2023-04-20,12,0,3
2023-04-21,0,0,3
2023-04-22,0,0,0
2023-04-23,1,0,0
2023-04-24,6,0,0
2023-04-25,17,0,5
2023-04-26,10,0,1
2023-04-27,0,0,15
2023-04-28,4,0,5
2023-04-29,0,0,0
2023-04-30,5,0,1
2023-05-01,0,0,0
2023-05-02,0,0,12
2023-05-03,6,0,3
2023-05-04,39,0,7
2023-05-05,13,2,6
2023-05-06,0,0,1
2023-05-07,0,0,1
2023-05-08,9,0,0
2023-05-09,13,1,5
2023-05-10,24,0,5
2023-05-11,6,0,22
2023-05-12,6,0,6
2023-05-13,3,0,4
2023-05-14,0,0,0
2023-05-15,8,0,0
2023-05-16,4,10,0
2023-05-17,0,1,0
2023-05-18,0,0,0
2023-05-19,0,1,2
2023-05-20,0,2,0
2023-05-21,0,0,2
2023-05-22,9,0,7
2023-05-23,26,1,1
2023-05-24,4,1,5
2023-05-25,17,0,0
2023-05-26,6,0,1
2023-05-27,0,0,0
2023-05-28,0,3,0
2023-05-29,0,3,1
2023-05-30,21,0,2
2023-05-31,5,0,8
2023-06-01,3,0,8
2023-06-02,9,0,4
2023-06-03,3,0,0
2023-06-04,14,1,0
2023-06-05,8,0,2
2023-06-06,9,0,0
2023-06-07,24,0,5
2023-06-08,19,0,3
2023-06-09,19,0,2
2023-06-10,0,0,2
2023-06-11,6,0,0
2023-06-12,27,0,1
2023-06-13,18,0,4
2023-06-14,37,0,7
2023-06-15,9,0,1
2023-06-16,4,0,3
2023-06-17,6,0,1
2023-06-18,0,0,0
2023-06-19,7,1,0
2023-06-20,17,0,4
2023-06-21,26,0,3
2023-06-22,20,0,4
2023-06-23,15,0,5
2023-06-24,7,0,0
2023-06-25,10,0,0
2023-06-26,13,0,2
2023-06-27,4,4,1
2023-06-28,6,3,5
2023-06-29,13,1,17
2023-06-30,13,0,1
2023-07-01,3,0,0
2023-07-02,2,0,0
2023-07-03,23,0,1
2023-07-04,21,0,14
2023-07-05,21,1,6
2023-07-06,21,0,2
2023-07-07,21,0,1
2023-07-08,7,0,0
2023-07-09,11,0,0
2023-07-10,18,0,0
2023-07-11,26,0,1
2023-07-12,24,7,1
2023-07-13,4,0,0
2023-07-14,18,4,0
2023-07-15,28,0,0
2023-07-16,18,1,0
2023-07-17,1,1,0
