,quarto-dev/quarto-cli,executablebooks/jupyter-book,fastai/fastpages
2021-03-14,8,1,0
2021-03-15,35,0,0
2021-03-16,47,0,0
2021-03-17,37,0,0
2021-03-18,38,2,2
2021-03-19,26,0,0
2021-03-20,27,0,0
2021-03-21,16,0,0
2021-03-22,30,0,0
2021-03-23,36,0,0
2021-03-24,15,1,0
2021-03-25,34,0,0
2021-03-26,26,1,0
2021-03-27,7,0,0
2021-03-28,1,1,0
2021-03-29,16,0,0
2021-03-30,23,0,1
2021-03-31,16,0,0
2021-04-01,23,0,0
2021-04-02,12,0,0
2021-04-03,0,0,0
2021-04-04,8,2,0
2021-04-05,28,0,0
2021-04-06,24,0,0
2021-04-07,17,0,0
2021-04-08,23,1,0
2021-04-09,10,0,0
2021-04-10,12,0,0
2021-04-11,10,1,0
2021-04-12,17,0,0
2021-04-13,31,0,0
2021-04-14,29,0,0
2021-04-15,10,0,0
2021-04-16,19,0,0
2021-04-17,0,0,0
2021-04-18,4,1,0
2021-04-19,10,0,0
2021-04-20,2,0,0
2021-04-21,17,0,0
2021-04-22,15,0,0
2021-04-23,20,0,0
2021-04-24,7,0,0
2021-04-25,8,0,0
2021-04-26,10,0,0
2021-04-27,7,0,0
2021-04-28,8,0,2
2021-04-29,27,0,0
2021-04-30,8,1,0
2021-05-01,3,0,0
2021-05-02,1,0,0
2021-05-03,14,0,0
2021-05-04,9,0,0
2021-05-05,33,3,0
2021-05-06,33,0,0
2021-05-07,31,0,0
2021-05-08,10,0,0
2021-05-09,2,0,0
2021-05-10,23,0,0
2021-05-11,22,0,0
2021-05-12,19,0,0
2021-05-13,39,0,0
2021-05-14,36,0,0
2021-05-15,7,0,1
2021-05-16,13,0,2
2021-05-17,25,0,0
2021-05-18,24,0,0
2021-05-19,19,0,0
2021-05-20,12,0,0
2021-05-21,28,0,0
2021-05-22,20,0,0
2021-05-23,9,0,0
2021-05-24,33,0,0
2021-05-25,27,0,0
2021-05-26,21,1,0
2021-05-27,20,0,0
2021-05-28,22,0,0
2021-05-29,7,0,0
2021-05-30,3,0,0
2021-05-31,4,0,0
2021-06-01,24,0,0
2021-06-02,23,0,0
2021-06-03,44,0,1
2021-06-04,38,0,0
2021-06-05,7,6,0
2021-06-06,0,1,0
2021-06-07,26,0,0
2021-06-08,24,0,0
2021-06-09,16,2,0
2021-06-10,20,0,0
2021-06-11,22,1,0
2021-06-12,12,0,0
2021-06-13,8,0,0
2021-06-14,20,0,0
2021-06-15,16,0,0
2021-06-16,42,0,0
2021-06-17,27,1,0
2021-06-18,27,0,0
2021-06-19,11,0,1
2021-06-20,11,0,0
2021-06-21,26,2,0
2021-06-22,24,0,0
2021-06-23,13,1,0
2021-06-24,31,1,0
2021-06-25,39,1,0
2021-06-26,3,0,0
2021-06-27,8,0,0
2021-06-28,41,0,0
2021-06-29,21,0,0
2021-06-30,14,1,0
2021-07-01,11,0,0
2021-07-02,41,0,0
2021-07-03,4,1,0
2021-07-04,5,0,0
2021-07-05,30,1,0
2021-07-06,22,0,0
2021-07-07,11,0,0
2021-07-08,50,2,0
2021-07-09,18,1,0
2021-07-10,23,0,0
2021-07-11,4,0,0
2021-07-12,13,0,0
2021-07-13,24,0,1
2021-07-14,32,0,0
2021-07-15,30,1,0
2021-07-16,11,0,0
2021-07-17,6,0,10
2021-07-18,1,0,0
2021-07-19,6,0,0
2021-07-20,13,1,0
2021-07-21,5,0,0
2021-07-22,4,0,0
2021-07-23,8,0,0
2021-07-24,1,1,0
2021-07-25,0,0,0
2021-07-26,6,0,0
2021-07-27,7,0,0
2021-07-28,6,0,0
2021-07-29,11,0,0
2021-07-30,17,0,0
2021-07-31,2,0,0
2021-08-01,1,0,0
2021-08-02,9,0,0
2021-08-03,18,0,0
2021-08-04,14,0,0
2021-08-05,10,0,0
2021-08-06,9,0,0
2021-08-07,8,0,0
2021-08-08,6,0,0
2021-08-09,26,0,0
2021-08-10,30,0,0
2021-08-11,16,0,0
2021-08-12,16,0,0
2021-08-13,19,0,0
2021-08-14,4,0,0
2021-08-15,2,0,0
2021-08-16,12,0,0
2021-08-17,4,6,0
2021-08-18,1,0,0
2021-08-19,1,0,0
2021-08-20,0,0,1
2021-08-21,0,1,0
2021-08-22,0,0,0
2021-08-23,4,0,0
2021-08-24,6,1,0
2021-08-25,3,3,0
2021-08-26,0,0,0
2021-08-27,0,0,0
2021-08-28,0,0,0
2021-08-29,0,0,0
2021-08-30,5,0,0
2021-08-31,6,0,0
2021-09-01,49,0,0
2021-09-02,27,1,0
2021-09-03,30,0,0
2021-09-04,2,0,0
2021-09-05,4,0,1
2021-09-06,2,0,0
2021-09-07,24,0,0
2021-09-08,11,0,0
2021-09-09,4,1,0
2021-09-10,0,0,0
2021-09-11,0,0,0
2021-09-12,0,0,0
2021-09-13,0,0,0
2021-09-14,1,0,0
2021-09-15,1,0,0
2021-09-16,2,0,0
2021-09-17,3,1,0
2021-09-18,0,0,0
2021-09-19,0,0,0
2021-09-20,6,0,0
2021-09-21,7,1,0
2021-09-22,12,0,0
2021-09-23,3,0,0
2021-09-24,2,0,0
2021-09-25,5,0,0
2021-09-26,1,1,0
2021-09-27,82,0,0
2021-09-28,12,0,0
2021-09-29,13,0,0
2021-09-30,4,0,0
2021-10-01,4,0,0
2021-10-02,1,1,0
2021-10-03,2,0,0
2021-10-04,8,0,0
2021-10-05,1,2,0
2021-10-06,8,0,0
2021-10-07,1,0,0
2021-10-08,16,0,0
2021-10-09,9,0,0
2021-10-10,2,0,0
2021-10-11,5,0,0
2021-10-12,1,0,0
2021-10-13,1,0,0
2021-10-14,2,2,0
2021-10-15,1,2,0
2021-10-16,5,3,0
2021-10-17,2,0,0
2021-10-18,3,1,0
2021-10-19,25,1,0
2021-10-20,12,0,0
2021-10-21,14,0,0
2021-10-22,21,1,0
2021-10-23,6,0,0
2021-10-24,3,0,0
2021-10-25,72,1,0
2021-10-26,15,0,0
2021-10-27,35,0,0
2021-10-28,28,0,0
2021-10-29,20,0,0
2021-10-30,13,0,0
2021-10-31,0,0,0
2021-11-01,22,0,0
2021-11-02,28,0,0
2021-11-03,14,0,0
2021-11-04,13,0,0
2021-11-05,17,1,0
2021-11-06,3,0,0
2021-11-07,14,0,0
2021-11-08,22,0,0
2021-11-09,17,1,0
2021-11-10,27,0,0
2021-11-11,24,0,0
2021-11-12,28,0,0
2021-11-13,14,1,0
2021-11-14,11,0,3
2021-11-15,25,0,0
2021-11-16,52,1,0
2021-11-17,13,0,0
2021-11-18,30,0,0
2021-11-19,38,2,0
2021-11-20,15,0,0
2021-11-21,2,0,0
2021-11-22,25,0,0
2021-11-23,35,0,0
2021-11-24,30,0,0
2021-11-25,8,0,0
2021-11-26,11,0,0
2021-11-27,3,0,0
2021-11-28,6,0,0
2021-11-29,32,0,1
2021-11-30,21,0,0
2021-12-01,33,0,0
2021-12-02,21,1,0
2021-12-03,22,0,0
2021-12-04,6,1,0
2021-12-05,0,0,0
2021-12-06,45,0,0
2021-12-07,32,1,0
2021-12-08,16,1,1
2021-12-09,11,0,0
2021-12-10,17,0,0
2021-12-11,6,0,0
2021-12-12,1,0,0
2021-12-13,17,0,0
2021-12-14,26,0,0
2021-12-15,48,0,0
2021-12-16,21,0,0
2021-12-17,22,0,0
2021-12-18,8,1,0
2021-12-19,0,1,0
2021-12-20,22,0,0
2021-12-21,32,0,0
2021-12-22,22,0,0
2021-12-23,7,0,0
2021-12-24,7,0,0
2021-12-25,0,0,0
2021-12-26,13,0,0
2021-12-27,4,0,0
2021-12-28,2,1,0
2021-12-29,1,0,0
2021-12-30,1,0,0
2021-12-31,6,0,0
2022-01-01,9,2,0
2022-01-02,1,0,0
2022-01-03,19,0,0
2022-01-04,11,0,0
2022-01-05,28,0,0
2022-01-06,43,3,2
2022-01-07,27,0,0
2022-01-08,9,0,0
2022-01-09,8,0,0
2022-01-10,17,0,0
2022-01-11,11,0,0
2022-01-12,16,1,0
2022-01-13,23,0,0
2022-01-14,7,0,0
2022-01-15,10,1,0
2022-01-16,2,0,0
2022-01-17,24,0,0
2022-01-18,20,0,0
2022-01-19,29,1,0
2022-01-20,43,0,0
2022-01-21,11,0,0
2022-01-22,6,0,0
2022-01-23,10,0,0
2022-01-24,36,0,0
2022-01-25,193,1,0
2022-01-26,17,0,0
2022-01-27,22,0,0
2022-01-28,26,1,0
2022-01-29,14,0,0
2022-01-30,3,0,0
2022-01-31,8,0,0
2022-02-01,38,0,0
2022-02-02,15,0,0
2022-02-03,17,0,0
2022-02-04,8,0,0
2022-02-05,15,0,0
2022-02-06,36,0,0
2022-02-07,17,0,0
2022-02-08,28,1,0
2022-02-09,13,2,0
2022-02-10,15,1,0
2022-02-11,14,1,0
2022-02-12,5,1,0
2022-02-13,4,0,0
2022-02-14,22,0,0
2022-02-15,19,0,0
2022-02-16,24,0,0
2022-02-17,27,0,0
2022-02-18,17,0,0
2022-02-19,9,0,0
2022-02-20,11,0,0
2022-02-21,5,0,0
2022-02-22,3,2,0
2022-02-23,7,2,0
2022-02-24,8,0,0
2022-02-25,46,0,0
2022-02-26,7,0,0
2022-02-27,1,2,0
2022-02-28,9,0,0
2022-03-01,45,0,0
2022-03-02,29,0,0
2022-03-03,18,0,0
2022-03-04,22,0,0
2022-03-05,3,0,0
2022-03-06,8,0,0
2022-03-07,3,0,0
2022-03-08,24,0,0
2022-03-09,5,0,0
2022-03-10,6,0,0
2022-03-11,24,0,0
2022-03-12,0,0,0
2022-03-13,4,0,0
2022-03-14,26,0,0
2022-03-15,29,0,0
2022-03-16,9,0,0
2022-03-17,11,0,0
2022-03-18,16,0,0
2022-03-19,8,0,0
2022-03-20,0,0,0
2022-03-21,7,0,0
2022-03-22,5,1,0
2022-03-23,25,0,0
2022-03-24,3,0,0
2022-03-25,10,2,0
2022-03-26,5,1,0
2022-03-27,14,0,0
2022-03-28,14,0,0
2022-03-29,26,0,0
2022-03-30,6,0,0
2022-03-31,15,2,0
2022-04-01,4,0,0
2022-04-02,2,0,0
2022-04-03,0,0,0
2022-04-04,13,2,0
2022-04-05,14,0,0
2022-04-06,28,0,0
2022-04-07,39,0,0
2022-04-08,22,1,0
2022-04-09,11,0,0
2022-04-10,6,0,0
2022-04-11,17,0,0
2022-04-12,21,0,0
2022-04-13,14,0,0
2022-04-14,78,0,0
2022-04-15,30,0,0
2022-04-16,33,0,0
2022-04-17,9,0,0
2022-04-18,14,0,0
2022-04-19,18,0,0
2022-04-20,14,0,0
2022-04-21,17,0,0
2022-04-22,8,0,0
2022-04-23,4,1,0
2022-04-24,8,0,0
2022-04-25,10,0,0
2022-04-26,21,1,0
2022-04-27,18,0,0
2022-04-28,26,0,0
2022-04-29,28,0,0
2022-04-30,22,0,0
2022-05-01,2,0,0
2022-05-02,18,0,4
2022-05-03,22,3,0
2022-05-04,28,1,0
2022-05-05,14,1,0
2022-05-06,15,0,0
2022-05-07,4,0,0
2022-05-08,5,0,0
2022-05-09,19,0,0
2022-05-10,19,0,0
2022-05-11,19,0,0
2022-05-12,3,0,0
2022-05-13,18,0,0
2022-05-14,5,0,0
2022-05-15,6,0,6
2022-05-16,20,0,0
2022-05-17,22,1,0
2022-05-18,13,0,0
2022-05-19,20,1,0
2022-05-20,18,0,0
2022-05-21,4,0,0
2022-05-22,3,0,0
2022-05-23,9,0,0
2022-05-24,17,0,0
2022-05-25,38,0,0
2022-05-26,11,0,0
2022-05-27,23,0,0
2022-05-28,9,0,0
2022-05-29,18,0,0
2022-05-30,3,0,0
2022-05-31,29,1,0
2022-06-01,23,1,0
2022-06-02,12,0,0
2022-06-03,27,1,0
2022-06-04,5,0,0
2022-06-05,8,1,0
2022-06-06,23,0,0
2022-06-07,21,0,0
2022-06-08,26,0,0
2022-06-09,37,0,0
2022-06-10,9,0,0
2022-06-11,17,0,0
2022-06-12,9,0,0
2022-06-13,20,0,0
2022-06-14,17,0,0
2022-06-15,25,0,0
2022-06-16,16,0,0
2022-06-17,23,0,0
2022-06-18,10,0,0
2022-06-19,6,0,0
2022-06-20,5,1,0
2022-06-21,12,0,0
2022-06-22,13,0,0
2022-06-23,17,1,0
2022-06-24,12,0,0
2022-06-25,2,0,0
2022-06-26,1,0,0
2022-06-27,3,0,0
2022-06-28,6,0,0
2022-06-29,6,0,0
2022-06-30,13,0,0
2022-07-01,5,2,0
2022-07-02,9,0,0
2022-07-03,2,0,0
2022-07-04,1,0,0
2022-07-05,7,0,0
2022-07-06,18,0,0
2022-07-07,15,0,0
2022-07-08,26,0,0
2022-07-09,5,0,0
2022-07-10,5,0,0
2022-07-11,8,0,0
2022-07-12,6,0,0
2022-07-13,11,0,0
2022-07-14,19,1,0
2022-07-15,5,0,0
2022-07-16,1,0,0
2022-07-17,0,0,0
2022-07-18,2,0,0
2022-07-19,0,0,0
2022-07-20,5,0,0
2022-07-21,0,2,0
2022-07-22,3,0,0
2022-07-23,0,0,0
2022-07-24,3,0,0
2022-07-25,9,0,0
2022-07-26,6,0,0
2022-07-27,0,0,0
2022-07-28,0,0,0
2022-07-29,0,0,0
2022-07-30,0,0,0
2022-07-31,4,0,0
2022-08-01,6,0,0
2022-08-02,4,0,0
2022-08-03,3,0,0
2022-08-04,20,0,0
2022-08-05,24,0,0
2022-08-06,8,1,0
2022-08-07,7,0,0
2022-08-08,17,0,0
2022-08-09,8,0,0
2022-08-10,6,0,0
2022-08-11,5,0,0
2022-08-12,10,0,0
2022-08-13,9,0,0
2022-08-14,12,0,0
2022-08-15,19,0,0
2022-08-16,16,1,0
2022-08-17,9,0,0
2022-08-18,18,0,0
2022-08-19,7,2,0
2022-08-20,2,0,0
2022-08-21,6,1,0
2022-08-22,7,0,0
2022-08-23,1,0,0
2022-08-24,10,0,0
2022-08-25,11,0,0
2022-08-26,25,0,0
2022-08-27,6,0,0
2022-08-28,0,0,0
2022-08-29,15,0,0
2022-08-30,9,0,0
2022-08-31,10,0,0
