,mastodon/mastodon,diaspora/diaspora,friendica/friendica
2016-08-25,1,0,0
2016-08-26,1,3,1
2016-08-27,0,0,5
2016-08-28,0,0,0
2016-08-29,0,0,2
2016-08-30,0,0,0
2016-08-31,5,0,3
2016-09-01,4,8,4
2016-09-02,1,0,1
2016-09-03,3,5,4
2016-09-04,9,37,2
2016-09-05,13,2,3
2016-09-06,1,4,10
2016-09-07,3,0,2
2016-09-08,4,4,0
2016-09-09,3,0,5
2016-09-10,9,12,0
2016-09-11,0,8,1
2016-09-12,4,8,1
2016-09-13,1,0,10
2016-09-14,0,0,2
2016-09-15,2,0,0
2016-09-16,1,0,0
2016-09-17,7,0,0
2016-09-18,10,12,3
2016-09-19,6,6,1
2016-09-20,6,10,5
2016-09-21,7,0,4
2016-09-22,5,0,9
2016-09-23,3,0,10
2016-09-24,7,0,15
2016-09-25,4,17,16
2016-09-26,4,0,1
2016-09-27,6,0,3
2016-09-28,0,8,8
2016-09-29,5,8,10
2016-09-30,3,6,8
2016-10-01,0,7,20
2016-10-02,11,0,17
2016-10-03,9,0,7
2016-10-04,0,0,9
2016-10-05,5,0,11
2016-10-06,20,0,2
2016-10-07,7,0,9
2016-10-08,1,0,2
2016-10-09,6,0,5
2016-10-10,19,0,1
2016-10-11,2,0,2
2016-10-12,14,0,0
2016-10-13,3,0,0
2016-10-14,8,0,1
2016-10-15,17,0,0
2016-10-16,11,0,2
2016-10-17,13,2,14
2016-10-18,8,29,0
2016-10-19,1,0,1
2016-10-20,4,0,4
2016-10-21,0,0,12
2016-10-22,1,0,12
2016-10-23,3,4,11
2016-10-24,3,0,11
2016-10-25,2,2,7
2016-10-26,0,2,3
2016-10-27,3,19,2
2016-10-28,5,0,10
2016-10-29,0,5,7
2016-10-30,5,0,0
2016-10-31,4,0,5
2016-11-01,2,0,4
2016-11-02,14,7,3
2016-11-03,12,3,4
2016-11-04,7,0,9
2016-11-05,5,0,7
2016-11-06,6,14,6
2016-11-07,9,0,4
2016-11-08,10,0,0
2016-11-09,6,0,6
2016-11-10,6,0,6
2016-11-11,0,0,0
2016-11-12,4,2,8
2016-11-13,13,8,13
2016-11-14,1,3,8
2016-11-15,7,6,33
2016-11-16,4,0,10
2016-11-17,4,4,5
2016-11-18,19,8,4
2016-11-19,9,3,31
2016-11-20,3,0,29
2016-11-21,27,0,5
2016-11-22,13,8,18
2016-11-23,18,6,5
2016-11-24,13,2,3
2016-11-25,26,6,4
2016-11-26,9,5,1
2016-11-27,1,2,10
2016-11-28,15,5,18
2016-11-29,8,5,17
2016-11-30,9,0,3
2016-12-01,9,4,13
2016-12-02,7,2,4
2016-12-03,9,0,4
2016-12-04,10,5,7
2016-12-05,5,0,2
2016-12-06,6,0,12
2016-12-07,6,0,0
2016-12-08,3,3,5
2016-12-09,3,0,11
2016-12-10,0,0,10
2016-12-11,8,0,4
2016-12-12,3,0,5
2016-12-13,1,7,7
2016-12-14,6,0,26
2016-12-15,1,0,20
2016-12-16,0,0,0
2016-12-17,0,0,0
2016-12-18,4,0,7
2016-12-19,2,0,16
2016-12-20,6,0,116
2016-12-21,4,0,21
2016-12-22,13,0,33
2016-12-23,1,0,22
2016-12-24,5,0,4
2016-12-25,0,0,4
2016-12-26,7,0,4
2016-12-27,2,0,4
2016-12-28,1,0,4
2016-12-29,5,0,10
2016-12-30,0,0,10
2016-12-31,2,0,3
2017-01-01,2,0,7
2017-01-02,6,0,8
2017-01-03,7,2,5
2017-01-04,3,3,8
2017-01-05,40,0,14
2017-01-06,7,0,7
2017-01-07,12,4,17
2017-01-08,18,0,5
2017-01-09,8,0,11
2017-01-10,7,5,6
2017-01-11,4,3,14
2017-01-12,6,0,6
2017-01-13,4,6,5
2017-01-14,10,12,2
2017-01-15,14,17,7
2017-01-16,10,2,10
2017-01-17,6,0,4
2017-01-18,1,5,3
2017-01-19,6,0,6
2017-01-20,7,0,7
2017-01-21,16,0,5
2017-01-22,9,2,4
2017-01-23,16,5,0
2017-01-24,13,0,3
2017-01-25,13,0,4
2017-01-26,34,0,3
2017-01-27,9,0,17
2017-01-28,5,2,19
2017-01-29,11,4,4
2017-01-30,8,0,10
2017-01-31,5,4,6
2017-02-01,5,0,12
2017-02-02,13,0,5
2017-02-03,3,0,7
2017-02-04,3,0,4
2017-02-05,19,7,2
2017-02-06,9,0,1
2017-02-07,5,0,0
2017-02-08,2,4,10
2017-02-09,4,0,1
2017-02-10,16,0,5
2017-02-11,13,3,3
2017-02-12,7,12,0
2017-02-13,16,9,0
2017-02-14,7,4,1
2017-02-15,1,1,5
2017-02-16,4,3,6
2017-02-17,13,1,3
2017-02-18,1,7,5
2017-02-19,12,4,10
2017-02-20,2,0,1
2017-02-21,0,0,5
2017-02-22,5,0,8
2017-02-23,1,0,6
2017-02-24,0,0,10
2017-02-25,1,0,1
2017-02-26,13,0,9
2017-02-27,5,0,7
2017-02-28,6,0,6
2017-03-01,13,0,1
2017-03-02,6,4,11
2017-03-03,4,0,7
2017-03-04,3,80,9
2017-03-05,9,6,8
2017-03-06,2,6,8
2017-03-07,1,0,4
2017-03-08,0,0,3
2017-03-09,0,0,1
2017-03-10,0,0,1
2017-03-11,0,0,1
2017-03-12,0,4,21
2017-03-13,2,0,29
2017-03-14,1,0,15
2017-03-15,6,0,14
2017-03-16,1,2,9
2017-03-17,6,2,8
2017-03-18,1,3,57
2017-03-19,4,0,18
2017-03-20,1,0,17
2017-03-21,2,6,19
2017-03-22,12,0,7
2017-03-23,2,7,25
2017-03-24,4,3,15
2017-03-25,8,6,57
2017-03-26,13,15,21
2017-03-27,0,6,7
2017-03-28,3,5,5
2017-03-29,1,4,0
2017-03-30,6,2,16
2017-03-31,14,0,17
2017-04-01,9,0,14
2017-04-02,62,3,13
2017-04-03,57,0,11
2017-04-04,55,0,5
2017-04-05,132,2,20
2017-04-06,38,2,1
2017-04-07,45,5,14
2017-04-08,119,0,48
2017-04-09,22,0,8
2017-04-10,25,0,2
2017-04-11,31,2,11
2017-04-12,31,0,10
2017-04-13,66,0,15
2017-04-14,16,0,27
2017-04-15,50,0,7
2017-04-16,48,0,16
2017-04-17,50,0,9
2017-04-18,27,4,10
2017-04-19,34,0,19
2017-04-20,12,0,17
2017-04-21,35,0,17
2017-04-22,18,0,11
2017-04-23,31,0,10
2017-04-24,16,0,19
2017-04-25,22,0,9
2017-04-26,23,2,13
2017-04-27,25,0,19
2017-04-28,17,0,12
2017-04-29,12,0,15
2017-04-30,11,0,5
2017-05-01,8,0,17
2017-05-02,19,0,7
2017-05-03,27,7,21
2017-05-04,20,0,5
2017-05-05,15,4,12
2017-05-06,27,0,10
2017-05-07,26,0,34
2017-05-08,19,0,25
2017-05-09,13,0,5
2017-05-10,18,0,0
2017-05-11,14,3,4
2017-05-12,22,0,12
2017-05-13,8,2,4
2017-05-14,9,0,4
2017-05-15,8,2,7
2017-05-16,11,0,13
2017-05-17,10,0,21
2017-05-18,9,0,0
2017-05-19,25,0,6
2017-05-20,23,0,12
2017-05-21,7,10,2
2017-05-22,22,2,4
2017-05-23,19,0,14
2017-05-24,7,0,9
2017-05-25,23,2,4
2017-05-26,18,0,0
2017-05-27,7,0,3
2017-05-28,13,0,8
2017-05-29,37,4,8
2017-05-30,19,0,3
2017-05-31,26,0,8
2017-06-01,12,0,3
2017-06-02,6,0,0
2017-06-03,11,0,5
2017-06-04,23,0,11
2017-06-05,18,0,10
2017-06-06,14,0,33
2017-06-07,13,0,14
2017-06-08,10,0,15
2017-06-09,13,0,6
2017-06-10,5,0,0
2017-06-11,10,0,5
2017-06-12,10,0,8
2017-06-13,3,0,9
2017-06-14,11,0,0
2017-06-15,6,0,3
2017-06-16,3,0,6
2017-06-17,2,0,5
2017-06-18,7,0,7
2017-06-19,13,0,4
2017-06-20,14,0,3
2017-06-21,1,0,2
2017-06-22,7,0,0
2017-06-23,18,0,0
2017-06-24,6,0,2
2017-06-25,14,0,0
2017-06-26,7,0,9
2017-06-27,12,0,0
2017-06-28,8,0,8
2017-06-29,2,0,4
2017-06-30,11,2,6
2017-07-01,2,0,1
2017-07-02,3,12,6
2017-07-03,6,14,2
2017-07-04,6,9,3
2017-07-05,4,5,0
2017-07-06,11,3,7
2017-07-07,13,4,8
2017-07-08,9,0,6
2017-07-09,9,0,6
2017-07-10,17,0,6
2017-07-11,10,0,5
2017-07-12,7,6,7
2017-07-13,7,5,6
2017-07-14,18,3,2
2017-07-15,4,0,4
2017-07-16,6,0,0
2017-07-17,11,0,3
2017-07-18,17,2,0
2017-07-19,16,0,2
2017-07-20,2,0,1
2017-07-21,8,0,2
2017-07-22,7,58,4
2017-07-23,17,11,10
2017-07-24,21,3,0
2017-07-25,12,3,1
2017-07-26,16,2,1
2017-07-27,16,0,2
2017-07-28,27,0,0
2017-07-29,8,0,0
2017-07-30,7,9,0
2017-07-31,11,4,5
2017-08-01,7,1,3
2017-08-02,6,0,6
2017-08-03,5,3,7
2017-08-04,4,3,1
2017-08-05,4,0,1
2017-08-06,5,0,0
2017-08-07,10,4,0
2017-08-08,10,1,2
2017-08-09,1,19,17
2017-08-10,4,20,6
2017-08-11,1,6,8
2017-08-12,5,71,12
2017-08-13,0,43,0
2017-08-14,9,17,9
2017-08-15,1,0,7
2017-08-16,5,10,3
2017-08-17,6,9,0
2017-08-18,4,0,1
2017-08-19,2,17,2
2017-08-20,9,0,1
2017-08-21,7,0,2
2017-08-22,6,0,2
2017-08-23,6,4,7
2017-08-24,10,6,7
2017-08-25,9,0,9
2017-08-26,9,9,10
2017-08-27,7,0,7
2017-08-28,4,2,5
2017-08-29,4,18,6
2017-08-30,9,0,12
2017-08-31,5,10,2
2017-09-01,15,0,1
2017-09-02,21,0,4
2017-09-03,7,2,1
2017-09-04,6,2,5
2017-09-05,7,0,2
2017-09-06,11,0,10
2017-09-07,8,0,6
2017-09-08,6,0,9
2017-09-09,13,0,2
2017-09-10,10,0,7
2017-09-11,8,0,2
2017-09-12,3,0,4
2017-09-13,12,0,2
2017-09-14,19,0,11
2017-09-15,1,0,16
2017-09-16,10,0,6
2017-09-17,8,14,2
2017-09-18,9,4,3
2017-09-19,16,4,4
2017-09-20,11,0,6
2017-09-21,2,0,10
2017-09-22,11,0,0
2017-09-23,9,0,9
2017-09-24,9,0,21
2017-09-25,11,0,8
2017-09-26,2,6,3
2017-09-27,5,0,9
2017-09-28,9,44,6
2017-09-29,7,0,1
2017-09-30,12,0,11
2017-10-01,4,0,3
2017-10-02,10,0,4
2017-10-03,17,0,5
2017-10-04,13,0,6
2017-10-05,3,0,14
2017-10-06,14,0,2
2017-10-07,11,0,12
2017-10-08,13,0,8
2017-10-09,8,0,4
2017-10-10,12,0,7
2017-10-11,16,0,6
2017-10-12,11,0,5
2017-10-13,10,0,20
2017-10-14,10,0,2
2017-10-15,3,0,10
2017-10-16,19,16,18
2017-10-17,17,3,11
2017-10-18,8,0,25
2017-10-19,2,3,6
2017-10-20,0,7,3
2017-10-21,1,0,5
2017-10-22,0,0,3
2017-10-23,0,0,9
2017-10-24,0,0,4
2017-10-25,3,0,3
2017-10-26,4,0,2
2017-10-27,10,2,2
2017-10-28,2,0,1
2017-10-29,4,0,5
2017-10-30,1,0,2
2017-10-31,7,7,16
2017-11-01,4,0,3
2017-11-02,0,0,10
2017-11-03,1,0,6
2017-11-04,0,0,19
2017-11-05,4,0,14
2017-11-06,2,0,11
2017-11-07,13,0,21
2017-11-08,4,0,21
2017-11-09,7,0,20
2017-11-10,2,0,20
2017-11-11,3,0,10
2017-11-12,4,0,5
2017-11-13,3,0,1
2017-11-14,11,0,3
2017-11-15,9,0,9
2017-11-16,4,0,13
2017-11-17,9,0,4
2017-11-18,4,0,11
2017-11-19,8,0,42
2017-11-20,1,0,12
2017-11-21,3,0,10
2017-11-22,0,0,11
2017-11-23,2,0,9
2017-11-24,9,0,19
2017-11-25,7,0,32
2017-11-26,1,0,39
2017-11-27,8,0,13
2017-11-28,6,0,6
2017-11-29,3,0,14
2017-11-30,3,0,5
2017-12-01,6,0,17
2017-12-02,1,0,13
2017-12-03,4,1,15
2017-12-04,1,0,26
2017-12-05,4,0,23
2017-12-06,14,0,19
2017-12-07,9,0,30
2017-12-08,6,0,26
2017-12-09,17,0,13
2017-12-10,7,0,12
2017-12-11,4,0,2
2017-12-12,14,0,5
2017-12-13,25,0,26
2017-12-14,4,0,13
2017-12-15,4,0,10
2017-12-16,0,0,14
2017-12-17,1,0,35
2017-12-18,0,5,20
2017-12-19,0,0,24
2017-12-20,3,0,5
2017-12-21,0,0,9
2017-12-22,3,0,9
2017-12-23,1,0,16
2017-12-24,5,3,9
2017-12-25,3,4,9
2017-12-26,2,4,6
2017-12-27,3,0,6
2017-12-28,1,0,2
2017-12-29,1,0,9
2017-12-30,2,2,22
2017-12-31,1,0,4
2018-01-01,0,0,4
2018-01-02,11,0,25
2018-01-03,8,0,8
2018-01-04,15,0,43
2018-01-05,7,4,20
2018-01-06,0,0,4
2018-01-07,5,0,20
2018-01-08,6,6,11
2018-01-09,6,0,16
2018-01-10,0,0,42
2018-01-11,0,0,26
2018-01-12,1,4,21
2018-01-13,0,0,15
2018-01-14,0,0,24
2018-01-15,8,0,65
2018-01-16,5,0,15
2018-01-17,9,0,30
2018-01-18,3,0,29
2018-01-19,8,0,18
2018-01-20,7,0,37
2018-01-21,7,2,21
2018-01-22,4,0,32
2018-01-23,5,0,13
2018-01-24,7,0,27
2018-01-25,2,0,15
2018-01-26,1,0,2
2018-01-27,0,0,48
2018-01-28,2,0,28
2018-01-29,3,0,7
2018-01-30,0,0,9
2018-01-31,2,2,13
2018-02-01,2,11,10
2018-02-02,11,0,16
2018-02-03,3,2,42
2018-02-04,7,0,25
2018-02-05,1,0,25
2018-02-06,0,0,14
2018-02-07,2,0,12
2018-02-08,5,7,15
2018-02-09,2,4,11
2018-02-10,3,2,6
2018-02-11,3,0,7
2018-02-12,0,0,19
2018-02-13,1,0,9
2018-02-14,0,0,14
2018-02-15,3,0,9
2018-02-16,5,1,7
2018-02-17,3,6,2
2018-02-18,5,0,15
2018-02-19,2,0,1
2018-02-20,4,0,4
2018-02-21,8,3,15
2018-02-22,7,0,9
2018-02-23,1,0,2
2018-02-24,4,0,2
2018-02-25,1,12,3
2018-02-26,8,5,19
2018-02-27,2,0,12
2018-02-28,3,0,8
2018-03-01,9,0,6
2018-03-02,10,0,26
2018-03-03,2,1,28
2018-03-04,12,1,16
2018-03-05,10,0,18
2018-03-06,7,3,3
2018-03-07,13,0,25
2018-03-08,15,0,12
2018-03-09,8,2,14
2018-03-10,6,4,8
2018-03-11,8,1,18
2018-03-12,8,2,7
2018-03-13,14,0,8
2018-03-14,0,0,12
2018-03-15,0,0,8
2018-03-16,0,2,11
2018-03-17,12,0,20
2018-03-18,4,4,24
2018-03-19,8,0,31
