,primer/css,twbs/bootstrap,zurb/foundation-sites
2016-06-30,0,0,2
2016-07-01,0,0,6
2016-07-02,0,0,1
2016-07-03,0,0,0
2016-07-04,0,2,0
2016-07-05,4,1,2
2016-07-06,5,2,3
2016-07-07,0,0,4
2016-07-08,0,4,4
2016-07-09,0,1,0
2016-07-10,0,1,0
2016-07-11,0,0,17
2016-07-12,2,7,27
2016-07-13,0,1,4
2016-07-14,10,2,3
2016-07-15,0,0,1
2016-07-16,0,2,0
2016-07-17,0,2,0
2016-07-18,0,0,3
2016-07-19,0,1,5
2016-07-20,0,5,0
2016-07-21,0,1,1
2016-07-22,0,0,3
2016-07-23,0,0,1
2016-07-24,0,8,1
2016-07-25,0,3,1
2016-07-26,0,11,0
2016-07-27,0,14,1
2016-07-28,0,8,5
2016-07-29,0,0,5
2016-07-30,0,3,3
2016-07-31,0,0,0
2016-08-01,0,0,5
2016-08-02,0,9,8
2016-08-03,0,2,1
2016-08-04,0,3,1
2016-08-05,0,0,1
2016-08-06,0,1,2
2016-08-07,0,1,1
2016-08-08,0,0,0
2016-08-09,0,2,4
2016-08-10,0,0,0
2016-08-11,0,0,1
2016-08-12,0,0,1
2016-08-13,0,0,1
2016-08-14,0,0,5
2016-08-15,0,1,0
2016-08-16,0,0,5
2016-08-17,0,0,0
2016-08-18,0,1,5
2016-08-19,0,1,2
2016-08-20,0,2,0
2016-08-21,0,1,1
2016-08-22,0,13,0
2016-08-23,0,1,1
2016-08-24,0,0,1
2016-08-25,0,0,2
2016-08-26,4,0,0
2016-08-27,0,0,0
2016-08-28,0,0,0
2016-08-29,0,1,3
2016-08-30,1,0,2
2016-08-31,0,0,2
2016-09-01,0,0,0
2016-09-02,1,0,0
2016-09-03,0,0,0
2016-09-04,0,0,0
2016-09-05,0,18,0
2016-09-06,9,7,0
2016-09-07,0,2,0
2016-09-08,0,10,1
2016-09-09,0,8,3
2016-09-10,0,1,0
2016-09-11,0,0,0
2016-09-12,0,21,0
2016-09-13,1,1,15
2016-09-14,0,1,1
2016-09-15,0,4,0
2016-09-16,0,1,1
2016-09-17,0,0,0
2016-09-18,0,0,1
2016-09-19,0,0,0
2016-09-20,0,0,0
2016-09-21,0,0,1
2016-09-22,0,2,0
2016-09-23,0,1,1
2016-09-24,0,0,1
2016-09-25,0,0,0
2016-09-26,0,1,6
2016-09-27,0,0,10
2016-09-28,0,0,12
2016-09-29,0,0,10
2016-09-30,0,0,11
2016-10-01,0,0,2
2016-10-02,0,1,2
2016-10-03,0,24,8
2016-10-04,0,1,4
2016-10-05,0,0,15
2016-10-06,0,1,28
2016-10-07,0,3,10
2016-10-08,0,0,4
2016-10-09,0,41,2
2016-10-10,2,26,7
2016-10-11,3,3,2
2016-10-12,0,1,3
2016-10-13,0,2,11
2016-10-14,0,0,12
2016-10-15,0,3,1
2016-10-16,0,1,1
2016-10-17,0,8,2
2016-10-18,0,8,8
2016-10-19,0,23,0
2016-10-20,0,8,7
2016-10-21,0,0,27
2016-10-22,0,1,3
2016-10-23,0,0,1
2016-10-24,0,8,3
2016-10-25,0,13,7
2016-10-26,0,6,3
2016-10-27,2,26,4
2016-10-28,0,25,0
2016-10-29,0,2,3
2016-10-30,0,14,0
2016-10-31,2,1,21
2016-11-01,0,8,22
2016-11-02,0,0,6
2016-11-03,1,1,4
2016-11-04,0,2,9
2016-11-05,0,3,6
2016-11-06,0,2,1
2016-11-07,0,0,7
2016-11-08,6,3,14
2016-11-09,0,2,17
2016-11-10,0,3,8
2016-11-11,0,0,12
2016-11-12,0,1,14
2016-11-13,0,3,1
2016-11-14,0,0,8
2016-11-15,0,0,31
2016-11-16,0,1,22
2016-11-17,2,5,22
2016-11-18,0,0,7
2016-11-19,0,0,0
2016-11-20,0,0,4
2016-11-21,0,0,5
2016-11-22,0,0,1
2016-11-23,2,8,0
2016-11-24,0,3,4
2016-11-25,0,9,5
2016-11-26,0,45,0
2016-11-27,0,17,0
2016-11-28,2,24,10
2016-11-29,2,9,10
2016-11-30,0,4,31
2016-12-01,0,3,26
2016-12-02,0,7,5
2016-12-03,0,0,6
2016-12-04,0,0,7
2016-12-05,0,36,18
2016-12-06,0,2,21
2016-12-07,0,0,37
2016-12-08,0,5,11
2016-12-09,0,0,12
2016-12-10,0,0,0
2016-12-11,0,4,1
2016-12-12,1,1,8
2016-12-13,0,0,3
2016-12-14,0,0,9
2016-12-15,0,0,10
2016-12-16,0,0,3
2016-12-17,0,0,0
2016-12-18,0,0,3
2016-12-19,0,2,14
2016-12-20,0,16,14
2016-12-21,0,2,12
2016-12-22,0,68,5
2016-12-23,0,42,5
2016-12-24,0,30,3
2016-12-25,0,32,3
2016-12-26,0,6,1
2016-12-27,0,14,1
2016-12-28,0,45,1
2016-12-29,0,48,3
2016-12-30,0,0,2
2016-12-31,0,20,4
2017-01-01,5,7,0
2017-01-02,0,15,0
2017-01-03,6,6,13
2017-01-04,0,20,13
2017-01-05,0,7,5
2017-01-06,0,8,2
2017-01-07,0,0,0
2017-01-08,0,1,0
2017-01-09,0,0,3
2017-01-10,0,3,1
2017-01-11,0,3,2
2017-01-12,0,1,7
2017-01-13,0,0,12
2017-01-14,0,1,11
2017-01-15,0,7,4
2017-01-16,0,13,14
2017-01-17,0,0,22
2017-01-18,4,2,6
2017-01-19,2,0,7
2017-01-20,0,0,3
2017-01-21,0,13,1
2017-01-22,0,6,0
2017-01-23,0,3,8
2017-01-24,0,8,4
2017-01-25,0,2,7
2017-01-26,1,2,7
2017-01-27,0,0,4
2017-01-28,0,2,4
2017-01-29,0,0,9
2017-01-30,0,0,6
2017-01-31,0,0,22
2017-02-01,1,0,16
2017-02-02,0,0,23
2017-02-03,0,0,18
2017-02-04,0,3,11
2017-02-05,0,5,23
2017-02-06,0,0,21
2017-02-07,0,0,13
2017-02-08,0,4,13
2017-02-09,0,2,5
2017-02-10,0,0,5
2017-02-11,0,0,5
2017-02-12,0,2,15
2017-02-13,0,2,8
2017-02-14,0,0,4
2017-02-15,0,0,1
2017-02-16,0,0,1
2017-02-17,0,0,0
2017-02-18,0,0,2
2017-02-19,0,0,1
2017-02-20,0,0,3
2017-02-21,0,1,4
2017-02-22,0,1,6
2017-02-23,0,0,4
2017-02-24,0,0,16
2017-02-25,0,2,0
2017-02-26,0,2,0
2017-02-27,0,2,0
2017-02-28,0,0,10
2017-03-01,0,0,4
2017-03-02,0,1,1
2017-03-03,0,7,2
2017-03-04,4,2,1
2017-03-05,0,11,3
2017-03-06,0,0,2
2017-03-07,0,1,4
2017-03-08,0,2,3
2017-03-09,0,1,1
2017-03-10,0,0,4
2017-03-11,0,0,9
2017-03-12,0,2,10
2017-03-13,0,3,0
2017-03-14,0,0,2
2017-03-15,0,1,1
2017-03-16,0,0,2
2017-03-17,0,0,0
2017-03-18,0,10,1
2017-03-19,0,10,0
2017-03-20,0,19,6
2017-03-21,0,3,0
2017-03-22,0,2,0
2017-03-23,0,2,1
2017-03-24,0,16,1
2017-03-25,0,0,0
2017-03-26,0,16,0
2017-03-27,0,2,0
2017-03-28,0,11,1
2017-03-29,0,0,4
2017-03-30,0,1,0
2017-03-31,0,1,0
2017-04-01,0,0,0
2017-04-02,0,5,1
2017-04-03,0,2,15
2017-04-04,0,0,12
2017-04-05,0,0,5
2017-04-06,0,0,5
2017-04-07,0,3,8
2017-04-08,0,18,3
2017-04-09,0,16,1
2017-04-10,0,5,10
2017-04-11,0,3,2
2017-04-12,2,5,0
2017-04-13,0,3,3
2017-04-14,0,1,3
2017-04-15,0,0,0
2017-04-16,0,8,0
2017-04-17,0,1,10
2017-04-18,0,3,55
2017-04-19,0,2,20
2017-04-20,0,4,18
2017-04-21,0,1,6
2017-04-22,0,8,5
2017-04-23,0,0,0
2017-04-24,0,0,6
2017-04-25,0,1,13
2017-04-26,0,1,14
2017-04-27,0,3,4
2017-04-28,0,1,6
2017-04-29,0,3,0
2017-04-30,0,0,3
2017-05-01,0,1,0
2017-05-02,0,2,0
2017-05-03,0,0,2
2017-05-04,0,1,5
2017-05-05,0,3,10
2017-05-06,0,0,0
2017-05-07,0,0,1
2017-05-08,0,2,7
2017-05-09,0,1,1
2017-05-10,2,0,10
2017-05-11,6,0,17
2017-05-12,0,0,23
2017-05-13,0,0,32
2017-05-14,0,27,41
2017-05-15,0,0,74
2017-05-16,0,2,56
2017-05-17,0,3,12
2017-05-18,0,0,14
2017-05-19,0,0,10
2017-05-20,0,0,3
2017-05-21,0,0,13
2017-05-22,0,2,17
2017-05-23,0,2,11
2017-05-24,0,6,20
2017-05-25,0,1,28
2017-05-26,1,6,5
2017-05-27,0,18,6
2017-05-28,0,37,22
2017-05-29,0,18,6
2017-05-30,0,36,25
2017-05-31,0,10,82
2017-06-01,0,7,38
2017-06-02,0,1,9
2017-06-03,0,1,7
2017-06-04,6,3,5
2017-06-05,1,0,6
2017-06-06,0,6,3
2017-06-07,0,3,1
2017-06-08,4,0,8
2017-06-09,5,0,20
2017-06-10,10,6,0
2017-06-11,10,2,0
2017-06-12,32,0,6
2017-06-13,0,8,2
2017-06-14,3,13,7
2017-06-15,3,22,2
2017-06-16,0,4,11
2017-06-17,0,13,5
2017-06-18,0,16,0
2017-06-19,3,6,20
2017-06-20,0,0,17
2017-06-21,0,2,8
2017-06-22,14,1,45
2017-06-23,9,0,3
2017-06-24,0,0,5
2017-06-25,5,0,2
2017-06-26,1,18,27
2017-06-27,0,1,23
2017-06-28,7,6,16
2017-06-29,14,1,8
2017-06-30,0,39,12
2017-07-01,0,5,3
2017-07-02,0,26,2
2017-07-03,4,0,14
2017-07-04,0,9,6
2017-07-05,1,3,9
2017-07-06,0,1,12
2017-07-07,35,0,13
2017-07-08,2,2,7
2017-07-09,2,0,0
2017-07-10,6,4,0
2017-07-11,7,1,2
2017-07-12,33,2,6
2017-07-13,27,1,8
2017-07-14,11,4,8
2017-07-15,0,1,3
2017-07-16,0,7,1
2017-07-17,17,1,3
2017-07-18,5,2,2
2017-07-19,1,0,9
2017-07-20,17,0,2
2017-07-21,9,0,16
2017-07-22,0,0,1
2017-07-23,0,0,2
2017-07-24,18,0,3
2017-07-25,38,0,33
2017-07-26,19,0,2
2017-07-27,7,2,2
2017-07-28,9,3,4
2017-07-29,0,0,1
2017-07-30,0,8,0
2017-07-31,12,4,0
2017-08-01,0,0,11
2017-08-02,0,0,4
2017-08-03,3,0,5
2017-08-04,4,8,6
2017-08-05,0,0,4
2017-08-06,0,0,3
2017-08-07,0,5,6
2017-08-08,1,6,0
2017-08-09,16,8,1
2017-08-10,6,1,6
2017-08-11,11,78,2
2017-08-12,0,4,0
2017-08-13,2,19,0
2017-08-14,21,8,4
2017-08-15,4,23,0
2017-08-16,7,2,1
2017-08-17,5,5,3
2017-08-18,5,4,7
2017-08-19,1,1,0
2017-08-20,0,16,0
2017-08-21,3,4,2
2017-08-22,2,11,0
2017-08-23,1,3,1
2017-08-24,1,1,1
2017-08-25,0,6,2
2017-08-26,0,3,3
2017-08-27,0,1,1
2017-08-28,0,4,6
2017-08-29,0,7,6
2017-08-30,14,3,13
2017-08-31,5,6,4
2017-09-01,7,3,0
2017-09-02,12,7,0
2017-09-03,5,3,0
2017-09-04,0,14,1
2017-09-05,2,2,5
2017-09-06,13,14,0
2017-09-07,13,4,10
2017-09-08,14,3,9
2017-09-09,3,1,4
2017-09-10,0,11,1
2017-09-11,10,5,3
2017-09-12,19,6,2
2017-09-13,11,6,0
2017-09-14,2,1,3
2017-09-15,5,4,2
2017-09-16,5,0,1
2017-09-17,0,8,0
2017-09-18,0,0,7
2017-09-19,0,0,1
2017-09-20,7,1,0
2017-09-21,5,0,1
2017-09-22,16,0,2
2017-09-23,0,1,0
2017-09-24,0,2,0
2017-09-25,8,2,7
2017-09-26,7,21,3
2017-09-27,0,12,4
2017-09-28,0,2,0
2017-09-29,0,8,0
2017-09-30,0,2,0
2017-10-01,0,18,2
2017-10-02,1,12,1
2017-10-03,0,46,6
2017-10-04,1,36,9
2017-10-05,7,5,12
2017-10-06,0,5,0
2017-10-07,0,0,5
2017-10-08,0,6,0
2017-10-09,16,8,0
2017-10-10,5,6,3
2017-10-11,13,1,1
2017-10-12,8,1,3
2017-10-13,0,3,0
2017-10-14,0,1,0
2017-10-15,0,3,0
2017-10-16,2,7,2
2017-10-17,1,5,1
2017-10-18,0,17,0
2017-10-19,18,40,0
2017-10-20,4,12,0
2017-10-21,0,0,0
2017-10-22,0,31,0
2017-10-23,5,17,0
2017-10-24,12,2,0
2017-10-25,21,6,1
2017-10-26,1,1,0
2017-10-27,31,3,0
2017-10-28,1,2,0
2017-10-29,0,15,0
2017-10-30,0,12,0
2017-10-31,3,14,0
2017-11-01,11,1,2
2017-11-02,33,1,2
2017-11-03,14,8,0
2017-11-04,8,0,0
2017-11-05,0,0,0
2017-11-06,11,15,0
2017-11-07,24,8,0
2017-11-08,20,2,0
2017-11-09,7,6,0
2017-11-10,16,0,0
2017-11-11,0,3,0
2017-11-12,0,0,0
2017-11-13,8,2,0
2017-11-14,12,0,0
2017-11-15,20,6,0
2017-11-16,2,4,1
2017-11-17,13,1,0
2017-11-18,0,0,3
2017-11-19,0,2,1
2017-11-20,0,3,0
2017-11-21,0,0,0
2017-11-22,0,0,2
2017-11-23,0,3,0
2017-11-24,0,5,0
2017-11-25,0,10,0
2017-11-26,0,1,0
2017-11-27,0,3,0
2017-11-28,0,2,0
2017-11-29,0,2,0
2017-11-30,0,0,0
2017-12-01,2,2,0
2017-12-02,0,3,0
2017-12-03,0,0,0
2017-12-04,0,1,0
2017-12-05,0,1,0
2017-12-06,1,0,0
2017-12-07,3,1,0
2017-12-08,2,1,0
2017-12-09,0,0,0
2017-12-10,0,0,0
2017-12-11,6,1,1
2017-12-12,0,2,0
2017-12-13,0,0,0
2017-12-14,0,0,0
2017-12-15,0,0,1
2017-12-16,0,1,0
2017-12-17,0,1,0
2017-12-18,7,0,0
2017-12-19,1,0,0
2017-12-20,0,0,0
2017-12-21,0,0,1
2017-12-22,2,2,1
2017-12-23,0,13,4
2017-12-24,0,6,13
2017-12-25,0,0,8
2017-12-26,0,9,7
2017-12-27,0,15,3
2017-12-28,0,22,3
2017-12-29,0,1,0
2017-12-30,0,11,5
2017-12-31,0,16,3
2018-01-01,0,2,1
2018-01-02,0,7,7
2018-01-03,2,10,7
2018-01-04,1,2,3
2018-01-05,10,2,0
2018-01-06,1,1,10
2018-01-07,0,0,10
2018-01-08,0,1,2
2018-01-09,2,0,6
2018-01-10,2,1,6
2018-01-11,1,11,5
2018-01-12,6,1,2
2018-01-13,4,5,2
2018-01-14,0,6,3
2018-01-15,0,9,2
2018-01-16,1,7,6
2018-01-17,3,4,4
2018-01-18,1,9,7
2018-01-19,0,4,3
2018-01-20,0,5,5
2018-01-21,0,7,3
2018-01-22,0,4,5
2018-01-23,0,2,0
2018-01-24,0,0,3
2018-01-25,0,0,4
2018-01-26,0,0,0
2018-01-27,0,0,0
2018-01-28,0,1,6
2018-01-29,0,0,0
2018-01-30,0,3,4
2018-01-31,0,4,4
2018-02-01,0,0,3
2018-02-02,0,1,1
2018-02-03,0,3,9
2018-02-04,0,0,5
2018-02-05,0,1,3
2018-02-06,0,0,3
2018-02-07,1,1,0
2018-02-08,0,0,2
2018-02-09,0,1,1
2018-02-10,0,0,5
2018-02-11,0,9,6
2018-02-12,0,2,1
2018-02-13,0,1,1
2018-02-14,0,1,3
2018-02-15,0,0,6
2018-02-16,0,2,0
2018-02-17,0,0,8
2018-02-18,0,0,6
2018-02-19,0,6,0
2018-02-20,0,2,10
2018-02-21,0,1,22
2018-02-22,0,0,5
2018-02-23,0,0,3
2018-02-24,0,8,1
2018-02-25,0,1,5
2018-02-26,1,0,16
2018-02-27,0,0,3
2018-02-28,6,0,3
2018-03-01,0,1,4
2018-03-02,0,1,11
2018-03-03,0,4,2
2018-03-04,0,2,8
2018-03-05,2,2,4
2018-03-06,1,1,6
2018-03-07,0,0,1
2018-03-08,0,3,9
2018-03-09,0,0,5
2018-03-10,0,0,9
2018-03-11,0,0,4
2018-03-12,0,14,4
2018-03-13,1,8,7
2018-03-14,2,3,1
2018-03-15,0,1,20
2018-03-16,0,2,1
2018-03-17,0,1,6
2018-03-18,0,0,5
2018-03-19,0,0,4
2018-03-20,4,2,9
2018-03-21,0,11,3
2018-03-22,0,0,4
2018-03-23,0,0,7
2018-03-24,0,0,16
2018-03-25,0,0,7
2018-03-26,9,1,7
2018-03-27,4,1,5
2018-03-28,0,0,7
2018-03-29,0,1,9
2018-03-30,0,5,8
2018-03-31,0,3,7
2018-04-01,0,15,10
2018-04-02,0,7,13
2018-04-03,0,0,11
2018-04-04,0,0,1
2018-04-05,2,4,5
2018-04-06,0,0,2
2018-04-07,0,1,2
2018-04-08,0,1,4
2018-04-09,0,2,4
2018-04-10,0,4,7
2018-04-11,0,1,4
2018-04-12,0,3,6
2018-04-13,0,1,6
2018-04-14,0,1,5
2018-04-15,0,1,2
2018-04-16,0,5,1
2018-04-17,0,3,1
2018-04-18,0,0,7
2018-04-19,0,1,1
2018-04-20,0,0,9
2018-04-21,0,0,8
2018-04-22,0,1,4
2018-04-23,0,0,3
2018-04-24,0,6,4
2018-04-25,0,0,2
