,sindresorhus/type-fest,definitelytyped/definitelytyped,microsoft/TypeScript
2022-04-18,1,21,2
2022-04-19,0,17,3
2022-04-20,0,9,2
2022-04-21,0,24,5
2022-04-22,0,17,5
2022-04-23,0,4,0
2022-04-24,0,7,0
2022-04-25,0,15,4
2022-04-26,0,28,2
2022-04-27,0,11,7
2022-04-28,0,13,2
2022-04-29,0,2,4
2022-04-30,0,3,0
2022-05-01,0,2,2
2022-05-02,0,20,6
2022-05-03,0,12,3
2022-05-04,0,7,9
2022-05-05,0,9,8
2022-05-06,0,11,5
2022-05-07,0,3,3
2022-05-08,0,3,1
2022-05-09,0,12,13
2022-05-10,0,10,6
2022-05-11,0,10,5
2022-05-12,0,19,4
