,evanw/esbuild,parcel-bundler/parcel,fredkschott/snowpack
2021-05-23,3,0,0
2021-05-24,1,7,14
2021-05-25,2,2,0
2021-05-26,8,0,0
2021-05-27,20,0,4
2021-05-28,4,4,0
2021-05-29,0,1,0
2021-05-30,0,1,0
2021-05-31,0,1,0
2021-06-01,0,2,6
2021-06-02,1,1,1
2021-06-03,1,6,4
2021-06-04,5,1,3
2021-06-05,1,3,0
2021-06-06,3,3,0
2021-06-07,2,3,6
2021-06-08,6,0,3
2021-06-09,1,1,0
2021-06-10,1,1,3
2021-06-11,0,2,0
2021-06-12,0,1,0
2021-06-13,0,1,0
2021-06-14,0,0,0
2021-06-15,1,2,0
2021-06-16,2,0,10
2021-06-17,0,3,8
2021-06-18,0,0,0
2021-06-19,0,1,0
2021-06-20,0,3,0
2021-06-21,0,0,0
2021-06-22,0,2,6
2021-06-23,1,1,2
2021-06-24,2,1,4
2021-06-25,0,1,13
2021-06-26,1,2,0
2021-06-27,3,5,0
2021-06-28,10,3,0
2021-06-29,0,2,11
2021-06-30,0,0,9
2021-07-01,7,3,2
2021-07-02,0,1,0
2021-07-03,0,0,0
2021-07-04,0,0,0
2021-07-05,1,2,0
2021-07-06,2,1,4
2021-07-07,0,3,4
2021-07-08,0,4,5
2021-07-09,0,3,0
2021-07-10,0,1,0
2021-07-11,0,3,0
2021-07-12,0,2,1
2021-07-13,0,2,3
2021-07-14,0,0,0
2021-07-15,0,0,0
2021-07-16,0,0,0
2021-07-17,3,3,0
2021-07-18,0,2,0
2021-07-19,0,0,0
2021-07-20,0,2,0
2021-07-21,0,1,3
2021-07-22,0,0,0
2021-07-23,0,1,0
2021-07-24,0,5,0
2021-07-25,1,2,0
2021-07-26,4,0,1
2021-07-27,1,2,1
2021-07-28,0,1,0
2021-07-29,5,0,0
2021-07-30,0,0,0
2021-07-31,0,2,0
2021-08-01,3,0,0
2021-08-02,0,1,0
2021-08-03,0,1,7
2021-08-04,2,0,4
2021-08-05,6,0,0
2021-08-06,0,2,0
2021-08-07,10,0,0
2021-08-08,3,0,0
2021-08-09,0,0,0
2021-08-10,1,1,7
2021-08-11,0,1,0
2021-08-12,2,1,0
2021-08-13,0,0,0
2021-08-14,0,0,0
2021-08-15,0,0,0
2021-08-16,0,1,0
2021-08-17,3,1,0
2021-08-18,3,0,0
2021-08-19,0,1,0
2021-08-20,2,0,0
2021-08-21,1,2,0
2021-08-22,0,2,0
2021-08-23,0,3,1
2021-08-24,0,0,12
2021-08-25,1,1,0
2021-08-26,4,1,4
2021-08-27,2,1,0
2021-08-28,0,1,0
2021-08-29,0,4,0
2021-08-30,0,2,0
2021-08-31,1,2,0
2021-09-01,0,3,0
2021-09-02,6,5,0
2021-09-03,0,0,0
2021-09-04,0,0,0
2021-09-05,0,0,0
2021-09-06,0,1,0
2021-09-07,0,1,0
2021-09-08,3,0,0
2021-09-09,6,0,0
2021-09-10,0,1,0
2021-09-11,0,4,0
2021-09-12,3,0,0
2021-09-13,3,0,0
2021-09-14,3,1,0
2021-09-15,0,1,0
2021-09-16,0,2,0
2021-09-17,0,0,0
2021-09-18,0,1,0
2021-09-19,0,0,0
2021-09-20,0,1,2
2021-09-21,2,1,0
2021-09-22,13,0,0
2021-09-23,6,0,0
2021-09-24,0,0,0
2021-09-25,0,0,0
2021-09-26,0,0,0
2021-09-27,0,0,0
2021-09-28,2,1,0
2021-09-29,0,1,0
2021-09-30,0,2,0
2021-10-01,0,3,0
2021-10-02,0,0,0
2021-10-03,0,2,0
2021-10-04,3,3,0
2021-10-05,5,4,0
2021-10-06,0,5,0
2021-10-07,0,3,0
2021-10-08,0,6,0
2021-10-09,0,3,0
2021-10-10,0,1,0
2021-10-11,0,0,0
2021-10-12,4,5,0
2021-10-13,8,2,0
2021-10-14,10,1,0
2021-10-15,7,1,0
2021-10-16,2,1,0
2021-10-17,2,0,0
2021-10-18,0,1,0
2021-10-19,0,0,1
2021-10-20,0,0,0
2021-10-21,0,1,0
2021-10-22,0,0,0
2021-10-23,11,0,0
2021-10-24,5,1,0
2021-10-25,1,0,0
2021-10-26,0,3,0
2021-10-27,3,1,0
2021-10-28,6,0,0
2021-10-29,0,1,0
2021-10-30,11,0,0
2021-10-31,2,1,0
2021-11-01,0,1,0
2021-11-02,0,6,0
2021-11-03,2,0,0
2021-11-04,1,1,0
2021-11-05,0,1,0
2021-11-06,0,0,0
2021-11-07,0,0,0
2021-11-08,0,4,0
2021-11-09,9,0,0
2021-11-10,0,0,0
2021-11-11,1,0,0
2021-11-12,0,1,0
2021-11-13,0,0,0
2021-11-14,0,2,0
2021-11-15,3,0,0
2021-11-16,5,4,0
2021-11-17,0,0,0
2021-11-18,0,0,0
2021-11-19,0,0,0
2021-11-20,6,0,0
2021-11-21,3,1,0
2021-11-22,1,0,0
2021-11-23,6,7,0
2021-11-24,4,1,0
2021-11-25,0,0,0
2021-11-26,5,0,0
2021-11-27,9,0,0
2021-11-28,1,5,0
2021-11-29,1,2,0
2021-11-30,10,2,0
2021-12-01,1,0,0
2021-12-02,0,1,0
2021-12-03,7,0,0
2021-12-04,23,0,0
2021-12-05,0,0,0
2021-12-06,0,0,0
2021-12-07,0,1,0
2021-12-08,0,3,0
2021-12-09,0,0,0
2021-12-10,0,0,0
2021-12-11,1,1,0
2021-12-12,5,2,0
2021-12-13,2,2,0
2021-12-14,7,1,0
2021-12-15,5,0,0
2021-12-16,0,2,0
2021-12-17,0,2,0
2021-12-18,0,0,0
2021-12-19,0,2,0
2021-12-20,5,0,0
2021-12-21,7,0,0
2021-12-22,12,0,0
2021-12-23,6,0,0
2021-12-24,0,0,0
2021-12-25,0,1,0
2021-12-26,0,0,0
2021-12-27,2,0,0
2021-12-28,7,4,0
2021-12-29,9,1,1
2021-12-30,0,0,0
2021-12-31,12,0,0
2022-01-01,1,3,0
2022-01-02,0,1,0
2022-01-03,0,0,0
2022-01-04,0,4,0
2022-01-05,1,4,0
2022-01-06,4,7,0
2022-01-07,0,0,0
2022-01-08,2,0,0
2022-01-09,1,0,0
2022-01-10,0,0,0
2022-01-11,0,1,0
2022-01-12,0,4,0
2022-01-13,0,0,0
2022-01-14,1,0,0
2022-01-15,0,0,0
2022-01-16,0,0,0
2022-01-17,0,4,0
2022-01-18,0,0,0
2022-01-19,0,0,0
2022-01-20,12,0,0
2022-01-21,1,0,0
2022-01-22,4,0,0
2022-01-23,1,0,0
2022-01-24,0,0,0
2022-01-25,5,0,0
2022-01-26,0,2,0
2022-01-27,1,1,0
2022-01-28,0,0,0
2022-01-29,1,0,0
2022-01-30,0,2,0
2022-01-31,9,1,0
2022-02-01,9,0,0
2022-02-02,11,0,0
2022-02-03,0,1,0
2022-02-04,4,0,0
2022-02-05,7,0,0
2022-02-06,2,0,0
2022-02-07,3,0,0
2022-02-08,0,0,0
2022-02-09,6,2,0
2022-02-10,2,7,0
2022-02-11,0,0,0
2022-02-12,0,0,0
2022-02-13,0,0,0
2022-02-14,1,0,0
2022-02-15,0,0,0
2022-02-16,9,0,0
2022-02-17,6,0,0
2022-02-18,3,2,0
2022-02-19,0,0,0
2022-02-20,0,0,0
2022-02-21,1,0,0
2022-02-22,0,1,0
2022-02-23,0,1,0
2022-02-24,0,0,0
2022-02-25,0,0,0
2022-02-26,1,0,0
2022-02-27,0,0,0
2022-02-28,0,0,0
2022-03-01,2,3,0
2022-03-02,5,0,0
2022-03-03,15,0,0
2022-03-04,11,0,0
2022-03-05,1,0,0
2022-03-06,0,0,0
2022-03-07,0,0,0
2022-03-08,0,1,0
2022-03-09,0,2,0
2022-03-10,2,0,0
2022-03-11,0,2,0
2022-03-12,0,1,0
2022-03-13,1,0,0
2022-03-14,7,0,0
2022-03-15,1,0,0
2022-03-16,0,0,0
2022-03-17,0,0,0
2022-03-18,0,4,0
2022-03-19,0,0,0
2022-03-20,0,8,0
2022-03-21,0,0,0
2022-03-22,0,3,0
2022-03-23,0,1,0
2022-03-24,5,0,0
2022-03-25,3,0,0
2022-03-26,3,0,0
2022-03-27,1,0,0
2022-03-28,0,1,0
2022-03-29,1,0,0
2022-03-30,1,2,0
2022-03-31,4,3,0
2022-04-01,5,0,0
2022-04-02,11,0,0
2022-04-03,5,0,0
2022-04-04,5,0,0
2022-04-05,4,1,0
2022-04-06,5,3,0
2022-04-07,10,1,0
2022-04-08,2,1,0
2022-04-09,0,0,0
2022-04-10,0,0,0
2022-04-11,4,5,0
2022-04-12,6,1,0
2022-04-13,1,2,0
2022-04-14,0,0,0
2022-04-15,0,2,0
2022-04-16,0,1,0
2022-04-17,0,1,0
2022-04-18,0,0,0
2022-04-19,2,1,0
2022-04-20,0,3,5
2022-04-21,4,10,0
2022-04-22,2,1,0
2022-04-23,0,0,0
2022-04-24,0,0,0
2022-04-25,0,1,0
2022-04-26,0,2,0
2022-04-27,0,0,0
