,pytorch/pytorch,apache/mxnet,tensorflow/tensorflow
2021-08-05,28,0,77
2021-08-06,28,0,80
2021-08-07,7,0,30
2021-08-08,0,0,11
2021-08-09,34,2,69
2021-08-10,35,0,97
2021-08-11,27,0,94
2021-08-12,19,1,79
2021-08-13,36,1,92
2021-08-14,8,2,22
2021-08-15,5,0,9
2021-08-16,29,0,52
2021-08-17,36,1,70
2021-08-18,50,1,88
2021-08-19,34,2,57
2021-08-20,34,0,57
2021-08-21,8,1,19
2021-08-22,1,0,12
2021-08-23,15,1,59
2021-08-24,45,1,75
2021-08-25,45,1,78
2021-08-26,41,1,62
2021-08-27,42,0,57
2021-08-28,9,0,19
2021-08-29,8,0,5
2021-08-30,35,0,44
2021-08-31,34,0,52
2021-09-01,44,0,53
2021-09-02,48,0,49
2021-09-03,11,0,49
2021-09-04,3,0,22
2021-09-05,6,1,14
2021-09-06,1,1,23
2021-09-07,24,0,57
2021-09-08,48,1,63
2021-09-09,37,1,88
2021-09-10,30,2,85
2021-09-11,9,0,32
2021-09-12,6,0,13
2021-09-13,29,1,84
2021-09-14,37,1,82
2021-09-15,41,0,48
2021-09-16,29,1,84
2021-09-17,56,1,81
2021-09-18,12,0,22
2021-09-19,0,0,9
2021-09-20,18,1,33
2021-09-21,34,0,74
2021-09-22,34,1,69
2021-09-23,28,2,92
2021-09-24,39,1,63
2021-09-25,10,0,18
2021-09-26,1,0,8
2021-09-27,13,0,58
2021-09-28,27,7,57
2021-09-29,32,2,64
2021-09-30,34,1,72
2021-10-01,62,0,67
2021-10-02,13,0,34
2021-10-03,4,0,8
2021-10-04,6,1,48
2021-10-05,33,1,77
2021-10-06,39,1,104
2021-10-07,35,1,72
2021-10-08,53,2,72
2021-10-09,26,1,38
2021-10-10,9,0,12
2021-10-11,27,0,70
2021-10-12,31,1,103
2021-10-13,45,2,54
2021-10-14,29,3,73
2021-10-15,38,2,181
2021-10-16,5,0,23
2021-10-17,6,1,13
2021-10-18,34,2,58
2021-10-19,54,4,89
2021-10-20,43,3,105
2021-10-21,34,1,136
2021-10-22,39,0,40
2021-10-23,10,0,9
2021-10-24,5,0,28
2021-10-25,29,0,61
2021-10-26,40,0,75
2021-10-27,32,3,50
2021-10-28,56,4,69
2021-10-29,39,1,58
2021-10-30,8,9,17
2021-10-31,3,1,29
2021-11-01,19,2,59
2021-11-02,27,0,67
2021-11-03,46,3,66
2021-11-04,38,2,71
2021-11-05,39,0,45
2021-11-06,4,1,27
2021-11-07,2,0,10
2021-11-08,25,0,75
2021-11-09,41,0,77
2021-11-10,27,1,65
2021-11-11,37,0,83
2021-11-12,20,0,90
2021-11-13,11,0,25
2021-11-14,1,0,7
2021-11-15,20,1,54
2021-11-16,39,0,71
2021-11-17,33,1,60
2021-11-18,25,4,63
2021-11-19,42,2,104
2021-11-20,18,0,17
2021-11-21,11,2,11
2021-11-22,13,2,49
2021-11-23,21,1,65
2021-11-24,20,1,56
2021-11-25,3,2,32
2021-11-26,0,1,26
2021-11-27,1,0,9
2021-11-28,2,0,10
2021-11-29,24,2,51
2021-11-30,52,0,69
2021-12-01,30,1,62
2021-12-02,59,3,56
2021-12-03,30,0,56
2021-12-04,10,0,73
2021-12-05,1,0,16
2021-12-06,20,0,68
2021-12-07,37,0,84
2021-12-08,37,0,71
2021-12-09,28,0,68
2021-12-10,25,0,53
2021-12-11,7,0,29
2021-12-12,9,0,10
2021-12-13,5,0,63
2021-12-14,44,2,88
2021-12-15,34,0,72
2021-12-16,39,1,51
2021-12-17,47,1,29
2021-12-18,8,0,11
2021-12-19,7,0,5
2021-12-20,17,0,44
2021-12-21,32,2,44
2021-12-22,34,0,60
2021-12-23,27,1,59
2021-12-24,5,3,17
2021-12-25,2,1,6
2021-12-26,0,0,7
2021-12-27,2,0,11
2021-12-28,13,0,53
2021-12-29,13,1,74
2021-12-30,18,0,41
2021-12-31,2,0,13
2022-01-01,0,0,4
2022-01-02,2,0,3
2022-01-03,3,0,30
2022-01-04,20,1,62
2022-01-05,50,2,56
2022-01-06,37,1,57
2022-01-07,53,0,80
2022-01-08,14,0,22
2022-01-09,3,0,11
2022-01-10,24,0,47
2022-01-11,29,0,64
2022-01-12,49,0,59
2022-01-13,30,1,44
2022-01-14,27,0,51
2022-01-15,7,0,20
2022-01-16,1,0,5
2022-01-17,4,0,19
2022-01-18,19,3,43
2022-01-19,32,1,59
2022-01-20,43,0,64
2022-01-21,34,0,56
2022-01-22,17,0,18
2022-01-23,3,0,6
2022-01-24,10,0,41
2022-01-25,40,1,66
2022-01-26,44,1,72
2022-01-27,49,1,60
2022-01-28,40,2,52
2022-01-29,8,0,16
2022-01-30,4,0,5
2022-01-31,24,0,42
2022-02-01,47,1,57
2022-02-02,34,1,96
2022-02-03,35,0,67
2022-02-04,37,0,85
2022-02-05,11,5,20
2022-02-06,0,0,14
2022-02-07,39,0,48
2022-02-08,31,0,67
2022-02-09,30,1,80
2022-02-10,24,1,82
2022-02-11,43,2,60
2022-02-12,8,0,17
2022-02-13,1,0,3
2022-02-14,25,3,56
2022-02-15,47,0,88
2022-02-16,45,1,72
2022-02-17,31,1,66
2022-02-18,29,0,54
2022-02-19,17,0,12
2022-02-20,3,0,3
2022-02-21,2,1,15
2022-02-22,23,0,44
2022-02-23,36,0,64
2022-02-24,45,1,65
2022-02-25,27,0,47
2022-02-26,13,0,10
2022-02-27,3,0,3
2022-02-28,22,0,55
2022-03-01,52,1,59
2022-03-02,37,2,72
2022-03-03,31,0,53
2022-03-04,30,2,53
2022-03-05,7,0,21
2022-03-06,5,0,3
2022-03-07,15,2,51
2022-03-08,35,3,53
2022-03-09,29,0,76
2022-03-10,25,0,34
2022-03-11,42,0,44
2022-03-12,8,0,5
2022-03-13,2,0,17
2022-03-14,27,0,44
2022-03-15,41,3,58
2022-03-16,51,0,51
2022-03-17,41,2,40
2022-03-18,10,2,44
2022-03-19,2,0,10
2022-03-20,0,0,2
2022-03-21,32,0,56
2022-03-22,41,2,66
2022-03-23,31,0,79
2022-03-24,34,3,72
2022-03-25,36,1,93
2022-03-26,4,0,33
2022-03-27,0,0,16
2022-03-28,34,3,48
2022-03-29,48,2,56
2022-03-30,34,0,77
2022-03-31,46,2,51
2022-04-01,43,1,57
2022-04-02,10,0,12
2022-04-03,1,0,3
2022-04-04,36,0,45
2022-04-05,33,0,52
2022-04-06,51,1,65
2022-04-07,54,0,57
2022-04-08,39,0,71
2022-04-09,9,0,8
2022-04-10,1,0,5
2022-04-11,41,0,47
2022-04-12,33,0,60
2022-04-13,40,0,57
2022-04-14,42,0,93
2022-04-15,47,1,34
2022-04-16,13,0,17
2022-04-17,8,0,3
2022-04-18,27,0,33
2022-04-19,60,1,59
2022-04-20,37,0,77
2022-04-21,23,0,48
2022-04-22,47,0,66
2022-04-23,11,0,13
2022-04-24,6,0,6
2022-04-25,47,0,49
2022-04-26,45,2,75
2022-04-27,25,1,77
2022-04-28,42,1,67
2022-04-29,8,0,49
2022-04-30,4,0,9
2022-05-01,6,0,5
2022-05-02,38,0,46
2022-05-03,54,0,82
2022-05-04,46,0,71
2022-05-05,43,0,70
2022-05-06,30,0,94
2022-05-07,11,0,20
2022-05-08,4,0,4
2022-05-09,42,0,52
2022-05-10,50,0,62
2022-05-11,74,0,73
2022-05-12,45,0,40
2022-05-13,53,0,59
2022-05-14,14,0,10
2022-05-15,8,0,8
2022-05-16,42,1,55
2022-05-17,51,2,95
2022-05-18,65,1,71
2022-05-19,60,1,80
2022-05-20,54,0,67
2022-05-21,20,0,12
2022-05-22,12,0,6
2022-05-23,24,1,62
2022-05-24,50,0,63
2022-05-25,43,1,50
2022-05-26,47,0,64
2022-05-27,13,0,62
2022-05-28,6,0,16
2022-05-29,1,0,6
2022-05-30,8,1,29
2022-05-31,56,1,58
2022-06-01,57,0,107
2022-06-02,44,1,65
2022-06-03,51,0,82
2022-06-04,11,0,22
2022-06-05,7,0,13
2022-06-06,57,0,39
2022-06-07,43,1,93
2022-06-08,52,0,51
2022-06-09,67,0,48
2022-06-10,54,1,66
2022-06-11,18,0,16
2022-06-12,7,0,9
2022-06-13,45,0,58
2022-06-14,62,2,57
2022-06-15,42,0,57
2022-06-16,49,0,51
2022-06-17,45,1,67
2022-06-18,8,0,13
2022-06-19,2,0,3
2022-06-20,36,2,22
2022-06-21,50,3,34
2022-06-22,58,1,59
2022-06-23,37,4,86
2022-06-24,49,0,86
2022-06-25,11,0,19
2022-06-26,4,0,7
2022-06-27,46,0,38
2022-06-28,41,2,65
2022-06-29,48,1,43
2022-06-30,47,0,62
2022-07-01,17,0,53
2022-07-02,4,0,11
2022-07-03,1,0,3
2022-07-04,11,0,26
2022-07-05,50,2,17
2022-07-06,49,1,46
2022-07-07,59,2,39
2022-07-08,52,0,62
2022-07-09,16,0,10
2022-07-10,1,0,2
2022-07-11,28,0,56
2022-07-12,43,0,65
2022-07-13,57,0,48
2022-07-14,41,0,61
2022-07-15,51,4,46
2022-07-16,15,0,10
2022-07-17,11,0,7
2022-07-18,23,1,49
2022-07-19,44,3,65
2022-07-20,48,0,67
2022-07-21,1222,1,80
2022-07-22,64,1,52
2022-07-23,17,0,13
2022-07-24,8,0,7
2022-07-25,46,0,50
2022-07-26,51,0,67
2022-07-27,83,0,74
2022-07-28,47,0,80
2022-07-29,35,1,66
2022-07-30,8,0,20
2022-07-31,2,0,3
2022-08-01,33,1,40
2022-08-02,34,1,76
2022-08-03,51,0,75
2022-08-04,43,3,70
2022-08-05,39,0,61
2022-08-06,21,0,11
2022-08-07,10,0,7
2022-08-08,42,0,63
2022-08-09,37,0,69
2022-08-10,48,0,73
2022-08-11,43,0,67
2022-08-12,34,2,67
2022-08-13,12,0,1
2022-08-14,3,0,8
2022-08-15,23,0,53
2022-08-16,51,1,86
2022-08-17,45,0,69
2022-08-18,44,0,72
2022-08-19,51,0,56
2022-08-20,9,0,12
2022-08-21,7,0,5
2022-08-22,42,1,71
2022-08-23,43,1,74
2022-08-24,50,0,65
2022-08-25,43,0,84
2022-08-26,34,1,60
2022-08-27,11,0,30
2022-08-28,13,0,7
2022-08-29,35,1,76
2022-08-30,41,0,85
2022-08-31,34,1,98
2022-09-01,48,0,97
2022-09-02,21,0,88
2022-09-03,4,0,17
2022-09-04,2,0,4
2022-09-05,11,0,32
2022-09-06,31,0,48
2022-09-07,43,0,94
2022-09-08,30,1,90
2022-09-09,47,0,69
2022-09-10,13,0,10
2022-09-11,1,0,2
2022-09-12,32,0,51
2022-09-13,39,0,63
2022-09-14,34,0,61
2022-09-15,33,1,74
2022-09-16,44,1,74
2022-09-17,27,0,12
2022-09-18,4,0,5
2022-09-19,25,0,63
2022-09-20,29,0,65
2022-09-21,50,0,78
2022-09-22,32,0,81
2022-09-23,50,0,70
2022-09-24,15,0,14
2022-09-25,8,0,4
2022-09-26,22,1,57
2022-09-27,52,0,84
2022-09-28,68,0,65
2022-09-29,50,0,95
2022-09-30,61,0,85
2022-10-01,11,0,16
2022-10-02,17,0,11
2022-10-03,56,0,57
2022-10-04,21,0,82
2022-10-05,36,0,84
2022-10-06,46,0,90
2022-10-07,51,0,61
2022-10-08,12,0,10
2022-10-09,10,0,8
2022-10-10,29,0,42
2022-10-11,49,0,64
2022-10-12,36,0,73
2022-10-13,58,0,75
2022-10-14,38,0,73
2022-10-15,16,0,20
2022-10-16,10,0,5
2022-10-17,42,0,60
2022-10-18,52,0,70
2022-10-19,44,0,106
2022-10-20,41,0,96
2022-10-21,49,0,92
2022-10-22,10,0,19
2022-10-23,8,0,9
2022-10-24,43,0,68
2022-10-25,54,0,78
2022-10-26,57,0,86
2022-10-27,35,0,102
2022-10-28,48,0,78
2022-10-29,25,0,25
2022-10-30,5,0,11
2022-10-31,45,0,76
2022-11-01,56,0,62
2022-11-02,78,0,77
2022-11-03,54,0,102
2022-11-04,38,0,56
2022-11-05,12,0,14
2022-11-06,1,0,3
2022-11-07,35,0,76
2022-11-08,41,0,73
2022-11-09,40,0,81
2022-11-10,49,0,48
2022-11-11,44,0,42
2022-11-12,20,0,10
2022-11-13,15,0,4
2022-11-14,30,0,47
2022-11-15,46,0,115
2022-11-16,63,0,109
2022-11-17,52,0,119
2022-11-18,50,0,81
2022-11-19,21,0,29
2022-11-20,6,0,9
2022-11-21,25,0,65
2022-11-22,44,0,61
2022-11-23,50,0,48
2022-11-24,32,0,40
2022-11-25,15,0,28
2022-11-26,3,0,3
2022-11-27,12,0,3
2022-11-28,49,0,64
2022-11-29,39,0,81
2022-11-30,61,0,70
2022-12-01,49,0,78
2022-12-02,42,0,57
2022-12-03,13,0,13
2022-12-04,9,0,4
2022-12-05,27,0,75
2022-12-06,62,0,86
2022-12-07,36,0,66
2022-12-08,65,0,71
2022-12-09,41,0,59
2022-12-10,21,0,18
2022-12-11,17,0,5
2022-12-12,28,0,68
2022-12-13,55,0,98
2022-12-14,49,0,86
2022-12-15,35,0,79
2022-12-16,63,0,64
2022-12-17,17,0,22
2022-12-18,3,0,6
2022-12-19,39,0,63
2022-12-20,60,0,79
2022-12-21,49,0,59
2022-12-22,34,0,66
2022-12-23,11,0,20
2022-12-24,0,0,8
2022-12-25,1,0,5
2022-12-26,4,0,15
2022-12-27,13,0,31
2022-12-28,29,0,63
2022-12-29,15,0,47
2022-12-30,15,0,37
2022-12-31,5,0,4
2023-01-01,0,0,4
2023-01-02,8,0,10
2023-01-03,19,0,51
2023-01-04,34,1,65
2023-01-05,34,0,44
2023-01-06,38,0,53
2023-01-07,8,0,41
2023-01-08,4,0,7
2023-01-09,24,0,79
2023-01-10,37,0,83
2023-01-11,42,0,89
2023-01-12,47,1,99
2023-01-13,30,0,82
2023-01-14,17,0,15
2023-01-15,3,0,4
2023-01-16,13,0,26
2023-01-17,49,0,60
2023-01-18,67,0,65
2023-01-19,40,0,83
2023-01-20,44,0,83
2023-01-21,38,0,25
2023-01-22,15,0,20
2023-01-23,41,0,76
2023-01-24,48,0,92
2023-01-25,31,0,49
2023-01-26,48,0,97
2023-01-27,37,0,75
2023-01-28,16,0,15
2023-01-29,15,0,8
2023-01-30,35,0,33
2023-01-31,45,0,54
2023-02-01,60,0,94
2023-02-02,61,0,63
2023-02-03,58,0,65
2023-02-04,19,0,20
2023-02-05,11,0,4
2023-02-06,20,0,66
2023-02-07,64,0,86
2023-02-08,51,0,54
2023-02-09,73,0,79
2023-02-10,69,0,71
2023-02-11,27,0,25
2023-02-12,16,0,5
2023-02-13,42,0,81
2023-02-14,42,0,76
2023-02-15,40,0,87
2023-02-16,54,0,82
2023-02-17,36,0,75
2023-02-18,6,0,14
2023-02-19,6,0,5
2023-02-20,12,0,31
2023-02-21,37,0,65
2023-02-22,27,0,47
2023-02-23,39,0,33
2023-02-24,26,0,63
2023-02-25,14,0,10
2023-02-26,11,0,7
2023-02-27,45,0,52
2023-02-28,46,0,91
2023-03-01,61,0,86
2023-03-02,29,0,90
2023-03-03,39,0,54
2023-03-04,19,0,1
2023-03-05,12,0,2
2023-03-06,28,0,117
2023-03-07,50,0,97
2023-03-08,51,0,94
2023-03-09,13,0,97
2023-03-10,55,0,64
2023-03-11,16,0,12
2023-03-12,9,0,9
2023-03-13,37,0,62
2023-03-14,71,0,74
2023-03-15,39,0,89
2023-03-16,31,0,75
2023-03-17,34,0,66
2023-03-18,11,0,9
2023-03-19,7,0,6
2023-03-20,26,0,61
2023-03-21,51,0,84
2023-03-22,54,0,99
2023-03-23,43,0,58
2023-03-24,50,0,102
2023-03-25,16,0,15
2023-03-26,8,0,5
2023-03-27,37,0,42
2023-03-28,74,0,45
2023-03-29,48,0,100
2023-03-30,62,0,86
2023-03-31,54,0,68
2023-04-01,19,0,8
2023-04-02,9,0,4
2023-04-03,28,0,71
2023-04-04,56,0,72
2023-04-05,70,0,72
2023-04-06,61,0,54
2023-04-07,45,0,53
2023-04-08,22,0,28
2023-04-09,12,0,9
2023-04-10,37,0,43
2023-04-11,55,0,65
2023-04-12,55,0,85
2023-04-13,52,0,79
2023-04-14,66,0,65
2023-04-15,32,0,12
2023-04-16,15,0,3
2023-04-17,54,0,54
2023-04-18,59,0,85
2023-04-19,75,0,63
2023-04-20,47,0,99
2023-04-21,54,0,61
2023-04-22,27,0,13
2023-04-23,13,0,5
2023-04-24,34,0,44
2023-04-25,61,0,55
2023-04-26,65,0,67
2023-04-27,56,0,72
2023-04-28,56,0,51
2023-04-29,14,0,13
2023-04-30,6,0,4
2023-05-01,28,0,31
2023-05-02,54,0,46
2023-05-03,49,0,53
2023-05-04,58,0,90
2023-05-05,66,0,59
2023-05-06,20,0,9
2023-05-07,6,0,6
2023-05-08,34,0,38
2023-05-09,55,0,81
2023-05-10,49,0,94
2023-05-11,49,0,63
2023-05-12,64,0,64
2023-05-13,13,0,13
2023-05-14,8,0,5
2023-05-15,49,0,55
2023-05-16,68,0,70
2023-05-17,49,0,56
2023-05-18,31,0,60
2023-05-19,39,0,62
2023-05-20,14,0,16
2023-05-21,9,0,7
2023-05-22,22,0,52
2023-05-23,41,0,69
2023-05-24,63,0,64
2023-05-25,45,0,73
2023-05-26,30,0,49
2023-05-27,19,0,8
2023-05-28,9,0,4
2023-05-29,7,0,6
2023-05-30,37,0,49
2023-05-31,38,0,39
2023-06-01,48,0,78
2023-06-02,51,0,69
2023-06-03,17,0,19
2023-06-04,15,0,8
2023-06-05,28,0,67
2023-06-06,35,0,78
2023-06-07,31,0,57
2023-06-08,46,0,63
2023-06-09,39,0,66
2023-06-10,23,0,12
2023-06-11,3,0,11
2023-06-12,34,0,66
2023-06-13,50,0,67
2023-06-14,56,0,75
2023-06-15,46,0,39
2023-06-16,37,0,65
2023-06-17,6,0,21
2023-06-18,3,0,7
2023-06-19,9,0,25
2023-06-20,32,0,43
2023-06-21,48,0,78
2023-06-22,53,0,59
2023-06-23,41,0,65
2023-06-24,13,0,10
2023-06-25,2,0,3
2023-06-26,23,0,76
2023-06-27,38,0,85
2023-06-28,40,0,82
2023-06-29,27,0,66
2023-06-30,38,0,69
2023-07-01,16,0,13
2023-07-02,0,0,5
2023-07-03,10,0,15
2023-07-04,9,0,28
2023-07-05,26,0,45
2023-07-06,51,0,75
2023-07-07,32,0,58
2023-07-08,21,0,16
2023-07-09,9,0,8
2023-07-10,34,0,79
2023-07-11,45,0,69
2023-07-12,34,0,76
2023-07-13,48,0,73
2023-07-14,47,0,53
2023-07-15,15,0,14
2023-07-16,4,0,9
2023-07-17,31,0,58
2023-07-18,43,0,40
2023-07-19,43,0,72
2023-07-20,48,0,86
2023-07-21,38,0,71
2023-07-22,14,0,10
2023-07-23,8,0,6
2023-07-24,23,0,56
2023-07-25,35,0,88
2023-07-26,65,0,49
2023-07-27,43,0,95
2023-07-28,53,0,64
2023-07-29,18,0,13
2023-07-30,8,0,6
2023-07-31,26,0,76
2023-08-01,43,0,66
2023-08-02,48,0,80
2023-08-03,47,0,78
2023-08-04,30,0,55
2023-08-05,14,0,14
2023-08-06,1,0,6
2023-08-07,28,0,65
2023-08-08,24,0,80
2023-08-09,40,0,59
2023-08-10,39,0,65
2023-08-11,40,0,72
2023-08-12,5,0,15
2023-08-13,4,0,5
2023-08-14,32,0,66
2023-08-15,38,0,65
2023-08-16,25,0,68
2023-08-17,36,0,84
2023-08-18,43,0,67
2023-08-19,13,0,6
2023-08-20,16,0,2
2023-08-21,45,0,53
2023-08-22,60,0,79
2023-08-23,66,0,69
2023-08-24,51,0,63
2023-08-25,62,0,65
2023-08-26,34,0,12
2023-08-27,10,0,2
2023-08-28,35,0,64
2023-08-29,37,0,82
2023-08-30,37,0,58
2023-08-31,45,0,69
2023-09-01,36,0,52
