,dropwizard/dropwizard,spring-projects/spring-boot,apache/tomee
2022-03-05,5,0,0
2022-03-06,2,0,0
2022-03-07,1,21,3
2022-03-08,3,32,1
2022-03-09,4,71,1
2022-03-10,5,18,0
2022-03-11,1,25,0
2022-03-12,6,16,0
2022-03-13,17,3,0
2022-03-14,2,5,0
2022-03-15,0,21,0
2022-03-16,1,41,3
2022-03-17,0,38,1
2022-03-18,0,50,1
2022-03-19,0,14,0
2022-03-20,5,5,0
2022-03-21,1,64,2
2022-03-22,2,28,1
2022-03-23,0,46,121
2022-03-24,0,28,13
2022-03-25,0,33,7
2022-03-26,4,0,8
2022-03-27,2,0,0
2022-03-28,3,8,0
2022-03-29,1,15,0
2022-03-30,0,11,10
2022-03-31,0,23,6
2022-04-01,3,6,3
2022-04-02,6,0,0
2022-04-03,1,12,0
2022-04-04,0,19,5
2022-04-05,14,15,12
2022-04-06,2,9,3
2022-04-07,9,35,5
2022-04-08,7,22,1
2022-04-09,0,21,0
2022-04-10,0,0,1
2022-04-11,0,2,6
2022-04-12,1,26,4
2022-04-13,3,26,3
2022-04-14,0,19,2
2022-04-15,0,30,5
2022-04-16,0,11,1
2022-04-17,2,2,3
2022-04-18,2,24,0
2022-04-19,0,62,0
2022-04-20,8,47,6
2022-04-21,1,21,5
2022-04-22,5,0,1
2022-04-23,0,0,0
2022-04-24,1,0,0
2022-04-25,0,31,12
2022-04-26,0,0,1
2022-04-27,0,3,1
2022-04-28,0,23,1
2022-04-29,0,7,0
2022-04-30,0,0,0
2022-05-01,0,0,2
2022-05-02,3,0,2
2022-05-03,0,35,4
2022-05-04,0,17,1
2022-05-05,0,21,7
2022-05-06,0,17,8
2022-05-07,0,0,0
2022-05-08,0,0,0
2022-05-09,0,2,4
2022-05-10,0,75,1
2022-05-11,0,6,8
2022-05-12,0,63,1
2022-05-13,0,18,2
2022-05-14,0,0,4
2022-05-15,0,0,0
2022-05-16,0,47,1
2022-05-17,0,51,1
2022-05-18,0,50,0
2022-05-19,0,24,0
2022-05-20,0,6,3
2022-05-21,0,0,0
2022-05-22,1,0,0
2022-05-23,2,11,3
2022-05-24,0,1,0
2022-05-25,0,3,0
2022-05-26,0,20,0
2022-05-27,0,19,0
2022-05-28,1,0,0
2022-05-29,0,0,0
2022-05-30,0,18,1
2022-05-31,3,8,0
2022-06-01,0,1,0
2022-06-02,0,1,1
2022-06-03,3,3,1
2022-06-04,0,1,0
2022-06-05,0,0,0
2022-06-06,0,2,0
2022-06-07,3,8,0
2022-06-08,0,10,0
2022-06-09,0,28,0
2022-06-10,0,28,0
2022-06-11,0,0,0
2022-06-12,0,0,0
2022-06-13,0,38,2
2022-06-14,0,35,2
2022-06-15,0,14,2
2022-06-16,0,18,0
2022-06-17,0,44,0
2022-06-18,2,2,0
2022-06-19,3,16,0
2022-06-20,2,36,1
2022-06-21,2,17,5
2022-06-22,0,39,2
2022-06-23,0,17,1
2022-06-24,0,11,7
2022-06-25,0,2,0
2022-06-26,0,3,5
2022-06-27,0,0,9
2022-06-28,1,0,3
2022-06-29,0,0,0
2022-06-30,13,8,7
2022-07-01,0,0,1
2022-07-02,0,0,0
2022-07-03,0,0,0
2022-07-04,0,0,4
2022-07-05,0,0,4
2022-07-06,0,1,1
2022-07-07,0,68,2
2022-07-08,0,23,1
2022-07-09,0,0,0
2022-07-10,0,0,0
2022-07-11,0,6,1
2022-07-12,0,30,0
2022-07-13,0,23,0
2022-07-14,0,49,2
2022-07-15,0,10,0
2022-07-16,0,0,0
2022-07-17,0,0,0
2022-07-18,0,29,0
2022-07-19,0,27,0
2022-07-20,0,53,0
2022-07-21,0,15,0
2022-07-22,0,14,0
2022-07-23,0,0,0
2022-07-24,0,0,0
2022-07-25,0,2,0
2022-07-26,0,36,2
2022-07-27,0,24,1
2022-07-28,0,21,0
2022-07-29,2,16,3
2022-07-30,0,0,0
2022-07-31,0,0,0
2022-08-01,0,32,0
2022-08-02,3,7,1
2022-08-03,1,19,0
2022-08-04,0,17,0
2022-08-05,0,3,0
2022-08-06,0,0,0
2022-08-07,0,0,0
2022-08-08,1,19,0
2022-08-09,0,31,0
2022-08-10,0,22,0
2022-08-11,3,5,0
2022-08-12,0,1,0
2022-08-13,0,1,0
2022-08-14,0,0,0
2022-08-15,2,1,0
2022-08-16,0,15,2
2022-08-17,2,24,0
2022-08-18,0,6,0
2022-08-19,0,3,0
2022-08-20,0,0,0
2022-08-21,0,0,0
2022-08-22,1,7,0
2022-08-23,0,20,3
2022-08-24,0,10,0
2022-08-25,0,20,0
2022-08-26,0,0,1
2022-08-27,2,0,6
2022-08-28,1,0,0
2022-08-29,0,0,0
2022-08-30,0,0,2
2022-08-31,1,14,2
2022-09-01,1,10,0
2022-09-02,1,10,3
2022-09-03,0,0,1
2022-09-04,0,0,0
2022-09-05,0,17,0
2022-09-06,2,8,0
2022-09-07,0,25,0
2022-09-08,1,12,0
2022-09-09,3,25,6
2022-09-10,0,29,3
2022-09-11,0,0,0
2022-09-12,5,8,2
2022-09-13,0,8,4
2022-09-14,0,84,6
2022-09-15,2,33,2
2022-09-16,0,17,4
2022-09-17,0,0,0
2022-09-18,1,0,0
2022-09-19,0,13,0
2022-09-20,1,37,1
2022-09-21,3,36,2
2022-09-22,0,16,2
2022-09-23,0,8,2
2022-09-24,0,0,1
2022-09-25,0,0,0
2022-09-26,0,7,1
2022-09-27,0,27,2
2022-09-28,0,7,2
2022-09-29,0,25,3
2022-09-30,0,14,3
2022-10-01,0,6,1
2022-10-02,1,1,3
2022-10-03,1,6,3
2022-10-04,0,7,1
2022-10-05,0,5,0
2022-10-06,0,35,1
2022-10-07,0,26,0
2022-10-08,0,0,5
2022-10-09,0,0,0
2022-10-10,0,8,2
2022-10-11,1,26,2
2022-10-12,9,30,8
2022-10-13,0,63,1
2022-10-14,0,27,0
2022-10-15,0,3,0
2022-10-16,0,0,0
2022-10-17,0,25,2
2022-10-18,3,35,4
2022-10-19,0,34,0
2022-10-20,5,36,0
2022-10-21,0,28,0
2022-10-22,0,0,0
2022-10-23,0,0,0
2022-10-24,0,5,4
2022-10-25,0,17,3
2022-10-26,0,3,4
2022-10-27,0,20,1
2022-10-28,0,2,1
2022-10-29,0,0,0
2022-10-30,0,0,0
2022-10-31,0,10,2
2022-11-01,0,33,0
2022-11-02,0,16,1
2022-11-03,0,13,0
2022-11-04,0,16,0
2022-11-05,0,8,0
2022-11-06,0,14,0
2022-11-07,0,9,1
2022-11-08,3,56,3
2022-11-09,0,24,4
2022-11-10,0,20,0
2022-11-11,0,5,0
2022-11-12,1,0,0
2022-11-13,0,0,0
2022-11-14,0,56,6
2022-11-15,0,40,6
2022-11-16,1,44,2
2022-11-17,0,9,1
2022-11-18,1,48,3
2022-11-19,0,1,0
2022-11-20,0,0,3
2022-11-21,0,22,0
2022-11-22,0,37,0
2022-11-23,0,19,2
2022-11-24,0,22,2
2022-11-25,0,0,0
2022-11-26,0,0,0
2022-11-27,0,0,0
2022-11-28,0,7,2
2022-11-29,0,15,1
2022-11-30,0,4,2
2022-12-01,0,21,1
2022-12-02,0,0,1
2022-12-03,0,0,0
2022-12-04,0,0,0
2022-12-05,0,4,0
2022-12-06,0,2,2
2022-12-07,2,8,0
2022-12-08,2,0,0
2022-12-09,1,2,2
2022-12-10,0,0,0
2022-12-11,0,0,0
2022-12-12,0,6,5
2022-12-13,0,0,0
2022-12-14,0,0,3
2022-12-15,0,0,4
2022-12-16,0,5,5
2022-12-17,1,0,1
2022-12-18,0,2,1
2022-12-19,0,4,0
2022-12-20,0,2,0
