,NativeScript/NativeScript,flutter/flutter,facebook/react-native
2019-12-31,0,1,1
2020-01-01,0,0,0
2020-01-02,0,6,4
2020-01-03,1,14,5
2020-01-04,0,1,0
2020-01-05,0,0,1
2020-01-06,1,14,6
2020-01-07,0,13,11
2020-01-08,2,28,3
2020-01-09,1,11,1
2020-01-10,2,18,0
2020-01-11,0,6,0
2020-01-12,0,0,0
2020-01-13,0,11,4
2020-01-14,2,18,24
2020-01-15,1,12,9
2020-01-16,3,26,6
2020-01-17,0,22,2
2020-01-18,0,2,7
2020-01-19,0,0,2
2020-01-20,0,0,13
2020-01-21,1,9,6
2020-01-22,1,26,8
2020-01-23,1,5,14
2020-01-24,0,18,5
2020-01-25,0,15,2
2020-01-26,0,3,0
2020-01-27,2,12,12
2020-01-28,1,28,18
2020-01-29,0,24,17
2020-01-30,3,19,11
2020-01-31,3,23,11
2020-02-01,0,5,7
2020-02-02,0,0,0
2020-02-03,1,8,12
2020-02-04,0,21,10
2020-02-05,7,17,10
2020-02-06,2,27,10
2020-02-07,0,24,7
2020-02-08,0,5,3
2020-02-09,0,0,0
2020-02-10,1,18,13
2020-02-11,0,14,7
2020-02-12,0,22,9
2020-02-13,2,27,16
2020-02-14,0,13,9
2020-02-15,0,4,1
2020-02-16,0,0,0
2020-02-17,3,1,2
2020-02-18,0,13,15
2020-02-19,0,10,14
2020-02-20,0,18,12
2020-02-21,6,10,16
2020-02-22,0,0,3
2020-02-23,1,5,0
2020-02-24,1,11,7
2020-02-25,4,15,12
2020-02-26,2,21,10
2020-02-27,7,22,35
2020-02-28,0,27,11
2020-02-29,0,6,4
2020-03-01,0,0,2
2020-03-02,0,7,9
2020-03-03,0,15,9
2020-03-04,0,17,19
2020-03-05,1,22,10
2020-03-06,4,25,8
2020-03-07,2,3,3
2020-03-08,0,6,0
2020-03-09,6,10,20
2020-03-10,7,23,14
2020-03-11,1,15,9
2020-03-12,0,16,10
2020-03-13,2,23,0
2020-03-14,0,10,9
2020-03-15,0,7,0
2020-03-16,3,13,13
2020-03-17,1,12,8
2020-03-18,1,25,5
2020-03-19,2,22,3
2020-03-20,2,22,9
2020-03-21,0,0,1
2020-03-22,0,0,1
2020-03-23,1,7,8
2020-03-24,1,16,10
2020-03-25,0,31,10
2020-03-26,4,11,13
2020-03-27,0,16,2
2020-03-28,0,5,8
2020-03-29,1,3,0
2020-03-30,1,12,14
2020-03-31,0,19,11
2020-04-01,2,17,13
2020-04-02,3,17,11
2020-04-03,4,21,18
2020-04-04,0,5,8
2020-04-05,0,9,0
2020-04-06,1,16,5
2020-04-07,1,21,9
2020-04-08,0,20,8
2020-04-09,0,19,10
2020-04-10,2,27,4
2020-04-11,0,9,2
2020-04-12,0,4,0
2020-04-13,0,15,0
2020-04-14,2,9,8
2020-04-15,0,12,7
2020-04-16,0,26,14
2020-04-17,0,12,9
2020-04-18,0,7,7
2020-04-19,0,1,3
2020-04-20,1,21,13
2020-04-21,0,11,8
2020-04-22,0,30,12
2020-04-23,0,17,14
2020-04-24,0,8,5
2020-04-25,0,7,3
2020-04-26,0,1,1
2020-04-27,0,22,13
2020-04-28,0,17,9
2020-04-29,0,20,13
2020-04-30,0,3,7
2020-05-01,0,11,11
2020-05-02,0,8,4
2020-05-03,0,6,3
2020-05-04,0,12,9
2020-05-05,0,21,9
2020-05-06,0,13,13
2020-05-07,0,7,9
2020-05-08,1,33,16
2020-05-09,0,1,1
2020-05-10,0,5,7
2020-05-11,0,17,14
2020-05-12,0,7,11
2020-05-13,0,12,13
2020-05-14,0,35,16
2020-05-15,0,4,11
2020-05-16,0,10,6
2020-05-17,0,0,1
2020-05-18,0,31,12
2020-05-19,0,5,10
2020-05-20,0,14,19
2020-05-21,0,7,20
2020-05-22,0,2,9
2020-05-23,0,1,1
2020-05-24,0,0,1
2020-05-25,0,0,0
2020-05-26,0,2,7
2020-05-27,0,28,10
2020-05-28,0,18,9
2020-05-29,0,17,9
2020-05-30,0,1,3
2020-05-31,0,5,0
2020-06-01,0,12,1
2020-06-02,0,12,3
2020-06-03,2,30,6
2020-06-04,3,31,6
2020-06-05,1,15,4
2020-06-06,4,5,6
2020-06-07,0,6,3
2020-06-08,1,25,6
2020-06-09,0,20,9
2020-06-10,2,15,5
2020-06-11,0,14,12
2020-06-12,0,12,7
2020-06-13,1,1,1
2020-06-14,0,0,3
2020-06-15,0,14,1
2020-06-16,3,25,10
2020-06-17,2,10,8
2020-06-18,2,25,7
2020-06-19,1,16,7
2020-06-20,1,0,6
2020-06-21,0,0,2
2020-06-22,0,4,3
2020-06-23,0,40,7
2020-06-24,2,28,5
2020-06-25,0,13,3
2020-06-26,0,17,0
2020-06-27,0,1,2
2020-06-28,0,0,2
2020-06-29,0,17,12
2020-06-30,3,17,14
2020-07-01,0,5,8
2020-07-02,0,9,18
2020-07-03,0,0,2
2020-07-04,0,0,1
2020-07-05,0,4,0
2020-07-06,2,8,6
2020-07-07,3,13,9
2020-07-08,0,24,3
2020-07-09,0,32,6
2020-07-10,0,16,6
2020-07-11,2,5,7
2020-07-12,0,0,1
2020-07-13,0,18,2
2020-07-14,0,21,11
2020-07-15,0,29,7
2020-07-16,0,23,13
2020-07-17,0,17,4
2020-07-18,0,0,0
2020-07-19,0,0,1
2020-07-20,2,14,7
2020-07-21,2,14,2
2020-07-22,3,1,5
2020-07-23,0,32,3
2020-07-24,0,17,5
2020-07-25,0,4,6
2020-07-26,0,0,0
2020-07-27,0,2,14
2020-07-28,0,45,10
2020-07-29,0,26,6
2020-07-30,0,19,5
2020-07-31,0,11,18
2020-08-01,0,1,11
2020-08-02,0,0,5
2020-08-03,0,17,7
2020-08-04,0,26,14
2020-08-05,0,30,14
2020-08-06,0,29,28
2020-08-07,2,2,11
2020-08-08,0,15,6
2020-08-09,0,9,2
2020-08-10,0,10,12
2020-08-11,0,39,6
2020-08-12,2,18,7
2020-08-13,0,23,6
2020-08-14,0,19,6
2020-08-15,0,4,1
2020-08-16,0,1,4
2020-08-17,0,20,10
2020-08-18,0,13,5
2020-08-19,1,37,9
2020-08-20,0,22,5
2020-08-21,0,22,13
2020-08-22,0,2,9
2020-08-23,0,0,2
2020-08-24,0,18,24
2020-08-25,0,20,20
2020-08-26,4,12,6
2020-08-27,3,16,16
2020-08-28,2,21,14
2020-08-29,1,7,1
2020-08-30,1,3,0
2020-08-31,0,22,4
2020-09-01,1,10,2
2020-09-02,0,18,10
2020-09-03,3,25,7
2020-09-04,0,2,3
2020-09-05,0,3,1
2020-09-06,2,0,0
2020-09-07,1,1,1
2020-09-08,0,17,6
2020-09-09,4,15,8
2020-09-10,6,14,4
2020-09-11,0,13,21
2020-09-12,3,8,2
2020-09-13,0,6,4
2020-09-14,0,1,6
2020-09-15,1,34,2
2020-09-16,1,20,4
2020-09-17,0,33,22
2020-09-18,0,14,11
2020-09-19,0,6,4
2020-09-20,1,0,5
2020-09-21,0,12,8
2020-09-22,0,20,9
2020-09-23,6,33,5
2020-09-24,1,18,10
2020-09-25,5,24,3
2020-09-26,2,4,8
2020-09-27,1,4,3
2020-09-28,0,17,6
2020-09-29,3,21,40
2020-09-30,3,23,11
2020-10-01,1,17,14
2020-10-02,0,16,16
2020-10-03,2,8,2
2020-10-04,0,4,1
2020-10-05,0,24,7
2020-10-06,3,26,6
2020-10-07,0,33,7
2020-10-08,0,34,4
2020-10-09,0,31,5
2020-10-10,3,5,5
2020-10-11,0,0,0
2020-10-12,0,36,5
2020-10-13,0,24,11
2020-10-14,0,25,5
2020-10-15,0,28,11
2020-10-16,0,22,13
2020-10-17,3,2,4
2020-10-18,1,3,0
2020-10-19,1,26,9
2020-10-20,0,13,16
2020-10-21,1,15,5
2020-10-22,0,31,4
2020-10-23,0,21,13
2020-10-24,0,5,12
2020-10-25,0,3,0
2020-10-26,2,20,7
2020-10-27,1,28,19
2020-10-28,2,18,5
2020-10-29,0,37,8
2020-10-30,0,17,8
2020-10-31,0,4,7
2020-11-01,0,4,0
2020-11-02,0,18,1
2020-11-03,0,23,3
2020-11-04,0,17,9
2020-11-05,0,29,3
2020-11-06,0,26,17
2020-11-07,1,13,2
2020-11-08,0,0,4
2020-11-09,0,24,6
2020-11-10,1,17,3
2020-11-11,3,18,3
2020-11-12,4,20,8
2020-11-13,6,17,4
2020-11-14,6,8,9
2020-11-15,0,1,0
2020-11-16,1,15,4
2020-11-17,6,12,4
2020-11-18,3,22,8
2020-11-19,5,13,23
2020-11-20,4,23,8
2020-11-21,1,6,5
2020-11-22,13,1,1
2020-11-23,6,12,0
2020-11-24,1,6,1
2020-11-25,4,11,0
2020-11-26,0,1,1
2020-11-27,0,0,1
2020-11-28,2,0,0
2020-11-29,1,0,1
2020-11-30,1,1,3
2020-12-01,3,26,5
2020-12-02,0,14,6
2020-12-03,1,20,4
2020-12-04,0,19,17
2020-12-05,0,11,3
2020-12-06,0,1,2
2020-12-07,2,13,5
2020-12-08,1,16,7
2020-12-09,0,19,6
2020-12-10,0,8,10
2020-12-11,0,19,13
2020-12-12,0,1,3
2020-12-13,0,1,11
2020-12-14,0,8,6
2020-12-15,0,24,8
2020-12-16,1,30,6
2020-12-17,0,16,6
2020-12-18,0,8,8
2020-12-19,3,0,8
2020-12-20,0,0,1
2020-12-21,0,8,3
2020-12-22,0,14,9
2020-12-23,1,13,10
2020-12-24,0,11,5
2020-12-25,0,2,0
2020-12-26,0,3,0
2020-12-27,0,0,1
2020-12-28,10,7,2
2020-12-29,0,8,12
2020-12-30,3,10,2
2020-12-31,0,5,1
2021-01-01,0,0,2
2021-01-02,1,0,0
2021-01-03,2,1,0
2021-01-04,0,5,10
2021-01-05,2,20,4
2021-01-06,0,22,4
2021-01-07,0,29,5
2021-01-08,0,26,12
2021-01-09,0,5,3
2021-01-10,0,0,4
2021-01-11,0,14,7
2021-01-12,0,17,6
2021-01-13,1,23,2
2021-01-14,3,25,6
2021-01-15,0,32,10
2021-01-16,0,11,5
2021-01-17,2,3,2
2021-01-18,0,1,0
2021-01-19,0,13,5
2021-01-20,1,27,3
2021-01-21,0,16,5
2021-01-22,3,17,10
2021-01-23,2,18,13
2021-01-24,0,3,0
2021-01-25,0,18,6
2021-01-26,4,26,12
2021-01-27,0,29,9
2021-01-28,2,27,32
2021-01-29,13,26,4
2021-01-30,0,2,1
2021-01-31,1,0,2
2021-02-01,1,22,7
2021-02-02,0,33,8
2021-02-03,0,32,13
2021-02-04,6,27,12
2021-02-05,7,7,16
2021-02-06,0,1,3
2021-02-07,2,0,5
2021-02-08,0,1,5
2021-02-09,0,34,9
2021-02-10,0,11,20
2021-02-11,1,31,7
2021-02-12,0,18,5
2021-02-13,0,5,1
2021-02-14,0,1,0
2021-02-15,0,3,1
2021-02-16,0,16,10
2021-02-17,0,27,10
2021-02-18,0,29,10
2021-02-19,0,16,7
2021-02-20,3,10,4
2021-02-21,0,0,1
2021-02-22,0,15,7
2021-02-23,0,15,7
2021-02-24,0,32,7
2021-02-25,1,20,6
2021-02-26,1,19,2
2021-02-27,6,7,19
2021-02-28,0,3,4
2021-03-01,4,16,1
2021-03-02,10,26,10
2021-03-03,76,12,12
2021-03-04,1,23,11
2021-03-05,3,24,6
2021-03-06,0,9,12
2021-03-07,2,0,5
2021-03-08,1,13,5
2021-03-09,2,19,7
2021-03-10,0,20,8
2021-03-11,4,23,13
2021-03-12,1,15,8
2021-03-13,0,16,0
2021-03-14,0,0,0
2021-03-15,0,17,9
2021-03-16,0,24,5
2021-03-17,0,27,14
2021-03-18,0,21,12
2021-03-19,0,17,2
2021-03-20,0,0,3
2021-03-21,0,0,0
2021-03-22,0,8,4
2021-03-23,0,24,11
2021-03-24,1,30,9
2021-03-25,0,28,11
2021-03-26,4,6,4
2021-03-27,0,5,2
2021-03-28,7,1,0
2021-03-29,6,5,4
