,cypress-io/cypress,seleniumhq/selenium,DevExpress/testcafe
2019-11-20,0,1,7
2019-11-21,0,1,2
2019-11-22,0,1,2
2019-11-23,0,2,0
2019-11-24,0,0,0
2019-11-25,1,1,1
2019-11-26,9,0,2
2019-11-27,11,2,1
2019-11-28,7,3,0
2019-11-29,0,6,0
2019-11-30,0,0,0
2019-12-01,0,0,0
2019-12-02,9,6,1
2019-12-03,3,2,1
2019-12-04,5,1,0
2019-12-05,6,0,0
2019-12-06,12,1,1
2019-12-07,0,0,0
2019-12-08,0,1,0
2019-12-09,7,0,1
2019-12-10,3,0,0
2019-12-11,7,1,0
2019-12-12,13,0,0
2019-12-13,1,0,2
2019-12-14,0,1,0
2019-12-15,0,0,0
2019-12-16,3,0,0
2019-12-17,1,1,4
2019-12-18,2,0,7
2019-12-19,5,1,2
2019-12-20,0,0,2
2019-12-21,3,1,0
2019-12-22,1,0,0
2019-12-23,5,1,0
2019-12-24,2,0,0
2019-12-25,0,0,1
2019-12-26,5,1,0
2019-12-27,5,1,3
2019-12-28,1,0,0
2019-12-29,0,0,0
2019-12-30,1,0,3
2019-12-31,0,0,0
2020-01-01,0,3,0
2020-01-02,1,2,0
2020-01-03,1,8,0
2020-01-04,1,11,0
2020-01-05,0,0,0
2020-01-06,2,5,0
2020-01-07,6,2,0
2020-01-08,1,10,0
2020-01-09,9,3,1
2020-01-10,7,4,2
2020-01-11,2,1,0
2020-01-12,0,0,0
2020-01-13,7,0,1
2020-01-14,0,0,1
2020-01-15,4,3,0
2020-01-16,4,15,2
2020-01-17,0,0,7
2020-01-18,0,0,0
2020-01-19,0,0,0
2020-01-20,1,0,0
2020-01-21,0,1,2
2020-01-22,2,0,0
2020-01-23,1,4,3
2020-01-24,3,0,0
2020-01-25,2,0,0
2020-01-26,1,0,0
2020-01-27,5,1,0
2020-01-28,0,0,1
2020-01-29,2,0,2
2020-01-30,4,2,0
2020-01-31,5,0,0
2020-02-01,1,0,0
2020-02-02,0,0,0
2020-02-03,6,0,0
2020-02-04,3,14,4
2020-02-05,7,0,1
2020-02-06,7,0,3
2020-02-07,10,0,2
2020-02-08,0,1,0
2020-02-09,0,0,0
2020-02-10,4,0,1
2020-02-11,3,0,0
2020-02-12,4,2,2
2020-02-13,5,0,0
2020-02-14,10,2,2
2020-02-15,2,3,0
2020-02-16,0,0,0
2020-02-17,1,1,6
2020-02-18,2,0,2
2020-02-19,3,0,1
2020-02-20,5,0,0
2020-02-21,6,0,1
2020-02-22,1,0,0
2020-02-23,0,0,0
2020-02-24,8,2,0
2020-02-25,10,0,3
2020-02-26,5,1,1
2020-02-27,3,1,0
2020-02-28,14,4,0
2020-02-29,3,1,0
2020-03-01,0,0,0
2020-03-02,5,1,4
2020-03-03,6,1,5
2020-03-04,1,3,2
2020-03-05,2,7,2
2020-03-06,4,1,0
2020-03-07,3,3,0
2020-03-08,0,2,0
2020-03-09,5,1,0
2020-03-10,1,6,0
2020-03-11,4,2,0
2020-03-12,2,9,1
2020-03-13,1,5,0
2020-03-14,1,0,0
2020-03-15,0,0,0
2020-03-16,10,4,2
2020-03-17,8,13,2
2020-03-18,2,4,0
2020-03-19,1,2,1
2020-03-20,0,10,2
2020-03-21,2,3,0
2020-03-22,0,9,0
2020-03-23,3,2,1
2020-03-24,12,2,1
2020-03-25,4,1,2
2020-03-26,4,0,2
2020-03-27,15,1,1
2020-03-28,0,0,0
2020-03-29,0,0,0
2020-03-30,4,15,2
2020-03-31,0,38,3
2020-04-01,1,8,1
2020-04-02,4,7,0
2020-04-03,7,17,1
2020-04-04,0,4,0
2020-04-05,0,11,0
2020-04-06,10,9,2
2020-04-07,4,8,4
2020-04-08,2,3,2
2020-04-09,1,12,1
2020-04-10,6,3,0
2020-04-11,0,5,0
2020-04-12,0,16,0
2020-04-13,5,5,0
2020-04-14,4,13,1
2020-04-15,0,4,7
2020-04-16,2,4,0
2020-04-17,1,9,0
2020-04-18,0,12,0
2020-04-19,0,8,0
2020-04-20,9,12,0
2020-04-21,12,2,2
2020-04-22,4,1,2
2020-04-23,6,15,0
2020-04-24,1,5,1
2020-04-25,0,21,0
2020-04-26,3,8,0
2020-04-27,6,7,3
2020-04-28,6,10,0
2020-04-29,11,17,1
2020-04-30,6,1,1
2020-05-01,4,16,0
2020-05-02,6,0,0
2020-05-03,0,4,0
2020-05-04,11,7,0
2020-05-05,6,1,0
2020-05-06,4,10,2
2020-05-07,5,3,3
2020-05-08,20,1,3
2020-05-09,1,1,0
2020-05-10,0,0,0
2020-05-11,8,3,0
2020-05-12,7,14,0
2020-05-13,7,2,1
2020-05-14,6,0,1
2020-05-15,22,3,3
2020-05-16,12,1,0
2020-05-17,2,0,0
2020-05-18,17,2,0
2020-05-19,12,40,4
2020-05-20,7,19,3
2020-05-21,3,0,3
2020-05-22,2,3,2
2020-05-23,0,1,0
2020-05-24,2,3,0
2020-05-25,1,2,3
2020-05-26,9,2,2
2020-05-27,13,9,2
2020-05-28,8,13,5
2020-05-29,10,1,0
2020-05-30,3,1,0
2020-05-31,0,1,0
2020-06-01,8,5,6
2020-06-02,3,2,3
2020-06-03,8,1,1
2020-06-04,14,4,0
2020-06-05,15,7,2
2020-06-06,0,0,0
2020-06-07,0,0,0
2020-06-08,6,2,6
2020-06-09,6,2,2
2020-06-10,14,2,2
2020-06-11,1,2,1
2020-06-12,8,0,0
2020-06-13,1,2,0
2020-06-14,0,0,0
2020-06-15,5,1,3
2020-06-16,5,9,0
2020-06-17,6,0,1
2020-06-18,4,9,2
2020-06-19,5,7,3
