,pi-hole/pi-hole,NLnetLabs/unbound,AdguardTeam/AdGuardHome
2019-09-23,0,2,9
2019-09-24,0,1,0
2019-09-25,0,1,4
2019-09-26,3,3,11
2019-09-27,0,0,7
2019-09-28,0,0,0
2019-09-29,2,0,0
2019-09-30,0,0,1
2019-10-01,0,0,1
2019-10-02,0,1,9
2019-10-03,2,8,2
2019-10-04,0,0,3
2019-10-05,0,0,0
2019-10-06,2,0,0
2019-10-07,0,1,2
2019-10-08,0,0,1
2019-10-09,0,0,15
2019-10-10,0,0,9
2019-10-11,0,0,6
2019-10-12,0,0,0
2019-10-13,1,0,0
2019-10-14,4,0,3
2019-10-15,2,0,7
2019-10-16,3,0,4
2019-10-17,0,0,2
2019-10-18,0,0,5
2019-10-19,0,0,0
2019-10-20,0,0,0
2019-10-21,0,3,6
2019-10-22,0,3,12
2019-10-23,0,3,10
2019-10-24,0,1,3
2019-10-25,0,0,3
2019-10-26,0,0,0
2019-10-27,2,0,0
2019-10-28,2,0,0
2019-10-29,0,0,0
