,puma/puma,celluloid/celluloid,eventmachine/eventmachine
2016-04-25,0,0,3
2016-04-26,2,0,0
2016-04-27,0,0,0
2016-04-28,2,3,0
2016-04-29,0,0,0
2016-04-30,1,0,0
2016-05-01,0,0,0
2016-05-02,0,0,0
2016-05-03,3,0,0
2016-05-04,0,0,0
2016-05-05,0,0,0
2016-05-06,0,0,0
2016-05-07,0,0,0
2016-05-08,0,0,0
2016-05-09,0,0,0
2016-05-10,3,0,0
2016-05-11,0,0,0
2016-05-12,0,0,0
2016-05-13,0,0,0
2016-05-14,0,0,0
2016-05-15,0,0,0
2016-05-16,0,0,0
2016-05-17,1,0,0
2016-05-18,0,0,0
2016-05-19,0,0,0
2016-05-20,0,0,0
2016-05-21,0,0,0
2016-05-22,0,3,0
2016-05-23,0,0,0
2016-05-24,0,0,0
2016-05-25,0,0,0
2016-05-26,0,0,0
2016-05-27,0,0,0
2016-05-28,0,0,0
