,jesseduffield/lazygit,jonas/tig,dandavison/delta
2023-12-22,4,0,-0.00850206720000001
2023-12-23,0,0,0.0
2023-12-24,0,0,0.0
2023-12-25,0,0,0.0
2023-12-26,0,0,0.0
2023-12-27,7,0,0.0
2023-12-28,0,0,0.0
2023-12-29,0,0,0.0
2023-12-30,0,0,0.0
2023-12-31,0,0,0.0
2024-01-01,0,0,0.0
2024-01-02,3,0,0.0
2024-01-03,0,0,0.0
2024-01-04,0,0,0.0
2024-01-05,0,0,0.0
2024-01-06,0,0,0.0
2024-01-07,0,0,0.0
2024-01-08,0,0,0.0
2024-01-09,18,0,0.0
2024-01-10,15,0,0.0
2024-01-11,0,0,0.0
2024-01-12,3,0,0.0
2024-01-13,5,0,0.0
2024-01-14,7,0,0.0
2024-01-15,6,0,0.0
2024-01-16,3,0,0.0
2024-01-17,0,0,0.0
2024-01-18,13,1,0.0
2024-01-19,3,0,1.0
2024-01-20,0,3,0.3999999999999999
2024-01-21,0,0,-0.7200000000000001
2024-01-22,5,0,-0.176
2024-01-23,6,0,-0.08959999999999996
2024-01-24,5,0,-0.05644799999999997
2024-01-25,4,3,-0.03960320000000001
2024-01-26,10,0,-0.029680640000000015
2024-01-27,8,0,-0.023265792000000018
2024-01-28,7,0,-0.01884241920000002
2024-01-29,5,0,-0.00850206720000001
2024-01-30,3,0,0.0
2024-01-31,0,0,0.0
2024-02-01,0,0,0.0
2024-02-02,0,0,0.0
2024-02-03,0,0,0.0
2024-02-04,0,0,0.0
2024-02-05,0,1,0.0
2024-02-06,0,0,0.0
2024-02-07,0,0,0.0
2024-02-08,0,0,0.0
2024-02-09,0,1,0.0
2024-02-10,3,0,0.0
2024-02-11,0,0,0.0
2024-02-12,1,0,0.0
2024-02-13,6,0,0.0
2024-02-14,0,0,0.0
2024-02-15,0,1,0.0
2024-02-16,16,0,0.0
2024-02-17,0,0,0.0
2024-02-18,9,0,0.0
2024-02-19,0,0,1.0
2024-02-20,0,0,-0.6000000000000001
2024-02-21,5,0,-0.12
2024-02-22,0,0,-0.055999999999999994
2024-02-23,0,0,-0.03359999999999997
2024-02-24,0,0,-0.022848000000000004
2024-02-25,0,0,-0.01675520000000001
2024-02-26,0,0,-0.012925440000000009
2024-02-27,0,0,-0.01034035200000001
2024-02-28,0,0,-0.00850206720000001
2024-02-29,0,0,0.0
2024-03-01,1,0,0.0
2024-03-02,16,0,8.0
2024-03-03,2,0,-4.800000000000001
2024-03-04,0,0,2.04
2024-03-05,0,0,-2.248
2024-03-06,1,0,-0.6287999999999998
2024-03-07,7,0,-0.350784
2024-03-08,0,0,-0.23484159999999998
2024-03-09,16,0,-0.17194752000000008
2024-03-10,0,0,-0.1329884160000001
2024-03-11,8,0,-0.1067928576000001
2024-03-12,4,0,2.968978944
2024-03-13,0,0,-1.8255062016000003
2024-03-14,0,0,-0.36
2024-03-15,0,0,-0.16799999999999998
2024-03-16,6,0,5.8992
2024-03-17,16,0,-1.6685440000000007
2024-03-18,2,0,-1.9702656000000003
2024-03-19,6,0,-0.61477632
2024-03-20,0,0,-0.3446210559999998
2024-03-21,1,1,-0.22979420159999997
2024-03-22,18,0,0.8537728
2024-03-23,8,2,-0.7110630400000002
2024-03-24,0,0,-0.20789299200000005
2024-03-25,0,0,-0.12769310720000007
2024-03-26,7,1,-0.050604134399999987
2024-03-27,0,1,-0.022848000000000004
2024-03-28,13,1,-0.01675520000000001
2024-03-29,9,1,-0.012925440000000009
2024-03-30,1,0,-0.01034035200000001
2024-03-31,0,0,-0.00850206720000001
2024-04-01,1,0,0.0
2024-04-02,0,0,0.0
2024-04-03,0,0,0.0
2024-04-04,0,0,0.0
2024-04-05,0,0,0.0
2024-04-06,2,0,0.0
2024-04-07,4,0,0.0
2024-04-08,0,2,0.0
2024-04-09,4,0,0.0
2024-04-10,4,1,0.0
2024-04-11,0,0,0.0
2024-04-12,16,0,0.0
2024-04-13,1,0,0.0
2024-04-14,0,0,0.0
2024-04-15,4,0,0.0
2024-04-16,1,0,0.0
2024-04-17,0,0,0.0
2024-04-18,10,0,0.0
2024-04-19,0,0,0.0
2024-04-20,2,0,0.0
2024-04-21,0,0,0.0
2024-04-22,6,0,0.0
2024-04-23,1,0,0.0
2024-04-24,2,0,0.0
2024-04-25,4,0,0.0
2024-04-26,0,1,0.0
2024-04-27,2,0,0.0
2024-04-28,3,0,0.0
2024-04-29,0,0,0.0
2024-04-30,2,1,0.0
2024-05-01,2,0,0.0
2024-05-02,0,1,0.0
2024-05-03,0,0,0.0
2024-05-04,0,0,3.0
2024-05-05,1,0,-1.8000000000000003
2024-05-06,0,0,0.64
2024-05-07,0,0,-0.768
2024-05-08,0,0,-0.2207999999999999
2024-05-09,0,0,-0.124544
2024-05-10,0,1,0.9161344
2024-05-11,0,0,-0.6616243200000002
2024-05-12,0,0,-0.167776256
2024-05-13,0,0,-0.09443164160000003
2024-05-14,0,0,-0.04394035199999998
2024-05-15,9,0,-0.03135006720000001
2024-05-16,0,0,-0.01675520000000001
2024-05-17,0,0,-0.012925440000000009
2024-05-18,2,0,-0.01034035200000001
2024-05-19,26,0,-0.00850206720000001
2024-05-20,7,0,0.0
2024-05-21,0,0,0.0
2024-05-22,1,0,0.0
2024-05-23,0,0,0.0
2024-05-24,5,0,0.0
2024-05-25,0,0,0.0
2024-05-26,3,0,0.0
2024-05-27,1,0,0.0
2024-05-28,0,1,0.0
2024-05-29,5,0,0.0
2024-05-30,0,2,0.0
2024-05-31,3,0,0.0
2024-06-01,18,0,0.0
2024-06-02,2,0,0.0
2024-06-03,17,0,0.0
2024-06-04,3,0,0.0
2024-06-05,4,0,0.0
2024-06-06,0,0,0.0
2024-06-07,5,0,0.0
2024-06-08,0,0,0.0
2024-06-09,0,0,0.0
2024-06-10,4,0,0.0
2024-06-11,0,0,0.0
2024-06-12,3,1,0.0
2024-06-13,0,0,0.0
2024-06-14,2,0,0.0
2024-06-15,2,0,0.0
2024-06-16,0,0,0.0
2024-06-17,0,0,0.0
2024-06-18,0,0,0.0
2024-06-19,0,0,0.0
2024-06-20,0,1,0.0
2024-06-21,0,0,0.0
2024-06-22,0,0,0.0
2024-06-23,52,0,0.0
2024-06-24,0,0,1.0
2024-06-25,0,0,-0.6000000000000001
2024-06-26,2,0,-0.12
2024-06-27,6,0,-0.055999999999999994
2024-06-28,8,0,-0.03359999999999997
2024-06-29,7,0,-0.022848000000000004
2024-06-30,5,0,-0.01675520000000001
2024-07-01,10,0,-0.012925440000000009
2024-07-02,0,0,-0.01034035200000001
2024-07-03,0,0,-0.00850206720000001
2024-07-04,2,0,0.0
2024-07-05,0,0,0.0
2024-07-06,21,0,1.0
2024-07-07,1,0,0.3999999999999999
2024-07-08,0,0,4.28
2024-07-09,0,0,-3.1760000000000006
2024-07-10,3,0,-0.6896
2024-07-11,0,0,-0.33644799999999997
2024-07-12,0,0,0.7923968000000001
2024-07-13,21,0,-0.7439206400000001
2024-07-14,0,0,-0.22704179200000008
2024-07-15,0,0,-0.13946961920000006
2024-07-16,0,0,0.9061961728
2024-07-17,0,0,5.334641663999999
2024-07-18,0,0,-3.7367552000000006
2024-07-19,0,0,-0.78892544
2024-07-20,0,0,-0.3799403519999999
2024-07-21,0,0,-0.23295006719999983
2024-07-22,0,0,2.8461568
2024-07-23,0,0,-1.9134566400000004
2024-07-24,0,0,-0.44789299200000005
2024-07-25,0,0,-0.23854417920000004
2024-07-26,2,0,-0.15181240319999997
2024-07-27,0,0,-0.06854400000000001
2024-07-28,0,0,0.9497344
2024-07-29,0,0,-0.6387763200000001
2024-07-30,0,0,-0.15102105600000001
2024-07-31,0,0,-0.08150620160000002
2024-08-01,0,0,-0.03359999999999997
2024-08-02,3,0,6.977152
2024-08-03,2,0,-4.2167552000000015
2024-08-04,0,0,-0.8529254399999999
2024-08-05,0,0,-0.40234035199999996
2024-08-06,0,0,-0.24370206719999982
2024-08-07,0,0,-0.15993600000000002
2024-08-08,1,0,-0.11728640000000005
2024-08-09,1,0,0.90952192
2024-08-10,0,0,-0.6723824640000001
2024-08-11,0,0,-0.17951447040000007
2024-08-12,0,0,0.944
2024-08-13,0,0,-0.6336
2024-08-14,0,0,-0.142848
2024-08-15,1,0,1.9272448
2024-08-16,2,0,7.75347456
2024-08-17,31,0,-5.673188352
2024-08-18,32,0,-1.2172572672000002
2024-08-19,0,0,-0.58412544
2024-08-20,0,0,7.641563648
2024-08-21,0,0,-5.0476444672000005
2024-08-22,0,0,-0.13664768000000005
