,parcel-bundler/parcel,webpack/webpack,rollup/rollup
2017-11-27,0,13,0
2017-11-28,0,16,0
2017-11-29,0,11,1
2017-11-30,0,7,2
2017-12-01,0,6,1
2017-12-02,0,1,0
2017-12-03,2,0,1
2017-12-04,2,22,0
2017-12-05,3,6,7
2017-12-06,23,9,1
2017-12-07,21,4,0
2017-12-08,19,10,3
2017-12-09,6,4,0
2017-12-10,1,1,1
2017-12-11,19,6,8
2017-12-12,12,12,0
2017-12-13,1,13,2
2017-12-14,3,16,5
2017-12-15,3,6,11
2017-12-16,1,6,1
2017-12-17,0,1,0
2017-12-18,2,6,14
2017-12-19,6,12,18
2017-12-20,11,15,8
2017-12-21,7,14,2
2017-12-22,6,21,41
2017-12-23,2,10,4
2017-12-24,4,1,3
2017-12-25,1,0,1
2017-12-26,0,2,0
2017-12-27,1,4,1
2017-12-28,3,7,15
2017-12-29,3,7,2
2017-12-30,4,2,4
2017-12-31,7,10,0
2018-01-01,8,2,0
2018-01-02,0,10,7
2018-01-03,2,22,0
2018-01-04,3,23,0
2018-01-05,1,3,0
2018-01-06,5,9,3
2018-01-07,0,0,0
2018-01-08,3,0,17
2018-01-09,3,6,9
2018-01-10,2,15,10
2018-01-11,0,13,4
2018-01-12,1,7,58
2018-01-13,0,2,1
2018-01-14,2,3,0
2018-01-15,2,1,0
2018-01-16,1,0,2
2018-01-17,1,0,5
2018-01-18,0,8,10
2018-01-19,1,4,4
2018-01-20,2,5,2
2018-01-21,2,7,2
2018-01-22,1,20,5
2018-01-23,4,9,49
2018-01-24,0,22,6
2018-01-25,3,3,0
2018-01-26,6,5,20
2018-01-27,0,13,0
2018-01-28,1,1,3
2018-01-29,8,7,5
2018-01-30,3,22,1
2018-01-31,1,4,0
2018-02-01,1,17,14
2018-02-02,0,2,0
2018-02-03,0,0,1
2018-02-04,2,0,0
2018-02-05,9,6,2
2018-02-06,1,3,1
2018-02-07,0,5,2
2018-02-08,0,0,3
2018-02-09,1,12,14
2018-02-10,1,7,4
2018-02-11,1,1,27
2018-02-12,2,0,4
2018-02-13,0,8,4
2018-02-14,7,8,2
2018-02-15,4,4,14
2018-02-16,3,2,3
2018-02-17,1,12,2
2018-02-18,2,3,4
2018-02-19,3,7,9
2018-02-20,5,7,2
2018-02-21,1,15,4
2018-02-22,1,7,2
2018-02-23,0,1,1
2018-02-24,3,14,1
2018-02-25,0,16,8
2018-02-26,1,58,3
2018-02-27,0,9,0
2018-02-28,2,3,2
2018-03-01,0,6,3
2018-03-02,2,11,5
2018-03-03,0,6,0
2018-03-04,0,4,21
2018-03-05,0,19,7
2018-03-06,0,13,12
2018-03-07,0,17,9
2018-03-08,0,1,1
2018-03-09,1,16,3
2018-03-10,0,0,0
2018-03-11,0,2,0
2018-03-12,0,9,10
2018-03-13,0,15,7
2018-03-14,2,25,32
2018-03-15,0,6,9
2018-03-16,0,4,1
2018-03-17,0,1,10
2018-03-18,5,11,1
2018-03-19,1,1,0
2018-03-20,2,7,0
2018-03-21,1,5,0
2018-03-22,4,4,3
2018-03-23,2,1,6
2018-03-24,2,10,24
2018-03-25,0,0,5
2018-03-26,1,12,1
2018-03-27,1,5,7
2018-03-28,14,25,1
2018-03-29,0,43,2
2018-03-30,0,0,1
2018-03-31,0,0,1
2018-04-01,0,2,9
2018-04-02,0,6,0
2018-04-03,0,7,0
2018-04-04,2,33,1
2018-04-05,0,4,1
2018-04-06,0,13,0
2018-04-07,0,1,0
2018-04-08,2,8,0
2018-04-09,2,11,0
2018-04-10,0,21,0
2018-04-11,1,35,0
2018-04-12,0,47,0
2018-04-13,3,9,6
2018-04-14,0,6,0
2018-04-15,3,2,1
2018-04-16,1,6,45
2018-04-17,0,16,6
2018-04-18,0,8,10
2018-04-19,0,12,0
2018-04-20,0,5,0
2018-04-21,0,2,1
2018-04-22,0,3,0
2018-04-23,0,7,5
2018-04-24,2,9,0
2018-04-25,2,4,0
2018-04-26,0,7,2
2018-04-27,3,11,0
2018-04-28,2,12,1
2018-04-29,3,7,8
2018-04-30,0,33,7
2018-05-01,7,27,1
2018-05-02,2,11,9
2018-05-03,8,7,1
2018-05-04,2,22,0
2018-05-05,0,2,1
2018-05-06,6,2,2
2018-05-07,1,19,0
2018-05-08,0,6,3
2018-05-09,1,13,0
2018-05-10,0,10,0
2018-05-11,2,18,0
2018-05-12,0,8,1
2018-05-13,0,4,2
2018-05-14,0,7,4
2018-05-15,0,17,16
2018-05-16,1,7,5
2018-05-17,0,13,0
2018-05-18,0,10,1
2018-05-19,1,8,0
2018-05-20,3,6,2
2018-05-21,1,12,6
2018-05-22,6,6,15
2018-05-23,1,2,3
2018-05-24,2,12,6
2018-05-25,1,19,5
2018-05-26,1,3,4
2018-05-27,2,4,6
2018-05-28,4,23,3
2018-05-29,0,32,1
2018-05-30,0,26,3
2018-05-31,1,4,2
2018-06-01,1,7,1
2018-06-02,0,8,0
2018-06-03,0,1,0
2018-06-04,0,24,51
2018-06-05,1,13,0
2018-06-06,0,15,8
2018-06-07,1,15,7
2018-06-08,0,4,0
2018-06-09,1,2,0
2018-06-10,0,2,0
2018-06-11,0,0,3
2018-06-12,0,3,2
2018-06-13,0,3,5
2018-06-14,9,4,22
2018-06-15,0,2,0
2018-06-16,0,0,6
2018-06-17,3,0,2
2018-06-18,2,1,0
2018-06-19,1,11,0
2018-06-20,0,16,16
2018-06-21,0,16,8
2018-06-22,0,6,1
2018-06-23,1,14,7
2018-06-24,3,2,0
2018-06-25,4,25,2
2018-06-26,0,23,0
2018-06-27,0,26,4
2018-06-28,0,16,0
2018-06-29,1,8,0
2018-06-30,4,2,0
2018-07-01,7,0,0
2018-07-02,2,13,2
2018-07-03,1,7,0
2018-07-04,5,10,0
2018-07-05,0,17,0
2018-07-06,0,7,0
2018-07-07,6,0,0
2018-07-08,2,7,0
2018-07-09,3,15,0
2018-07-10,0,22,0
2018-07-11,7,9,0
2018-07-12,1,6,4
2018-07-13,1,17,0
2018-07-14,0,9,0
2018-07-15,0,11,0
2018-07-16,6,8,0
2018-07-17,0,7,7
2018-07-18,0,0,6
2018-07-19,1,2,0
2018-07-20,0,2,6
2018-07-21,5,2,0
2018-07-22,4,0,0
2018-07-23,1,14,0
2018-07-24,1,1,0
2018-07-25,0,13,0
2018-07-26,0,7,0
2018-07-27,1,9,0
2018-07-28,0,1,0
2018-07-29,0,2,0
2018-07-30,0,39,1
2018-07-31,2,7,4
2018-08-01,0,6,6
2018-08-02,0,23,0
2018-08-03,3,6,1
2018-08-04,0,0,0
2018-08-05,0,0,7
2018-08-06,0,9,2
2018-08-07,0,2,12
2018-08-08,0,5,0
2018-08-09,0,9,2
2018-08-10,0,0,0
2018-08-11,1,0,1
2018-08-12,0,2,5
2018-08-13,0,3,2
2018-08-14,1,7,3
2018-08-15,1,2,0
2018-08-16,2,6,0
2018-08-17,1,0,0
2018-08-18,0,0,0
2018-08-19,1,0,0
2018-08-20,0,4,0
2018-08-21,0,12,2
2018-08-22,1,13,0
2018-08-23,3,4,2
2018-08-24,4,6,9
2018-08-25,0,0,3
2018-08-26,0,0,0
2018-08-27,1,0,0
2018-08-28,1,6,0
2018-08-29,0,1,0
2018-08-30,1,1,1
2018-08-31,0,0,1
2018-09-01,0,0,0
2018-09-02,0,1,0
2018-09-03,0,11,0
2018-09-04,0,5,0
2018-09-05,0,3,5
2018-09-06,1,11,0
2018-09-07,1,2,2
2018-09-08,0,0,0
2018-09-09,0,0,0
2018-09-10,0,11,2
2018-09-11,0,0,0
2018-09-12,1,11,0
2018-09-13,1,9,3
2018-09-14,1,1,2
2018-09-15,0,5,0
2018-09-16,5,3,10
2018-09-17,1,4,0
2018-09-18,1,9,0
2018-09-19,0,4,5
2018-09-20,0,3,0
2018-09-21,0,40,4
2018-09-22,5,2,1
2018-09-23,2,0,0
2018-09-24,1,0,0
2018-09-25,9,12,0
2018-09-26,0,2,0
2018-09-27,3,21,0
2018-09-28,1,0,0
2018-09-29,0,1,0
2018-09-30,0,2,0
2018-10-01,0,4,0
2018-10-02,2,9,2
2018-10-03,0,6,5
2018-10-04,1,4,3
2018-10-05,0,1,0
2018-10-06,8,0,0
2018-10-07,0,0,0
2018-10-08,0,0,0
2018-10-09,0,0,4
2018-10-10,0,0,3
2018-10-11,4,1,0
2018-10-12,0,6,0
2018-10-13,1,0,0
2018-10-14,0,0,2
2018-10-15,4,0,0
2018-10-16,0,0,0
2018-10-17,0,69,0
2018-10-18,2,16,0
2018-10-19,1,11,0
2018-10-20,1,1,0
2018-10-21,1,1,0
2018-10-22,1,3,0
2018-10-23,0,18,0
2018-10-24,0,31,0
2018-10-25,0,15,0
2018-10-26,1,2,0
2018-10-27,1,0,0
2018-10-28,0,3,4
2018-10-29,1,14,0
2018-10-30,1,26,9
2018-10-31,3,9,0
2018-11-01,5,14,0
2018-11-02,10,9,0
2018-11-03,2,9,0
2018-11-04,3,7,3
2018-11-05,2,29,0
2018-11-06,4,0,0
2018-11-07,0,4,0
2018-11-08,3,6,0
2018-11-09,2,0,0
2018-11-10,1,0,0
2018-11-11,0,2,3
2018-11-12,1,5,0
2018-11-13,0,1,0
2018-11-14,1,2,0
2018-11-15,0,0,0
2018-11-16,0,4,0
2018-11-17,1,0,7
2018-11-18,2,8,0
2018-11-19,0,4,0
2018-11-20,0,0,0
2018-11-21,2,2,0
2018-11-22,0,0,0
2018-11-23,0,4,1
2018-11-24,0,1,0
2018-11-25,0,6,0
2018-11-26,0,2,0
2018-11-27,0,1,0
2018-11-28,0,0,0
2018-11-29,0,43,0
2018-11-30,1,15,0
2018-12-01,0,2,0
2018-12-02,1,0,0
2018-12-03,0,3,3
2018-12-04,0,6,0
2018-12-05,0,16,0
2018-12-06,0,14,0
2018-12-07,0,15,2
2018-12-08,0,5,0
2018-12-09,0,1,0
2018-12-10,0,5,0
2018-12-11,6,3,2
2018-12-12,1,5,2
2018-12-13,0,1,0
2018-12-14,1,3,0
2018-12-15,0,2,3
2018-12-16,3,2,9
2018-12-17,4,1,0
2018-12-18,10,10,0
2018-12-19,1,6,3
2018-12-20,1,12,2
2018-12-21,1,8,0
2018-12-22,0,4,0
2018-12-23,0,7,3
2018-12-24,1,1,0
2018-12-25,1,13,0
2018-12-26,0,4,0
2018-12-27,2,6,0
2018-12-28,0,16,5
2018-12-29,0,9,0
2018-12-30,1,2,0
2018-12-31,1,18,0
2019-01-01,1,0,0
2019-01-02,0,2,0
2019-01-03,2,4,6
2019-01-04,1,4,0
2019-01-05,0,0,7
2019-01-06,0,0,0
2019-01-07,5,2,0
2019-01-08,0,12,0
2019-01-09,0,9,6
2019-01-10,0,11,0
2019-01-11,0,4,0
2019-01-12,2,2,0
2019-01-13,0,4,0
2019-01-14,0,3,0
2019-01-15,1,7,0
2019-01-16,3,1,0
2019-01-17,0,3,0
2019-01-18,0,5,0
2019-01-19,0,14,5
2019-01-20,0,4,0
2019-01-21,1,0,4
2019-01-22,1,2,0
2019-01-23,0,0,0
2019-01-24,0,5,0
2019-01-25,0,9,0
2019-01-26,1,1,0
2019-01-27,0,3,0
2019-01-28,0,8,0
2019-01-29,0,1,0
2019-01-30,2,1,0
2019-01-31,1,2,0
2019-02-01,0,2,0
2019-02-02,1,3,0
2019-02-03,1,2,0
2019-02-04,0,10,0
2019-02-05,0,24,0
2019-02-06,1,25,0
2019-02-07,1,8,0
2019-02-08,1,1,0
2019-02-09,1,2,0
2019-02-10,0,1,0
2019-02-11,13,4,0
2019-02-12,0,0,0
2019-02-13,1,0,0
2019-02-14,0,2,2
2019-02-15,0,7,6
2019-02-16,0,1,2
2019-02-17,3,0,10
2019-02-18,0,11,0
2019-02-19,1,8,3
2019-02-20,0,2,0
2019-02-21,2,4,0
2019-02-22,2,1,0
2019-02-23,0,0,4
2019-02-24,0,1,0
2019-02-25,3,1,0
2019-02-26,4,1,9
2019-02-27,2,0,6
2019-02-28,4,14,0
2019-03-01,1,1,9
2019-03-02,5,0,0
2019-03-03,1,0,0
2019-03-04,0,0,3
2019-03-05,12,0,1
2019-03-06,11,0,0
2019-03-07,8,0,8
2019-03-08,2,0,3
2019-03-09,0,0,0
2019-03-10,1,5,0
2019-03-11,4,5,0
2019-03-12,8,0,0
2019-03-13,14,0,0
2019-03-14,18,0,0
2019-03-15,3,16,0
2019-03-16,1,0,0
2019-03-17,0,2,0
2019-03-18,15,3,0
2019-03-19,4,4,0
2019-03-20,17,3,7
2019-03-21,10,1,0
2019-03-22,19,1,2
2019-03-23,1,8,0
2019-03-24,0,4,8
2019-03-25,1,5,3
2019-03-26,7,0,0
2019-03-27,0,0,0
2019-03-28,0,1,3
2019-03-29,2,0,0
2019-03-30,4,0,0
2019-03-31,5,0,0
2019-04-01,0,3,0
2019-04-02,2,0,4
2019-04-03,0,2,0
2019-04-04,5,0,1
2019-04-05,1,3,6
2019-04-06,2,0,0
2019-04-07,1,0,0
2019-04-08,0,15,0
2019-04-09,3,1,0
2019-04-10,1,7,10
2019-04-11,1,1,5
2019-04-12,4,4,0
2019-04-13,0,0,0
2019-04-14,0,0,0
2019-04-15,0,1,0
2019-04-16,6,0,0
2019-04-17,5,1,0
2019-04-18,2,1,0
2019-04-19,0,0,7
2019-04-20,0,1,0
2019-04-21,0,0,0
2019-04-22,7,0,0
2019-04-23,6,1,2
2019-04-24,1,1,0
2019-04-25,0,3,0
2019-04-26,2,0,0
2019-04-27,0,0,0
2019-04-28,0,1,0
2019-04-29,0,0,0
2019-04-30,0,0,0
2019-05-01,6,0,0
2019-05-02,1,0,2
2019-05-03,11,0,8
2019-05-04,0,1,6
2019-05-05,0,0,3
2019-05-06,1,0,0
2019-05-07,6,0,0
2019-05-08,14,0,0
2019-05-09,8,18,0
2019-05-10,5,32,0
2019-05-11,1,0,0
2019-05-12,2,0,0
2019-05-13,5,11,0
2019-05-14,3,4,0
2019-05-15,12,0,4
2019-05-16,9,6,6
2019-05-17,7,1,8
2019-05-18,3,1,0
2019-05-19,1,1,3
2019-05-20,3,14,0
2019-05-21,13,1,0
2019-05-22,8,22,0
2019-05-23,11,3,0
2019-05-24,6,1,0
2019-05-25,0,2,0
2019-05-26,5,1,0
2019-05-27,4,1,4
2019-05-28,2,0,0
2019-05-29,7,8,0
2019-05-30,5,0,3
2019-05-31,1,3,5
2019-06-01,4,0,5
2019-06-02,0,0,0
2019-06-03,2,3,0
2019-06-04,10,24,0
2019-06-05,1,12,11
2019-06-06,1,2,3
2019-06-07,1,1,3
2019-06-08,1,0,2
2019-06-09,0,2,5
2019-06-10,1,0,5
2019-06-11,4,6,7
2019-06-12,0,20,0
2019-06-13,3,16,6
2019-06-14,0,9,7
2019-06-15,0,4,0
2019-06-16,1,1,4
2019-06-17,1,1,0
2019-06-18,0,16,0
2019-06-19,0,9,0
2019-06-20,0,4,0
2019-06-21,0,4,9
2019-06-22,0,2,3
2019-06-23,5,0,0
2019-06-24,0,2,0
2019-06-25,0,5,0
2019-06-26,1,1,0
2019-06-27,0,0,0
2019-06-28,17,1,0
2019-06-29,0,0,4
2019-06-30,0,4,1
2019-07-01,1,11,1
2019-07-02,0,3,7
2019-07-03,0,1,0
2019-07-04,0,2,7
2019-07-05,0,5,1
2019-07-06,0,1,1
2019-07-07,0,0,1
2019-07-08,1,8,0
2019-07-09,1,5,3
2019-07-10,0,11,1
2019-07-11,2,4,0
2019-07-12,0,8,0
2019-07-13,1,2,0
2019-07-14,6,1,0
2019-07-15,0,6,4
2019-07-16,1,5,4
2019-07-17,4,25,0
2019-07-18,14,9,0
2019-07-19,1,5,0
2019-07-20,2,1,0
2019-07-21,0,2,0
2019-07-22,1,10,0
2019-07-23,4,10,0
2019-07-24,0,6,0
2019-07-25,6,5,0
2019-07-26,4,38,0
2019-07-27,0,3,0
2019-07-28,0,0,0
2019-07-29,6,0,0
2019-07-30,2,3,0
2019-07-31,4,9,0
2019-08-01,1,23,3
2019-08-02,0,6,0
2019-08-03,1,0,0
2019-08-04,0,0,0
2019-08-05,0,8,12
2019-08-06,1,27,3
2019-08-07,0,15,7
2019-08-08,0,2,0
2019-08-09,4,10,0
2019-08-10,3,3,0
2019-08-11,2,2,1
2019-08-12,9,12,1
2019-08-13,10,21,5
2019-08-14,8,3,3
2019-08-15,8,2,1
2019-08-16,6,1,2
2019-08-17,1,8,0
2019-08-18,0,1,0
2019-08-19,12,5,0
2019-08-20,4,11,0
2019-08-21,2,2,5
2019-08-22,5,16,4
2019-08-23,4,6,0
2019-08-24,0,0,0
2019-08-25,0,0,3
2019-08-26,0,4,1
2019-08-27,1,6,0
2019-08-28,1,1,6
2019-08-29,0,0,0
2019-08-30,2,1,0
2019-08-31,0,3,0
2019-09-01,0,1,0
2019-09-02,0,3,0
2019-09-03,1,5,0
2019-09-04,1,5,0
2019-09-05,0,5,0
2019-09-06,5,3,0
2019-09-07,0,0,0
2019-09-08,0,12,7
2019-09-09,3,4,6
2019-09-10,7,4,0
2019-09-11,2,3,0
2019-09-12,0,2,0
2019-09-13,0,13,0
2019-09-14,0,0,3
2019-09-15,0,1,0
2019-09-16,1,0,3
2019-09-17,0,0,0
2019-09-18,2,1,0
2019-09-19,0,1,0
2019-09-20,0,1,0
2019-09-21,0,0,0
2019-09-22,0,0,0
2019-09-23,3,5,0
2019-09-24,2,6,0
2019-09-25,12,7,0
2019-09-26,1,8,6
2019-09-27,0,1,1
2019-09-28,6,1,0
2019-09-29,2,3,2
2019-09-30,0,1,0
2019-10-01,0,2,0
2019-10-02,1,8,0
2019-10-03,2,1,4
2019-10-04,12,0,1
2019-10-05,4,0,3
2019-10-06,2,1,0
2019-10-07,1,7,0
2019-10-08,3,11,0
2019-10-09,2,17,0
2019-10-10,1,14,0
2019-10-11,5,10,0
2019-10-12,0,0,0
2019-10-13,0,2,0
2019-10-14,0,6,0
2019-10-15,5,22,4
2019-10-16,0,12,0
2019-10-17,7,5,0
2019-10-18,2,12,5
2019-10-19,2,2,0
2019-10-20,0,6,7
2019-10-21,1,11,0
2019-10-22,0,18,0
2019-10-23,0,4,4
2019-10-24,1,0,0
2019-10-25,2,4,0
2019-10-26,1,1,0
2019-10-27,1,2,5
2019-10-28,3,11,0
2019-10-29,0,5,0
2019-10-30,1,23,0
2019-10-31,1,2,7
2019-11-01,6,8,0
2019-11-02,2,0,3
2019-11-03,0,0,0
2019-11-04,0,10,0
2019-11-05,3,12,0
2019-11-06,15,3,0
2019-11-07,4,2,0
2019-11-08,0,3,3
2019-11-09,0,0,3
2019-11-10,0,23,0
2019-11-11,1,0,3
2019-11-12,1,26,3
2019-11-13,7,6,1
2019-11-14,6,10,0
2019-11-15,5,29,1
2019-11-16,5,0,0
2019-11-17,5,2,0
2019-11-18,3,3,8
2019-11-19,4,9,0
2019-11-20,5,14,4
2019-11-21,2,3,0
2019-11-22,2,1,5
2019-11-23,1,2,0
2019-11-24,1,0,0
2019-11-25,2,6,4
2019-11-26,2,20,0
2019-11-27,1,1,0
2019-11-28,0,10,0
2019-11-29,0,4,0
2019-11-30,0,8,4
2019-12-01,0,1,3
2019-12-02,0,4,5
2019-12-03,3,7,0
2019-12-04,1,5,0
2019-12-05,0,2,0
2019-12-06,1,15,0
2019-12-07,1,2,4
2019-12-08,1,3,0
2019-12-09,3,2,0
2019-12-10,1,1,0
2019-12-11,0,1,3
2019-12-12,2,0,3
2019-12-13,1,2,3
2019-12-14,1,1,3
2019-12-15,0,0,0
2019-12-16,0,16,0
2019-12-17,1,14,0
2019-12-18,1,17,0
2019-12-19,1,15,0
2019-12-20,0,8,0
2019-12-21,0,2,0
2019-12-22,0,3,6
2019-12-23,0,5,0
2019-12-24,0,3,0
2019-12-25,0,0,2
2019-12-26,0,1,0
2019-12-27,0,13,0
2019-12-28,0,1,0
2019-12-29,0,2,0
2019-12-30,0,5,0
2019-12-31,0,0,0
2020-01-01,0,0,0
2020-01-02,1,7,0
2020-01-03,1,10,0
2020-01-04,0,0,7
2020-01-05,0,0,0
2020-01-06,0,0,0
2020-01-07,0,1,0
2020-01-08,0,7,6
2020-01-09,0,0,0
2020-01-10,1,0,0
2020-01-11,4,0,0
2020-01-12,4,1,0
2020-01-13,0,1,0
2020-01-14,2,9,0
2020-01-15,1,24,0
2020-01-16,3,11,0
2020-01-17,2,9,0
2020-01-18,4,5,2
2020-01-19,1,3,0
2020-01-20,0,3,0
2020-01-21,1,9,3
2020-01-22,1,5,0
2020-01-23,4,9,0
2020-01-24,2,2,0
2020-01-25,1,0,0
2020-01-26,1,0,0
2020-01-27,2,3,7
2020-01-28,1,8,0
2020-01-29,1,21,0
2020-01-30,1,12,0
2020-01-31,1,7,3
2020-02-01,3,0,0
2020-02-02,0,2,0
2020-02-03,7,2,1
2020-02-04,0,12,0
2020-02-05,6,15,0
2020-02-06,0,4,0
2020-02-07,2,5,1
2020-02-08,1,0,1
2020-02-09,0,3,0
2020-02-10,4,13,0
2020-02-11,5,15,0
2020-02-12,5,12,0
2020-02-13,5,1,0
2020-02-14,5,3,3
2020-02-15,3,0,0
2020-02-16,1,0,0
2020-02-17,1,8,1
2020-02-18,1,15,0
2020-02-19,1,4,1
2020-02-20,1,0,0
2020-02-21,1,8,0
2020-02-22,0,1,0
2020-02-23,0,1,0
2020-02-24,1,7,0
2020-02-25,5,2,0
2020-02-26,3,36,2
2020-02-27,2,13,0
2020-02-28,0,21,3
2020-02-29,0,8,0
2020-03-01,1,1,0
2020-03-02,0,7,0
2020-03-03,2,2,0
2020-03-04,2,6,0
2020-03-05,3,2,2
2020-03-06,2,2,26
2020-03-07,1,0,6
2020-03-08,1,0,0
2020-03-09,2,9,0
2020-03-10,0,13,6
2020-03-11,2,3,0
2020-03-12,0,7,6
2020-03-13,1,7,4
2020-03-14,1,1,0
2020-03-15,1,1,0
2020-03-16,0,0,0
2020-03-17,4,2,0
2020-03-18,0,10,3
2020-03-19,1,2,0
2020-03-20,3,1,0
2020-03-21,6,5,1
2020-03-22,1,11,0
2020-03-23,1,12,1
2020-03-24,6,2,5
2020-03-25,4,26,0
2020-03-26,5,13,0
2020-03-27,3,8,0
2020-03-28,1,4,0
2020-03-29,0,0,4
2020-03-30,1,9,3
2020-03-31,4,2,5
2020-04-01,4,1,0
2020-04-02,0,1,0
2020-04-03,3,1,3
2020-04-04,2,2,3
2020-04-05,1,2,0
2020-04-06,2,1,0
2020-04-07,2,1,3
2020-04-08,2,17,0
2020-04-09,2,9,6
2020-04-10,1,3,3
2020-04-11,4,1,0
2020-04-12,0,1,4
2020-04-13,0,10,0
2020-04-14,5,23,0
2020-04-15,4,1,0
2020-04-16,2,2,0
2020-04-17,2,12,0
2020-04-18,1,0,0
2020-04-19,0,6,0
2020-04-20,1,3,0
2020-04-21,0,15,6
2020-04-22,1,11,5
2020-04-23,2,0,0
2020-04-24,4,5,0
2020-04-25,0,5,0
2020-04-26,0,3,0
2020-04-27,0,0,3
2020-04-28,3,22,0
2020-04-29,3,14,6
2020-04-30,7,12,3
2020-05-01,1,3,0
2020-05-02,0,6,0
2020-05-03,0,0,0
2020-05-04,0,1,0
2020-05-05,2,9,0
2020-05-06,1,0,3
2020-05-07,4,5,8
2020-05-08,1,0,0
2020-05-09,3,0,0
2020-05-10,2,3,6
2020-05-11,3,0,2
2020-05-12,2,18,1
2020-05-13,4,2,3
2020-05-14,0,7,0
2020-05-15,0,0,6
2020-05-16,0,0,0
2020-05-17,0,0,0
2020-05-18,0,0,3
2020-05-19,3,15,7
2020-05-20,0,9,0
2020-05-21,2,0,0
2020-05-22,0,5,7
2020-05-23,0,4,6
2020-05-24,0,0,3
2020-05-25,0,9,0
2020-05-26,0,13,0
2020-05-27,1,15,8
2020-05-28,0,6,6
2020-05-29,0,0,0
2020-05-30,0,3,0
2020-05-31,0,5,3
2020-06-01,1,4,0
2020-06-02,0,18,3
2020-06-03,1,3,3
2020-06-04,2,6,3
2020-06-05,0,18,0
2020-06-06,2,1,0
2020-06-07,2,0,4
2020-06-08,2,3,8
2020-06-09,1,1,0
2020-06-10,1,4,0
2020-06-11,0,0,0
2020-06-12,0,1,5
2020-06-13,1,3,4
2020-06-14,2,0,0
2020-06-15,2,11,0
2020-06-16,3,8,0
2020-06-17,1,14,6
2020-06-18,2,2,0
2020-06-19,1,2,2
2020-06-20,2,0,0
2020-06-21,3,0,0
2020-06-22,6,12,3
2020-06-23,3,2,0
2020-06-24,0,19,0
2020-06-25,1,10,0
2020-06-26,3,2,4
2020-06-27,0,0,0
2020-06-28,0,0,0
2020-06-29,0,8,0
2020-06-30,0,1,0
2020-07-01,1,0,0
2020-07-02,1,12,3
2020-07-03,2,10,0
2020-07-04,0,2,0
2020-07-05,0,0,3
2020-07-06,3,14,4
2020-07-07,3,6,3
2020-07-08,0,13,0
2020-07-09,1,15,0
2020-07-10,1,0,1
2020-07-11,3,1,0
