,apache/struts,spring-projects/spring-framework,apache/tomcat
2015-06-17,8,14,14
2015-06-18,2,1,15
2015-06-19,0,9,22
2015-06-20,1,5,0
2015-06-21,2,3,0
2015-06-22,4,4,8
2015-06-23,12,10,18
2015-06-24,0,6,17
2015-06-25,2,3,7
2015-06-26,2,12,27
2015-06-27,0,3,0
2015-06-28,1,0,0
2015-06-29,0,14,5
2015-06-30,0,10,7
2015-07-01,0,2,8
2015-07-02,0,4,7
2015-07-03,0,4,21
2015-07-04,0,1,0
2015-07-05,0,0,0
2015-07-06,0,11,6
2015-07-07,0,23,6
2015-07-08,0,8,5
2015-07-09,0,7,4
2015-07-10,6,2,1
2015-07-11,4,0,0
2015-07-12,1,0,0
2015-07-13,1,9,0
2015-07-14,1,8,0
2015-07-15,0,6,4
2015-07-16,2,4,2
2015-07-17,3,17,5
2015-07-18,0,0,0
2015-07-19,0,4,3
2015-07-20,0,11,2
2015-07-21,0,15,7
2015-07-22,0,7,3
2015-07-23,0,5,1
2015-07-24,1,5,0
2015-07-25,1,6,0
2015-07-26,0,2,5
2015-07-27,0,24,6
2015-07-28,0,11,2
2015-07-29,0,15,0
2015-07-30,0,15,2
2015-07-31,1,3,0
2015-08-01,0,1,0
2015-08-02,0,0,0
2015-08-03,0,1,0
2015-08-04,4,0,2
2015-08-05,0,1,1
2015-08-06,0,7,2
2015-08-07,0,1,11
2015-08-08,0,3,13
2015-08-09,0,2,2
2015-08-10,0,5,22
2015-08-11,1,5,11
2015-08-12,0,15,3
2015-08-13,0,6,2
2015-08-14,0,10,0
2015-08-15,0,11,0
2015-08-16,0,4,0
2015-08-17,0,7,3
2015-08-18,0,3,29
2015-08-19,0,5,5
2015-08-20,0,2,8
2015-08-21,0,7,7
2015-08-22,1,4,0
2015-08-23,1,0,0
2015-08-24,0,6,2
2015-08-25,0,13,3
2015-08-26,0,8,4
2015-08-27,0,16,2
2015-08-28,0,4,0
2015-08-29,0,1,0
2015-08-30,0,1,0
2015-08-31,15,11,0
2015-09-01,0,2,1
2015-09-02,0,8,8
2015-09-03,1,4,18
2015-09-04,9,4,2
2015-09-05,0,0,0
2015-09-06,3,0,0
2015-09-07,0,2,8
2015-09-08,2,8,4
2015-09-09,1,6,2
2015-09-10,2,14,6
2015-09-11,0,5,3
2015-09-12,0,0,22
2015-09-13,0,0,5
2015-09-14,1,0,30
2015-09-15,1,2,14
2015-09-16,0,0,6
2015-09-17,0,1,14
2015-09-18,0,2,13
2015-09-19,0,0,1
2015-09-20,0,0,2
2015-09-21,0,6,13
2015-09-22,8,11,18
2015-09-23,3,12,3
2015-09-24,1,14,9
2015-09-25,1,3,5
2015-09-26,1,1,0
2015-09-27,1,2,0
2015-09-28,5,9,11
2015-09-29,1,5,17
2015-09-30,0,9,14
2015-10-01,0,1,5
2015-10-02,0,3,0
2015-10-03,0,0,0
2015-10-04,0,2,0
2015-10-05,4,6,5
2015-10-06,4,7,10
2015-10-07,1,9,2
2015-10-08,0,6,8
2015-10-09,4,9,21
2015-10-10,0,0,15
2015-10-11,0,2,1
2015-10-12,2,7,1
2015-10-13,8,12,9
2015-10-14,0,4,11
2015-10-15,0,3,16
2015-10-16,0,10,7
2015-10-17,0,0,0
2015-10-18,0,0,3
2015-10-19,2,3,10
2015-10-20,3,0,24
2015-10-21,0,0,11
2015-10-22,0,2,11
2015-10-23,0,0,7
2015-10-24,0,0,6
2015-10-25,0,1,3
2015-10-26,0,8,12
2015-10-27,3,1,6
2015-10-28,0,19,9
2015-10-29,0,13,3
2015-10-30,2,13,2
2015-10-31,0,0,0
2015-11-01,0,2,0
2015-11-02,1,11,6
2015-11-03,0,2,7
2015-11-04,1,0,14
2015-11-05,0,10,14
2015-11-06,0,8,9
2015-11-07,0,3,13
2015-11-08,0,3,19
2015-11-09,2,7,9
2015-11-10,0,5,4
2015-11-11,0,8,5
2015-11-12,3,3,16
2015-11-13,0,14,1
2015-11-14,0,3,8
2015-11-15,0,1,0
2015-11-16,0,1,3
2015-11-17,0,6,1
2015-11-18,0,0,4
2015-11-19,0,0,5
2015-11-20,0,2,11
2015-11-21,0,0,10
2015-11-22,0,2,5
2015-11-23,0,5,11
2015-11-24,0,10,10
2015-11-25,36,14,12
2015-11-26,0,5,19
2015-11-27,3,3,8
2015-11-28,5,0,0
2015-11-29,0,2,1
2015-11-30,1,7,8
2015-12-01,0,16,9
2015-12-02,0,6,0
2015-12-03,0,3,4
2015-12-04,0,6,6
2015-12-05,0,0,0
2015-12-06,0,0,0
2015-12-07,0,11,4
2015-12-08,0,4,3
2015-12-09,0,14,6
2015-12-10,0,7,5
2015-12-11,0,5,24
2015-12-12,0,0,2
2015-12-13,0,4,0
2015-12-14,0,6,11
2015-12-15,0,7,11
2015-12-16,0,9,8
2015-12-17,0,16,12
2015-12-18,0,13,12
2015-12-19,2,2,0
2015-12-20,0,1,0
2015-12-21,0,15,4
2015-12-22,0,17,7
2015-12-23,0,4,2
2015-12-24,0,1,0
2015-12-25,0,0,0
2015-12-26,0,0,0
2015-12-27,0,0,4
2015-12-28,0,2,4
2015-12-29,0,9,1
2015-12-30,1,8,2
2015-12-31,2,5,2
2016-01-01,1,0,15
2016-01-02,7,0,0
2016-01-03,3,0,0
2016-01-04,18,0,21
2016-01-05,3,4,30
2016-01-06,1,0,22
2016-01-07,1,12,14
2016-01-08,0,3,9
2016-01-09,0,0,0
2016-01-10,2,2,0
2016-01-11,1,2,9
2016-01-12,13,5,15
2016-01-13,4,7,11
2016-01-14,7,20,13
2016-01-15,4,10,4
2016-01-16,1,1,4
2016-01-17,1,0,4
2016-01-18,2,2,19
2016-01-19,71,7,16
2016-01-20,15,8,19
2016-01-21,6,10,10
2016-01-22,3,8,2
2016-01-23,0,0,0
2016-01-24,0,0,1
2016-01-25,4,18,11
2016-01-26,5,8,3
2016-01-27,0,21,6
2016-01-28,1,10,3
2016-01-29,2,6,0
2016-01-30,0,0,3
2016-01-31,0,0,0
2016-02-01,5,1,10
2016-02-02,0,7,6
2016-02-03,6,3,2
2016-02-04,8,8,2
2016-02-05,2,6,10
2016-02-06,0,0,0
2016-02-07,0,0,1
2016-02-08,0,11,1
2016-02-09,0,3,2
2016-02-10,2,13,6
2016-02-11,0,4,9
2016-02-12,0,4,10
2016-02-13,0,0,0
2016-02-14,0,0,9
2016-02-15,5,0,4
2016-02-16,0,7,11
2016-02-17,0,15,8
2016-02-18,0,11,5
2016-02-19,0,11,14
2016-02-20,0,2,0
2016-02-21,0,0,0
2016-02-22,1,9,5
2016-02-23,0,8,17
2016-02-24,0,9,9
2016-02-25,6,3,4
2016-02-26,0,5,1
2016-02-27,1,6,0
2016-02-28,0,4,1
2016-02-29,0,14,1
2016-03-01,0,9,7
2016-03-02,0,6,9
2016-03-03,12,5,10
2016-03-04,7,11,3
2016-03-05,0,0,4
2016-03-06,1,1,0
2016-03-07,0,9,5
2016-03-08,0,7,14
2016-03-09,0,3,11
2016-03-10,1,6,9
2016-03-11,1,18,7
2016-03-12,3,3,1
2016-03-13,0,0,5
2016-03-14,1,2,4
2016-03-15,1,7,2
2016-03-16,0,16,1
2016-03-17,1,7,2
2016-03-18,0,28,7
2016-03-19,3,7,0
2016-03-20,0,3,0
2016-03-21,0,3,0
2016-03-22,0,0,7
2016-03-23,0,16,3
2016-03-24,1,23,1
2016-03-25,4,7,2
2016-03-26,11,5,1
2016-03-27,2,1,0
2016-03-28,0,1,5
2016-03-29,0,12,0
2016-03-30,0,3,12
2016-03-31,0,6,4
2016-04-01,0,1,1
2016-04-02,0,0,0
2016-04-03,0,0,0
2016-04-04,3,14,4
2016-04-05,2,6,8
2016-04-06,2,12,16
2016-04-07,0,15,6
2016-04-08,0,7,1
2016-04-09,0,3,0
2016-04-10,0,1,0
2016-04-11,1,9,9
2016-04-12,1,12,8
2016-04-13,0,7,8
2016-04-14,0,10,9
2016-04-15,0,18,1
2016-04-16,0,3,2
2016-04-17,0,3,0
2016-04-18,0,11,10
2016-04-19,0,11,3
2016-04-20,1,7,2
2016-04-21,0,5,5
2016-04-22,0,6,6
2016-04-23,0,5,0
2016-04-24,0,0,1
2016-04-25,0,4,2
2016-04-26,0,13,10
2016-04-27,0,11,14
2016-04-28,0,12,2
2016-04-29,0,2,3
2016-04-30,0,0,0
2016-05-01,0,0,2
2016-05-02,0,8,3
2016-05-03,0,15,13
2016-05-04,9,10,9
2016-05-05,8,6,3
2016-05-06,2,8,4
2016-05-07,0,0,0
2016-05-08,0,0,0
2016-05-09,0,0,12
2016-05-10,0,0,7
2016-05-11,0,0,3
2016-05-12,1,5,1
2016-05-13,3,0,6
2016-05-14,0,0,0
2016-05-15,0,0,0
2016-05-16,0,0,8
2016-05-17,6,1,5
2016-05-18,1,2,1
2016-05-19,0,0,0
2016-05-20,0,1,7
2016-05-21,0,0,0
2016-05-22,1,3,2
2016-05-23,2,1,11
2016-05-24,0,2,1
2016-05-25,11,4,6
2016-05-26,1,19,1
2016-05-27,0,14,2
2016-05-28,0,1,0
2016-05-29,0,3,0
2016-05-30,0,10,0
2016-05-31,0,20,9
2016-06-01,0,17,16
2016-06-02,0,4,8
2016-06-03,0,4,3
2016-06-04,0,1,0
2016-06-05,0,0,1
2016-06-06,0,12,5
2016-06-07,2,18,11
2016-06-08,0,11,1
2016-06-09,1,11,2
2016-06-10,1,8,1
2016-06-11,2,1,1
2016-06-12,9,0,3
2016-06-13,0,0,1
2016-06-14,3,4,1
2016-06-15,0,2,3
2016-06-16,0,4,2
2016-06-17,0,5,0
2016-06-18,0,0,0
2016-06-19,0,0,0
2016-06-20,0,7,6
2016-06-21,4,5,6
2016-06-22,5,6,4
2016-06-23,0,4,7
2016-06-24,8,16,1
2016-06-25,0,2,0
2016-06-26,0,1,0
2016-06-27,1,10,2
2016-06-28,0,9,3
2016-06-29,2,14,18
2016-06-30,1,20,4
2016-07-01,1,20,3
2016-07-02,0,9,3
2016-07-03,1,0,1
2016-07-04,0,32,0
2016-07-05,0,24,10
2016-07-06,0,19,2
2016-07-07,2,9,0
2016-07-08,1,20,0
2016-07-09,0,0,0
