,diaspora/diaspora,mastodon/mastodon,friendica/friendica
2016-09-05,2,13,3
2016-09-06,4,1,10
2016-09-07,0,3,2
2016-09-08,4,4,0
2016-09-09,0,3,5
2016-09-10,12,9,0
2016-09-11,8,0,1
2016-09-12,8,4,1
2016-09-13,0,1,10
2016-09-14,0,0,2
2016-09-15,0,2,0
2016-09-16,0,1,0
2016-09-17,0,7,0
2016-09-18,12,10,3
2016-09-19,6,6,1
2016-09-20,10,6,5
2016-09-21,0,7,4
2016-09-22,0,5,9
2016-09-23,0,3,10
2016-09-24,0,7,15
2016-09-25,17,4,16
2016-09-26,0,4,1
2016-09-27,0,6,3
2016-09-28,8,0,8
2016-09-29,8,5,10
2016-09-30,6,3,8
2016-10-01,7,0,20
2016-10-02,0,11,17
2016-10-03,0,9,7
2016-10-04,0,0,9
2016-10-05,0,5,11
2016-10-06,0,20,2
2016-10-07,0,7,9
2016-10-08,0,1,2
2016-10-09,0,6,5
2016-10-10,0,19,1
2016-10-11,0,2,2
2016-10-12,0,14,0
2016-10-13,0,3,0
2016-10-14,0,8,1
2016-10-15,0,17,0
2016-10-16,0,11,2
2016-10-17,2,13,14
2016-10-18,29,8,0
2016-10-19,0,1,1
2016-10-20,0,4,4
2016-10-21,0,0,12
2016-10-22,0,1,12
2016-10-23,4,3,11
2016-10-24,0,3,11
2016-10-25,2,2,7
2016-10-26,2,0,3
2016-10-27,19,3,2
2016-10-28,0,5,10
2016-10-29,5,0,7
2016-10-30,0,5,0
2016-10-31,0,4,5
2016-11-01,0,2,4
2016-11-02,7,14,3
2016-11-03,3,12,4
2016-11-04,0,7,9
2016-11-05,0,5,7
2016-11-06,14,6,6
2016-11-07,0,9,4
2016-11-08,0,10,0
2016-11-09,0,6,6
2016-11-10,0,6,6
2016-11-11,0,0,0
2016-11-12,2,4,8
2016-11-13,8,13,13
2016-11-14,3,1,8
2016-11-15,6,7,33
2016-11-16,0,4,10
2016-11-17,4,4,5
2016-11-18,8,19,4
2016-11-19,3,9,31
2016-11-20,0,3,29
2016-11-21,0,27,5
2016-11-22,8,13,18
2016-11-23,6,18,5
2016-11-24,2,13,3
2016-11-25,6,26,4
2016-11-26,5,9,1
2016-11-27,2,1,10
2016-11-28,5,15,18
2016-11-29,5,8,17
2016-11-30,0,9,3
2016-12-01,4,9,13
2016-12-02,2,7,4
2016-12-03,0,9,4
2016-12-04,5,10,7
2016-12-05,0,5,2
2016-12-06,0,6,12
2016-12-07,0,6,0
2016-12-08,3,3,5
2016-12-09,0,3,11
2016-12-10,0,0,10
2016-12-11,0,8,4
2016-12-12,0,3,5
2016-12-13,7,1,7
2016-12-14,0,6,26
2016-12-15,0,1,20
2016-12-16,0,0,0
2016-12-17,0,0,0
2016-12-18,0,4,7
2016-12-19,0,2,16
2016-12-20,0,6,116
2016-12-21,0,4,21
2016-12-22,0,13,33
2016-12-23,0,1,22
2016-12-24,0,5,4
2016-12-25,0,0,4
2016-12-26,0,7,4
2016-12-27,0,2,4
2016-12-28,0,1,4
2016-12-29,0,5,10
2016-12-30,0,0,10
2016-12-31,0,2,3
2017-01-01,0,2,7
2017-01-02,0,6,8
2017-01-03,2,7,5
2017-01-04,3,3,8
2017-01-05,0,40,14
2017-01-06,0,7,7
2017-01-07,4,12,17
2017-01-08,0,18,5
2017-01-09,0,8,11
2017-01-10,5,7,6
2017-01-11,3,4,14
2017-01-12,0,6,6
2017-01-13,6,4,5
2017-01-14,12,10,2
2017-01-15,17,14,7
2017-01-16,2,10,10
2017-01-17,0,6,4
2017-01-18,5,1,3
2017-01-19,0,6,6
2017-01-20,0,7,7
2017-01-21,0,16,5
2017-01-22,2,9,4
2017-01-23,5,16,0
2017-01-24,0,13,3
2017-01-25,0,13,4
2017-01-26,0,34,3
2017-01-27,0,9,17
2017-01-28,2,5,19
2017-01-29,4,11,4
2017-01-30,0,8,10
2017-01-31,4,5,6
2017-02-01,0,5,12
2017-02-02,0,13,5
2017-02-03,0,3,7
2017-02-04,0,3,4
2017-02-05,7,19,2
2017-02-06,0,9,1
2017-02-07,0,5,0
2017-02-08,4,2,10
2017-02-09,0,4,1
2017-02-10,0,16,5
2017-02-11,3,13,3
2017-02-12,12,7,0
2017-02-13,9,16,0
2017-02-14,4,7,1
2017-02-15,1,1,5
2017-02-16,3,4,6
2017-02-17,1,13,3
2017-02-18,7,1,5
2017-02-19,4,12,10
2017-02-20,0,2,1
2017-02-21,0,0,5
2017-02-22,0,5,8
2017-02-23,0,1,6
2017-02-24,0,0,10
2017-02-25,0,1,1
2017-02-26,0,13,9
2017-02-27,0,5,7
2017-02-28,0,6,6
2017-03-01,0,13,1
2017-03-02,4,6,11
2017-03-03,0,4,7
2017-03-04,80,3,9
2017-03-05,6,9,8
2017-03-06,6,2,8
2017-03-07,0,1,4
2017-03-08,0,0,3
2017-03-09,0,0,1
2017-03-10,0,0,1
2017-03-11,0,0,1
2017-03-12,4,0,21
2017-03-13,0,2,29
2017-03-14,0,1,15
2017-03-15,0,6,14
2017-03-16,2,1,9
2017-03-17,2,6,8
2017-03-18,3,1,57
2017-03-19,0,4,18
2017-03-20,0,1,17
2017-03-21,6,2,19
2017-03-22,0,12,7
2017-03-23,7,2,25
2017-03-24,3,4,15
2017-03-25,6,8,57
2017-03-26,15,13,21
2017-03-27,6,0,7
2017-03-28,5,3,5
2017-03-29,4,1,0
2017-03-30,2,6,16
2017-03-31,0,14,17
2017-04-01,0,9,14
2017-04-02,3,62,13
2017-04-03,0,57,11
2017-04-04,0,55,5
2017-04-05,2,132,20
2017-04-06,2,38,1
2017-04-07,5,45,14
2017-04-08,0,119,48
2017-04-09,0,22,8
2017-04-10,0,25,2
2017-04-11,2,31,11
2017-04-12,0,31,10
2017-04-13,0,66,15
2017-04-14,0,16,27
2017-04-15,0,50,7
2017-04-16,0,48,16
2017-04-17,0,50,9
2017-04-18,4,27,10
2017-04-19,0,34,19
2017-04-20,0,12,17
2017-04-21,0,35,17
2017-04-22,0,18,11
2017-04-23,0,31,10
2017-04-24,0,16,19
2017-04-25,0,22,9
2017-04-26,2,23,13
2017-04-27,0,25,19
2017-04-28,0,17,12
2017-04-29,0,12,15
2017-04-30,0,11,5
2017-05-01,0,8,17
2017-05-02,0,19,7
2017-05-03,7,27,21
2017-05-04,0,20,5
2017-05-05,4,15,12
2017-05-06,0,27,10
2017-05-07,0,26,34
2017-05-08,0,19,25
2017-05-09,0,13,5
2017-05-10,0,18,0
2017-05-11,3,14,4
2017-05-12,0,22,12
2017-05-13,2,8,4
2017-05-14,0,9,4
2017-05-15,2,8,7
2017-05-16,0,11,13
2017-05-17,0,10,21
2017-05-18,0,9,0
2017-05-19,0,25,6
2017-05-20,0,23,12
2017-05-21,10,7,2
2017-05-22,2,22,4
2017-05-23,0,19,14
2017-05-24,0,7,9
2017-05-25,2,23,4
2017-05-26,0,18,0
2017-05-27,0,7,3
2017-05-28,0,13,8
2017-05-29,4,37,8
2017-05-30,0,19,3
2017-05-31,0,26,8
2017-06-01,0,12,3
2017-06-02,0,6,0
2017-06-03,0,11,5
2017-06-04,0,23,11
2017-06-05,0,18,10
2017-06-06,0,14,33
2017-06-07,0,13,14
2017-06-08,0,10,15
2017-06-09,0,13,6
2017-06-10,0,5,0
2017-06-11,0,10,5
2017-06-12,0,10,8
2017-06-13,0,3,9
2017-06-14,0,11,0
2017-06-15,0,6,3
2017-06-16,0,3,6
2017-06-17,0,2,5
2017-06-18,0,7,7
2017-06-19,0,13,4
2017-06-20,0,14,3
2017-06-21,0,1,2
2017-06-22,0,7,0
2017-06-23,0,18,0
2017-06-24,0,6,2
2017-06-25,0,14,0
2017-06-26,0,7,9
2017-06-27,0,12,0
2017-06-28,0,8,8
2017-06-29,0,2,4
2017-06-30,2,11,6
2017-07-01,0,2,1
2017-07-02,12,3,6
2017-07-03,14,6,2
2017-07-04,9,6,3
2017-07-05,5,4,0
2017-07-06,3,11,7
2017-07-07,4,13,8
2017-07-08,0,9,6
2017-07-09,0,9,6
2017-07-10,0,17,6
2017-07-11,0,10,5
2017-07-12,6,7,7
2017-07-13,5,7,6
2017-07-14,3,18,2
2017-07-15,0,4,4
2017-07-16,0,6,0
2017-07-17,0,11,3
2017-07-18,2,17,0
2017-07-19,0,16,2
2017-07-20,0,2,1
2017-07-21,0,8,2
2017-07-22,58,7,4
2017-07-23,11,17,10
2017-07-24,3,21,0
2017-07-25,3,12,1
2017-07-26,2,16,1
2017-07-27,0,16,2
2017-07-28,0,27,0
2017-07-29,0,8,0
2017-07-30,9,7,0
2017-07-31,4,11,5
2017-08-01,1,7,3
2017-08-02,0,6,6
2017-08-03,3,5,7
2017-08-04,3,4,1
2017-08-05,0,4,1
2017-08-06,0,5,0
2017-08-07,4,10,0
2017-08-08,1,10,2
2017-08-09,19,1,17
2017-08-10,20,4,6
2017-08-11,6,1,8
2017-08-12,71,5,12
2017-08-13,43,0,0
2017-08-14,17,9,9
2017-08-15,0,1,7
2017-08-16,10,5,3
2017-08-17,9,6,0
2017-08-18,0,4,1
2017-08-19,17,2,2
2017-08-20,0,9,1
2017-08-21,0,7,2
2017-08-22,0,6,2
2017-08-23,4,6,7
2017-08-24,6,10,7
2017-08-25,0,9,9
2017-08-26,9,9,10
2017-08-27,0,7,7
2017-08-28,2,4,5
2017-08-29,18,4,6
2017-08-30,0,9,12
2017-08-31,10,5,2
2017-09-01,0,15,1
2017-09-02,0,21,4
2017-09-03,2,7,1
2017-09-04,2,6,5
2017-09-05,0,7,2
2017-09-06,0,11,10
2017-09-07,0,8,6
2017-09-08,0,6,9
2017-09-09,0,13,2
2017-09-10,0,10,7
2017-09-11,0,8,2
2017-09-12,0,3,4
2017-09-13,0,12,2
2017-09-14,0,19,11
2017-09-15,0,1,16
2017-09-16,0,10,6
2017-09-17,14,8,2
2017-09-18,4,9,3
2017-09-19,4,16,4
2017-09-20,0,11,6
2017-09-21,0,2,10
2017-09-22,0,11,0
2017-09-23,0,9,9
2017-09-24,0,9,21
2017-09-25,0,11,8
2017-09-26,6,2,3
2017-09-27,0,5,9
2017-09-28,44,9,6
2017-09-29,0,7,1
2017-09-30,0,12,11
2017-10-01,0,4,3
2017-10-02,0,10,4
2017-10-03,0,17,5
2017-10-04,0,13,6
2017-10-05,0,3,14
2017-10-06,0,14,2
2017-10-07,0,11,12
2017-10-08,0,13,8
2017-10-09,0,8,4
2017-10-10,0,12,7
2017-10-11,0,16,6
2017-10-12,0,11,5
2017-10-13,0,10,20
2017-10-14,0,10,2
2017-10-15,0,3,10
2017-10-16,16,19,18
2017-10-17,3,17,11
2017-10-18,0,8,25
2017-10-19,3,2,6
2017-10-20,7,0,3
2017-10-21,0,1,5
2017-10-22,0,0,3
2017-10-23,0,0,9
2017-10-24,0,0,4
2017-10-25,0,3,3
2017-10-26,0,4,2
2017-10-27,2,10,2
2017-10-28,0,2,1
2017-10-29,0,4,5
2017-10-30,0,1,2
2017-10-31,7,7,16
2017-11-01,0,4,3
2017-11-02,0,0,10
2017-11-03,0,1,6
2017-11-04,0,0,19
2017-11-05,0,4,14
2017-11-06,0,2,11
2017-11-07,0,13,21
2017-11-08,0,4,21
2017-11-09,0,7,20
2017-11-10,0,2,20
2017-11-11,0,3,10
2017-11-12,0,4,5
2017-11-13,0,3,1
2017-11-14,0,11,3
2017-11-15,0,9,9
2017-11-16,0,4,13
2017-11-17,0,9,4
2017-11-18,0,4,11
2017-11-19,0,8,42
2017-11-20,0,1,12
2017-11-21,0,3,10
2017-11-22,0,0,11
2017-11-23,0,2,9
2017-11-24,0,9,19
2017-11-25,0,7,32
2017-11-26,0,1,39
2017-11-27,0,8,13
2017-11-28,0,6,6
2017-11-29,0,3,14
2017-11-30,0,3,5
2017-12-01,0,6,17
2017-12-02,0,1,13
2017-12-03,1,4,15
2017-12-04,0,1,26
2017-12-05,0,4,23
2017-12-06,0,14,19
2017-12-07,0,9,30
2017-12-08,0,6,26
2017-12-09,0,17,13
2017-12-10,0,7,12
2017-12-11,0,4,2
2017-12-12,0,14,5
2017-12-13,0,25,26
2017-12-14,0,4,13
2017-12-15,0,4,10
2017-12-16,0,0,14
2017-12-17,0,1,35
2017-12-18,5,0,20
2017-12-19,0,0,24
2017-12-20,0,3,5
2017-12-21,0,0,9
2017-12-22,0,3,9
2017-12-23,0,1,16
2017-12-24,3,5,9
2017-12-25,4,3,9
2017-12-26,4,2,6
2017-12-27,0,3,6
2017-12-28,0,1,2
2017-12-29,0,1,9
2017-12-30,2,2,22
2017-12-31,0,1,4
2018-01-01,0,0,4
2018-01-02,0,11,25
2018-01-03,0,8,8
2018-01-04,0,15,43
2018-01-05,4,7,20
2018-01-06,0,0,4
2018-01-07,0,5,20
2018-01-08,6,6,11
2018-01-09,0,6,16
2018-01-10,0,0,42
2018-01-11,0,0,26
2018-01-12,4,1,21
2018-01-13,0,0,15
2018-01-14,0,0,24
2018-01-15,0,8,65
2018-01-16,0,5,15
2018-01-17,0,9,30
2018-01-18,0,3,29
2018-01-19,0,8,18
2018-01-20,0,7,37
2018-01-21,2,7,21
2018-01-22,0,4,32
2018-01-23,0,5,13
2018-01-24,0,7,27
2018-01-25,0,2,15
2018-01-26,0,1,2
2018-01-27,0,0,48
2018-01-28,0,2,28
2018-01-29,0,3,7
2018-01-30,0,0,9
2018-01-31,2,2,13
2018-02-01,11,2,10
2018-02-02,0,11,16
2018-02-03,2,3,42
2018-02-04,0,7,25
2018-02-05,0,1,25
2018-02-06,0,0,14
2018-02-07,0,2,12
2018-02-08,7,5,15
2018-02-09,4,2,11
2018-02-10,2,3,6
2018-02-11,0,3,7
2018-02-12,0,0,19
2018-02-13,0,1,9
2018-02-14,0,0,14
2018-02-15,0,3,9
2018-02-16,1,5,7
2018-02-17,6,3,2
2018-02-18,0,5,15
2018-02-19,0,2,1
2018-02-20,0,4,4
2018-02-21,3,8,15
2018-02-22,0,7,9
2018-02-23,0,1,2
2018-02-24,0,4,2
2018-02-25,12,1,3
2018-02-26,5,8,19
2018-02-27,0,2,12
2018-02-28,0,3,8
2018-03-01,0,9,6
2018-03-02,0,10,26
2018-03-03,1,2,28
2018-03-04,1,12,16
2018-03-05,0,10,18
2018-03-06,3,7,3
2018-03-07,0,13,25
2018-03-08,0,15,12
2018-03-09,2,8,14
2018-03-10,4,6,8
2018-03-11,1,8,18
2018-03-12,2,8,7
2018-03-13,0,14,8
2018-03-14,0,0,12
2018-03-15,0,0,8
2018-03-16,2,0,11
2018-03-17,0,12,20
2018-03-18,4,4,24
2018-03-19,0,8,31
2018-03-20,0,6,8
2018-03-21,0,3,18
2018-03-22,3,6,11
2018-03-23,0,1,30
2018-03-24,2,13,29
2018-03-25,7,1,15
2018-03-26,0,5,6
2018-03-27,0,7,9
2018-03-28,0,3,15
2018-03-29,0,3,21
2018-03-30,0,4,10
2018-03-31,0,3,9
2018-04-01,0,5,6
2018-04-02,1,10,13
2018-04-03,0,5,17
2018-04-04,0,4,21
2018-04-05,0,0,22
2018-04-06,0,0,13
2018-04-07,0,5,36
2018-04-08,0,6,12
2018-04-09,4,6,20
2018-04-10,1,6,19
2018-04-11,7,3,12
2018-04-12,60,4,13
2018-04-13,0,1,14
2018-04-14,0,1,5
2018-04-15,6,5,6
2018-04-16,0,4,10
2018-04-17,0,11,14
2018-04-18,0,8,17
2018-04-19,0,3,18
2018-04-20,0,10,14
2018-04-21,0,7,28
2018-04-22,0,10,49
2018-04-23,4,10,38
2018-04-24,0,3,15
2018-04-25,0,4,13
2018-04-26,0,4,17
2018-04-27,0,1,22
2018-04-28,0,1,22
2018-04-29,0,1,12
2018-04-30,6,5,21
2018-05-01,0,1,7
2018-05-02,0,11,2
2018-05-03,3,16,11
2018-05-04,0,12,11
2018-05-05,0,7,0
2018-05-06,0,10,8
2018-05-07,0,6,4
2018-05-08,0,5,21
2018-05-09,0,8,14
2018-05-10,0,4,18
2018-05-11,0,6,8
2018-05-12,0,4,4
2018-05-13,0,6,21
2018-05-14,0,9,84
2018-05-15,2,7,22
2018-05-16,2,10,16
2018-05-17,0,4,21
2018-05-18,0,6,10
2018-05-19,0,16,20
2018-05-20,0,2,19
2018-05-21,0,13,11
2018-05-22,0,12,9
2018-05-23,0,2,2
2018-05-24,0,0,10
2018-05-25,0,10,15
2018-05-26,0,4,16
2018-05-27,0,3,9
2018-05-28,0,9,3
2018-05-29,0,7,10
2018-05-30,0,7,5
2018-05-31,0,8,9
2018-06-01,0,6,13
2018-06-02,0,2,19
2018-06-03,0,0,24
2018-06-04,0,17,4
2018-06-05,0,3,3
2018-06-06,0,6,5
2018-06-07,0,4,3
2018-06-08,0,2,0
2018-06-09,0,10,12
2018-06-10,0,5,13
2018-06-11,0,0,5
2018-06-12,0,1,4
2018-06-13,0,2,19
2018-06-14,0,3,11
2018-06-15,3,9,11
2018-06-16,10,7,16
2018-06-17,0,6,7
2018-06-18,2,10,14
2018-06-19,5,2,26
2018-06-20,0,3,50
2018-06-21,0,4,27
2018-06-22,0,0,13
2018-06-23,0,0,4
2018-06-24,0,3,10
2018-06-25,0,3,9
2018-06-26,0,4,11
2018-06-27,4,1,6
2018-06-28,0,0,7
2018-06-29,0,2,7
2018-06-30,2,2,16
2018-07-01,0,2,8
2018-07-02,0,2,25
2018-07-03,0,7,10
2018-07-04,0,6,19
2018-07-05,0,11,10
2018-07-06,0,4,13
2018-07-07,0,8,24
2018-07-08,0,0,19
2018-07-09,1,1,21
2018-07-10,6,4,6
2018-07-11,0,2,6
2018-07-12,0,1,2
2018-07-13,5,3,2
2018-07-14,0,14,6
2018-07-15,0,4,7
2018-07-16,2,8,83
2018-07-17,3,3,8
2018-07-18,0,1,12
2018-07-19,0,0,11
2018-07-20,2,0,18
2018-07-21,0,0,10
2018-07-22,0,0,22
2018-07-23,0,0,23
2018-07-24,0,1,21
2018-07-25,0,2,9
2018-07-26,0,4,2
2018-07-27,0,0,6
2018-07-28,0,7,5
2018-07-29,0,2,7
2018-07-30,0,6,13
2018-07-31,0,3,8
2018-08-01,0,1,6
2018-08-02,0,2,3
2018-08-03,0,0,0
2018-08-04,0,0,16
2018-08-05,0,1,14
2018-08-06,0,1,12
2018-08-07,0,1,15
2018-08-08,0,1,9
2018-08-09,0,5,7
2018-08-10,0,3,9
2018-08-11,0,7,7
2018-08-12,0,3,6
2018-08-13,0,1,2
2018-08-14,0,5,9
2018-08-15,0,6,7
2018-08-16,0,3,3
2018-08-17,0,4,6
2018-08-18,0,11,1
2018-08-19,0,12,7
2018-08-20,0,6,7
2018-08-21,0,5,5
2018-08-22,0,9,3
2018-08-23,0,15,5
2018-08-24,2,5,4
2018-08-25,0,15,13
2018-08-26,0,15,10
2018-08-27,0,3,11
2018-08-28,0,6,7
2018-08-29,0,4,11
2018-08-30,0,2,10
2018-08-31,0,11,7
2018-09-01,0,7,2
2018-09-02,0,15,14
2018-09-03,0,0,1
2018-09-04,1,1,4
2018-09-05,8,0,15
2018-09-06,2,1,18
2018-09-07,0,3,5
2018-09-08,2,1,2
2018-09-09,0,6,7
2018-09-10,0,3,2
2018-09-11,0,0,5
2018-09-12,0,1,9
2018-09-13,0,8,7
2018-09-14,0,3,7
2018-09-15,0,2,12
2018-09-16,0,1,13
2018-09-17,0,3,8
2018-09-18,0,4,8
2018-09-19,0,5,4
2018-09-20,0,2,23
2018-09-21,0,1,16
2018-09-22,0,0,17
2018-09-23,0,4,16
2018-09-24,0,6,6
2018-09-25,0,5,4
2018-09-26,0,2,15
2018-09-27,0,6,17
2018-09-28,0,4,3
2018-09-29,0,6,0
2018-09-30,6,0,13
2018-10-01,0,3,10
2018-10-02,0,0,17
2018-10-03,0,2,21
2018-10-04,4,7,14
2018-10-05,0,4,19
2018-10-06,0,3,30
2018-10-07,0,5,17
2018-10-08,10,4,2
2018-10-09,0,4,22
2018-10-10,0,3,13
2018-10-11,0,8,16
2018-10-12,0,6,7
2018-10-13,0,1,21
2018-10-14,2,0,30
2018-10-15,6,3,14
2018-10-16,0,6,16
2018-10-17,0,4,22
2018-10-18,0,6,21
2018-10-19,0,5,24
2018-10-20,0,7,13
2018-10-21,0,9,22
2018-10-22,0,6,47
2018-10-23,0,2,26
2018-10-24,0,6,19
2018-10-25,0,9,24
2018-10-26,3,6,10
2018-10-27,0,2,7
2018-10-28,2,5,0
2018-10-29,0,11,7
2018-10-30,0,17,20
2018-10-31,0,1,50
2018-11-01,40,0,12
2018-11-02,3,0,2
2018-11-03,0,0,2
2018-11-04,5,0,7
2018-11-05,2,6,28
2018-11-06,3,0,21
2018-11-07,1,0,9
2018-11-08,14,10,22
2018-11-09,1,3,9
2018-11-10,0,3,17
2018-11-11,7,2,10
2018-11-12,0,2,7
2018-11-13,0,1,14
2018-11-14,0,0,7
2018-11-15,0,0,9
2018-11-16,0,6,10
2018-11-17,59,1,28
2018-11-18,7,1,15
2018-11-19,0,2,13
2018-11-20,1,4,3
2018-11-21,0,2,10
2018-11-22,0,2,15
2018-11-23,0,1,13
2018-11-24,0,1,13
2018-11-25,8,2,26
2018-11-26,0,1,7
2018-11-27,0,13,8
2018-11-28,0,0,0
2018-11-29,0,1,13
2018-11-30,0,4,6
2018-12-01,1,3,6
2018-12-02,1,2,12
2018-12-03,0,2,15
2018-12-04,8,0,4
2018-12-05,0,3,2
2018-12-06,0,3,2
2018-12-07,0,10,0
2018-12-08,0,1,1
2018-12-09,0,2,2
2018-12-10,1,6,0
2018-12-11,1,4,5
2018-12-12,0,5,0
2018-12-13,0,4,8
2018-12-14,0,9,1
2018-12-15,0,1,2
2018-12-16,2,4,1
2018-12-17,0,13,15
2018-12-18,2,6,5
2018-12-19,0,7,2
2018-12-20,0,9,3
2018-12-21,0,6,20
2018-12-22,0,5,17
2018-12-23,0,1,7
2018-12-24,0,4,9
2018-12-25,0,3,22
2018-12-26,2,6,6
2018-12-27,0,4,9
2018-12-28,2,6,0
2018-12-29,0,5,10
2018-12-30,59,7,13
2018-12-31,0,4,1
2019-01-01,1,6,9
2019-01-02,0,4,1
2019-01-03,0,3,4
2019-01-04,0,8,10
2019-01-05,0,6,10
2019-01-06,8,6,13
2019-01-07,2,9,1
2019-01-08,0,11,2
2019-01-09,0,1,5
2019-01-10,0,3,5
2019-01-11,0,5,1
2019-01-12,0,0,27
2019-01-13,2,1,10
2019-01-14,4,5,15
2019-01-15,0,4,2
2019-01-16,0,6,4
2019-01-17,0,7,4
2019-01-18,0,12,9
2019-01-19,0,6,7
2019-01-20,0,5,15
2019-01-21,0,2,197
2019-01-22,0,0,11
2019-01-23,0,0,30
2019-01-24,0,2,19
2019-01-25,0,1,8
2019-01-26,0,1,9
