,alacritty/alacritty,eugeny/tabby,gnome-terminator/terminator
2017-11-02,0,0,-0.08000000000000007
2017-11-03,0,0,-0.048000000000000036
2017-11-04,0,1,-0.03360000000000001
2017-11-05,0,0,-0.025536000000000014
2017-11-06,0,0,-0.02042880000000001
2017-11-07,0,0,-0.01692672000000001
2017-11-08,0,0,-0.01438771199999994
2017-11-09,0,0,-0.012469350399999964
2017-11-10,0,0,0.0
2017-11-11,9,0,0.0
2017-11-12,2,0,0.0
2017-11-13,0,0,0.0
2017-11-14,0,0,1.0
2017-11-15,0,0,0.8
2017-11-16,0,4,0.72
2017-11-17,0,0,-0.32800000000000007
2017-11-18,0,3,-0.16160000000000013
2017-11-19,2,0,-0.10713600000000006
2017-11-20,1,0,-0.07956480000000005
2017-11-21,0,2,-0.06289152000000003
2017-11-22,0,0,-0.05174323199999996
2017-11-23,0,0,-0.043783782399999915
2017-11-24,0,0,-0.026857062399999902
2017-11-25,0,0,-0.012469350399999964
2017-11-26,0,2,0.0
2017-11-27,0,5,0.0
2017-11-28,0,5,0.0
2017-11-29,0,0,0.0
2017-11-30,0,0,0.0
2017-12-01,0,3,0.0
2017-12-02,0,0,0.0
2017-12-03,8,0,0.0
2017-12-04,0,0,0.0
2017-12-05,0,5,0.0
2017-12-06,0,0,0.0
2017-12-07,0,3,0.0
2017-12-08,0,0,0.0
2017-12-09,0,0,0.0
2017-12-10,0,0,0.0
2017-12-11,0,0,0.0
2017-12-12,0,0,0.0
2017-12-13,2,0,0.0
2017-12-14,0,6,0.0
2017-12-15,0,2,0.0
2017-12-16,0,0,0.0
2017-12-17,1,0,0.0
2017-12-18,0,0,0.0
2017-12-19,0,0,0.0
2017-12-20,0,0,0.0
2017-12-21,0,0,0.0
2017-12-22,17,0,0.0
2017-12-23,4,0,0.0
2017-12-24,23,0,0.0
2017-12-25,0,0,0.0
2017-12-26,0,0,0.0
2017-12-27,0,2,0.0
2017-12-28,0,0,0.0
2017-12-29,1,0,0.0
2017-12-30,0,0,0.0
2017-12-31,0,0,0.0
2018-01-01,0,0,0.0
2018-01-02,4,0,0.0
2018-01-03,7,0,0.0
2018-01-04,0,6,0.0
2018-01-05,1,0,0.0
2018-01-06,4,0,0.0
2018-01-07,2,0,0.0
2018-01-08,3,0,0.0
2018-01-09,0,0,0.0
2018-01-10,2,0,0.0
2018-01-11,1,0,0.0
2018-01-12,0,0,0.0
2018-01-13,0,0,0.0
2018-01-14,0,0,0.0
2018-01-15,1,0,0.0
2018-01-16,1,0,0.0
2018-01-17,0,0,0.0
2018-01-18,1,0,0.0
2018-01-19,0,5,0.0
2018-01-20,0,0,0.0
2018-01-21,1,0,0.0
2018-01-22,0,0,0.0
2018-01-23,0,0,0.0
2018-01-24,0,4,0.0
2018-01-25,0,0,0.0
2018-01-26,1,0,0.0
2018-01-27,0,0,0.0
2018-01-28,0,0,0.0
2018-01-29,0,0,1.0
2018-01-30,1,0,-0.19999999999999996
2018-01-31,1,0,-0.08000000000000007
2018-02-01,0,0,-0.048000000000000036
2018-02-02,0,1,-0.03360000000000001
2018-02-03,0,1,0.974464
2018-02-04,0,0,-0.22042879999999998
2018-02-05,0,0,-0.09692672000000008
2018-02-06,0,0,-0.06238771199999998
2018-02-07,1,0,-0.04606935039999997
2018-02-08,0,0,-0.025536000000000014
2018-02-09,0,0,-0.02042880000000001
2018-02-10,0,0,-0.01692672000000001
2018-02-11,1,0,0.9856122880000001
2018-02-12,0,3,0.7875306496000001
2018-02-13,2,0,-0.28
2018-02-14,0,0,-0.1280000000000001
2018-02-15,0,0,-0.08160000000000005
2018-02-16,0,0,-0.05913600000000002
2018-02-17,0,0,-0.04596480000000003
2018-02-18,0,0,-0.03735552000000002
2018-02-19,0,0,-0.03131443199999995
2018-02-20,0,0,-0.026857062399999902
2018-02-21,0,0,-0.012469350399999964
2018-02-22,0,0,0.0
2018-02-23,0,0,1.0
2018-02-24,0,0,-0.19999999999999996
2018-02-25,0,0,-0.08000000000000007
2018-02-26,0,0,-0.048000000000000036
2018-02-27,0,0,-0.03360000000000001
2018-02-28,3,0,-0.025536000000000014
2018-03-01,0,0,0.9795712
2018-03-02,0,0,0.78307328
2018-03-03,0,0,0.705612288
2018-03-04,1,0,-0.34046935040000004
2018-03-05,0,0,-0.16160000000000013
2018-03-06,0,0,0.8928639999999999
2018-03-07,1,0,0.7204352
2018-03-08,0,0,-0.34289152000000006
2018-03-09,2,0,-0.17974323200000006
2018-03-10,1,0,-0.12538378239999998
2018-03-11,0,5,-0.08599306239999993
2018-03-12,0,0,-0.058434150399999996
2018-03-13,11,1,-0.03735552000000002
2018-03-14,0,0,-0.03131443199999995
2018-03-15,0,0,-0.026857062399999902
2018-03-16,0,0,-0.012469350399999964
2018-03-17,0,0,0.0
2018-03-18,0,3,0.0
2018-03-19,0,0,0.0
2018-03-20,0,0,0.0
2018-03-21,0,0,0.0
2018-03-22,0,0,0.0
2018-03-23,2,3,0.0
2018-03-24,0,3,0.0
2018-03-25,0,0,0.0
2018-03-26,0,0,0.0
2018-03-27,1,0,0.0
2018-03-28,0,1,0.0
2018-03-29,0,1,0.0
2018-03-30,2,3,0.0
2018-03-31,0,1,0.0
2018-04-01,0,3,0.0
2018-04-02,0,0,0.0
2018-04-03,0,1,0.0
2018-04-04,0,0,0.0
2018-04-05,0,0,0.0
2018-04-06,0,0,0.0
2018-04-07,0,0,0.0
2018-04-08,0,0,0.0
2018-04-09,0,0,0.0
2018-04-10,0,0,0.0
2018-04-11,0,0,0.0
2018-04-12,0,0,0.0
2018-04-13,0,0,0.0
2018-04-14,1,0,1.0
2018-04-15,0,0,0.8
2018-04-16,0,0,-0.28
2018-04-17,0,0,-0.1280000000000001
2018-04-18,0,0,-0.08160000000000005
2018-04-19,0,0,-0.05913600000000002
2018-04-20,0,0,-0.04596480000000003
2018-04-21,0,0,-0.03735552000000002
2018-04-22,0,0,-0.03131443199999995
2018-04-23,0,0,-0.026857062399999902
2018-04-24,0,4,-0.012469350399999964
2018-04-25,0,0,0.0
2018-04-26,0,0,1.0
2018-04-27,0,0,0.8
2018-04-28,1,0,-0.28
2018-04-29,0,0,-0.1280000000000001
2018-04-30,0,0,-0.08160000000000005
2018-05-01,1,0,-0.05913600000000002
2018-05-02,0,0,-0.04596480000000003
2018-05-03,0,0,-0.03735552000000002
2018-05-04,0,0,-0.03131443199999995
2018-05-05,1,0,-0.026857062399999902
2018-05-06,0,0,-0.012469350399999964
2018-05-07,0,0,0.0
2018-05-08,0,0,0.0
2018-05-09,0,0,0.0
2018-05-10,0,1,0.0
2018-05-11,2,0,0.0
2018-05-12,0,0,0.0
2018-05-13,0,0,1.0
2018-05-14,4,0,-0.19999999999999996
2018-05-15,0,3,-0.08000000000000007
2018-05-16,0,0,-0.048000000000000036
2018-05-17,0,0,0.9664
2018-05-18,0,0,0.774464
2018-05-19,0,0,-0.30042880000000005
2018-05-20,0,6,-0.14492672000000012
2018-05-21,0,1,-0.09598771199999999
2018-05-22,0,0,-0.07160535039999999
2018-05-23,0,0,-0.04596480000000003
2018-05-24,0,0,-0.03735552000000002
2018-05-25,2,0,-0.03131443199999995
2018-05-26,0,0,-0.026857062399999902
2018-05-27,0,0,-0.012469350399999964
2018-05-28,0,1,0.0
2018-05-29,1,0,0.0
2018-05-30,1,0,0.0
2018-05-31,0,0,0.0
2018-06-01,0,0,0.0
2018-06-02,74,0,0.0
2018-06-03,0,1,0.0
2018-06-04,0,0,0.0
2018-06-05,0,0,0.0
2018-06-06,0,0,0.0
2018-06-07,2,0,0.0
2018-06-08,1,0,0.0
2018-06-09,0,0,0.0
2018-06-10,0,0,0.0
2018-06-11,0,0,0.0
2018-06-12,0,0,0.0
2018-06-13,0,0,0.0
2018-06-14,0,0,1.0
2018-06-15,0,0,-0.19999999999999996
2018-06-16,2,0,-0.08000000000000007
2018-06-17,1,0,-0.048000000000000036
2018-06-18,1,0,-0.03360000000000001
2018-06-19,1,0,-0.025536000000000014
2018-06-20,0,0,-0.02042880000000001
2018-06-21,0,0,-0.01692672000000001
2018-06-22,0,0,-0.01438771199999994
2018-06-23,1,1,-0.012469350399999964
2018-06-24,0,0,0.0
2018-06-25,0,0,0.0
2018-06-26,1,0,0.0
2018-06-27,0,0,0.0
2018-06-28,0,0,0.0
2018-06-29,0,0,0.0
2018-06-30,0,1,0.0
2018-07-01,4,0,0.0
2018-07-02,2,4,0.0
2018-07-03,1,0,0.0
2018-07-04,0,1,0.0
2018-07-05,1,0,0.0
2018-07-06,1,0,0.0
2018-07-07,0,0,0.0
2018-07-08,0,0,0.0
2018-07-09,1,0,0.0
2018-07-10,0,0,0.0
2018-07-11,0,0,0.0
2018-07-12,0,0,0.0
2018-07-13,0,0,0.0
2018-07-14,0,0,0.0
2018-07-15,4,0,0.0
2018-07-16,1,0,0.0
2018-07-17,0,0,0.0
2018-07-18,1,0,0.0
2018-07-19,1,0,0.0
2018-07-20,1,0,0.0
2018-07-21,4,0,0.0
2018-07-22,2,2,0.0
2018-07-23,1,0,0.0
2018-07-24,0,0,0.0
2018-07-25,2,0,0.0
2018-07-26,2,2,1.0
2018-07-27,0,0,-0.19999999999999996
2018-07-28,2,0,-0.08000000000000007
2018-07-29,4,0,-0.048000000000000036
2018-07-30,0,0,-0.03360000000000001
2018-07-31,0,0,-0.025536000000000014
2018-08-01,0,0,-0.02042880000000001
2018-08-02,0,2,-0.01692672000000001
2018-08-03,1,0,-0.01438771199999994
2018-08-04,0,0,-0.012469350399999964
2018-08-05,2,0,0.0
2018-08-06,0,0,0.0
2018-08-07,0,1,0.0
2018-08-08,0,3,0.0
2018-08-09,0,10,0.0
2018-08-10,0,2,0.0
2018-08-11,0,5,0.0
2018-08-12,0,0,0.0
2018-08-13,0,0,0.0
2018-08-14,0,0,0.0
2018-08-15,1,0,0.0
2018-08-16,0,0,0.0
2018-08-17,0,2,0.0
2018-08-18,0,3,0.0
2018-08-19,0,0,0.0
2018-08-20,0,2,0.0
2018-08-21,0,3,0.0
2018-08-22,0,0,0.0
2018-08-23,0,2,1.0
2018-08-24,0,6,0.8
2018-08-25,0,3,-0.28
2018-08-26,0,8,-0.1280000000000001
2018-08-27,0,1,-0.08160000000000005
2018-08-28,0,0,-0.05913600000000002
2018-08-29,0,4,-0.04596480000000003
2018-08-30,0,0,-0.03735552000000002
2018-08-31,0,3,-0.03131443199999995
2018-09-01,0,0,-0.026857062399999902
2018-09-02,1,0,-0.012469350399999964
2018-09-03,0,0,0.0
2018-09-04,0,7,0.0
2018-09-05,2,2,0.0
2018-09-06,0,2,0.0
2018-09-07,0,0,0.0
2018-09-08,0,0,0.0
2018-09-09,0,0,0.0
2018-09-10,0,3,0.0
2018-09-11,0,4,0.0
2018-09-12,0,5,0.0
2018-09-13,0,1,0.0
2018-09-14,0,0,0.0
2018-09-15,0,0,0.0
2018-09-16,0,2,0.0
2018-09-17,11,0,0.0
2018-09-18,3,0,0.0
2018-09-19,3,0,0.0
2018-09-20,9,14,0.0
2018-09-21,0,0,0.0
2018-09-22,1,8,0.0
2018-09-23,2,7,0.0
2018-09-24,3,0,0.0
2018-09-25,1,2,0.0
2018-09-26,2,0,0.0
2018-09-27,1,0,0.0
2018-09-28,3,0,0.0
2018-09-29,1,0,0.0
2018-09-30,2,0,0.0
2018-10-01,0,0,0.0
2018-10-02,0,0,0.0
2018-10-03,3,3,0.0
2018-10-04,0,0,0.0
2018-10-05,0,10,0.0
2018-10-06,0,2,0.0
2018-10-07,2,0,0.0
2018-10-08,0,9,1.0
2018-10-09,0,4,-0.19999999999999996
2018-10-10,0,7,0.9199999999999999
2018-10-11,0,4,-0.248
2018-10-12,0,7,-0.11360000000000009
2018-10-13,0,6,-0.07353600000000005
2018-10-14,2,0,-0.05402880000000002
2018-10-15,0,0,-0.04246272000000002
2018-10-16,3,3,-0.03481651199999995
2018-10-17,1,0,-0.029396070399999974
2018-10-18,1,0,-0.01438771199999994
2018-10-19,0,0,-0.012469350399999964
2018-10-20,2,0,0.0
2018-10-21,0,0,0.0
2018-10-22,2,3,0.0
2018-10-23,0,5,0.0
2018-10-24,0,0,0.0
2018-10-25,0,6,0.0
2018-10-26,0,5,0.0
2018-10-27,5,4,0.0
2018-10-28,0,0,0.0
2018-10-29,2,4,0.0
2018-10-30,2,0,0.0
2018-10-31,3,5,0.0
2018-11-01,5,0,1.0
2018-11-02,1,0,0.8
2018-11-03,2,0,-0.28
2018-11-04,2,0,-0.1280000000000001
2018-11-05,0,0,-0.08160000000000005
2018-11-06,1,0,-0.05913600000000002
2018-11-07,2,0,-0.04596480000000003
2018-11-08,0,0,-0.03735552000000002
2018-11-09,0,0,-0.03131443199999995
2018-11-10,2,4,0.9731429376000001
2018-11-11,3,3,-0.21246935039999992
2018-11-12,3,0,-0.08000000000000007
2018-11-13,3,0,-0.048000000000000036
2018-11-14,4,0,-0.03360000000000001
2018-11-15,2,2,-0.025536000000000014
2018-11-16,1,0,-0.02042880000000001
2018-11-17,2,0,-0.01692672000000001
2018-11-18,3,0,-0.01438771199999994
2018-11-19,3,0,-0.012469350399999964
2018-11-20,0,0,0.0
2018-11-21,0,0,0.0
2018-11-22,0,1,0.0
2018-11-23,2,0,0.0
2018-11-24,1,0,1.0
2018-11-25,0,0,-0.19999999999999996
2018-11-26,0,0,-0.08000000000000007
2018-11-27,0,0,-0.048000000000000036
2018-11-28,0,4,0.9664
2018-11-29,0,0,-0.22553599999999996
2018-11-30,0,0,-0.10042880000000008
2018-12-01,0,0,-0.06492672000000005
2018-12-02,3,3,-0.04798771199999995
2018-12-03,1,0,-0.03800535039999998
2018-12-04,0,5,-0.02042880000000001
2018-12-05,0,7,-0.01692672000000001
2018-12-06,3,2,-0.01438771199999994
2018-12-07,1,4,-0.012469350399999964
2018-12-08,3,0,0.0
2018-12-09,3,0,0.0
2018-12-10,1,9,0.0
2018-12-11,0,0,0.0
2018-12-12,1,0,0.0
2018-12-13,0,2,0.0
2018-12-14,2,3,0.0
2018-12-15,2,6,0.0
2018-12-16,0,7,0.0
2018-12-17,1,1,0.0
2018-12-18,1,1,0.0
2018-12-19,0,3,0.0
2018-12-20,2,0,0.0
2018-12-21,0,12,0.0
2018-12-22,1,4,0.0
