,jashkenas/underscore,lodash/lodash,ramda/ramda
2013-10-16,0,1,1
2013-10-17,0,2,0
2013-10-18,0,3,0
2013-10-19,0,7,0
2013-10-20,0,1,0
2013-10-21,0,8,0
2013-10-22,0,4,0
2013-10-23,0,2,0
2013-10-24,0,5,0
2013-10-25,0,4,0
2013-10-26,0,3,0
2013-10-27,0,1,0
2013-10-28,0,11,0
2013-10-29,2,9,0
2013-10-30,0,8,0
2013-10-31,0,8,0
2013-11-01,0,1,0
2013-11-02,0,14,0
2013-11-03,0,12,0
2013-11-04,0,7,0
2013-11-05,0,10,0
2013-11-06,10,14,0
2013-11-07,6,7,0
2013-11-08,0,8,0
2013-11-09,0,2,0
2013-11-10,0,5,0
2013-11-11,0,5,0
2013-11-12,0,5,0
2013-11-13,0,6,0
2013-11-14,0,5,0
2013-11-15,0,3,0
2013-11-16,0,8,0
2013-11-17,0,1,0
2013-11-18,8,3,0
2013-11-19,6,3,0
2013-11-20,3,5,0
2013-11-21,0,5,0
2013-11-22,0,4,0
2013-11-23,0,3,0
2013-11-24,0,4,0
2013-11-25,0,1,0
2013-11-26,0,3,0
2013-11-27,0,3,0
2013-11-28,0,1,0
2013-11-29,0,4,0
2013-11-30,0,11,0
2013-12-01,0,4,0
2013-12-02,0,5,0
2013-12-03,2,3,0
2013-12-04,0,3,0
2013-12-05,0,7,2
2013-12-06,0,3,0
2013-12-07,0,4,0
2013-12-08,0,7,0
2013-12-09,0,3,0
2013-12-10,0,0,0
2013-12-11,0,4,0
2013-12-12,0,1,1
2013-12-13,0,3,0
2013-12-14,0,8,2
2013-12-15,0,1,0
2013-12-16,0,16,1
2013-12-17,0,7,0
2013-12-18,3,0,0
2013-12-19,0,6,0
2013-12-20,0,4,0
2013-12-21,2,7,3
2013-12-22,1,1,0
2013-12-23,0,4,0
2013-12-24,0,1,1
2013-12-25,0,1,0
2013-12-26,0,1,0
2013-12-27,0,1,2
2013-12-28,0,0,1
2013-12-29,0,2,0
2013-12-30,0,0,0
2013-12-31,0,2,0
2014-01-01,1,3,2
2014-01-02,1,1,0
2014-01-03,4,5,0
2014-01-04,0,0,0
2014-01-05,0,5,0
2014-01-06,0,0,0
2014-01-07,0,2,0
2014-01-08,0,0,0
2014-01-09,0,5,0
2014-01-10,0,2,1
2014-01-11,0,1,1
2014-01-12,0,5,0
2014-01-13,0,3,0
2014-01-14,0,2,0
2014-01-15,1,1,0
2014-01-16,2,4,0
2014-01-17,0,6,0
2014-01-18,0,1,0
2014-01-19,0,5,0
2014-01-20,2,6,0
2014-01-21,7,0,0
2014-01-22,2,9,0
2014-01-23,1,8,0
2014-01-24,2,4,0
2014-01-25,0,6,0
2014-01-26,2,9,0
2014-01-27,7,0,0
2014-01-28,0,5,0
2014-01-29,1,16,0
2014-01-30,1,6,0
2014-01-31,7,3,0
2014-02-01,9,0,0
2014-02-02,13,1,0
2014-02-03,16,2,0
2014-02-04,0,3,0
2014-02-05,0,5,0
2014-02-06,0,5,0
2014-02-07,3,0,0
2014-02-08,3,1,0
2014-02-09,0,4,0
2014-02-10,17,1,0
2014-02-11,4,4,0
2014-02-12,3,9,2
2014-02-13,4,2,4
2014-02-14,6,5,0
2014-02-15,2,7,3
2014-02-16,3,4,0
2014-02-17,5,1,0
2014-02-18,0,0,1
2014-02-19,2,2,0
2014-02-20,3,0,0
2014-02-21,1,4,6
2014-02-22,2,5,0
2014-02-23,0,10,2
2014-02-24,0,3,1
2014-02-25,0,3,0
2014-02-26,0,1,0
2014-02-27,0,1,2
2014-02-28,0,0,0
2014-03-01,2,2,0
2014-03-02,2,1,0
2014-03-03,6,3,0
2014-03-04,2,6,2
2014-03-05,8,2,4
2014-03-06,1,3,0
2014-03-07,1,0,2
2014-03-08,0,5,0
2014-03-09,1,6,2
2014-03-10,2,9,1
2014-03-11,1,6,1
2014-03-12,0,5,0
2014-03-13,2,7,2
2014-03-14,0,6,0
2014-03-15,0,6,0
2014-03-16,0,9,0
2014-03-17,0,9,0
2014-03-18,0,0,2
2014-03-19,0,2,0
2014-03-20,6,2,0
2014-03-21,1,3,0
2014-03-22,2,1,0
2014-03-23,0,6,2
2014-03-24,7,1,0
2014-03-25,0,12,0
2014-03-26,6,8,0
2014-03-27,2,3,0
2014-03-28,3,4,0
2014-03-29,0,3,0
2014-03-30,0,5,0
2014-03-31,0,0,0
2014-04-01,0,4,0
2014-04-02,4,6,0
2014-04-03,0,2,0
2014-04-04,0,4,0
2014-04-05,0,2,0
2014-04-06,1,5,0
2014-04-07,7,4,3
2014-04-08,0,5,1
2014-04-09,0,1,0
2014-04-10,5,3,0
2014-04-11,3,0,0
2014-04-12,0,12,0
2014-04-13,0,8,0
2014-04-14,1,4,0
2014-04-15,5,13,0
2014-04-16,0,12,0
2014-04-17,0,5,0
2014-04-18,5,5,0
2014-04-19,1,7,0
2014-04-20,4,6,0
2014-04-21,1,0,0
2014-04-22,0,1,0
2014-04-23,8,0,0
2014-04-24,4,3,0
2014-04-25,2,3,0
2014-04-26,0,2,0
2014-04-27,0,5,0
2014-04-28,1,13,0
2014-04-29,0,8,0
2014-04-30,0,10,0
2014-05-01,0,9,0
2014-05-02,2,6,0
2014-05-03,2,12,2
2014-05-04,0,25,0
2014-05-05,0,1,0
2014-05-06,3,8,4
2014-05-07,5,5,2
2014-05-08,0,0,0
2014-05-09,0,5,0
2014-05-10,0,0,0
2014-05-11,0,2,0
2014-05-12,0,5,0
2014-05-13,1,8,0
2014-05-14,0,0,0
2014-05-15,0,0,0
2014-05-16,4,14,1
2014-05-17,4,0,2
2014-05-18,5,0,13
2014-05-19,1,8,0
2014-05-20,10,0,2
2014-05-21,0,11,0
2014-05-22,0,0,0
2014-05-23,0,3,0
2014-05-24,0,2,7
2014-05-25,2,6,0
2014-05-26,0,5,0
2014-05-27,0,0,2
2014-05-28,0,6,1
2014-05-29,0,0,0
2014-05-30,0,8,0
2014-05-31,0,0,1
2014-06-01,0,6,5
2014-06-02,0,7,2
2014-06-03,3,0,1
2014-06-04,2,4,0
2014-06-05,2,3,1
2014-06-06,2,1,5
2014-06-07,1,1,0
2014-06-08,6,0,0
2014-06-09,1,5,4
2014-06-10,6,3,0
2014-06-11,2,8,4
2014-06-12,3,9,0
2014-06-13,8,3,1
2014-06-14,0,3,3
2014-06-15,1,7,10
2014-06-16,4,6,2
2014-06-17,2,5,0
2014-06-18,3,0,7
2014-06-19,2,9,0
2014-06-20,9,0,1
2014-06-21,5,11,17
2014-06-22,0,16,12
2014-06-23,2,2,11
2014-06-24,5,0,6
2014-06-25,3,0,5
2014-06-26,2,11,14
2014-06-27,3,0,9
2014-06-28,7,0,14
2014-06-29,0,6,5
2014-06-30,1,4,24
2014-07-01,6,6,11
2014-07-02,0,3,10
2014-07-03,0,6,2
2014-07-04,0,2,11
2014-07-05,0,6,2
2014-07-06,0,2,5
2014-07-07,7,7,4
2014-07-08,5,5,4
2014-07-09,3,15,6
2014-07-10,1,2,8
2014-07-11,1,8,18
2014-07-12,4,1,27
2014-07-13,0,4,15
2014-07-14,7,7,9
2014-07-15,4,0,5
2014-07-16,0,15,4
2014-07-17,0,3,0
2014-07-18,2,3,1
2014-07-19,0,2,2
2014-07-20,0,6,2
2014-07-21,5,7,6
2014-07-22,2,8,1
2014-07-23,0,2,23
2014-07-24,0,2,4
2014-07-25,0,9,15
2014-07-26,0,0,2
2014-07-27,0,0,1
2014-07-28,0,11,4
2014-07-29,0,5,2
2014-07-30,0,2,1
2014-07-31,7,0,2
2014-08-01,1,4,5
2014-08-02,8,1,0
2014-08-03,0,4,0
2014-08-04,6,2,0
2014-08-05,2,0,0
2014-08-06,0,0,4
2014-08-07,0,1,0
2014-08-08,0,3,0
2014-08-09,0,2,20
2014-08-10,0,0,17
2014-08-11,0,3,4
2014-08-12,0,2,0
2014-08-13,0,0,5
2014-08-14,0,0,2
2014-08-15,0,5,2
2014-08-16,0,0,2
2014-08-17,0,0,0
2014-08-18,0,10,5
2014-08-19,1,0,3
2014-08-20,0,3,12
2014-08-21,0,8,13
2014-08-22,1,1,5
2014-08-23,0,4,7
2014-08-24,0,6,13
2014-08-25,0,8,8
2014-08-26,10,5,6
2014-08-27,21,5,2
2014-08-28,2,1,5
2014-08-29,3,0,3
2014-08-30,3,0,7
2014-08-31,1,0,39
2014-09-01,2,2,14
2014-09-02,11,12,20
2014-09-03,14,1,6
2014-09-04,0,2,6
2014-09-05,0,4,12
2014-09-06,0,4,7
2014-09-07,0,1,7
2014-09-08,3,3,0
2014-09-09,3,2,6
2014-09-10,0,2,2
2014-09-11,3,1,4
2014-09-12,0,6,4
2014-09-13,0,2,4
2014-09-14,0,1,6
2014-09-15,2,7,6
2014-09-16,2,3,12
2014-09-17,1,7,8
2014-09-18,0,3,8
2014-09-19,5,3,1
2014-09-20,3,6,8
2014-09-21,0,1,5
2014-09-22,0,7,2
2014-09-23,4,0,6
2014-09-24,0,9,5
2014-09-25,0,3,4
2014-09-26,6,1,3
2014-09-27,0,0,12
2014-09-28,0,2,8
2014-09-29,0,0,0
2014-09-30,0,1,0
2014-10-01,0,0,1
2014-10-02,0,8,0
2014-10-03,1,3,0
2014-10-04,0,2,5
2014-10-05,0,0,0
2014-10-06,0,3,1
2014-10-07,0,0,3
2014-10-08,1,1,8
2014-10-09,2,5,6
2014-10-10,0,1,0
2014-10-11,0,0,0
2014-10-12,0,2,0
2014-10-13,0,0,0
2014-10-14,0,0,3
2014-10-15,0,0,1
2014-10-16,0,0,3
2014-10-17,0,0,9
2014-10-18,3,19,5
2014-10-19,1,3,7
2014-10-20,0,5,3
2014-10-21,2,6,6
2014-10-22,10,0,9
2014-10-23,3,4,2
2014-10-24,0,8,5
2014-10-25,0,7,4
2014-10-26,0,0,5
2014-10-27,0,1,3
2014-10-28,0,0,2
2014-10-29,0,1,1
2014-10-30,0,2,2
2014-10-31,1,7,0
2014-11-01,0,2,2
2014-11-02,0,5,0
2014-11-03,0,1,1
2014-11-04,3,0,5
2014-11-05,1,3,2
2014-11-06,0,1,2
2014-11-07,2,9,0
2014-11-08,2,11,1
2014-11-09,0,7,11
2014-11-10,0,5,5
2014-11-11,2,2,6
2014-11-12,2,3,0
2014-11-13,0,3,7
2014-11-14,1,8,11
2014-11-15,0,4,3
2014-11-16,1,1,3
2014-11-17,2,1,2
2014-11-18,1,1,8
2014-11-19,0,0,14
2014-11-20,0,0,8
2014-11-21,1,7,2
2014-11-22,0,6,2
2014-11-23,1,3,10
2014-11-24,0,3,20
2014-11-25,0,6,11
2014-11-26,0,0,4
2014-11-27,0,1,1
2014-11-28,0,7,5
2014-11-29,1,1,8
2014-11-30,0,0,5
2014-12-01,1,5,4
2014-12-02,2,2,4
2014-12-03,1,2,15
2014-12-04,5,0,6
2014-12-05,0,2,14
2014-12-06,0,8,17
2014-12-07,0,3,3
2014-12-08,1,2,9
2014-12-09,0,4,2
2014-12-10,3,4,3
2014-12-11,2,5,2
2014-12-12,0,0,2
2014-12-13,3,1,4
2014-12-14,0,6,1
2014-12-15,3,2,2
2014-12-16,2,7,0
2014-12-17,1,1,0
2014-12-18,1,6,0
2014-12-19,0,0,0
2014-12-20,3,11,0
2014-12-21,0,2,0
2014-12-22,0,15,0
2014-12-23,0,2,0
2014-12-24,0,1,0
2014-12-25,0,0,0
2014-12-26,2,0,0
2014-12-27,0,8,0
2014-12-28,2,9,0
2014-12-29,7,4,2
2014-12-30,0,1,2
2014-12-31,0,12,0
2015-01-01,1,1,0
2015-01-02,0,8,8
2015-01-03,0,6,2
2015-01-04,0,4,0
2015-01-05,2,0,0
2015-01-06,1,9,0
2015-01-07,0,1,0
2015-01-08,0,6,1
2015-01-09,0,2,5
2015-01-10,0,3,0
2015-01-11,0,0,6
2015-01-12,0,0,4
2015-01-13,0,0,0
2015-01-14,0,0,2
2015-01-15,0,0,0
2015-01-16,0,0,0
2015-01-17,0,0,0
2015-01-18,0,0,2
2015-01-19,3,0,1
2015-01-20,2,0,1
2015-01-21,4,0,2
2015-01-22,1,0,2
2015-01-23,2,0,1
2015-01-24,0,0,8
2015-01-25,2,0,5
2015-01-26,9,0,6
2015-01-27,1,0,4
2015-01-28,0,0,3
2015-01-29,0,0,3
2015-01-30,1,0,1
2015-01-31,0,0,0
2015-02-01,0,0,0
2015-02-02,0,0,0
2015-02-03,0,87,2
2015-02-04,0,0,0
2015-02-05,0,33,0
2015-02-06,6,0,2
2015-02-07,1,7,2
2015-02-08,11,0,1
2015-02-09,5,21,7
2015-02-10,3,3,8
2015-02-11,0,9,8
2015-02-12,2,11,4
2015-02-13,0,6,4
2015-02-14,0,0,5
2015-02-15,0,3,9
2015-02-16,0,7,0
2015-02-17,5,1,2
2015-02-18,0,5,5
2015-02-19,11,7,4
2015-02-20,43,0,1
2015-02-21,2,1,3
2015-02-22,3,0,0
2015-02-23,4,12,1
2015-02-24,0,4,4
2015-02-25,0,2,3
2015-02-26,0,5,0
2015-02-27,2,4,0
2015-02-28,0,5,0
2015-03-01,0,6,6
2015-03-02,0,2,8
2015-03-03,0,11,11
2015-03-04,0,6,3
2015-03-05,0,2,3
2015-03-06,0,5,7
2015-03-07,0,4,3
2015-03-08,0,3,15
2015-03-09,1,4,4
2015-03-10,1,3,1
2015-03-11,0,2,7
2015-03-12,0,3,11
2015-03-13,6,11,20
2015-03-14,2,1,5
2015-03-15,0,5,4
2015-03-16,0,3,4
2015-03-17,0,11,4
2015-03-18,0,2,0
2015-03-19,1,2,10
2015-03-20,1,7,17
2015-03-21,0,6,8
2015-03-22,0,4,13
2015-03-23,0,5,5
2015-03-24,0,5,1
2015-03-25,4,4,2
2015-03-26,0,5,2
2015-03-27,1,0,2
2015-03-28,0,4,1
2015-03-29,1,6,4
2015-03-30,0,5,7
2015-03-31,0,6,3
2015-04-01,4,6,0
2015-04-02,9,2,1
2015-04-03,3,15,0
2015-04-04,0,2,1
2015-04-05,0,11,1
2015-04-06,0,8,10
2015-04-07,0,14,1
2015-04-08,7,10,0
2015-04-09,2,4,0
2015-04-10,0,4,5
2015-04-11,0,5,5
2015-04-12,0,7,2
2015-04-13,0,5,2
2015-04-14,0,7,1
2015-04-15,0,7,0
2015-04-16,0,3,2
2015-04-17,0,5,0
2015-04-18,0,2,2
2015-04-19,0,3,0
2015-04-20,0,5,0
2015-04-21,0,5,2
2015-04-22,2,2,1
2015-04-23,1,7,4
2015-04-24,0,0,2
2015-04-25,0,0,0
2015-04-26,0,3,0
2015-04-27,3,0,0
2015-04-28,3,0,0
2015-04-29,0,4,0
2015-04-30,0,3,0
2015-05-01,0,4,1
2015-05-02,0,2,0
2015-05-03,0,2,0
2015-05-04,0,4,3
2015-05-05,0,1,2
2015-05-06,0,4,0
2015-05-07,2,3,1
2015-05-08,3,6,3
2015-05-09,1,4,2
2015-05-10,0,1,1
2015-05-11,0,6,3
2015-05-12,0,3,1
2015-05-13,0,5,2
2015-05-14,2,6,3
2015-05-15,4,7,1
2015-05-16,0,5,1
2015-05-17,0,8,0
2015-05-18,0,2,1
2015-05-19,0,3,0
2015-05-20,0,2,4
2015-05-21,0,0,12
2015-05-22,7,3,2
2015-05-23,0,8,2
2015-05-24,1,6,2
2015-05-25,3,6,1
2015-05-26,5,9,10
2015-05-27,1,3,2
2015-05-28,1,3,3
2015-05-29,1,4,0
2015-05-30,0,1,0
2015-05-31,0,1,1
2015-06-01,2,0,3
2015-06-02,0,8,2
2015-06-03,0,7,7
2015-06-04,1,3,1
2015-06-05,0,5,1
2015-06-06,0,4,3
2015-06-07,0,5,2
2015-06-08,0,3,3
2015-06-09,0,0,4
2015-06-10,2,4,2
2015-06-11,1,3,0
2015-06-12,0,2,8
2015-06-13,0,2,3
2015-06-14,0,2,10
2015-06-15,0,3,5
2015-06-16,0,0,1
2015-06-17,0,0,3
2015-06-18,0,3,2
2015-06-19,0,0,3
2015-06-20,0,0,0
2015-06-21,0,0,10
2015-06-22,0,8,8
2015-06-23,0,0,0
2015-06-24,0,5,2
2015-06-25,0,5,3
2015-06-26,2,4,3
2015-06-27,0,0,0
2015-06-28,0,3,5
2015-06-29,0,1,0
2015-06-30,0,4,0
2015-07-01,1,0,1
2015-07-02,0,0,0
2015-07-03,0,0,1
2015-07-04,0,0,1
2015-07-05,0,0,6
2015-07-06,5,0,3
2015-07-07,0,0,1
2015-07-08,0,0,5
2015-07-09,1,0,2
2015-07-10,1,0,4
2015-07-11,0,0,4
2015-07-12,0,0,19
2015-07-13,2,0,3
2015-07-14,0,0,0
2015-07-15,1,0,0
2015-07-16,0,0,0
2015-07-17,0,0,2
2015-07-18,0,0,0
2015-07-19,0,0,0
2015-07-20,0,121,3
2015-07-21,0,3,6
2015-07-22,2,0,7
2015-07-23,0,3,0
2015-07-24,1,2,0
2015-07-25,1,3,0
2015-07-26,0,4,0
2015-07-27,0,0,0
2015-07-28,7,1,2
2015-07-29,0,4,9
2015-07-30,0,3,5
2015-07-31,0,5,1
2015-08-01,0,2,1
2015-08-02,0,0,0
2015-08-03,2,0,2
2015-08-04,3,0,0
2015-08-05,0,3,0
2015-08-06,2,0,2
2015-08-07,2,0,5
2015-08-08,1,1,0
2015-08-09,0,4,0
2015-08-10,0,4,0
2015-08-11,0,1,1
2015-08-12,0,1,0
2015-08-13,1,1,3
2015-08-14,0,1,1
2015-08-15,0,0,0
2015-08-16,0,0,0
2015-08-17,0,3,0
2015-08-18,1,3,0
2015-08-19,2,3,0
2015-08-20,0,7,0
2015-08-21,0,3,1
2015-08-22,0,1,2
2015-08-23,0,3,1
2015-08-24,0,4,4
2015-08-25,0,1,6
2015-08-26,3,4,1
2015-08-27,0,8,3
2015-08-28,0,2,1
2015-08-29,0,9,1
2015-08-30,0,11,0
2015-08-31,0,2,0
2015-09-01,0,12,0
2015-09-02,1,5,0
2015-09-03,0,11,0
2015-09-04,0,10,1
2015-09-05,0,11,1
2015-09-06,0,2,2
2015-09-07,0,8,2
2015-09-08,1,9,3
2015-09-09,1,9,2
2015-09-10,0,10,0
2015-09-11,0,8,0
2015-09-12,0,11,0
2015-09-13,0,4,0
2015-09-14,0,10,0
2015-09-15,2,10,0
2015-09-16,0,14,0
2015-09-17,3,3,0
2015-09-18,0,2,0
2015-09-19,0,2,0
2015-09-20,0,5,1
2015-09-21,0,1,4
2015-09-22,0,1,2
2015-09-23,0,1,3
2015-09-24,0,8,4
2015-09-25,0,2,0
2015-09-26,0,2,0
2015-09-27,0,2,0
2015-09-28,0,6,8
2015-09-29,2,2,9
2015-09-30,0,0,7
2015-10-01,0,5,2
2015-10-02,0,4,0
2015-10-03,0,2,0
2015-10-04,0,6,0
2015-10-05,2,8,0
2015-10-06,0,8,6
2015-10-07,1,10,3
2015-10-08,0,7,0
2015-10-09,0,7,0
2015-10-10,0,1,0
2015-10-11,0,2,6
2015-10-12,2,13,0
2015-10-13,2,5,1
2015-10-14,0,2,1
2015-10-15,0,5,2
2015-10-16,0,2,2
2015-10-17,0,0,0
2015-10-18,0,0,0
2015-10-19,0,0,2
2015-10-20,0,4,7
2015-10-21,0,3,4
2015-10-22,0,11,0
2015-10-23,0,21,5
2015-10-24,0,14,4
2015-10-25,0,10,2
2015-10-26,6,4,3
2015-10-27,0,8,11
2015-10-28,0,4,0
2015-10-29,0,1,0
2015-10-30,2,2,0
2015-10-31,0,13,0
2015-11-01,0,8,0
2015-11-02,0,7,2
2015-11-03,0,7,1
2015-11-04,0,1,2
2015-11-05,9,7,0
2015-11-06,0,1,3
2015-11-07,0,0,1
2015-11-08,0,5,3
2015-11-09,0,10,0
2015-11-10,0,5,0
2015-11-11,2,5,2
2015-11-12,2,4,4
2015-11-13,0,0,3
2015-11-14,0,4,2
2015-11-15,0,0,0
2015-11-16,0,6,2
2015-11-17,2,0,7
2015-11-18,2,8,0
2015-11-19,0,1,1
2015-11-20,0,3,11
2015-11-21,0,9,2
2015-11-22,0,1,0
2015-11-23,0,4,0
2015-11-24,13,5,3
2015-11-25,2,8,0
2015-11-26,3,0,0
2015-11-27,0,6,0
2015-11-28,0,6,0
2015-11-29,2,7,0
2015-11-30,2,1,0
2015-12-01,2,3,0
2015-12-02,0,0,0
2015-12-03,0,2,0
2015-12-04,0,2,2
2015-12-05,2,7,0
2015-12-06,2,2,0
2015-12-07,4,4,3
2015-12-08,0,0,3
2015-12-09,2,3,0
2015-12-10,4,1,2
2015-12-11,3,4,2
2015-12-12,0,4,2
2015-12-13,0,0,0
2015-12-14,13,5,3
2015-12-15,3,5,3
2015-12-16,1,7,0
2015-12-17,2,2,0
2015-12-18,2,3,0
2015-12-19,0,2,2
2015-12-20,0,2,7
2015-12-21,0,0,2
2015-12-22,0,5,5
2015-12-23,0,6,0
2015-12-24,0,4,0
2015-12-25,0,0,0
2015-12-26,0,7,0
2015-12-27,0,21,0
2015-12-28,0,20,2
2015-12-29,0,11,2
2015-12-30,0,6,0
2015-12-31,0,0,0
2016-01-01,0,6,0
2016-01-02,0,14,0
2016-01-03,2,2,7
2016-01-04,3,17,8
2016-01-05,2,6,1
2016-01-06,0,0,0
2016-01-07,0,0,1
2016-01-08,0,12,2
2016-01-09,1,13,0
2016-01-10,1,4,0
2016-01-11,4,1,0
2016-01-12,0,11,7
2016-01-13,0,19,1
2016-01-14,0,9,0
2016-01-15,2,0,0
2016-01-16,0,0,0
2016-01-17,0,0,0
2016-01-18,0,0,0
2016-01-19,0,0,0
2016-01-20,6,0,2
2016-01-21,2,0,1
2016-01-22,0,0,2
2016-01-23,0,0,2
2016-01-24,0,0,2
2016-01-25,0,66,0
2016-01-26,0,11,0
2016-01-27,5,14,0
2016-01-28,1,4,0
2016-01-29,1,9,0
2016-01-30,0,3,1
2016-01-31,0,0,1
2016-02-01,0,0,2
2016-02-02,0,28,0
2016-02-03,0,13,4
2016-02-04,0,0,1
2016-02-05,0,1,0
2016-02-06,0,0,0
2016-02-07,0,0,0
2016-02-08,0,28,0
2016-02-09,0,0,2
2016-02-10,0,25,0
2016-02-11,0,4,0
2016-02-12,0,4,0
2016-02-13,0,17,0
2016-02-14,2,6,2
2016-02-15,0,12,1
2016-02-16,0,16,0
2016-02-17,2,10,0
2016-02-18,0,6,2
2016-02-19,0,15,3
2016-02-20,0,3,3
2016-02-21,0,6,1
2016-02-22,0,12,4
2016-02-23,0,18,0
2016-02-24,0,7,1
2016-02-25,0,1,3
2016-02-26,0,7,1
2016-02-27,0,8,2
2016-02-28,0,12,1
2016-02-29,2,4,0
2016-03-01,1,4,0
2016-03-02,0,9,0
2016-03-03,0,4,0
2016-03-04,0,22,0
2016-03-05,4,5,0
2016-03-06,1,5,0
2016-03-07,2,7,0
2016-03-08,2,2,0
2016-03-09,8,0,0
2016-03-10,0,2,0
2016-03-11,1,2,0
2016-03-12,0,2,0
2016-03-13,0,7,0
2016-03-14,0,2,0
2016-03-15,0,4,0
2016-03-16,0,0,0
2016-03-17,0,0,0
2016-03-18,0,11,2
2016-03-19,0,0,0
2016-03-20,0,19,0
2016-03-21,0,2,0
2016-03-22,0,6,0
2016-03-23,2,3,0
2016-03-24,6,4,2
2016-03-25,3,8,0
2016-03-26,0,5,1
2016-03-27,0,16,1
2016-03-28,0,5,2
2016-03-29,2,6,3
2016-03-30,3,10,1
2016-03-31,1,9,2
2016-04-01,0,13,0
2016-04-02,0,18,0
2016-04-03,0,1,2
2016-04-04,7,19,8
2016-04-05,1,5,0
2016-04-06,1,10,0
2016-04-07,0,0,0
2016-04-08,0,21,2
2016-04-09,0,3,3
2016-04-10,0,0,0
2016-04-11,0,7,1
2016-04-12,0,11,0
2016-04-13,2,10,3
2016-04-14,0,7,0
2016-04-15,1,4,2
2016-04-16,0,1,1
2016-04-17,0,6,0
2016-04-18,0,2,1
2016-04-19,3,14,4
2016-04-20,0,12,2
2016-04-21,0,9,0
2016-04-22,0,2,1
2016-04-23,1,5,1
2016-04-24,3,0,0
2016-04-25,3,3,0
2016-04-26,0,1,0
2016-04-27,0,1,0
2016-04-28,2,3,0
2016-04-29,3,5,0
2016-04-30,0,2,0
2016-05-01,0,0,0
2016-05-02,0,17,0
2016-05-03,0,7,1
2016-05-04,0,0,2
2016-05-05,0,3,0
2016-05-06,0,0,5
2016-05-07,0,4,0
2016-05-08,0,5,0
2016-05-09,0,0,0
2016-05-10,0,0,0
2016-05-11,0,6,0
2016-05-12,0,9,0
2016-05-13,0,1,0
2016-05-14,0,3,1
2016-05-15,0,3,0
2016-05-16,0,11,0
2016-05-17,0,9,1
2016-05-18,0,4,0
2016-05-19,0,10,0
2016-05-20,0,8,0
2016-05-21,0,8,0
2016-05-22,0,4,0
2016-05-23,0,17,0
2016-05-24,0,6,1
2016-05-25,0,4,2
2016-05-26,0,6,1
2016-05-27,0,3,0
2016-05-28,0,1,0
2016-05-29,0,2,0
2016-05-30,0,2,0
2016-05-31,2,4,2
2016-06-01,0,5,0
2016-06-02,0,4,0
2016-06-03,0,2,0
2016-06-04,0,0,0
2016-06-05,0,2,0
2016-06-06,0,3,0
2016-06-07,0,12,0
2016-06-08,0,1,0
2016-06-09,0,2,1
2016-06-10,0,2,0
2016-06-11,0,0,0
2016-06-12,0,0,1
2016-06-13,0,0,0
2016-06-14,0,0,0
2016-06-15,0,0,1
2016-06-16,0,0,0
2016-06-17,0,0,0
2016-06-18,0,19,0
2016-06-19,0,4,0
2016-06-20,0,0,0
2016-06-21,0,0,0
2016-06-22,0,2,0
2016-06-23,0,0,0
2016-06-24,0,1,0
2016-06-25,2,1,0
2016-06-26,0,1,0
