,microsoft/typescript,google/closure-compiler,rescript-lang/rescript-compiler
2015-06-05,19,7,0
2015-06-06,3,0,0
2015-06-07,3,0,0
2015-06-08,12,7,1
2015-06-09,32,7,2
2015-06-10,19,0,0
2015-06-11,15,21,0
2015-06-12,21,9,0
2015-06-13,7,0,0
2015-06-14,3,0,0
2015-06-15,21,10,0
2015-06-16,26,13,1
2015-06-17,23,6,0
2015-06-18,70,15,6
2015-06-19,13,15,2
2015-06-20,3,0,0
2015-06-21,1,0,0
2015-06-22,21,7,5
2015-06-23,31,17,0
2015-06-24,45,6,0
2015-06-25,35,8,0
2015-06-26,25,7,0
2015-06-27,0,5,0
2015-06-28,0,0,0
2015-06-29,24,8,2
2015-06-30,13,4,1
2015-07-01,39,2,1
2015-07-02,27,2,1
2015-07-03,4,0,0
2015-07-04,1,0,0
2015-07-05,0,0,2
2015-07-06,31,0,0
2015-07-07,33,44,0
2015-07-08,14,17,0
2015-07-09,37,14,0
2015-07-10,39,26,2
2015-07-11,18,0,0
2015-07-12,0,0,0
2015-07-13,24,5,0
2015-07-14,26,15,0
2015-07-15,49,11,0
2015-07-16,29,16,0
2015-07-17,34,8,0
2015-07-18,6,0,0
2015-07-19,4,0,0
2015-07-20,10,12,0
2015-07-21,29,1,0
2015-07-22,23,22,0
2015-07-23,28,14,0
2015-07-24,15,8,0
2015-07-25,4,0,0
2015-07-26,4,0,0
2015-07-27,28,13,0
2015-07-28,20,0,0
2015-07-29,17,10,0
2015-07-30,19,8,2
2015-07-31,20,17,2
2015-08-01,2,0,0
2015-08-02,6,1,0
2015-08-03,11,5,1
2015-08-04,14,7,0
2015-08-05,18,16,0
2015-08-06,34,3,0
2015-08-07,23,12,0
2015-08-08,0,5,0
2015-08-09,0,0,0
2015-08-10,11,14,4
2015-08-11,6,11,0
2015-08-12,10,9,0
2015-08-13,20,19,0
2015-08-14,11,20,0
2015-08-15,2,6,0
2015-08-16,2,0,0
2015-08-17,14,11,0
2015-08-18,23,13,0
2015-08-19,39,10,5
2015-08-20,45,17,0
2015-08-21,31,13,0
2015-08-22,4,0,0
2015-08-23,0,0,0
2015-08-24,10,12,0
2015-08-25,16,7,0
2015-08-26,36,9,0
2015-08-27,55,11,2
2015-08-28,22,2,0
2015-08-29,7,0,0
2015-08-30,2,0,0
2015-08-31,11,16,0
2015-09-01,9,13,0
2015-09-02,8,6,0
2015-09-03,23,6,2
2015-09-04,19,19,0
2015-09-05,16,1,0
2015-09-06,4,0,0
2015-09-07,1,0,3
2015-09-08,2,7,0
2015-09-09,15,13,0
2015-09-10,45,1,0
2015-09-11,20,6,0
2015-09-12,9,1,0
2015-09-13,4,2,0
2015-09-14,9,7,0
2015-09-15,18,13,0
2015-09-16,22,5,0
2015-09-17,16,10,0
2015-09-18,18,6,0
2015-09-19,6,0,0
2015-09-20,6,0,1
2015-09-21,18,5,0
2015-09-22,20,3,0
2015-09-23,1,7,0
2015-09-24,10,10,1
2015-09-25,26,14,0
2015-09-26,9,0,0
2015-09-27,4,0,0
2015-09-28,14,1,0
2015-09-29,24,16,0
2015-09-30,25,10,0
2015-10-01,27,10,0
2015-10-02,25,8,0
2015-10-03,11,1,0
2015-10-04,5,0,0
2015-10-05,38,5,1
2015-10-06,41,13,0
2015-10-07,11,5,0
2015-10-08,34,9,0
2015-10-09,14,3,0
2015-10-10,2,0,0
2015-10-11,4,0,0
2015-10-12,36,11,0
2015-10-13,13,10,0
2015-10-14,13,7,0
2015-10-15,21,8,0
2015-10-16,15,7,0
2015-10-17,4,1,0
2015-10-18,4,1,0
2015-10-19,18,1,1
2015-10-20,16,1,0
2015-10-21,17,4,1
2015-10-22,23,3,3
2015-10-23,18,3,1
2015-10-24,3,0,0
2015-10-25,3,0,0
2015-10-26,14,4,0
2015-10-27,24,1,0
2015-10-28,39,2,0
2015-10-29,21,11,0
2015-10-30,38,1,1
2015-10-31,6,0,1
2015-11-01,1,0,0
2015-11-02,16,4,0
2015-11-03,24,6,0
2015-11-04,15,4,0
2015-11-05,10,7,0
2015-11-06,18,7,0
2015-11-07,7,4,0
2015-11-08,2,0,0
2015-11-09,34,0,0
2015-11-10,29,7,0
2015-11-11,36,2,6
2015-11-12,27,0,7
2015-11-13,30,9,0
2015-11-14,12,2,0
2015-11-15,1,0,0
2015-11-16,10,3,0
2015-11-17,18,6,7
2015-11-18,17,7,1
2015-11-19,15,7,1
2015-11-20,29,10,0
2015-11-21,3,4,0
2015-11-22,1,0,0
2015-11-23,21,2,0
2015-11-24,14,9,0
2015-11-25,21,15,0
2015-11-26,19,0,0
2015-11-27,0,0,1
2015-11-28,5,1,0
2015-11-29,3,3,0
2015-11-30,26,9,0
2015-12-01,35,4,0
2015-12-02,32,7,0
2015-12-03,21,12,0
2015-12-04,26,7,1
2015-12-05,7,0,0
2015-12-06,4,0,6
2015-12-07,20,13,0
2015-12-08,38,5,0
2015-12-09,59,7,2
2015-12-10,30,8,0
2015-12-11,31,4,0
2015-12-12,19,6,0
2015-12-13,3,1,0
2015-12-14,18,6,0
2015-12-15,10,8,0
2015-12-16,9,13,3
2015-12-17,27,10,0
2015-12-18,45,8,0
2015-12-19,4,5,0
2015-12-20,1,0,0
2015-12-21,15,4,0
2015-12-22,21,9,0
2015-12-23,13,10,0
2015-12-24,7,2,1
2015-12-25,0,2,0
2015-12-26,0,0,0
2015-12-27,0,0,0
2015-12-28,17,0,0
2015-12-29,4,1,3
2015-12-30,5,1,0
2015-12-31,0,0,0
2016-01-01,2,1,0
2016-01-02,0,0,0
2016-01-03,1,0,0
2016-01-04,17,22,0
2016-01-05,21,10,0
2016-01-06,15,9,6
2016-01-07,24,15,16
2016-01-08,19,6,6
2016-01-09,5,1,4
2016-01-10,5,2,3
2016-01-11,12,24,0
2016-01-12,11,12,0
2016-01-13,23,9,0
2016-01-14,25,16,3
2016-01-15,19,9,10
2016-01-16,13,1,0
2016-01-17,2,0,5
2016-01-18,3,0,2
2016-01-19,10,8,8
2016-01-20,9,9,7
2016-01-21,12,19,0
2016-01-22,19,15,2
2016-01-23,4,5,2
2016-01-24,11,0,2
2016-01-25,15,6,7
2016-01-26,17,2,8
2016-01-27,25,15,7
2016-01-28,25,12,3
2016-01-29,21,7,13
2016-01-30,10,7,2
2016-01-31,9,2,0
2016-02-01,19,13,6
2016-02-02,30,25,7
2016-02-03,21,8,12
2016-02-04,29,2,8
2016-02-05,10,11,11
2016-02-06,8,5,5
2016-02-07,5,1,2
2016-02-08,6,11,14
2016-02-09,21,1,3
2016-02-10,14,17,3
2016-02-11,27,6,0
2016-02-12,32,16,0
2016-02-13,23,3,0
2016-02-14,4,0,0
2016-02-15,10,0,0
2016-02-16,13,4,6
2016-02-17,22,13,6
2016-02-18,10,16,4
2016-02-19,24,25,3
2016-02-20,19,10,0
2016-02-21,6,2,0
2016-02-22,22,9,2
2016-02-23,53,5,0
2016-02-24,21,12,5
2016-02-25,11,17,2
2016-02-26,13,7,1
2016-02-27,1,0,0
2016-02-28,4,0,2
2016-02-29,20,14,6
2016-03-01,22,11,12
2016-03-02,27,13,4
2016-03-03,20,3,15
2016-03-04,13,10,2
2016-03-05,9,4,8
2016-03-06,3,0,2
2016-03-07,2,4,4
2016-03-08,4,0,8
2016-03-09,31,4,11
2016-03-10,27,14,21
2016-03-11,3,9,18
2016-03-12,4,8,2
2016-03-13,1,1,2
2016-03-14,12,8,14
2016-03-15,11,8,2
2016-03-16,12,4,0
2016-03-17,12,10,0
2016-03-18,18,0,0
2016-03-19,2,0,0
2016-03-20,3,0,2
2016-03-21,20,13,7
2016-03-22,23,18,2
2016-03-23,9,4,6
2016-03-24,14,0,0
2016-03-25,14,7,0
2016-03-26,12,0,0
2016-03-27,1,0,0
2016-03-28,22,3,2
2016-03-29,10,14,0
2016-03-30,24,11,0
2016-03-31,11,4,0
2016-04-01,8,2,0
2016-04-02,2,0,4
2016-04-03,1,0,0
2016-04-04,17,20,13
2016-04-05,23,2,7
2016-04-06,19,6,12
2016-04-07,75,25,3
2016-04-08,40,9,7
2016-04-09,7,0,1
2016-04-10,8,0,0
2016-04-11,28,0,1
2016-04-12,34,8,8
2016-04-13,37,0,6
2016-04-14,21,5,4
2016-04-15,12,2,3
2016-04-16,8,5,1
2016-04-17,4,0,2
2016-04-18,28,0,4
2016-04-19,31,0,10
2016-04-20,32,23,5
2016-04-21,20,6,6
2016-04-22,18,3,6
2016-04-23,3,0,3
2016-04-24,0,0,5
2016-04-25,11,9,0
2016-04-26,24,14,10
2016-04-27,14,11,10
2016-04-28,9,6,8
2016-04-29,17,0,7
2016-04-30,5,0,0
2016-05-01,3,0,0
2016-05-02,21,8,5
2016-05-03,18,11,1
2016-05-04,22,3,8
2016-05-05,21,13,6
2016-05-06,17,8,2
2016-05-07,6,0,0
2016-05-08,4,0,1
2016-05-09,4,6,4
2016-05-10,12,4,2
2016-05-11,17,2,13
2016-05-12,16,5,12
2016-05-13,6,6,9
2016-05-14,3,0,0
2016-05-15,1,0,4
2016-05-16,20,6,4
2016-05-17,24,12,2
2016-05-18,26,2,11
2016-05-19,28,8,6
2016-05-20,16,13,6
2016-05-21,11,0,0
2016-05-22,4,0,6
2016-05-23,45,0,11
2016-05-24,31,12,7
2016-05-25,41,13,11
2016-05-26,43,7,3
2016-05-27,24,12,14
2016-05-28,8,0,2
2016-05-29,1,0,0
2016-05-30,0,0,1
2016-05-31,35,1,4
2016-06-01,16,20,13
2016-06-02,28,10,4
2016-06-03,17,11,2
2016-06-04,8,0,0
2016-06-05,2,0,2
2016-06-06,19,2,0
2016-06-07,19,7,0
2016-06-08,39,12,0
2016-06-09,44,7,3
2016-06-10,32,6,0
2016-06-11,4,0,1
2016-06-12,0,0,0
2016-06-13,32,8,0
2016-06-14,52,0,0
2016-06-15,48,23,0
2016-06-16,13,0,10
2016-06-17,15,0,8
2016-06-18,9,0,2
2016-06-19,11,0,0
2016-06-20,30,33,3
2016-06-21,28,1,13
2016-06-22,10,10,13
2016-06-23,27,11,11
2016-06-24,26,2,6
2016-06-25,9,0,0
2016-06-26,2,0,0
2016-06-27,31,13,5
2016-06-28,24,8,4
2016-06-29,27,7,10
2016-06-30,32,14,7
2016-07-01,22,0,4
2016-07-02,3,0,2
2016-07-03,4,0,0
2016-07-04,0,0,5
2016-07-05,21,0,12
2016-07-06,18,0,10
2016-07-07,23,22,10
2016-07-08,8,12,4
2016-07-09,3,0,4
2016-07-10,3,0,10
2016-07-11,38,3,8
2016-07-12,11,16,12
2016-07-13,30,4,4
2016-07-14,11,15,10
2016-07-15,12,10,2
2016-07-16,6,0,6
2016-07-17,1,0,2
2016-07-18,23,11,0
2016-07-19,12,11,10
2016-07-20,5,0,10
2016-07-21,22,13,7
2016-07-22,29,11,2
2016-07-23,10,0,1
2016-07-24,1,0,2
2016-07-25,7,22,4
2016-07-26,15,11,10
2016-07-27,20,8,7
2016-07-28,16,22,0
2016-07-29,18,14,3
2016-07-30,2,0,1
2016-07-31,2,0,2
2016-08-01,22,4,18
2016-08-02,18,0,13
2016-08-03,13,0,10
2016-08-04,12,4,2
2016-08-05,13,57,8
2016-08-06,5,0,4
2016-08-07,4,0,0
2016-08-08,23,6,15
2016-08-09,16,14,7
2016-08-10,10,12,7
2016-08-11,19,10,10
2016-08-12,13,9,16
2016-08-13,5,0,0
2016-08-14,9,0,0
2016-08-15,35,10,8
2016-08-16,18,6,4
2016-08-17,33,12,6
2016-08-18,22,7,6
2016-08-19,22,15,8
2016-08-20,12,0,0
2016-08-21,13,0,0
2016-08-22,26,25,1
2016-08-23,22,20,14
2016-08-24,4,0,8
2016-08-25,21,7,9
2016-08-26,25,14,12
2016-08-27,7,0,5
2016-08-28,0,3,1
2016-08-29,15,11,1
2016-08-30,16,11,3
2016-08-31,3,14,11
2016-09-01,44,6,17
2016-09-02,41,6,6
2016-09-03,10,0,3
2016-09-04,3,0,6
2016-09-05,0,0,4
2016-09-06,20,2,15
2016-09-07,43,3,7
2016-09-08,35,0,8
2016-09-09,48,8,8
2016-09-10,4,0,5
2016-09-11,5,0,2
2016-09-12,33,9,4
2016-09-13,79,5,0
2016-09-14,52,2,0
2016-09-15,22,15,7
2016-09-16,17,3,3
2016-09-17,5,0,2
2016-09-18,0,0,3
2016-09-19,16,14,8
2016-09-20,27,6,12
2016-09-21,14,16,9
2016-09-22,10,3,8
2016-09-23,8,20,7
2016-09-24,17,0,1
2016-09-25,4,0,3
2016-09-26,31,11,5
2016-09-27,35,1,0
2016-09-28,13,17,2
2016-09-29,28,7,0
2016-09-30,24,4,0
2016-10-01,5,0,4
2016-10-02,1,0,1
2016-10-03,23,1,12
2016-10-04,28,7,7
2016-10-05,34,16,2
2016-10-06,37,10,12
2016-10-07,22,0,15
2016-10-08,5,6,0
2016-10-09,1,0,2
2016-10-10,11,0,0
2016-10-11,18,6,2
2016-10-12,37,0,2
2016-10-13,37,17,0
2016-10-14,19,18,7
2016-10-15,9,0,6
2016-10-16,7,0,3
2016-10-17,30,11,6
2016-10-18,25,14,2
2016-10-19,22,7,2
2016-10-20,19,9,6
2016-10-21,20,7,13
2016-10-22,3,0,1
2016-10-23,0,0,10
2016-10-24,25,7,2
2016-10-25,26,0,3
2016-10-26,14,22,0
2016-10-27,39,4,6
2016-10-28,18,0,3
2016-10-29,3,6,0
2016-10-30,2,0,0
2016-10-31,19,6,0
2016-11-01,15,4,0
2016-11-02,21,2,6
2016-11-03,29,6,10
2016-11-04,17,21,4
2016-11-05,8,0,7
2016-11-06,6,0,7
2016-11-07,24,5,7
2016-11-08,26,10,8
2016-11-09,25,12,5
2016-11-10,38,1,8
2016-11-11,27,9,1
2016-11-12,12,10,0
2016-11-13,9,0,0
2016-11-14,33,3,0
2016-11-15,46,5,14
2016-11-16,33,9,5
2016-11-17,13,13,8
2016-11-18,31,4,4
2016-11-19,20,7,2
2016-11-20,7,0,4
2016-11-21,15,10,0
2016-11-22,21,4,4
2016-11-23,16,4,5
2016-11-24,8,2,2
2016-11-25,4,0,4
2016-11-26,6,0,0
2016-11-27,5,0,0
2016-11-28,18,7,4
2016-11-29,26,3,3
2016-11-30,19,6,3
2016-12-01,9,12,4
2016-12-02,8,7,6
2016-12-03,8,7,0
2016-12-04,9,0,8
2016-12-05,16,7,3
2016-12-06,19,12,0
2016-12-07,20,7,1
2016-12-08,30,13,6
2016-12-09,21,13,0
2016-12-10,9,5,0
2016-12-11,0,0,4
2016-12-12,21,0,7
2016-12-13,13,0,12
2016-12-14,34,17,1
2016-12-15,7,8,3
2016-12-16,12,5,8
2016-12-17,0,0,2
2016-12-18,1,0,5
2016-12-19,17,7,7
2016-12-20,12,10,6
2016-12-21,32,6,7
2016-12-22,37,5,2
2016-12-23,4,0,8
2016-12-24,1,0,0
2016-12-25,0,0,0
2016-12-26,5,0,3
2016-12-27,8,0,7
2016-12-28,20,0,6
2016-12-29,2,0,1
2016-12-30,15,0,3
2016-12-31,7,0,0
2017-01-01,5,0,1
2017-01-02,1,0,0
2017-01-03,6,7,1
2017-01-04,7,5,2
2017-01-05,10,11,3
2017-01-06,4,12,3
2017-01-07,9,7,0
2017-01-08,3,0,7
2017-01-09,22,0,2
2017-01-10,10,8,9
2017-01-11,12,6,4
2017-01-12,20,20,1
2017-01-13,15,1,6
2017-01-14,13,10,0
2017-01-15,1,0,0
2017-01-16,7,0,0
2017-01-17,18,0,9
2017-01-18,25,4,4
2017-01-19,15,11,5
2017-01-20,14,5,6
2017-01-21,17,0,5
2017-01-22,4,0,0
2017-01-23,18,1,1
2017-01-24,24,4,7
2017-01-25,20,4,7
2017-01-26,11,6,4
2017-01-27,7,9,4
2017-01-28,1,9,0
2017-01-29,4,0,0
2017-01-30,21,2,6
2017-01-31,19,7,8
2017-02-01,19,7,9
2017-02-02,17,8,6
2017-02-03,15,3,10
2017-02-04,5,13,0
2017-02-05,2,0,4
2017-02-06,10,2,6
2017-02-07,22,6,15
2017-02-08,20,13,2
2017-02-09,29,10,5
2017-02-10,13,12,12
2017-02-11,1,8,0
2017-02-12,0,0,5
2017-02-13,23,6,5
2017-02-14,41,0,8
2017-02-15,19,13,8
2017-02-16,28,7,8
2017-02-17,24,9,6
2017-02-18,5,0,5
2017-02-19,3,10,1
2017-02-20,2,0,9
2017-02-21,8,9,14
2017-02-22,13,0,6
2017-02-23,13,0,11
2017-02-24,9,0,11
2017-02-25,10,0,4
2017-02-26,3,0,3
2017-02-27,12,36,6
2017-02-28,13,9,6
2017-03-01,26,0,8
2017-03-02,9,19,10
2017-03-03,13,11,9
2017-03-04,1,0,0
2017-03-05,6,0,3
2017-03-06,22,9,9
2017-03-07,31,5,15
2017-03-08,4,8,4
2017-03-09,19,11,9
2017-03-10,11,18,16
2017-03-11,9,0,3
2017-03-12,4,0,0
2017-03-13,27,0,8
2017-03-14,26,15,9
2017-03-15,26,0,23
2017-03-16,20,8,27
2017-03-17,25,0,26
2017-03-18,2,0,6
2017-03-19,2,0,14
2017-03-20,16,14,8
2017-03-21,21,8,7
2017-03-22,22,7,19
2017-03-23,16,4,56
2017-03-24,19,2,8
2017-03-25,3,0,0
2017-03-26,3,0,4
2017-03-27,25,5,14
2017-03-28,16,0,3
2017-03-29,23,7,15
2017-03-30,6,5,4
2017-03-31,7,0,11
2017-04-01,1,0,5
2017-04-02,0,0,0
2017-04-03,17,8,9
2017-04-04,21,1,2
2017-04-05,39,0,13
2017-04-06,11,21,7
2017-04-07,9,12,21
2017-04-08,4,0,14
2017-04-09,0,0,4
2017-04-10,6,9,0
2017-04-11,22,24,0
2017-04-12,17,15,1
2017-04-13,15,15,4
2017-04-14,22,3,2
2017-04-15,0,0,9
2017-04-16,0,0,2
2017-04-17,23,3,9
2017-04-18,27,2,5
2017-04-19,20,12,3
2017-04-20,14,19,5
2017-04-21,8,13,1
2017-04-22,0,0,0
2017-04-23,4,0,0
2017-04-24,16,0,0
2017-04-25,10,54,0
2017-04-26,11,9,6
2017-04-27,4,0,0
2017-04-28,11,23,0
2017-04-29,8,0,0
2017-04-30,6,0,0
2017-05-01,36,13,0
2017-05-02,23,18,0
2017-05-03,29,14,0
2017-05-04,27,14,0
2017-05-05,28,10,0
2017-05-06,6,0,0
2017-05-07,2,0,7
2017-05-08,37,12,2
2017-05-09,14,6,2
2017-05-10,20,14,2
2017-05-11,32,17,2
2017-05-12,28,11,4
2017-05-13,2,0,1
2017-05-14,0,0,1
2017-05-15,26,0,3
2017-05-16,22,38,8
2017-05-17,15,0,1
2017-05-18,11,35,1
2017-05-19,18,0,0
2017-05-20,2,29,5
2017-05-21,0,0,5
2017-05-22,26,10,4
2017-05-23,32,17,18
2017-05-24,19,0,2
2017-05-25,9,22,12
2017-05-26,17,8,5
2017-05-27,3,0,3
2017-05-28,2,0,2
2017-05-29,0,0,16
2017-05-30,29,11,0
2017-05-31,21,9,7
2017-06-01,22,23,8
2017-06-02,29,7,12
2017-06-03,2,0,0
2017-06-04,2,0,2
2017-06-05,20,26,10
2017-06-06,46,28,6
2017-06-07,34,11,9
2017-06-08,34,24,2
2017-06-09,26,17,5
2017-06-10,7,0,5
2017-06-11,2,0,2
2017-06-12,24,7,17
2017-06-13,27,34,1
2017-06-14,16,11,3
2017-06-15,11,5,13
2017-06-16,6,32,11
2017-06-17,1,0,7
2017-06-18,0,0,3
2017-06-19,7,19,5
2017-06-20,8,5,0
2017-06-21,3,31,8
2017-06-22,16,24,3
2017-06-23,5,10,0
2017-06-24,0,0,1
2017-06-25,0,0,3
2017-06-26,6,4,0
2017-06-27,2,24,0
2017-06-28,12,16,0
2017-06-29,22,20,0
2017-06-30,11,17,4
2017-07-01,3,0,3
2017-07-02,0,0,0
2017-07-03,0,0,4
2017-07-04,0,0,4
2017-07-05,7,21,3
2017-07-06,8,15,13
2017-07-07,17,5,8
2017-07-08,2,23,5
2017-07-09,1,0,5
2017-07-10,28,0,5
2017-07-11,22,21,13
2017-07-12,18,7,8
2017-07-13,21,14,4
