,microsoft/typescript,rescript-lang/rescript-compiler,google/closure-compiler
2019-01-24,30,11,0
2019-01-25,38,13,11
2019-01-26,6,0,8
2019-01-27,4,0,0
2019-01-28,15,16,0
2019-01-29,15,1,15
2019-01-30,21,17,8
2019-01-31,21,7,3
2019-02-01,31,0,4
2019-02-02,13,0,3
2019-02-03,10,0,0
2019-02-04,19,6,2
2019-02-05,12,5,0
2019-02-06,23,7,15
2019-02-07,32,9,8
2019-02-08,7,7,14
2019-02-09,1,9,0
2019-02-10,7,1,0
2019-02-11,18,2,0
2019-02-12,0,4,12
2019-02-13,7,6,7
2019-02-14,9,9,4
2019-02-15,8,9,13
2019-02-16,1,1,0
2019-02-17,1,2,0
2019-02-18,2,5,0
2019-02-19,11,3,5
2019-02-20,14,6,0
2019-02-21,14,12,19
2019-02-22,15,3,5
2019-02-23,6,4,0
2019-02-24,0,0,0
2019-02-25,10,6,4
2019-02-26,21,0,6
2019-02-27,12,10,4
2019-02-28,16,0,8
2019-03-01,19,13,4
2019-03-02,7,11,0
2019-03-03,1,6,0
2019-03-04,8,0,3
2019-03-05,13,4,14
2019-03-06,10,3,9
2019-03-07,6,2,11
2019-03-08,19,0,6
2019-03-09,11,0,2
2019-03-10,2,0,0
2019-03-11,9,4,11
2019-03-12,15,0,0
2019-03-13,22,14,3
2019-03-14,16,16,7
2019-03-15,10,0,0
2019-03-16,2,0,11
2019-03-17,0,0,0
2019-03-18,12,3,0
2019-03-19,10,7,11
2019-03-20,6,1,10
2019-03-21,4,4,6
2019-03-22,5,0,3
2019-03-23,2,5,0
2019-03-24,37,12,0
2019-03-25,2,12,3
2019-03-26,9,1,4
2019-03-27,8,12,10
2019-03-28,7,1,10
2019-03-29,6,4,0
2019-03-30,1,3,0
2019-03-31,2,1,0
2019-04-01,5,6,0
2019-04-02,17,15,0
2019-04-03,15,0,17
2019-04-04,19,1,4
2019-04-05,9,1,8
2019-04-06,7,2,0
2019-04-07,2,3,0
2019-04-08,18,13,4
2019-04-09,2,2,6
2019-04-10,4,2,5
2019-04-11,9,5,11
2019-04-12,8,1,4
2019-04-13,3,0,0
2019-04-14,0,0,0
2019-04-15,8,14,10
2019-04-16,15,11,2
2019-04-17,25,5,0
2019-04-18,34,9,12
2019-04-19,16,0,12
2019-04-20,0,5,6
2019-04-21,0,5,0
2019-04-22,4,10,0
2019-04-23,20,7,0
2019-04-24,22,0,14
2019-04-25,26,2,13
2019-04-26,12,5,2
2019-04-27,9,2,0
2019-04-28,5,13,0
2019-04-29,29,7,3
2019-04-30,23,1,10
2019-05-01,19,0,9
2019-05-02,14,0,9
2019-05-03,6,0,4
2019-05-04,0,0,0
2019-05-05,3,0,0
2019-05-06,6,0,12
2019-05-07,10,0,10
2019-05-08,10,0,6
2019-05-09,4,0,6
2019-05-10,7,0,6
2019-05-11,4,0,0
2019-05-12,2,0,0
2019-05-13,11,0,10
2019-05-14,7,0,10
2019-05-15,7,0,2
2019-05-16,4,0,12
2019-05-17,5,0,9
2019-05-18,0,0,0
2019-05-19,0,1,0
2019-05-20,11,12,7
2019-05-21,13,4,11
2019-05-22,17,0,0
2019-05-23,15,0,6
2019-05-24,14,0,7
2019-05-25,0,0,9
2019-05-26,0,0,0
2019-05-27,1,3,0
2019-05-28,6,11,0
2019-05-29,5,14,10
2019-05-30,14,2,10
2019-05-31,33,7,6
2019-06-01,4,0,0
2019-06-02,3,0,0
2019-06-03,7,13,2
2019-06-04,6,7,9
2019-06-05,18,10,0
2019-06-06,22,4,6
2019-06-07,9,0,1
2019-06-08,2,1,1
2019-06-09,7,4,0
2019-06-10,3,7,0
2019-06-11,7,6,6
2019-06-12,6,11,1
2019-06-13,4,16,0
2019-06-14,32,8,9
2019-06-15,1,0,0
2019-06-16,0,4,0
2019-06-17,9,5,3
2019-06-18,8,13,6
2019-06-19,23,1,4
2019-06-20,20,15,4
2019-06-21,19,8,1
2019-06-22,6,0,0
2019-06-23,5,0,0
2019-06-24,8,9,3
2019-06-25,15,4,3
2019-06-26,19,4,12
2019-06-27,17,5,8
2019-06-28,18,2,2
2019-06-29,7,6,0
2019-06-30,8,0,0
2019-07-01,27,7,8
2019-07-02,7,3,4
2019-07-03,14,4,4
2019-07-04,2,14,0
2019-07-05,9,10,0
2019-07-06,0,0,0
2019-07-07,1,13,0
2019-07-08,15,6,8
2019-07-09,5,11,5
2019-07-10,11,7,0
2019-07-11,16,9,11
2019-07-12,17,6,0
2019-07-13,2,9,14
2019-07-14,0,0,0
2019-07-15,11,16,0
2019-07-16,14,5,0
2019-07-17,19,5,15
2019-07-18,11,9,7
2019-07-19,8,14,5
2019-07-20,6,0,0
2019-07-21,1,5,0
2019-07-22,5,13,3
2019-07-23,7,2,6
2019-07-24,5,3,8
2019-07-25,14,7,3
2019-07-26,9,8,11
2019-07-27,1,0,0
2019-07-28,3,0,0
2019-07-29,14,27,6
2019-07-30,9,12,4
2019-07-31,7,6,0
2019-08-01,10,8,9
2019-08-02,16,6,2
2019-08-03,5,0,6
2019-08-04,6,4,0
2019-08-05,9,16,0
2019-08-06,22,8,3
2019-08-07,10,7,0
2019-08-08,11,18,0
2019-08-09,37,6,0
2019-08-10,8,0,3
2019-08-11,0,2,0
2019-08-12,7,8,1
2019-08-13,7,0,2
2019-08-14,16,9,3
2019-08-15,22,14,2
2019-08-16,23,6,5
2019-08-17,4,0,0
2019-08-18,2,0,0
2019-08-19,14,6,5
2019-08-20,10,1,2
2019-08-21,7,2,4
2019-08-22,6,3,2
2019-08-23,9,4,7
2019-08-24,1,4,0
2019-08-25,0,0,0
2019-08-26,11,7,0
2019-08-27,13,2,13
2019-08-28,8,13,4
2019-08-29,7,10,4
2019-08-30,10,2,0
2019-08-31,5,0,7
2019-09-01,0,0,0
2019-09-02,4,14,0
2019-09-03,8,12,4
2019-09-04,18,2,0
2019-09-05,14,0,10
2019-09-06,7,4,0
2019-09-07,3,0,0
2019-09-08,0,2,0
2019-09-09,11,24,0
2019-09-10,8,3,10
2019-09-11,19,19,12
2019-09-12,11,10,4
2019-09-13,7,0,4
2019-09-14,3,0,0
2019-09-15,5,6,0
2019-09-16,9,1,2
2019-09-17,12,9,3
2019-09-18,13,8,7
2019-09-19,6,12,0
2019-09-20,12,7,10
2019-09-21,8,5,0
2019-09-22,0,0,0
2019-09-23,15,7,5
2019-09-24,30,2,5
2019-09-25,18,3,0
2019-09-26,13,8,12
2019-09-27,23,1,1
2019-09-28,0,5,0
2019-09-29,0,0,0
2019-09-30,17,0,8
2019-10-01,14,4,1
2019-10-02,8,1,2
2019-10-03,12,0,2
2019-10-04,16,0,8
2019-10-05,5,0,0
2019-10-06,7,0,0
2019-10-07,3,1,6
2019-10-08,3,0,6
2019-10-09,10,1,0
2019-10-10,7,0,12
2019-10-11,0,4,6
2019-10-12,1,5,0
2019-10-13,6,1,0
2019-10-14,7,6,5
2019-10-15,16,6,12
2019-10-16,29,11,0
2019-10-17,30,4,8
2019-10-18,23,5,6
2019-10-19,8,0,6
2019-10-20,0,1,0
2019-10-21,14,6,0
2019-10-22,8,11,1
2019-10-23,5,7,0
2019-10-24,6,1,15
2019-10-25,5,12,0
2019-10-26,1,0,0
2019-10-27,0,0,0
2019-10-28,6,8,0
2019-10-29,6,1,11
2019-10-30,7,11,0
2019-10-31,4,0,0
2019-11-01,2,1,0
2019-11-02,0,3,0
2019-11-03,0,1,0
2019-11-04,3,15,0
2019-11-05,4,6,10
2019-11-06,2,8,19
2019-11-07,4,10,5
2019-11-08,1,2,8
2019-11-09,1,1,0
2019-11-10,0,4,0
2019-11-11,1,2,1
2019-11-12,3,1,3
2019-11-13,2,0,0
2019-11-14,2,0,0
2019-11-15,5,11,7
2019-11-16,0,11,11
2019-11-17,0,13,0
2019-11-18,3,14,4
2019-11-19,7,4,0
2019-11-20,5,7,4
2019-11-21,8,0,0
2019-11-22,11,0,9
2019-11-23,1,8,0
2019-11-24,0,4,0
2019-11-25,3,21,0
2019-11-26,0,0,7
2019-11-27,7,3,4
2019-11-28,1,1,0
2019-11-29,0,0,0
2019-11-30,0,0,0
2019-12-01,0,1,0
2019-12-02,5,7,2
2019-12-03,2,2,8
2019-12-04,3,10,0
2019-12-05,5,3,10
2019-12-06,4,5,0
2019-12-07,0,0,0
2019-12-08,0,0,0
2019-12-09,2,12,0
2019-12-10,4,5,11
2019-12-11,8,9,14
2019-12-12,1,11,5
2019-12-13,6,7,3
2019-12-14,0,21,0
2019-12-15,1,17,0
2019-12-16,2,13,10
2019-12-17,2,6,8
2019-12-18,13,3,0
2019-12-19,3,5,0
2019-12-20,7,3,14
2019-12-21,4,1,0
2019-12-22,2,0,0
2019-12-23,6,1,0
2019-12-24,1,15,0
2019-12-25,0,5,0
2019-12-26,0,2,0
2019-12-27,1,0,0
2019-12-28,0,0,0
2019-12-29,0,0,0
2019-12-30,1,0,0
2019-12-31,1,0,0
2020-01-01,0,0,0
2020-01-02,3,10,0
2020-01-03,11,7,19
2020-01-04,2,1,0
2020-01-05,0,0,0
2020-01-06,4,3,7
2020-01-07,10,11,8
2020-01-08,8,5,8
2020-01-09,3,1,3
2020-01-10,8,0,6
2020-01-11,0,0,0
2020-01-12,0,4,0
2020-01-13,3,5,3
2020-01-14,2,7,0
2020-01-15,5,8,17
2020-01-16,5,3,4
2020-01-17,9,0,7
2020-01-18,3,4,0
2020-01-19,0,4,0
2020-01-20,0,12,0
2020-01-21,8,0,6
2020-01-22,8,2,5
2020-01-23,9,0,2
2020-01-24,14,1,3
2020-01-25,7,0,0
2020-01-26,0,0,0
2020-01-27,6,1,2
2020-01-28,10,13,9
2020-01-29,14,4,6
2020-01-30,6,22,6
2020-01-31,15,17,0
2020-02-01,0,4,0
2020-02-02,0,8,0
2020-02-03,3,9,0
2020-02-04,3,9,12
2020-02-05,9,3,0
2020-02-06,4,2,0
2020-02-07,4,8,7
2020-02-08,0,5,0
2020-02-09,0,3,0
2020-02-10,2,6,7
2020-02-11,6,6,0
2020-02-12,9,9,4
2020-02-13,4,7,11
2020-02-14,8,7,0
2020-02-15,2,6,0
2020-02-16,0,5,0
2020-02-17,0,4,0
2020-02-18,2,7,0
2020-02-19,8,6,18
2020-02-20,15,2,10
2020-02-21,17,13,4
2020-02-22,1,4,0
2020-02-23,0,14,0
2020-02-24,11,10,3
2020-02-25,23,17,1
2020-02-26,14,8,2
2020-02-27,24,4,0
2020-02-28,7,5,0
2020-02-29,6,6,0
2020-03-01,0,6,0
2020-03-02,12,5,6
2020-03-03,12,3,2
2020-03-04,9,0,4
2020-03-05,8,14,0
2020-03-06,6,9,20
2020-03-07,3,1,0
2020-03-08,1,7,0
2020-03-09,4,7,15
2020-03-10,9,15,4
2020-03-11,15,13,0
2020-03-12,17,10,0
2020-03-13,16,0,0
2020-03-14,2,6,10
2020-03-15,0,25,0
2020-03-16,2,3,0
2020-03-17,13,0,0
2020-03-18,7,5,0
2020-03-19,11,1,17
2020-03-20,3,1,0
2020-03-21,2,14,0
2020-03-22,2,7,0
2020-03-23,2,8,0
2020-03-24,5,9,0
2020-03-25,11,9,19
2020-03-26,5,14,0
2020-03-27,4,4,7
2020-03-28,1,0,0
2020-03-29,0,0,0
2020-03-30,10,0,0
2020-03-31,8,22,7
2020-04-01,9,21,3
2020-04-02,9,0,5
2020-04-03,7,0,2
2020-04-04,1,0,0
2020-04-05,0,0,1
2020-04-06,2,1,0
2020-04-07,7,13,8
2020-04-08,7,9,9
2020-04-09,13,3,3
2020-04-10,9,1,0
2020-04-11,2,4,0
2020-04-12,0,13,0
2020-04-13,8,4,8
2020-04-14,3,1,0
2020-04-15,9,5,0
2020-04-16,1,7,12
2020-04-17,2,3,0
2020-04-18,0,1,0
2020-04-19,3,2,2
2020-04-20,11,0,18
2020-04-21,14,0,4
2020-04-22,10,0,0
2020-04-23,4,8,0
2020-04-24,14,15,0
2020-04-25,3,7,0
2020-04-26,0,14,0
2020-04-27,4,10,17
2020-04-28,7,0,0
2020-04-29,6,8,4
2020-04-30,9,15,0
2020-05-01,0,0,0
2020-05-02,1,0,0
2020-05-03,0,0,0
2020-05-04,9,1,14
2020-05-05,5,7,4
2020-05-06,14,10,0
2020-05-07,8,18,8
2020-05-08,8,5,0
2020-05-09,1,14,3
2020-05-10,0,7,0
2020-05-11,13,4,5
2020-05-12,14,12,0
2020-05-13,2,14,0
2020-05-14,4,12,11
2020-05-15,4,7,0
2020-05-16,23,13,0
2020-05-17,1,3,0
2020-05-18,7,7,19
2020-05-19,15,11,0
2020-05-20,17,24,8
2020-05-21,15,6,0
2020-05-22,19,5,0
2020-05-23,5,1,0
2020-05-24,0,1,0
2020-05-25,7,21,0
2020-05-26,14,1,2
2020-05-27,8,20,18
2020-05-28,2,5,0
2020-05-29,39,10,13
2020-05-30,4,0,0
2020-05-31,2,2,0
2020-06-01,16,33,0
2020-06-02,6,9,11
2020-06-03,7,4,0
2020-06-04,8,0,19
2020-06-05,9,3,4
2020-06-06,0,0,0
2020-06-07,0,0,0
2020-06-08,0,4,3
2020-06-09,7,2,6
2020-06-10,7,19,0
2020-06-11,5,6,3
2020-06-12,6,4,10
2020-06-13,4,8,0
2020-06-14,0,6,0
2020-06-15,4,0,6
2020-06-16,13,3,7
2020-06-17,12,6,9
2020-06-18,11,6,11
2020-06-19,15,15,8
2020-06-20,1,16,0
2020-06-21,1,3,0
2020-06-22,8,2,5
2020-06-23,14,12,6
2020-06-24,8,0,5
2020-06-25,5,0,10
2020-06-26,13,0,4
2020-06-27,0,0,4
2020-06-28,3,0,0
2020-06-29,10,23,8
2020-06-30,13,11,21
2020-07-01,5,17,8
2020-07-02,8,18,6
2020-07-03,7,19,0
2020-07-04,3,20,0
2020-07-05,0,0,0
2020-07-06,10,19,5
2020-07-07,21,0,6
2020-07-08,19,16,12
2020-07-09,7,9,11
2020-07-10,10,0,7
2020-07-11,1,9,1
2020-07-12,0,34,0
2020-07-13,8,6,3
2020-07-14,6,15,6
2020-07-15,7,15,3
2020-07-16,5,4,7
2020-07-17,6,18,18
2020-07-18,0,3,0
2020-07-19,0,13,1
2020-07-20,1,9,8
2020-07-21,7,7,4
2020-07-22,8,7,9
2020-07-23,1,6,10
2020-07-24,3,9,8
2020-07-25,0,1,2
2020-07-26,0,10,8
2020-07-27,5,13,11
2020-07-28,3,10,8
2020-07-29,3,8,7
2020-07-30,11,13,6
2020-07-31,1,10,10
2020-08-01,1,1,1
2020-08-02,0,2,0
2020-08-03,12,5,12
2020-08-04,11,2,5
2020-08-05,8,17,4
2020-08-06,4,14,6
2020-08-07,1,15,18
2020-08-08,1,0,1
2020-08-09,0,2,0
2020-08-10,2,3,8
2020-08-11,2,0,13
2020-08-12,2,12,6
2020-08-13,5,2,3
2020-08-14,3,19,13
2020-08-15,1,4,1
2020-08-16,1,2,0
2020-08-17,5,0,1
2020-08-18,11,1,2
2020-08-19,9,0,11
2020-08-20,8,0,6
2020-08-21,8,0,3
2020-08-22,5,0,0
2020-08-23,1,1,0
2020-08-24,2,16,1
2020-08-25,6,13,4
2020-08-26,6,0,11
2020-08-27,10,2,7
2020-08-28,4,0,5
2020-08-29,4,0,0
2020-08-30,0,0,0
2020-08-31,4,26,7
2020-09-01,6,6,6
2020-09-02,3,0,5
2020-09-03,4,4,7
2020-09-04,8,3,1
2020-09-05,4,12,0
2020-09-06,0,5,0
2020-09-07,0,4,1
2020-09-08,11,4,6
2020-09-09,4,17,10
2020-09-10,13,15,8
2020-09-11,12,14,12
2020-09-12,6,0,2
2020-09-13,2,0,1
2020-09-14,12,7,4
2020-09-15,10,10,4
2020-09-16,4,40,4
2020-09-17,4,18,5
2020-09-18,3,10,5
2020-09-19,3,7,2
2020-09-20,0,4,0
2020-09-21,7,7,12
2020-09-22,10,5,7
2020-09-23,11,0,2
2020-09-24,8,0,4
2020-09-25,11,2,4
2020-09-26,6,0,1
2020-09-27,2,0,0
2020-09-28,4,1,4
2020-09-29,8,7,1
2020-09-30,5,1,8
2020-10-01,11,0,7
2020-10-02,8,0,5
2020-10-03,2,0,1
2020-10-04,0,0,0
2020-10-05,11,0,4
2020-10-06,21,0,3
2020-10-07,14,0,2
