,zurb/foundation-sites,twbs/bootstrap,primer/css
2015-12-05,7,19,0
2015-12-06,2,9,0
2015-12-07,6,24,0
2015-12-08,9,78,7
2015-12-09,11,12,0
2015-12-10,17,4,0
2015-12-11,25,6,0
2015-12-12,11,5,0
2015-12-13,10,6,0
2015-12-14,18,1,0
2015-12-15,42,1,0
2015-12-16,28,2,0
2015-12-17,29,6,0
2015-12-18,28,1,0
2015-12-19,10,0,0
2015-12-20,2,3,0
2015-12-21,12,9,0
2015-12-22,21,3,0
2015-12-23,31,8,0
2015-12-24,1,26,0
2015-12-25,5,25,0
2015-12-26,1,9,0
2015-12-27,1,4,0
2015-12-28,1,0,0
2015-12-29,2,4,0
2015-12-30,5,2,0
2015-12-31,3,4,0
2016-01-01,1,5,0
2016-01-02,0,1,0
2016-01-03,0,0,0
2016-01-04,29,20,0
2016-01-05,15,4,0
2016-01-06,32,58,0
2016-01-07,9,22,0
2016-01-08,13,3,0
2016-01-09,0,13,0
2016-01-10,0,3,0
2016-01-11,7,16,0
2016-01-12,6,0,0
2016-01-13,20,7,0
2016-01-14,18,10,0
2016-01-15,19,6,0
2016-01-16,2,4,0
2016-01-17,0,16,0
2016-01-18,17,14,0
2016-01-19,33,7,2
2016-01-20,28,4,0
2016-01-21,12,11,1
2016-01-22,11,0,0
2016-01-23,9,6,0
2016-01-24,1,8,0
2016-01-25,14,5,0
2016-01-26,6,5,0
2016-01-27,2,3,0
2016-01-28,8,0,0
2016-01-29,2,1,0
2016-01-30,0,0,0
2016-01-31,0,1,0
2016-02-01,23,0,0
2016-02-02,21,0,1
2016-02-03,13,2,0
2016-02-04,21,15,0
2016-02-05,14,5,0
2016-02-06,2,61,0
2016-02-07,0,43,0
2016-02-08,8,28,0
2016-02-09,11,29,0
2016-02-10,10,0,0
2016-02-11,8,6,4
2016-02-12,4,0,1
2016-02-13,0,0,0
2016-02-14,1,5,0
2016-02-15,10,2,0
2016-02-16,16,33,9
2016-02-17,19,49,4
2016-02-18,22,6,1
2016-02-19,8,15,7
2016-02-20,1,0,0
2016-02-21,0,0,0
2016-02-22,1,0,0
2016-02-23,16,9,0
2016-02-24,24,1,0
2016-02-25,15,3,0
2016-02-26,19,2,0
2016-02-27,0,10,0
2016-02-28,3,11,0
2016-02-29,15,1,0
2016-03-01,23,1,0
2016-03-02,12,1,0
2016-03-03,7,4,0
2016-03-04,10,4,8
2016-03-05,0,2,0
2016-03-06,0,3,0
2016-03-07,2,15,0
2016-03-08,16,0,0
2016-03-09,2,0,0
2016-03-10,8,4,2
2016-03-11,12,6,1
2016-03-12,4,0,2
2016-03-13,2,1,2
2016-03-14,13,7,11
2016-03-15,4,2,0
2016-03-16,24,7,2
2016-03-17,8,1,4
2016-03-18,1,0,0
2016-03-19,1,2,1
