,getpelican/pelican,jekyll/jekyll,middleman/middleman
2011-02-28,0.0,0,-0.09907855359999997
2011-03-01,0.0,0,-0.06062284799999997
2011-03-02,0.0,1,-0.051192627199999986
2011-03-03,0.0,1,0.0
2011-03-04,0.0,0,0.0
2011-03-05,0.0,0,0.0
2011-03-06,0.0,3,0.0
2011-03-07,0.0,1,0.0
2011-03-08,2.0,3,0.0
2011-03-09,2.0,0,0.0
2011-03-10,0.0,0,0.0
2011-03-11,0.0,10,0.0
2011-03-12,0.0,2,0.0
2011-03-13,0.0,1,0.0
2011-03-14,0.0,0,0.0
2011-03-15,0.0,0,0.0
2011-03-16,0.0,0,1.0
2011-03-17,0.0,0,-0.3999999999999999
2011-03-18,0.0,0,-0.12
2011-03-19,0.0,0,-0.064
2011-03-20,0.0,0,-0.04160000000000005
2011-03-21,0.0,0,-0.029952000000000017
2011-03-22,0.0,0,-0.022963200000000007
2011-03-23,5.0,1,-0.018370559999999994
2011-03-24,0.0,0,-0.015155711999999993
2011-03-25,0.0,0,-0.012798156799999997
2011-03-26,1.0,0,0.0
2011-03-27,2.0,0,0.0
2011-03-28,0.0,0,0.0
2011-03-29,0.0,0,0.0
2011-03-30,0.0,0,0.0
2011-03-31,0.0,0,0.0
2011-04-01,0.0,0,0.0
2011-04-02,0.0,0,0.0
2011-04-03,0.0,0,0.0
2011-04-04,0.0,0,0.0
2011-04-05,0.0,0,0.0
2011-04-06,0.0,1,1.0
2011-04-07,0.0,0,-0.3999999999999999
2011-04-08,0.0,0,3.88
2011-04-09,0.0,0,-1.6639999999999997
2011-04-10,0.0,0,4.4784
2011-04-11,0.0,0,-2.2859519999999995
2011-04-12,0.0,2,-0.7893632000000002
2011-04-13,0.0,0,0.5418214399999999
2011-04-14,0.0,0,0.28499148799999985
2011-04-15,0.0,0,2.2439596032
2011-04-16,0.0,0,0.44056115200000034
2011-04-17,0.0,0,-0.40864542719999974
2011-04-18,2.0,0,0.02066944000000004
2011-04-19,3.0,0,0.11029401599999988
2011-04-20,7.0,1,1.20161024
2011-04-21,2.0,0,-1.187919872
2011-04-22,0.0,0,0.4954560511999999
2011-04-23,0.0,1,-0.7175216127999999
2011-04-24,8.0,2,-0.3431916544000001
2011-04-25,9.0,0,3.7940102144
2011-04-26,34.0,0,3.2661491712000004
2011-04-27,4.0,0,2.4253530112000004
2011-04-28,0.0,0,-2.9220727807999998
2011-04-29,0.0,1,2.8696331263999997
2011-04-30,0.0,0,-0.2629637119999999
2011-05-01,0.0,0,-1.7424109568000001
2011-05-02,0.0,1,-0.8340582400000001
2011-05-03,0.0,0,-0.5616916480000002
2011-05-04,1.0,0,-0.4218319872000001
2011-05-05,0.0,0,-0.291526144
2011-05-06,14.0,0,0.816600576
2011-05-07,8.0,0,-0.4973639679999999
2011-05-08,7.0,2,0.7984959488000001
2011-05-09,0.0,9,-0.4895963135999999
2011-05-10,4.0,0,-0.16160000000000005
2011-05-11,6.0,0,-0.09395200000000002
2011-05-12,0.0,1,0.9354368
2011-05-13,0.0,0,-0.4483225599999999
2011-05-14,4.0,1,-0.158118912
2011-05-15,2.0,0,-0.0951687168
2011-05-16,0.0,0,-0.05675571200000004
2011-05-17,0.0,0,-0.042750156800000015
2011-05-18,1.0,0,0.9770368
2011-05-19,4.0,0,1.5816294400000002
2011-05-20,0.0,0,-0.9351557119999998
2011-05-21,0.0,0,-0.3167981568
2011-05-22,1.0,0,1.8304
2011-05-23,0.0,1,0.08684800000000004
2011-05-24,0.0,0,-0.7228671999999999
2011-05-25,0.0,0,-0.31229696
2011-05-26,0.0,0,-0.19909683200000008
2011-05-27,1.0,0,-0.14461358080000006
2011-05-28,0.0,0,-0.10147471360000003
2011-05-29,0.0,0,-0.05970431999999999
2011-05-30,0.0,10,-0.048681983999999984
2011-05-31,2.0,1,2.9592479744
2011-06-01,2.0,0,1.7872018432000003
2011-06-02,0.0,0,5.44
2011-06-03,1.0,1,-3.3519999999999994
2011-06-04,2.0,0,-1.1568
2011-06-05,0.0,3,2.337344
2011-06-06,0.0,0,2.3500544
2011-06-07,0.0,0,-2.29366528
2011-06-08,0.0,0,0.06667878400000005
2011-06-09,1.0,0,0.006744473599999967
2011-06-10,0.0,0,2.0792595456
2011-06-11,1.0,0,-1.6622846975999999
2011-06-12,9.0,0,0.3874355199999999
2011-06-13,9.0,0,-0.7825013759999999
2011-06-14,0.0,0,4.6032674816
2011-06-15,0.0,0,-2.2463823871999997
2011-06-16,2.0,0,-0.7440158720000001
2011-06-17,6.0,0,-0.4330175488
2011-06-18,2.0,0,-0.28922849280000024
2011-06-19,0.0,0,-0.2065250304000001
2011-06-20,0.0,1,-0.12997171200000002
2011-06-21,2.0,0,-0.10465095679999997
2011-06-22,1.0,0,0.9242214400000001
2011-06-23,0.0,0,1.536009216
2011-06-24,0.0,0,9.08
2011-06-25,0.0,0,-4.303999999999999
2011-06-26,0.0,2,-1.3696
2011-06-27,0.0,0,3.246848
2011-06-28,0.0,4,-1.0988672
2011-06-29,4.0,1,-1.2438169600000002
2011-06-30,4.0,0,-0.657528832
2011-07-01,1.0,0,1.5427848192
2011-07-02,7.0,2,-1.1385614335999998
2011-07-03,1.0,0,-0.48978636799999997
2011-07-04,0.0,2,-0.22444544
2011-07-05,0.0,0,-0.16219340800000004
2011-07-06,0.0,2,7.8737476608
2011-07-07,0.0,2,1.7412754432000006
2011-07-08,0.0,0,-0.9967411199999994
2011-07-09,0.0,0,-1.9423114239999997
2011-07-10,0.0,2,11.0816036864
2011-07-11,0.0,0,-2.375615999999999
2011-07-12,0.0,0,-1.0566655999999996
2011-07-13,0.0,0,0.75031552
2011-07-14,1.0,0,7.609775104
2011-07-15,4.0,0,-0.18712893439999956
2011-07-16,1.0,0,-0.934916608
2011-07-17,0.0,1,-2.9396366335999997
2011-07-18,0.0,0,-1.4687626240000005
2011-07-19,2.0,0,-1.0041957376000004
2011-07-20,0.0,0,-0.6280095744000003
2011-07-21,5.0,1,2.5405589504
2011-07-22,3.0,0,-1.5506939903999997
2011-07-23,3.0,0,0.38112819200000003
2011-07-24,0.0,0,4.29854208
2011-07-25,0.0,0,-1.2831944703999998
2011-07-26,1.0,0,9.846144
2011-07-27,1.0,0,13.0495104
2011-07-28,1.0,0,-6.877063679999999
2011-07-29,3.0,0,-3.923790336
2011-07-30,0.0,0,-2.051133030400001
2011-07-31,0.0,0,-1.3362437120000008
2011-08-01,0.0,0,1.0181215231999996
2011-08-02,1.0,0,1.445535744
2011-08-03,9.0,0,6.0038925312
2011-08-04,2.0,0,-0.13832366079999936
2011-08-05,0.0,0,7.9041217536
2011-08-06,0.0,0,4.397699686400001
2011-08-07,1.0,0,-6.0445823999999995
2011-08-08,0.0,2,-1.4156467200000002
2011-08-09,0.0,0,10.113463295999999
2011-08-10,0.0,0,-5.975352729599999
2011-08-11,6.0,0,-2.2892376064000004
2011-08-12,0.0,0,1.5956837376
2011-08-13,0.0,0,-2.1307630592000004
