,angular/angular,sveltejs/svelte,facebook/react
2021-01-25,17.0,6,5
2021-01-26,8.0,3,2
2021-01-27,18.0,1,5
2021-01-28,18.0,1,1
2021-01-29,8.0,13,2
2021-01-30,0.0,1,0
2021-01-31,0.0,0,0
2021-02-01,0.0,1,3
2021-02-02,12.0,0,4
2021-02-03,11.0,0,9
2021-02-04,5.0,1,7
2021-02-05,3.0,0,3
2021-02-06,0.0,0,1
2021-02-07,0.0,0,0
2021-02-08,1.0,5,5
2021-02-09,65.0,0,5
2021-02-10,15.0,0,5
2021-02-11,21.0,2,10
2021-02-12,9.0,0,1
2021-02-13,12.0,0,0
2021-02-14,4.0,0,0
2021-02-15,0.0,3,0
2021-02-16,33.0,0,3
2021-02-17,14.0,2,2
2021-02-18,6.0,0,2
2021-02-19,25.0,0,0
2021-02-20,0.0,0,0
2021-02-21,0.0,0,0
2021-02-22,11.0,0,3
2021-02-23,14.0,0,3
2021-02-24,25.0,0,1
2021-02-25,0.0,6,3
2021-02-26,27.0,1,3
2021-02-27,0.0,1,0
2021-02-28,0.0,0,1
2021-03-01,13.0,4,1
2021-03-02,1.0,0,2
2021-03-03,20.0,0,0
2021-03-04,15.0,0,0
2021-03-05,6.0,1,1
2021-03-06,3.0,0,0
2021-03-07,2.0,0,4
2021-03-08,24.0,0,9
2021-03-09,20.0,0,1
2021-03-10,6.0,0,6
2021-03-11,9.0,0,3
2021-03-12,15.0,0,1
2021-03-13,0.0,0,2
2021-03-14,2.0,0,0
2021-03-15,12.0,0,4
2021-03-16,11.0,0,6
2021-03-17,12.0,0,4
2021-03-18,13.0,0,2
2021-03-19,9.0,0,5
2021-03-20,1.0,0,0
2021-03-21,0.0,0,0
2021-03-22,12.0,0,8
2021-03-23,17.0,4,3
2021-03-24,6.0,9,7
2021-03-25,0.0,0,8
2021-03-26,0.0,0,6
2021-03-27,0.0,0,2
2021-03-28,0.0,1,6
2021-03-29,8.0,1,1
2021-03-30,17.0,8,7
2021-03-31,1.0,3,3
2021-04-01,25.0,1,10
2021-04-02,10.0,0,0
2021-04-03,0.0,0,0
2021-04-04,0.0,0,0
2021-04-05,9.0,0,1
2021-04-06,15.0,0,4
2021-04-07,26.0,0,5
2021-04-08,4.0,1,6
2021-04-09,6.0,1,10
2021-04-10,0.0,0,1
2021-04-11,0.0,1,2
2021-04-12,21.0,3,3
2021-04-13,34.0,0,2
2021-04-14,41.0,0,12
2021-04-15,13.0,0,8
2021-04-16,17.0,1,4
2021-04-17,6.0,0,0
2021-04-18,0.0,0,0
2021-04-19,41.0,1,3
2021-04-20,18.0,0,7
2021-04-21,11.0,3,3
2021-04-22,19.0,1,3
2021-04-23,9.0,0,3
2021-04-24,1.0,1,1
2021-04-25,2.0,0,0
2021-04-26,38.0,0,3
2021-04-27,19.0,0,9
2021-04-28,17.0,0,14
2021-04-29,18.0,0,1
2021-04-30,16.0,18,1
2021-05-01,1.0,3,1
2021-05-02,0.0,0,0
2021-05-03,26.0,4,8
2021-05-04,9.0,0,6
2021-05-05,22.0,0,5
2021-05-06,21.0,0,2
2021-05-07,16.0,0,6
2021-05-08,0.0,0,1
2021-05-09,2.0,0,0
2021-05-10,24.0,0,0
2021-05-11,11.0,0,1
2021-05-12,5.0,0,3
2021-05-13,10.0,0,1
2021-05-14,9.0,0,2
2021-05-15,0.0,0,0
2021-05-16,0.0,2,0
2021-05-17,5.0,0,1
2021-05-18,21.0,1,7
2021-05-19,16.0,1,4
2021-05-20,9.0,1,7
2021-05-21,11.0,0,1
2021-05-22,0.0,0,0
2021-05-23,6.0,0,0
2021-05-24,17.0,0,1
2021-05-25,47.0,0,5
2021-05-26,25.0,2,2
2021-05-27,27.0,1,3
2021-05-28,4.0,0,0
2021-05-29,0.0,6,0
2021-05-30,0.0,2,0
2021-05-31,0.0,0,1
2021-06-01,19.0,1,4
2021-06-02,16.0,1,4
2021-06-03,29.0,0,11
2021-06-04,8.0,0,5
2021-06-05,0.0,0,2
2021-06-06,0.0,0,0
2021-06-07,16.0,0,3
2021-06-08,29.0,0,5
2021-06-09,9.0,0,1
2021-06-10,8.0,0,2
2021-06-11,2.0,0,8
2021-06-12,0.0,0,0
2021-06-13,0.0,1,0
2021-06-14,18.0,0,7
2021-06-15,1.0,3,7
2021-06-16,20.0,0,2
2021-06-17,8.0,0,2
2021-06-18,15.0,0,0
2021-06-19,0.0,2,0
2021-06-20,0.0,0,0
2021-06-21,13.0,0,0
2021-06-22,7.0,18,3
2021-06-23,2.0,0,3
2021-06-24,18.0,1,5
2021-06-25,3.0,1,2
2021-06-26,0.0,13,1
2021-06-27,0.0,8,0
2021-06-28,11.0,10,0
2021-06-29,6.0,12,1
2021-06-30,10.0,1,4
2021-07-01,4.0,1,5
2021-07-02,10.0,6,0
2021-07-03,1.0,1,0
2021-07-04,0.0,0,0
2021-07-05,0.0,2,0
2021-07-06,0.0,1,0
2021-07-07,10.0,1,5
2021-07-08,20.0,9,12
2021-07-09,12.0,1,2
2021-07-10,0.0,6,2
2021-07-11,0.0,1,0
2021-07-12,41.0,7,2
2021-07-13,5.0,1,9
2021-07-14,5.0,8,4
2021-07-15,12.0,0,3
2021-07-16,9.0,0,6
2021-07-17,0.0,2,0
2021-07-18,0.0,0,0
2021-07-19,0.0,0,3
2021-07-20,21.0,0,2
2021-07-21,8.0,23,2
2021-07-22,7.0,6,2
2021-07-23,9.0,11,0
2021-07-24,1.0,0,0
2021-07-25,0.0,0,0
2021-07-26,5.0,14,5
2021-07-27,5.0,8,5
2021-07-28,9.0,0,3
2021-07-29,1.0,0,1
2021-07-30,4.0,0,3
2021-07-31,0.0,0,0
2021-08-01,0.0,0,0
2021-08-02,19.0,1,6
2021-08-03,15.0,6,4
2021-08-04,6.0,8,2
2021-08-05,2.0,0,2
2021-08-06,2.0,0,2
2021-08-07,0.0,0,0
2021-08-08,0.0,1,1
2021-08-09,5.0,0,2
2021-08-10,15.0,0,2
2021-08-11,3.0,0,6
2021-08-12,5.0,0,3
2021-08-13,2.0,1,2
2021-08-14,0.0,0,1
2021-08-15,0.0,4,1
2021-08-16,21.0,2,4
2021-08-17,8.0,1,2
2021-08-18,7.0,0,7
2021-08-19,8.0,0,1
2021-08-20,1.0,12,6
2021-08-21,0.0,0,0
2021-08-22,0.0,0,3
2021-08-23,3.0,0,3
2021-08-24,0.0,6,5
2021-08-25,12.0,1,2
2021-08-26,14.0,0,3
2021-08-27,0.0,8,0
2021-08-28,0.0,1,1
2021-08-29,0.0,0,0
2021-08-30,3.0,0,4
2021-08-31,0.0,0,0
2021-09-01,4.0,2,5
2021-09-02,14.0,2,1
2021-09-03,0.0,0,0
2021-09-04,0.0,0,0
2021-09-05,0.0,0,0
2021-09-06,0.0,0,11
2021-09-07,11.0,0,11
2021-09-08,4.0,0,3
2021-09-09,25.0,0,6
2021-09-10,9.0,8,3
2021-09-11,0.0,0,1
2021-09-12,0.0,0,1
2021-09-13,10.0,0,2
2021-09-14,17.0,0,3
2021-09-15,20.0,5,4
2021-09-16,11.0,0,0
2021-09-17,13.0,0,6
2021-09-18,0.0,0,0
2021-09-19,1.0,0,0
2021-09-20,11.0,0,12
2021-09-21,10.0,0,13
2021-09-22,10.0,7,7
2021-09-23,29.0,0,3
2021-09-24,12.0,0,8
2021-09-25,0.0,1,0
2021-09-26,0.0,1,0
2021-09-27,13.0,0,9
2021-09-28,7.0,1,4
2021-09-29,18.0,1,4
2021-09-30,3.0,6,7
2021-10-01,85.0,2,2
2021-10-02,0.0,0,1
2021-10-03,1.0,4,0
2021-10-04,22.0,0,2
2021-10-05,13.0,0,1
2021-10-06,28.0,0,3
2021-10-07,8.0,2,1
2021-10-08,10.0,0,3
2021-10-09,1.0,0,0
2021-10-10,1.0,1,0
2021-10-11,6.0,0,2
2021-10-12,17.0,2,1
2021-10-13,11.0,0,3
2021-10-14,9.0,0,3
2021-10-15,8.0,0,6
2021-10-16,0.0,0,0
2021-10-17,0.0,3,0
2021-10-18,17.0,0,3
2021-10-19,15.0,1,6
2021-10-20,5.0,2,4
2021-10-21,10.0,1,7
2021-10-22,0.0,1,1
2021-10-23,0.0,0,0
2021-10-24,0.0,1,1
2021-10-25,10.0,1,0
2021-10-26,15.0,0,0
2021-10-27,5.0,0,3
2021-10-28,4.0,0,1
2021-10-29,45.0,0,0
2021-10-30,0.0,0,0
2021-10-31,0.0,0,3
2021-11-01,2.0,2,6
2021-11-02,3.0,3,2
2021-11-03,12.0,1,3
2021-11-04,20.0,3,4
2021-11-05,18.0,0,1
2021-11-06,0.0,1,1
2021-11-07,0.0,0,0
2021-11-08,15.0,2,3
2021-11-09,17.0,3,6
2021-11-10,25.0,0,0
2021-11-11,0.0,1,2
2021-11-12,0.0,0,2
2021-11-13,0.0,0,0
2021-11-14,0.0,1,0
2021-11-15,3.0,1,11
