,seleniumhq/selenium,puppeteer/puppeteer,gocolly/colly
2022-02-07,0,3.80725504,0
2022-02-08,0,-0.9477186559999997,0
2022-02-09,5,3.5602055168,0
2022-02-10,2,3.9402853376,0
2022-02-11,3,2.4992772095999998,0
2022-02-12,0,-1.5229194240000004,0
2022-02-13,0,-0.8010539008000005,0
2022-02-14,2,5.470149119999999,0
2022-02-15,0,4.398653952,0
2022-02-16,0,-1.0018722816000003,0
2022-02-17,0,0.8081003519999996,0
2022-02-18,2,0.8408771584000001,0
2022-02-19,4,-1.0827135999999997,0
2022-02-20,0,-0.6152662016000002,0
2022-02-21,5,1.5871308799999997,0
2022-02-22,6,2.273412608,0
2022-02-23,3,-0.02999869439999947,0
2022-02-24,3,-0.6999148544,0
2022-02-25,4,0.6337017855999999,0
2022-02-26,1,-0.4535861247999998,0
2022-02-27,0,-0.2560043008000001,0
2022-02-28,3,1.8313241599999999,0
2022-03-01,11,2.466415616,0
2022-03-02,2,-0.8705645567999998,0
2022-03-03,8,1.5917754367999999,0
2022-03-04,6,0.3594039296,0
2022-03-05,0,-0.5262597120000001,1
2022-03-06,0,-0.3059349504000002,1
2022-03-07,0,4.7896601599999995,0
2022-03-08,2,-1.1642275839999998,4
2022-03-09,5,3.4655045631999997,0
2022-03-10,2,-1.1316902912,1
2022-03-11,1,-0.5337021440000003,0
2022-03-12,1,-0.3590064128000001,0
2022-03-13,0,-0.24901335040000006,0
2022-03-14,0,-0.1867776000000001,0
2022-03-15,0,-0.15365375999999975,0
2022-03-16,0,-0.13005363199999986,0
2022-03-17,2,-0.05755084799999976,0
2022-03-18,0,0.9501225984000001,0
2022-03-19,0,-0.19999999999999996,0
2022-03-20,0,-0.08000000000000007,0
2022-03-21,1,-0.048000000000000036,0
2022-03-22,2,-0.03360000000000001,0
2022-03-23,5,-0.025536000000000014,0
2022-03-24,5,-0.02042880000000001,0
2022-03-25,5,-0.01692672000000001,0
2022-03-26,4,-0.01438771199999994,0
2022-03-27,2,-0.012469350399999964,0
2022-03-28,3,2.0,0
2022-03-29,4,-0.3999999999999999,0
2022-03-30,10,-0.16000000000000014,0
2022-03-31,0,2.904,0
2022-04-01,11,-0.6671999999999999,0
2022-04-02,1,-0.2910720000000002,0
2022-04-03,0,-0.18485760000000012,0
2022-04-04,2,-0.13465344000000004,0
2022-04-05,3,0.8946165760000001,0
2022-04-06,9,1.7137748992000001,0
2022-04-07,12,1.46921984,0
2022-04-08,7,2.348836864,0
2022-04-09,1,-0.9270080512,0
2022-04-10,1,-0.42873600000000034,0
2022-04-11,3,-0.2827008000000002,0
2022-04-12,0,-0.2096563200000001,0
2022-04-13,9,-0.165706752,0
2022-04-14,13,-0.13638461439999988,0
2022-04-15,0,-0.10449428479999984,0
2022-04-16,0,-0.06810183679999975,0
2022-04-17,1,-0.03740805119999989,0
2022-04-18,2,0.0,0
2022-04-19,1,5.0,0
2022-04-20,7,2.0,0
2022-04-21,5,-1.0000000000000002,0
2022-04-22,1,1.5199999999999996,0
2022-04-23,2,-0.7120000000000001,0
2022-04-24,0,-0.38848000000000027,2
2022-04-25,1,0.7252479999999999,0
2022-04-26,0,-0.41312000000000004,0
2022-04-27,8,1.7462092800000002,0
2022-04-28,13,2.4056325120000004,0
2022-04-29,1,0.1351385088000001,0
2022-04-30,0,-0.5903114240000001,0
2022-05-01,2,-0.33656750080000014,0
2022-05-02,7,2.78320128,0
2022-05-03,5,0.23454668800000011,0
2022-05-04,1,0.4268548095999998,0
2022-05-05,8,3.4760156159999998,0
2022-05-06,0,-0.1138285567999997,0
2022-05-07,12,-0.7300037632000002,0
2022-05-08,0,-0.40489175040000025,0
2022-05-09,15,4.72085504,0
2022-05-10,10,0.7837373440000004,0
2022-05-11,5,1.0240263168,0
2022-05-12,8,0.08500725759999983,0
2022-05-13,3,7.2890530816000005,0
2022-05-14,3,-2.0351451135999996,0
2022-05-15,1,-0.9208853504000007,0
2022-05-16,1,1.4058367999999994,0
2022-05-17,0,1.1590144000000002,0
2022-05-18,3,0.09030758400000005,0
2022-05-19,2,12.3099287552,0
2022-05-20,1,-2.0179401728,0
2022-05-21,0,-1.5338430464000006,0
2022-05-22,0,-0.9292844032000003,0
2022-05-23,7,0.4149529599999998,0
2022-05-24,19,3.351374336,0
2022-05-25,27,0.7582487552000001,0
2022-05-26,1,-1.0478025728000002,0
2022-05-27,21,-0.6020363263999995,0
2022-05-28,0,-0.43242526719999963,0
2022-05-29,1,-0.20224215040000004,0
2022-05-30,10,16.85028608,0
2022-05-31,8,13.477047808,0
2022-06-01,3,4.1361263616,0
2022-06-02,1,0.9453471743999984,0
2022-06-03,2,-2.1321387008000015,0
2022-06-04,0,-2.037312000000001,0
2022-06-05,0,-1.4038016000000009,0
2022-06-06,0,-1.0808678400000007,0
2022-06-07,2,7.122515456,0
2022-06-08,11,-2.3365905407999983,0
2022-06-09,14,1.9134692352000005,0
2022-06-10,5,6.8149105664,0
2022-06-11,0,-2.185534464,0
2022-06-12,0,-1.0007573504000007,0
2022-06-13,9,3.3517696,0
2022-06-14,3,3.7191782399999997,0
2022-06-15,1,2.2993239040000004,0
2022-06-16,2,-1.7059653632000003,0
2022-06-17,4,0.1270231039999996,0
2022-06-18,1,-0.8146537471999996,0
2022-06-19,3,-0.5235500032,0
2022-06-20,2,2.6800051199999997,0
2022-06-21,1,-0.8574996479999997,0
2022-06-22,16,2.5449411584000003,0
2022-06-23,30,7.115673600000001,0
2022-06-24,3,4.9923958784,0
2022-06-25,0,-0.2749957120000004,0
2022-06-26,0,-1.5185557504000007,0
2022-06-27,4,4.107811839999999,0
2022-06-28,2,-0.6399375359999999,0
2022-06-29,5,-0.09757061120000055,0
2022-06-30,0,-0.8926504960000002,0
2022-07-01,0,8.3921456128,0
2022-07-02,0,-2.243602227199999,0
2022-07-03,0,-0.9973408768000003,0
2022-07-04,2,-0.5875371008000003,0
2022-07-05,9,4.58830592,1
2022-07-06,10,2.676514816,4
2022-07-07,1,0.5892837375999997,0
2022-07-08,0,-0.12480983040000049,0
2022-07-09,0,-0.8494894079999997,0
2022-07-10,0,-0.5503041536,0
2022-07-11,0,0.6805119999999998,0
2022-07-12,4,-0.45102080000000005,0
2022-07-13,8,0.7139609600000002,0
2022-07-14,5,-0.4221798399999996,0
2022-07-15,4,-0.20917954559999982,0
2022-07-16,0,-0.11286241279999992,0
2022-07-17,0,-0.06649815039999998,0
2022-07-18,0,-0.04246272000000002,0
2022-07-19,0,-0.03481651199999995,0
2022-07-20,0,1.9706039296,0
2022-07-21,0,3.585612288,0
2022-07-22,2,-0.9724693503999999,0
2022-07-23,0,-0.41600000000000037,0
2022-07-24,0,-0.25920000000000015,0
2022-07-25,0,-0.18547200000000008,0
2022-07-26,1,-0.14300160000000006,0
2022-07-27,0,-0.11556864000000006,0
2022-07-28,0,-0.09648230399999992,0
2022-07-29,0,-0.08248954879999969,0
2022-07-30,0,-0.04987740159999986,0
2022-07-31,0,0.0,0
2022-08-01,5,0.0,0
2022-08-02,2,12.0,0
2022-08-03,12,1.6000000000000005,0
2022-08-04,7,0.23999999999999932,0
2022-08-05,7,-0.2960000000000007,0
2022-08-06,0,1.0447999999999995,0
2022-08-07,0,-1.0168320000000004,0
2022-08-08,1,1.3775103999999996,0
2022-08-09,5,4.13449216,0
2022-08-10,5,2.466046976000001,0
2022-08-11,2,3.3914627072000005,0
2022-08-12,3,-0.7636371456000002,0
2022-08-13,1,-1.0842518528000005,0
2022-08-14,5,-0.6641823744000003,0
2022-08-15,2,-0.47908014080000016,0
2022-08-16,4,4.643595776,1
2022-08-17,5,5.7077358592000005,0
2022-08-18,3,-1.0249599999999996,0
2022-08-19,2,-1.1387426816000001,0
2022-08-20,0,-0.6607344640000001,0
2022-08-21,7,-0.42334935040000016,0
2022-08-22,7,2.685504,0
2022-08-23,0,-0.8531712,0
2022-08-24,0,1.5491456000000001,0
2022-08-25,4,4.276012544,0
2022-08-26,5,-0.3624731647999997,0
2022-08-27,2,-0.7850773504000004,0
2022-08-28,1,-0.4484864000000003,0
2022-08-29,3,-0.31785216000000016,0
2022-08-30,6,2.754699264,0
2022-08-31,4,7.2010585088,0
2022-09-01,3,3.026162176,0
2022-09-02,8,0.10219601919999999,0
2022-09-03,4,-1.3615344640000004,0
2022-09-04,14,-0.7578773504000005,0
2022-09-05,1,2.4704255999999996,0
2022-09-06,1,1.9909094399999998,0
2022-09-07,4,1.828207104,0
2022-09-08,0,2.7379990528,0
2022-09-09,0,0.5096531968000004,0
2022-09-10,1,-1.132530176,0
2022-09-11,9,-0.6156331008000003,0
2022-09-12,4,1.5809254399999997,0
2022-09-13,14,1.2754263040000002,0
2022-09-14,0,-0.8241385471999998,0
2022-09-15,4,9.5548643328,0
2022-09-16,4,-0.29201233919999936,0
2022-09-17,0,-1.3969248256000004,0
2022-09-18,1,-0.7568683008000006,0
2022-09-19,1,6.49328896,0
2022-09-20,2,-0.7851888639999998,0
2022-09-21,2,0.9309258751999996,0
2022-09-22,1,2.9489364992,0
2022-09-23,1,1.5790694400000005,0
2022-09-24,2,-1.3818209279999998,0
2022-09-25,2,-0.6926763008000004,0
2022-09-26,12,-0.4683878400000002,0
2022-09-27,3,0.6385576960000003,0
