,akka/akka,lightbend/kalix-jvm-sdk,lagom/lagom
2020-03-21,1,0,-0.18000000000000013
2020-03-22,0,0,-0.11400000000000009
2020-03-23,5,0,-0.0826499999999997
2020-03-24,3,1,-0.06446699999999979
2020-03-25,2,0,-0.05264804999999984
2020-03-26,3,0,0.9556252150000001
2020-03-27,12,0,1.8617267479375
2020-03-28,1,0,-0.2785954101437501
2020-03-29,0,0,-0.11850000000000009
2020-03-30,12,0,2.9223375000000003
2020-03-31,3,0,0.64255825
2020-04-01,19,0,2.7196044875
2020-04-02,7,0,0.5320822787499997
2020-04-03,7,0,-0.3572432055156249
2020-04-04,0,0,-0.22704822856718732
2020-04-05,0,0,-0.16288799257187458
2020-04-06,2,0,-0.11545585124999963
2020-04-07,11,0,2.9045985772031253
2020-04-08,6,0,-0.3812079718734375
2020-04-09,3,0,-0.18319748783281248
2020-04-10,3,0,-0.12026487062343746
2020-04-11,0,0,-0.07038635253593725
2020-04-12,0,0,-0.048350249999999845
2020-04-13,3,0,-0.03948603749999988
2020-04-14,0,0,-0.0332810887499999
2020-04-15,2,0,-0.028704939046874926
2020-04-16,4,1,-0.025196557607812434
2020-04-17,1,0,0.0
2020-04-18,0,0,0.0
2020-04-19,0,0,0.0
2020-04-20,15,0,1.0
2020-04-21,0,0,-0.10000000000000009
2020-04-22,1,0,-0.04500000000000003
2020-04-23,1,0,1.9715
2020-04-24,3,0,-0.2206625000000001
2020-04-25,0,0,-0.10611675000000001
2020-04-26,0,0,-0.07016201250000001
2020-04-27,14,0,-0.05241869624999981
2020-04-28,14,0,0.9581981869843751
2020-04-29,7,1,-0.13472287753593748
2020-04-30,5,1,-0.06718739249999997
2020-05-01,0,0,-0.047636626031249976
2020-05-02,0,0,-0.03746020507187488
2020-05-03,0,0,-0.016116749999999947
2020-05-04,4,1,-0.01316201249999996
2020-05-05,11,0,-0.011093696249999967
2020-05-06,9,0,0.990431686984375
2020-05-07,9,0,-0.10839885253593756
2020-05-08,8,0,-0.04500000000000003
2020-05-09,0,0,-0.028500000000000022
2020-05-10,0,0,-0.020662499999999924
2020-05-11,4,0,-0.016116749999999947
2020-05-12,2,0,-0.01316201249999996
2020-05-13,2,0,-0.011093696249999967
2020-05-14,4,0,-0.009568313015624975
2020-05-15,1,0,-0.008398852535937478
2020-05-16,1,0,0.0
2020-05-17,0,0,0.0
2020-05-18,6,0,0.0
2020-05-19,2,1,0.0
2020-05-20,2,1,0.0
2020-05-21,0,0,0.0
2020-05-22,6,0,0.0
2020-05-23,0,0,0.0
2020-05-24,1,0,0.0
2020-05-25,4,0,1.0
2020-05-26,12,0,-0.10000000000000009
2020-05-27,9,0,-0.04500000000000003
2020-05-28,8,0,-0.028500000000000022
2020-05-29,2,0,-0.020662499999999924
2020-05-30,0,0,-0.016116749999999947
2020-05-31,0,0,-0.01316201249999996
2020-06-01,7,0,-0.011093696249999967
2020-06-02,7,0,-0.009568313015624975
2020-06-03,4,0,-0.008398852535937478
2020-06-04,8,0,0.0
2020-06-05,6,0,0.0
2020-06-06,0,0,0.0
2020-06-07,0,0,0.0
2020-06-08,5,0,0.0
2020-06-09,11,0,0.0
2020-06-10,7,0,0.0
2020-06-11,17,0,0.0
2020-06-12,2,0,0.0
2020-06-13,0,0,0.0
2020-06-14,0,0,0.0
2020-06-15,5,0,1.0
2020-06-16,4,0,-0.10000000000000009
2020-06-17,6,0,-0.04500000000000003
2020-06-18,2,0,-0.028500000000000022
2020-06-19,3,0,-0.020662499999999924
2020-06-20,0,0,-0.016116749999999947
2020-06-21,0,0,-0.01316201249999996
2020-06-22,1,0,-0.011093696249999967
2020-06-23,1,0,-0.009568313015624975
2020-06-24,1,0,-0.008398852535937478
2020-06-25,6,0,0.0
2020-06-26,3,0,0.0
2020-06-27,0,0,0.0
2020-06-28,0,0,0.0
2020-06-29,5,0,0.0
2020-06-30,1,1,0.0
2020-07-01,5,0,0.0
2020-07-02,3,0,0.0
2020-07-03,2,0,4.0
2020-07-04,0,0,-0.40000000000000036
2020-07-05,0,0,-0.18000000000000013
2020-07-06,0,0,0.8859999999999999
2020-07-07,10,0,0.8173500000000002
2020-07-08,9,0,2.790533
2020-07-09,4,0,-0.42614805000000017
2020-07-10,2,0,1.7714627150000002
2020-07-11,0,0,-0.3605525020625
2020-07-12,0,0,-0.21486167264374967
2020-07-13,7,0,-0.1296059587499998
2020-07-14,2,0,-0.10147304676562467
2020-07-15,2,0,-0.08348175430156225
2020-07-16,4,1,-0.06342781658281232
2020-07-17,2,0,2.9526160498921876
2020-07-18,0,0,-0.3191366260312502
2020-07-19,0,0,-0.15179770507187504
2020-07-20,0,0,-0.08550000000000006
2020-07-21,2,0,0.9380125000000002
2020-07-22,2,0,-0.14835024999999993
2020-07-23,0,0,0.9155139625000001
2020-07-24,2,0,-0.16178108875000002
2020-07-25,0,0,-0.09436743904687489
2020-07-26,0,0,-0.0698133076078124
2020-07-27,0,0,-0.03382451249999988
2020-07-28,1,0,-0.027210446249999916
