,jetty/jetty.project,square/okhttp,apache/httpcomponents-client
2020-04-16,9,0,0
2020-04-17,10,1,1
2020-04-18,5,4,1
2020-04-19,4,1,0
2020-04-20,2,2,0
2020-04-21,6,0,0
2020-04-22,14,1,0
2020-04-23,2,0,0
2020-04-24,6,5,1
2020-04-25,0,5,0
2020-04-26,0,2,1
2020-04-27,14,8,0
2020-04-28,14,2,0
2020-04-29,11,3,0
2020-04-30,5,1,0
2020-05-01,9,1,0
2020-05-02,0,1,0
2020-05-03,3,1,0
2020-05-04,9,0,0
2020-05-05,7,1,0
2020-05-06,1,1,0
2020-05-07,8,6,0
2020-05-08,27,1,0
2020-05-09,0,6,0
2020-05-10,0,1,0
2020-05-11,19,2,0
2020-05-12,6,1,0
2020-05-13,13,3,0
2020-05-14,9,0,0
2020-05-15,0,0,0
2020-05-16,11,1,0
2020-05-17,0,4,0
2020-05-18,1,3,0
2020-05-19,5,2,0
2020-05-20,25,4,0
2020-05-21,7,1,0
2020-05-22,1,0,0
2020-05-23,0,0,0
2020-05-24,0,0,0
