,canonical/lxd,containerd/containerd,moby/moby
2024-04-06,2,0,0.0
2024-04-07,0,1,0.0
2024-04-08,5,1,4.0
2024-04-09,13,4,2.0
2024-04-10,15,6,7.0
2024-04-11,18,3,0.0
2024-04-12,11,4,0.0
2024-04-13,0,0,1.0
2024-04-14,0,2,0.0
2024-04-15,3,1,6.0
2024-04-16,16,0,4.0
2024-04-17,11,0,0.0
2024-04-18,0,4,1.0
2024-04-19,8,2,7.0
2024-04-20,2,0,1.0
2024-04-21,0,2,0.0
2024-04-22,6,8,3.0
2024-04-23,6,12,8.0
2024-04-24,20,7,3.0
2024-04-25,6,1,2.0
2024-04-26,3,3,20.0
2024-04-27,3,2,0.0
2024-04-28,6,1,1.0
2024-04-29,31,5,2.0
2024-04-30,9,17,2.0
2024-05-01,3,5,7.0
2024-05-02,43,10,2.0
2024-05-03,31,12,2.0
2024-05-04,0,3,0.0
2024-05-05,0,0,0.0
2024-05-06,9,12,1.0
2024-05-07,2,14,4.0
2024-05-08,16,7,4.0
2024-05-09,1,2,1.0
2024-05-10,2,7,14.0
2024-05-11,2,1,0.0
2024-05-12,1,0,0.0
2024-05-13,11,8,1.0
2024-05-14,2,4,3.0
2024-05-15,1,1,0.0
2024-05-16,6,2,4.0
2024-05-17,16,5,3.0
2024-05-18,1,0,0.0
2024-05-19,0,0,0.0
2024-05-20,0,1,0.0
2024-05-21,2,2,8.0
2024-05-22,8,1,6.0
2024-05-23,21,2,7.0
2024-05-24,17,0,6.0
2024-05-25,0,2,5.0
2024-05-26,0,0,0.0
2024-05-27,7,0,8.0
2024-05-28,6,6,7.0
2024-05-29,1,6,8.0
2024-05-30,4,2,1.0
2024-05-31,11,1,1.0
2024-06-01,3,0,1.0
2024-06-02,0,0,0.0
2024-06-03,77,1,9.0
2024-06-04,32,6,9.0
2024-06-05,15,7,8.0
2024-06-06,50,1,10.0
2024-06-07,9,2,18.0
2024-06-08,3,1,14.0
2024-06-09,29,0,4.0
2024-06-10,19,1,45.0
2024-06-11,3,7,15.0
2024-06-12,38,5,7.0
2024-06-13,40,9,28.0
2024-06-14,6,11,18.0
2024-06-15,17,0,11.0
2024-06-16,0,0,23.0
2024-06-17,20,7,34.0
2024-06-18,3,5,30.0
2024-06-19,30,1,8.0
2024-06-20,3,8,15.0
2024-06-21,5,2,6.0
2024-06-22,0,0,0.0
2024-06-23,0,0,0.0
2024-06-24,4,3,0.0
2024-06-25,5,3,1.0
2024-06-26,6,7,6.0
2024-06-27,17,6,26.0
2024-06-28,18,4,11.0
2024-06-29,0,2,1.0
2024-06-30,0,0,13.0
2024-07-01,19,7,17.0
2024-07-02,13,0,47.0
2024-07-03,6,2,8.0
2024-07-04,17,1,9.0
2024-07-05,9,0,9.0
2024-07-06,0,0,0.0
2024-07-07,0,1,0.0
2024-07-08,21,3,7.0
2024-07-09,5,1,1.0
2024-07-10,8,3,4.0
2024-07-11,34,4,6.0
2024-07-12,16,2,1.0
2024-07-13,0,0,0.0
2024-07-14,1,0,0.0
2024-07-15,13,4,8.0
2024-07-16,27,7,4.0
2024-07-17,36,2,2.0
2024-07-18,16,3,10.0
2024-07-19,5,6,9.0
2024-07-20,0,0,0.0
2024-07-21,8,0,0.0
2024-07-22,20,6,7.0
2024-07-23,3,6,6.0
2024-07-24,12,0,4.0
2024-07-25,19,3,7.0
2024-07-26,33,6,15.0
2024-07-27,0,0,0.0
2024-07-28,0,0,0.0
2024-07-29,11,0,13.0
2024-07-30,11,8,4.0
2024-07-31,7,3,10.0
2024-08-01,18,0,12.0
2024-08-02,19,1,2.0
2024-08-03,2,0,0.0
2024-08-04,1,0,0.0
2024-08-05,12,5,42.0
2024-08-06,16,5,6.0
2024-08-07,7,3,7.0
2024-08-08,3,2,6.0
2024-08-09,22,6,4.0
2024-08-10,3,0,1.0
2024-08-11,0,0,0.0
2024-08-12,10,0,5.0
2024-08-13,4,6,9.0
2024-08-14,5,7,4.0
2024-08-15,9,4,2.0
2024-08-16,7,6,4.0
2024-08-17,0,0,1.0
2024-08-18,0,0,0.0
2024-08-19,10,2,6.0
2024-08-20,4,1,3.0
2024-08-21,6,0,2.0
2024-08-22,12,1,2.0
2024-08-23,51,1,6.0
2024-08-24,0,0,1.0
2024-08-25,0,1,0.0
2024-08-26,3,7,14.0
2024-08-27,31,11,29.0
2024-08-28,43,3,2.0
2024-08-29,15,4,14.0
2024-08-30,26,3,2.0
2024-08-31,1,2,0.0
2024-09-01,0,0,0.0
2024-09-02,13,3,9.0
2024-09-03,33,7,8.0
2024-09-04,90,1,3.0
2024-09-05,21,4,1.0
2024-09-06,59,2,6.0
2024-09-07,4,0,0.0
2024-09-08,0,1,0.0
2024-09-09,28,0,13.0
2024-09-10,7,4,17.0
2024-09-11,20,0,21.0
2024-09-12,27,2,9.0
2024-09-13,16,0,2.0
2024-09-14,0,0,1.0
2024-09-15,0,0,2.0
2024-09-16,78,0,18.0
2024-09-17,13,1,19.0
2024-09-18,13,1,2.0
2024-09-19,31,4,4.0
2024-09-20,2,0,3.0
2024-09-21,0,1,0.0
2024-09-22,0,0,0.0
2024-09-23,15,2,5.0
2024-09-24,5,3,2.0
2024-09-25,20,0,0.0
2024-09-26,25,4,4.0
2024-09-27,16,3,3.0
2024-09-28,0,1,0.0
2024-09-29,0,0,0.0
2024-09-30,17,6,3.0
2024-10-01,11,3,0.0
2024-10-02,5,11,0.0
2024-10-03,3,4,1.0
2024-10-04,30,0,7.0
2024-10-05,0,1,0.0
2024-10-06,0,0,0.0
2024-10-07,16,5,8.0
2024-10-08,43,4,7.0
2024-10-09,12,2,2.0
2024-10-10,33,0,19.0
2024-10-11,3,6,11.0
2024-10-12,4,2,14.0
2024-10-13,0,0,0.0
2024-10-14,17,0,4.0
2024-10-15,65,4,27.0
2024-10-16,13,12,9.0
2024-10-17,20,15,17.0
2024-10-18,39,5,9.0
2024-10-19,1,1,1.0
2024-10-20,0,0,8.0
2024-10-21,23,7,19.0
2024-10-22,20,11,13.0
2024-10-23,13,10,13.0
2024-10-24,14,7,17.0
2024-10-25,18,5,21.0
2024-10-26,0,2,5.0
2024-10-27,0,0,11.0
2024-10-28,7,9,16.0
2024-10-29,2,2,8.0
2024-10-30,5,4,11.0
2024-10-31,17,2,5.0
2024-11-01,3,8,0.0
2024-11-02,0,1,0.0
2024-11-03,1,7,0.0
2024-11-04,2,3,1.0
2024-11-05,22,17,30.0
2024-11-06,8,0,45.0
2024-11-07,5,6,20.0
2024-11-08,3,3,2.0
2024-11-09,0,0,0.0
2024-11-10,0,1,0.0
2024-11-11,23,0,9.0
2024-11-12,20,7,60.0
2024-11-13,9,2,6.0
2024-11-14,2,2,6.0
2024-11-15,13,1,12.0
2024-11-16,3,1,0.0
2024-11-17,0,2,1.0
2024-11-18,20,5,13.0
2024-11-19,46,8,26.0
2024-11-20,11,3,2.0
2024-11-21,22,0,8.0
2024-11-22,15,1,17.0
2024-11-23,0,1,0.0
2024-11-24,0,0,0.0
2024-11-25,9,4,21.0
2024-11-26,20,5,8.0
2024-11-27,31,4,11.0
2024-11-28,16,2,23.0
2024-11-29,22,2,6.0
2024-11-30,11,0,4.0
2024-12-01,2,0,0.0
2024-12-02,14,2,11.0
2024-12-03,7,2,7.0
2024-12-04,18,3,20.0
