,pytorch/pytorch,apache/mxnet,tensorflow/tensorflow
2021-04-14,58,1,79
2021-04-15,88,2,77
2021-04-16,54,0,70
2021-04-17,12,0,18
2021-04-18,6,0,9
2021-04-19,33,1,94
2021-04-20,51,2,104
2021-04-21,73,0,96
2021-04-22,56,2,95
2021-04-23,44,0,87
2021-04-24,12,0,15
2021-04-25,12,0,7
2021-04-26,38,3,61
2021-04-27,87,1,65
2021-04-28,43,0,86
2021-04-29,60,1,52
2021-04-30,56,6,75
2021-05-01,25,1,12
2021-05-02,15,0,7
2021-05-03,38,2,59
2021-05-04,46,1,71
2021-05-05,38,0,72
2021-05-06,62,0,83
2021-05-07,52,0,81
2021-05-08,14,1,31
2021-05-09,4,0,12
2021-05-10,35,0,62
2021-05-11,59,0,85
2021-05-12,73,0,89
2021-05-13,72,1,94
2021-05-14,61,1,61
2021-05-15,10,1,37
2021-05-16,2,0,12
2021-05-17,41,0,92
2021-05-18,39,1,76
2021-05-19,32,0,80
2021-05-20,40,0,76
2021-05-21,68,1,102
2021-05-22,24,0,21
2021-05-23,11,0,8
2021-05-24,24,1,53
2021-05-25,46,1,82
2021-05-26,43,0,101
2021-05-27,39,0,94
2021-05-28,16,0,39
2021-05-29,6,0,6
2021-05-30,6,0,4
2021-05-31,7,0,23
2021-06-01,30,1,53
2021-06-02,52,1,70
2021-06-03,33,0,85
2021-06-04,55,0,70
2021-06-05,22,0,12
2021-06-06,6,0,5
2021-06-07,21,0,51
2021-06-08,47,1,89
2021-06-09,48,0,100
2021-06-10,38,0,80
2021-06-11,37,0,84
2021-06-12,9,0,17
2021-06-13,5,0,6
2021-06-14,20,1,58
2021-06-15,38,1,92
2021-06-16,33,0,71
2021-06-17,54,1,97
2021-06-18,29,0,114
2021-06-19,8,0,15
2021-06-20,4,0,10
2021-06-21,28,2,79
2021-06-22,47,2,85
2021-06-23,50,0,98
2021-06-24,50,1,104
2021-06-25,46,1,71
2021-06-26,9,0,18
2021-06-27,2,0,3
2021-06-28,39,1,49
2021-06-29,34,3,78
2021-06-30,53,4,77
2021-07-01,35,0,78
2021-07-02,11,1,62
2021-07-03,7,0,9
2021-07-04,0,0,8
2021-07-05,0,0,37
2021-07-06,13,3,48
2021-07-07,54,1,71
2021-07-08,38,1,106
2021-07-09,50,0,77
2021-07-10,18,0,21
2021-07-11,10,0,11
2021-07-12,35,0,53
2021-07-13,20,2,73
2021-07-14,21,0,97
2021-07-15,25,0,93
2021-07-16,35,1,84
2021-07-17,5,0,15
2021-07-18,9,0,2
2021-07-19,27,0,57
2021-07-20,51,0,64
2021-07-21,41,0,73
2021-07-22,37,0,81
2021-07-23,35,0,72
2021-07-24,12,0,19
2021-07-25,3,0,4
2021-07-26,36,1,57
2021-07-27,46,0,79
2021-07-28,32,1,76
2021-07-29,28,0,81
2021-07-30,43,1,81
2021-07-31,7,0,36
2021-08-01,1,0,16
2021-08-02,27,1,90
2021-08-03,49,0,79
2021-08-04,28,2,77
2021-08-05,28,0,77
2021-08-06,28,0,80
2021-08-07,7,0,30
2021-08-08,0,0,11
2021-08-09,34,2,69
2021-08-10,35,0,97
2021-08-11,27,0,94
2021-08-12,19,1,79
2021-08-13,36,1,92
2021-08-14,8,2,22
2021-08-15,5,0,9
2021-08-16,29,0,52
2021-08-17,36,1,70
2021-08-18,50,1,88
2021-08-19,34,2,57
2021-08-20,34,0,57
2021-08-21,8,1,19
2021-08-22,1,0,12
2021-08-23,15,1,59
2021-08-24,45,1,75
2021-08-25,45,1,78
2021-08-26,41,1,62
2021-08-27,42,0,57
2021-08-28,9,0,19
2021-08-29,8,0,5
2021-08-30,35,0,44
2021-08-31,34,0,52
2021-09-01,44,0,53
2021-09-02,48,0,49
2021-09-03,11,0,49
2021-09-04,3,0,22
2021-09-05,6,1,14
2021-09-06,1,1,23
2021-09-07,24,0,57
2021-09-08,48,1,63
2021-09-09,37,1,88
2021-09-10,30,2,85
2021-09-11,9,0,32
2021-09-12,6,0,13
2021-09-13,29,1,84
2021-09-14,37,1,82
2021-09-15,41,0,48
2021-09-16,29,1,84
2021-09-17,56,1,81
2021-09-18,12,0,22
2021-09-19,0,0,9
2021-09-20,18,1,33
2021-09-21,34,0,74
2021-09-22,34,1,69
2021-09-23,28,2,92
2021-09-24,39,1,63
2021-09-25,10,0,18
2021-09-26,1,0,8
2021-09-27,13,0,58
2021-09-28,27,7,57
2021-09-29,32,2,64
2021-09-30,34,1,72
2021-10-01,62,0,67
2021-10-02,13,0,34
2021-10-03,4,0,8
2021-10-04,6,1,48
2021-10-05,33,1,77
2021-10-06,39,1,104
2021-10-07,35,1,72
2021-10-08,53,2,72
2021-10-09,26,1,38
2021-10-10,9,0,12
2021-10-11,27,0,70
2021-10-12,31,1,103
2021-10-13,45,2,54
2021-10-14,29,3,73
2021-10-15,38,2,181
2021-10-16,5,0,23
2021-10-17,6,1,13
2021-10-18,34,2,58
2021-10-19,54,4,89
2021-10-20,43,3,105
2021-10-21,34,1,136
2021-10-22,39,0,40
2021-10-23,10,0,9
2021-10-24,5,0,28
