,decaporg/decap-cms,TryGhost/Ghost,strapi/strapi
2018-03-25,0,0,0
2018-03-26,0,5,8
2018-03-27,5,9,19
2018-03-28,11,0,10
2018-03-29,5,0,12
2018-03-30,0,0,16
2018-03-31,0,0,5
2018-04-01,0,0,1
2018-04-02,0,11,22
2018-04-03,2,6,17
2018-04-04,3,1,10
2018-04-05,1,10,6
2018-04-06,0,10,7
2018-04-07,0,0,0
2018-04-08,0,0,3
2018-04-09,2,5,7
2018-04-10,1,8,13
2018-04-11,6,5,15
2018-04-12,7,3,19
2018-04-13,5,3,24
2018-04-14,1,1,1
2018-04-15,0,8,6
2018-04-16,5,1,13
2018-04-17,1,10,20
2018-04-18,0,6,21
2018-04-19,3,1,8
2018-04-20,3,10,26
2018-04-21,0,0,1
2018-04-22,0,0,2
2018-04-23,4,8,28
2018-04-24,4,8,37
2018-04-25,5,21,20
2018-04-26,0,4,23
2018-04-27,0,0,17
2018-04-28,0,0,1
2018-04-29,0,0,2
2018-04-30,0,10,15
2018-05-01,1,19,15
2018-05-02,1,4,24
2018-05-03,0,3,23
2018-05-04,0,2,28
2018-05-05,0,0,1
2018-05-06,0,0,3
2018-05-07,0,2,13
2018-05-08,0,10,15
2018-05-09,0,7,14
2018-05-10,0,2,5
2018-05-11,0,0,3
2018-05-12,2,0,0
2018-05-13,0,0,0
2018-05-14,3,9,30
2018-05-15,4,10,14
2018-05-16,3,4,19
2018-05-17,3,9,24
2018-05-18,4,3,19
2018-05-19,0,0,2
2018-05-20,0,0,1
2018-05-21,0,2,8
2018-05-22,0,7,15
2018-05-23,11,9,12
2018-05-24,3,2,21
2018-05-25,6,0,18
2018-05-26,0,0,2
2018-05-27,0,0,0
2018-05-28,0,6,23
2018-05-29,0,6,19
2018-05-30,0,1,14
2018-05-31,0,2,23
2018-06-01,0,5,15
2018-06-02,0,3,2
2018-06-03,0,0,3
2018-06-04,0,12,14
2018-06-05,0,5,12
2018-06-06,1,4,15
2018-06-07,2,7,18
2018-06-08,0,2,19
2018-06-09,0,0,5
2018-06-10,0,0,0
2018-06-11,1,13,23
2018-06-12,11,9,24
2018-06-13,2,5,38
2018-06-14,3,12,31
2018-06-15,1,6,11
2018-06-16,1,0,1
2018-06-17,1,1,18
2018-06-18,0,1,18
2018-06-19,0,6,26
2018-06-20,0,8,19
2018-06-21,0,6,7
2018-06-22,0,2,7
2018-06-23,0,0,6
2018-06-24,0,10,0
2018-06-25,0,6,4
2018-06-26,1,9,11
2018-06-27,0,0,6
2018-06-28,0,2,14
2018-06-29,0,0,7
2018-06-30,0,0,4
2018-07-01,0,0,19
2018-07-02,1,7,6
2018-07-03,1,4,17
2018-07-04,0,0,7
2018-07-05,0,0,9
2018-07-06,0,0,13
2018-07-07,0,0,0
2018-07-08,0,0,6
2018-07-09,0,2,7
2018-07-10,0,8,18
2018-07-11,0,1,2
2018-07-12,0,2,11
2018-07-13,0,0,19
2018-07-14,0,0,0
2018-07-15,0,0,4
2018-07-16,0,0,20
2018-07-17,0,4,16
2018-07-18,0,9,7
2018-07-19,0,0,7
2018-07-20,0,6,18
2018-07-21,3,0,0
2018-07-22,0,0,1
2018-07-23,0,7,28
2018-07-24,3,8,18
2018-07-25,4,9,7
2018-07-26,39,2,26
2018-07-27,13,0,9
2018-07-28,9,0,3
2018-07-29,0,0,14
2018-07-30,1,4,10
2018-07-31,8,5,39
2018-08-01,7,4,23
2018-08-02,1,3,12
2018-08-03,1,2,5
2018-08-04,0,0,0
2018-08-05,1,0,1
2018-08-06,2,0,13
2018-08-07,11,0,11
2018-08-08,1,14,37
2018-08-09,0,2,12
2018-08-10,1,7,7
2018-08-11,1,4,0
2018-08-12,0,3,1
2018-08-13,1,7,1
2018-08-14,3,10,5
2018-08-15,2,7,0
2018-08-16,1,56,5
2018-08-17,0,0,2
2018-08-18,0,0,0
2018-08-19,0,0,0
2018-08-20,7,5,19
2018-08-21,0,4,56
2018-08-22,2,9,3
2018-08-23,5,2,15
2018-08-24,3,0,1
2018-08-25,0,0,4
2018-08-26,0,0,2
2018-08-27,10,4,31
2018-08-28,7,0,21
2018-08-29,0,0,23
2018-08-30,3,10,12
2018-08-31,2,11,10
2018-09-01,0,0,5
2018-09-02,0,0,1
2018-09-03,0,0,5
2018-09-04,4,0,13
2018-09-05,3,1,3
2018-09-06,16,5,15
2018-09-07,6,0,17
2018-09-08,0,0,0
2018-09-09,1,0,10
2018-09-10,0,8,13
2018-09-11,0,5,1
2018-09-12,0,0,7
2018-09-13,1,0,17
2018-09-14,0,0,7
2018-09-15,0,1,1
2018-09-16,0,0,5
2018-09-17,5,11,7
2018-09-18,1,6,24
2018-09-19,0,0,9
2018-09-20,0,6,4
2018-09-21,0,10,7
2018-09-22,0,0,1
2018-09-23,0,0,2
2018-09-24,0,6,13
2018-09-25,8,10,14
2018-09-26,0,3,8
2018-09-27,0,6,15
2018-09-28,0,1,22
2018-09-29,1,0,6
2018-09-30,0,1,3
2018-10-01,3,4,6
2018-10-02,3,12,6
2018-10-03,1,6,15
2018-10-04,1,17,21
2018-10-05,0,16,4
2018-10-06,0,9,4
2018-10-07,0,2,10
2018-10-08,0,3,25
2018-10-09,2,8,19
2018-10-10,1,5,8
2018-10-11,0,5,5
2018-10-12,0,29,2
2018-10-13,0,0,5
2018-10-14,0,1,0
2018-10-15,0,5,3
2018-10-16,2,14,0
2018-10-17,0,10,17
2018-10-18,0,25,12
2018-10-19,0,6,13
2018-10-20,0,0,0
2018-10-21,0,0,1
2018-10-22,0,4,11
2018-10-23,1,4,7
2018-10-24,5,3,5
2018-10-25,0,1,11
2018-10-26,5,1,15
2018-10-27,0,2,6
2018-10-28,0,1,27
2018-10-29,0,2,7
2018-10-30,0,8,8
2018-10-31,0,0,8
2018-11-01,2,0,19
2018-11-02,13,1,4
2018-11-03,0,0,4
2018-11-04,0,0,2
2018-11-05,3,3,15
2018-11-06,1,8,4
2018-11-07,1,8,6
2018-11-08,1,10,15
2018-11-09,1,2,8
2018-11-10,0,0,8
2018-11-11,0,0,1
2018-11-12,7,6,7
2018-11-13,0,13,6
2018-11-14,1,8,2
2018-11-15,0,4,16
2018-11-16,1,0,13
2018-11-17,1,0,7
2018-11-18,1,0,10
2018-11-19,0,1,8
2018-11-20,1,6,21
2018-11-21,2,0,14
2018-11-22,6,1,18
2018-11-23,1,1,10
2018-11-24,0,0,0
2018-11-25,0,0,0
2018-11-26,5,8,6
2018-11-27,3,3,19
2018-11-28,0,0,15
2018-11-29,12,2,13
2018-11-30,1,0,3
2018-12-01,0,0,1
2018-12-02,0,0,0
2018-12-03,0,8,2
2018-12-04,3,13,6
2018-12-05,2,5,3
2018-12-06,0,2,18
2018-12-07,3,3,6
2018-12-08,0,0,0
2018-12-09,0,1,3
2018-12-10,0,9,10
2018-12-11,8,18,7
2018-12-12,0,1,12
2018-12-13,0,7,6
2018-12-14,1,7,17
2018-12-15,0,0,2
2018-12-16,0,0,1
2018-12-17,1,12,10
2018-12-18,0,0,15
2018-12-19,2,0,4
2018-12-20,0,4,1
2018-12-21,0,0,4
2018-12-22,0,0,1
2018-12-23,0,0,9
2018-12-24,0,0,1
2018-12-25,0,0,2
2018-12-26,0,0,6
2018-12-27,6,0,0
2018-12-28,0,0,7
2018-12-29,0,0,2
2018-12-30,0,0,0
2018-12-31,0,0,2
2019-01-01,0,5,0
2019-01-02,0,4,6
2019-01-03,0,5,15
2019-01-04,0,15,13
2019-01-05,0,2,4
2019-01-06,0,0,16
2019-01-07,0,6,1
2019-01-08,0,11,7
2019-01-09,0,4,9
2019-01-10,3,2,16
2019-01-11,0,2,20
2019-01-12,0,0,2
2019-01-13,0,0,1
2019-01-14,0,10,6
2019-01-15,0,18,15
2019-01-16,0,4,10
2019-01-17,0,4,6
2019-01-18,0,15,2
2019-01-19,0,0,0
2019-01-20,0,0,3
2019-01-21,0,27,7
2019-01-22,0,26,26
2019-01-23,0,5,26
2019-01-24,0,7,14
2019-01-25,0,2,4
2019-01-26,0,0,2
2019-01-27,0,1,3
2019-01-28,4,18,13
2019-01-29,0,19,6
2019-01-30,0,8,27
2019-01-31,0,19,25
2019-02-01,1,2,5
2019-02-02,3,0,4
2019-02-03,7,2,7
2019-02-04,0,4,12
2019-02-05,5,7,12
2019-02-06,1,14,21
2019-02-07,0,23,11
2019-02-08,9,4,6
2019-02-09,2,0,4
2019-02-10,0,0,2
2019-02-11,2,21,20
2019-02-12,8,8,9
2019-02-13,3,12,5
2019-02-14,0,8,7
2019-02-15,1,12,9
2019-02-16,0,0,4
2019-02-17,0,0,5
2019-02-18,1,4,8
2019-02-19,3,0,15
2019-02-20,1,0,8
2019-02-21,0,9,7
2019-02-22,1,20,20
2019-02-23,0,21,0
2019-02-24,0,8,0
2019-02-25,1,29,10
2019-02-26,4,34,9
2019-02-27,1,7,9
2019-02-28,4,0,15
2019-03-01,1,0,7
