,NethermindEth/nethermind,hyperledger/besu,ethereum/go-ethereum
2024-02-09,8,2,6
2024-02-10,1,0,0
2024-02-11,6,0,0
2024-02-12,5,1,0
2024-02-13,6,2,3
2024-02-14,3,2,2
2024-02-15,3,4,9
2024-02-16,4,6,2
2024-02-17,3,0,1
2024-02-18,0,1,0
2024-02-19,2,3,4
2024-02-20,1,1,3
2024-02-21,1,4,5
2024-02-22,3,3,2
2024-02-23,7,0,1
2024-02-24,0,0,0
2024-02-25,1,0,0
2024-02-26,3,4,8
2024-02-27,2,5,4
2024-02-28,2,2,6
2024-02-29,4,3,5
2024-03-01,0,1,0
2024-03-02,0,1,2
2024-03-03,0,1,0
2024-03-04,0,3,9
2024-03-05,5,7,12
2024-03-06,2,1,8
2024-03-07,0,3,3
2024-03-08,2,2,2
2024-03-09,1,0,0
2024-03-10,0,0,1
2024-03-11,0,0,4
2024-03-12,2,7,6
2024-03-13,1,7,7
2024-03-14,3,3,2
2024-03-15,1,5,4
2024-03-16,0,2,0
2024-03-17,0,0,0
2024-03-18,0,5,2
2024-03-19,0,4,5
2024-03-20,5,1,11
2024-03-21,5,7,1
2024-03-22,1,5,5
2024-03-23,1,1,0
2024-03-24,0,0,1
2024-03-25,0,1,5
2024-03-26,0,9,6
2024-03-27,2,4,4
2024-03-28,6,3,6
2024-03-29,7,8,0
2024-03-30,0,2,0
2024-03-31,0,0,0
2024-04-01,2,1,3
2024-04-02,2,7,9
2024-04-03,2,11,1
2024-04-04,3,2,11
2024-04-05,0,3,2
2024-04-06,0,1,5
2024-04-07,0,0,0
2024-04-08,4,5,6
2024-04-09,2,9,7
2024-04-10,0,5,1
2024-04-11,1,2,2
2024-04-12,1,4,0
2024-04-13,0,0,0
2024-04-14,0,1,0
2024-04-15,4,3,5
2024-04-16,3,6,10
2024-04-17,0,3,4
2024-04-18,2,0,3
2024-04-19,1,1,3
2024-04-20,0,0,0
2024-04-21,0,0,2
2024-04-22,2,3,6
2024-04-23,0,4,6
2024-04-24,0,1,10
2024-04-25,1,0,7
2024-04-26,5,1,2
2024-04-27,1,0,0
2024-04-28,2,0,1
2024-04-29,2,0,1
2024-04-30,2,4,13
2024-05-01,0,8,0
2024-05-02,4,9,5
2024-05-03,5,8,0
2024-05-04,2,2,0
2024-05-05,1,0,0
2024-05-06,1,4,4
2024-05-07,5,9,4
2024-05-08,3,9,10
2024-05-09,2,1,4
2024-05-10,2,3,4
2024-05-11,0,0,0
2024-05-12,0,2,0
2024-05-13,3,1,2
2024-05-14,4,5,3
2024-05-15,5,3,1
2024-05-16,7,4,1
2024-05-17,2,2,0
2024-05-18,1,0,0
2024-05-19,0,1,0
2024-05-20,9,1,0
2024-05-21,8,1,2
2024-05-22,3,3,0
2024-05-23,3,2,7
2024-05-24,2,0,3
2024-05-25,0,0,0
2024-05-26,0,0,1
2024-05-27,5,2,4
2024-05-28,6,2,10
2024-05-29,10,2,11
2024-05-30,1,3,3
2024-05-31,5,3,3
2024-06-01,0,0,0
2024-06-02,2,0,0
2024-06-03,5,0,6
2024-06-04,3,3,4
2024-06-05,2,4,5
2024-06-06,5,4,6
2024-06-07,3,3,2
2024-06-08,2,1,2
2024-06-09,3,0,2
2024-06-10,7,0,2
2024-06-11,3,8,6
2024-06-12,3,7,4
2024-06-13,3,8,0
2024-06-14,2,3,1
2024-06-15,2,0,0
2024-06-16,0,1,0
2024-06-17,1,0,6
2024-06-18,0,1,1
2024-06-19,2,1,4
2024-06-20,5,2,2
2024-06-21,3,2,3
2024-06-22,0,0,0
2024-06-23,0,0,0
2024-06-24,2,6,0
2024-06-25,6,3,7
2024-06-26,1,2,0
2024-06-27,3,4,2
2024-06-28,0,6,5
2024-06-29,1,0,0
2024-06-30,0,0,0
2024-07-01,0,4,3
2024-07-02,1,1,4
2024-07-03,0,2,1
2024-07-04,2,2,0
2024-07-05,1,1,0
2024-07-06,0,0,0
2024-07-07,0,0,0
2024-07-08,1,0,0
2024-07-09,1,0,3
2024-07-10,2,5,0
2024-07-11,1,0,4
2024-07-12,0,5,0
2024-07-13,0,0,0
2024-07-14,0,1,0
2024-07-15,0,4,7
2024-07-16,1,6,5
2024-07-17,3,4,0
2024-07-18,1,5,2
2024-07-19,2,1,0
2024-07-20,0,0,0
2024-07-21,0,1,0
2024-07-22,0,1,4
2024-07-23,2,1,6
2024-07-24,2,2,3
2024-07-25,1,4,0
2024-07-26,1,2,1
2024-07-27,0,0,1
2024-07-28,0,2,0
2024-07-29,0,3,0
2024-07-30,1,4,1
2024-07-31,4,6,1
2024-08-01,0,5,4
2024-08-02,2,6,3
2024-08-03,0,0,0
2024-08-04,0,0,0
2024-08-05,1,1,1
2024-08-06,1,1,4
2024-08-07,1,1,0
2024-08-08,1,1,6
2024-08-09,1,0,1
2024-08-10,0,0,1
2024-08-11,0,0,0
2024-08-12,1,8,6
2024-08-13,0,7,1
2024-08-14,4,7,1
2024-08-15,0,3,6
2024-08-16,2,9,3
2024-08-17,0,1,0
2024-08-18,1,0,0
2024-08-19,0,6,4
2024-08-20,2,7,10
2024-08-21,4,4,3
2024-08-22,1,0,1
2024-08-23,2,4,6
2024-08-24,7,0,0
2024-08-25,0,0,0
2024-08-26,5,3,4
2024-08-27,1,3,2
2024-08-28,0,5,2
2024-08-29,1,3,1
2024-08-30,0,6,1
2024-08-31,0,0,0
2024-09-01,0,2,0
2024-09-02,4,5,2
2024-09-03,6,5,1
2024-09-04,4,3,5
2024-09-05,0,6,2
2024-09-06,0,2,5
2024-09-07,0,0,0
2024-09-08,0,0,0
2024-09-09,1,2,0
2024-09-10,3,6,1
2024-09-11,6,2,1
2024-09-12,0,2,1
2024-09-13,3,2,4
2024-09-14,1,0,2
2024-09-15,0,0,1
2024-09-16,5,3,4
2024-09-17,1,0,1
2024-09-18,4,6,3
2024-09-19,1,2,4
2024-09-20,3,10,2
2024-09-21,2,2,0
2024-09-22,2,0,1
2024-09-23,5,2,4
2024-09-24,1,5,4
2024-09-25,5,1,0
2024-09-26,3,1,3
2024-09-27,5,1,6
2024-09-28,1,0,0
2024-09-29,1,2,0
2024-09-30,8,6,5
2024-10-01,1,6,6
2024-10-02,1,5,2
2024-10-03,2,3,0
2024-10-04,5,5,1
2024-10-05,2,0,0
2024-10-06,0,0,0
2024-10-07,7,4,0
2024-10-08,0,0,1
2024-10-09,9,4,2
2024-10-10,4,3,3
2024-10-11,3,4,1
2024-10-12,0,0,1
2024-10-13,3,0,2
2024-10-14,3,3,3
2024-10-15,1,8,5
2024-10-16,6,0,2
2024-10-17,2,2,4
2024-10-18,2,3,4
2024-10-19,1,0,0
2024-10-20,1,0,7
2024-10-21,4,3,2
2024-10-22,3,4,0
2024-10-23,3,2,5
2024-10-24,12,5,2
2024-10-25,1,1,2
2024-10-26,3,0,0
2024-10-27,2,1,0
2024-10-28,11,2,2
2024-10-29,6,3,4
2024-10-30,4,4,2
2024-10-31,6,5,5
2024-11-01,3,0,1
2024-11-02,2,0,0
2024-11-03,0,2,1
2024-11-04,4,4,6
2024-11-05,12,2,2
2024-11-06,7,3,1
2024-11-07,1,0,1
2024-11-08,1,6,9
