,microsoft/vscode,atom/atom,adobe/brackets
2020-03-10,55,1,3
2020-03-11,41,5,0
2020-03-12,58,0,5
2020-03-13,54,0,4
2020-03-14,9,0,0
2020-03-15,5,0,0
2020-03-16,43,1,1
2020-03-17,54,0,3
2020-03-18,58,0,3
2020-03-19,54,0,8
2020-03-20,36,0,4
2020-03-21,8,1,0
2020-03-22,3,0,0
2020-03-23,53,1,7
2020-03-24,72,0,2
2020-03-25,74,0,0
2020-03-26,89,3,0
2020-03-27,113,0,2
2020-03-28,21,2,0
2020-03-29,20,0,0
2020-03-30,84,0,0
2020-03-31,48,1,0
2020-04-01,74,0,0
2020-04-02,43,1,0
2020-04-03,57,1,0
2020-04-04,5,0,0
2020-04-05,14,0,0
2020-04-06,72,0,0
2020-04-07,76,0,0
2020-04-08,58,0,0
2020-04-09,82,0,0
2020-04-10,34,0,0
2020-04-11,21,0,0
2020-04-12,21,0,0
2020-04-13,45,1,0
2020-04-14,76,0,0
2020-04-15,62,1,0
2020-04-16,91,0,0
2020-04-17,105,0,0
2020-04-18,21,0,0
2020-04-19,36,0,0
2020-04-20,74,0,0
2020-04-21,85,0,0
2020-04-22,98,0,0
2020-04-23,70,0,0
2020-04-24,83,0,0
2020-04-25,7,1,0
2020-04-26,9,0,0
2020-04-27,107,0,0
2020-04-28,39,0,0
2020-04-29,72,0,0
2020-04-30,41,0,0
2020-05-01,17,0,0
2020-05-02,5,0,0
2020-05-03,7,0,0
2020-05-04,70,0,0
2020-05-05,69,0,0
2020-05-06,78,1,0
2020-05-07,75,2,0
2020-05-08,46,0,0
2020-05-09,8,0,0
2020-05-10,5,0,0
2020-05-11,68,0,0
2020-05-12,89,3,0
2020-05-13,81,1,0
2020-05-14,72,0,0
2020-05-15,78,2,0
2020-05-16,8,0,0
2020-05-17,10,0,0
2020-05-18,52,2,0
2020-05-19,44,18,0
2020-05-20,81,12,0
2020-05-21,12,0,0
2020-05-22,15,0,0
2020-05-23,12,2,0
2020-05-24,3,0,0
2020-05-25,43,0,0
2020-05-26,68,0,0
2020-05-27,80,8,0
2020-05-28,29,7,0
2020-05-29,54,1,0
2020-05-30,3,8,0
2020-05-31,13,1,0
2020-06-01,73,0,0
2020-06-02,32,2,0
2020-06-03,94,9,0
2020-06-04,53,1,0
2020-06-05,44,1,0
2020-06-06,5,5,0
2020-06-07,8,2,0
2020-06-08,75,2,0
2020-06-09,69,0,0
2020-06-10,58,1,0
2020-06-11,81,1,0
2020-06-12,81,8,0
2020-06-13,10,0,0
2020-06-14,6,0,0
2020-06-15,71,4,0
2020-06-16,78,3,0
2020-06-17,73,2,0
2020-06-18,58,3,0
2020-06-19,37,1,0
2020-06-20,11,0,0
2020-06-21,16,1,0
2020-06-22,73,2,0
2020-06-23,81,4,0
2020-06-24,71,7,0
2020-06-25,68,0,0
2020-06-26,61,4,0
2020-06-27,0,0,0
2020-06-28,12,0,0
2020-06-29,71,2,0
2020-06-30,37,0,0
2020-07-01,74,1,0
2020-07-02,38,0,0
2020-07-03,17,5,0
2020-07-04,6,0,0
2020-07-05,1,0,0
2020-07-06,42,1,0
2020-07-07,50,1,0
2020-07-08,49,2,0
2020-07-09,45,0,0
2020-07-10,40,8,0
2020-07-11,9,0,0
2020-07-12,7,0,0
2020-07-13,59,0,0
2020-07-14,43,0,0
2020-07-15,31,0,0
2020-07-16,57,6,0
2020-07-17,50,0,0
2020-07-18,10,0,0
2020-07-19,0,0,0
2020-07-20,46,0,0
2020-07-21,60,2,0
2020-07-22,79,2,0
2020-07-23,49,0,0
2020-07-24,31,0,0
2020-07-25,5,0,0
2020-07-26,5,0,0
2020-07-27,33,0,0
2020-07-28,37,0,0
2020-07-29,40,0,0
2020-07-30,37,0,0
2020-07-31,33,0,0
2020-08-01,3,0,0
2020-08-02,1,0,0
2020-08-03,54,0,0
2020-08-04,20,0,0
2020-08-05,71,0,0
2020-08-06,37,0,0
2020-08-07,17,1,0
2020-08-08,8,0,0
2020-08-09,8,0,0
2020-08-10,52,0,0
2020-08-11,58,1,0
2020-08-12,69,1,0
2020-08-13,55,0,0
2020-08-14,19,2,0
2020-08-15,4,1,0
2020-08-16,5,0,0
2020-08-17,30,1,0
2020-08-18,42,0,0
2020-08-19,46,3,0
2020-08-20,39,3,0
2020-08-21,53,4,0
2020-08-22,2,0,0
2020-08-23,1,0,0
2020-08-24,42,2,0
2020-08-25,43,2,0
2020-08-26,59,1,0
2020-08-27,55,2,0
2020-08-28,56,3,0
2020-08-29,7,9,0
2020-08-30,16,0,0
2020-08-31,77,0,0
2020-09-01,43,0,0
2020-09-02,60,0,0
2020-09-03,41,1,0
2020-09-04,37,4,0
2020-09-05,12,12,0
2020-09-06,5,6,0
2020-09-07,49,3,0
2020-09-08,80,1,0
2020-09-09,87,6,0
2020-09-10,63,9,0
2020-09-11,40,30,0
2020-09-12,3,0,0
2020-09-13,1,0,0
2020-09-14,39,25,0
2020-09-15,40,3,0
2020-09-16,88,14,0
2020-09-17,55,31,0
2020-09-18,55,13,0
2020-09-19,10,0,0
2020-09-20,1,0,0
2020-09-21,38,0,0
2020-09-22,47,6,0
2020-09-23,42,12,0
2020-09-24,37,7,0
2020-09-25,42,2,0
2020-09-26,1,1,0
2020-09-27,12,4,0
2020-09-28,65,3,0
2020-09-29,21,6,0
2020-09-30,57,4,0
2020-10-01,47,6,0
2020-10-02,14,3,0
2020-10-03,19,0,0
2020-10-04,2,1,0
2020-10-05,50,4,0
2020-10-06,37,6,0
2020-10-07,34,4,0
2020-10-08,26,5,0
2020-10-09,40,3,0
2020-10-10,6,1,0
2020-10-11,5,1,0
2020-10-12,28,2,0
2020-10-13,33,5,0
2020-10-14,43,5,0
2020-10-15,27,1,0
2020-10-16,29,1,0
2020-10-17,8,1,0
2020-10-18,1,0,0
2020-10-19,33,4,0
2020-10-20,55,8,0
2020-10-21,41,1,0
2020-10-22,58,3,0
2020-10-23,61,5,0
2020-10-24,6,2,0
2020-10-25,15,1,0
2020-10-26,80,2,0
2020-10-27,49,1,0
2020-10-28,78,0,0
2020-10-29,33,3,0
2020-10-30,28,4,0
2020-10-31,1,2,0
2020-11-01,0,0,0
2020-11-02,61,2,0
2020-11-03,59,2,0
2020-11-04,85,1,0
2020-11-05,73,0,0
2020-11-06,49,7,0
2020-11-07,4,1,0
2020-11-08,3,0,0
2020-11-09,86,0,0
2020-11-10,93,0,0
2020-11-11,79,0,0
2020-11-12,58,0,0
2020-11-13,63,0,0
2020-11-14,0,0,0
2020-11-15,7,0,0
2020-11-16,50,0,0
2020-11-17,52,0,0
2020-11-18,72,5,0
2020-11-19,45,0,0
2020-11-20,60,0,0
2020-11-21,4,0,0
2020-11-22,7,0,0
2020-11-23,44,0,0
2020-11-24,76,1,0
2020-11-25,79,0,0
2020-11-26,62,2,0
2020-11-27,51,0,0
2020-11-28,6,0,0
2020-11-29,0,0,0
2020-11-30,43,0,0
2020-12-01,45,0,0
2020-12-02,68,0,0
2020-12-03,36,0,0
2020-12-04,31,0,0
2020-12-05,5,0,0
2020-12-06,3,0,0
2020-12-07,22,1,0
2020-12-08,38,1,0
2020-12-09,44,1,0
2020-12-10,49,3,0
2020-12-11,96,1,0
2020-12-12,2,0,0
2020-12-13,4,0,0
2020-12-14,94,0,0
2020-12-15,86,0,0
2020-12-16,85,0,0
2020-12-17,83,0,0
2020-12-18,102,0,0
2020-12-19,5,0,0
2020-12-20,0,0,0
2020-12-21,34,0,0
2020-12-22,46,0,0
2020-12-23,33,0,0
2020-12-24,31,0,0
2020-12-25,7,0,0
2020-12-26,1,0,0
2020-12-27,0,0,0
2020-12-28,18,0,0
2020-12-29,24,0,0
2020-12-30,15,0,0
2020-12-31,13,0,0
2021-01-01,0,0,0
2021-01-02,2,0,0
2021-01-03,1,0,0
2021-01-04,40,1,0
2021-01-05,79,0,0
2021-01-06,67,1,0
2021-01-07,64,1,0
2021-01-08,55,0,0
2021-01-09,5,0,0
2021-01-10,1,0,0
2021-01-11,68,0,0
2021-01-12,64,2,0
2021-01-13,79,0,0
2021-01-14,58,0,0
2021-01-15,79,1,0
2021-01-16,8,0,0
2021-01-17,0,0,0
2021-01-18,61,2,0
2021-01-19,63,3,0
2021-01-20,55,2,0
2021-01-21,94,3,0
2021-01-22,73,1,0
2021-01-23,4,0,0
2021-01-24,5,0,0
2021-01-25,63,3,0
2021-01-26,41,2,0
2021-01-27,64,2,0
2021-01-28,73,2,0
2021-01-29,13,4,0
2021-01-30,4,0,0
2021-01-31,0,0,0
2021-02-01,72,2,0
2021-02-02,89,1,0
2021-02-03,82,0,0
2021-02-04,101,3,0
2021-02-05,79,0,0
2021-02-06,6,0,0
2021-02-07,2,0,0
2021-02-08,51,1,0
2021-02-09,95,2,0
2021-02-10,77,0,0
2021-02-11,105,0,0
2021-02-12,92,0,0
2021-02-13,11,0,0
2021-02-14,5,0,0
2021-02-15,53,2,0
2021-02-16,64,0,0
2021-02-17,75,0,0
2021-02-18,114,0,0
2021-02-19,99,1,0
2021-02-20,13,0,0
2021-02-21,0,0,0
2021-02-22,108,0,0
2021-02-23,56,1,0
2021-02-24,80,0,0
2021-02-25,54,0,0
2021-02-26,37,0,0
2021-02-27,9,0,0
2021-02-28,1,0,0
2021-03-01,55,2,1
2021-03-02,70,1,0
2021-03-03,44,1,0
2021-03-04,82,0,0
2021-03-05,109,2,0
2021-03-06,27,1,0
2021-03-07,3,1,0
2021-03-08,57,1,0
2021-03-09,91,1,0
2021-03-10,55,1,0
2021-03-11,41,0,0
2021-03-12,57,0,0
2021-03-13,4,1,0
2021-03-14,0,0,0
2021-03-15,46,0,0
2021-03-16,75,0,0
2021-03-17,44,1,0
2021-03-18,48,0,1
2021-03-19,107,2,0
2021-03-20,17,0,0
2021-03-21,3,2,0
2021-03-22,68,0,0
2021-03-23,53,1,0
2021-03-24,98,0,0
2021-03-25,58,2,0
2021-03-26,44,1,0
2021-03-27,8,0,0
2021-03-28,5,0,0
2021-03-29,123,1,0
2021-03-30,69,8,0
2021-03-31,76,1,0
2021-04-01,81,0,0
2021-04-02,39,0,0
2021-04-03,3,2,0
2021-04-04,2,0,0
2021-04-05,59,1,0
2021-04-06,93,11,0
2021-04-07,68,2,0
2021-04-08,84,4,0
2021-04-09,97,3,0
2021-04-10,14,0,0
2021-04-11,3,0,0
2021-04-12,79,0,0
2021-04-13,75,0,0
2021-04-14,97,0,0
2021-04-15,109,1,0
2021-04-16,122,1,0
2021-04-17,10,0,0
2021-04-18,6,0,0
2021-04-19,71,0,0
2021-04-20,108,0,0
2021-04-21,122,0,0
2021-04-22,113,0,0
2021-04-23,90,0,0
2021-04-24,18,0,0
2021-04-25,1,0,0
2021-04-26,89,1,0
2021-04-27,69,0,0
2021-04-28,80,2,0
2021-04-29,50,2,0
2021-04-30,33,1,0
2021-05-01,6,0,0
2021-05-02,7,0,0
2021-05-03,66,0,0
2021-05-04,108,0,0
2021-05-05,72,2,0
2021-05-06,99,2,0
2021-05-07,101,3,0
2021-05-08,10,1,0
2021-05-09,2,0,0
2021-05-10,56,7,0
2021-05-11,65,4,0
2021-05-12,97,7,0
2021-05-13,63,3,0
2021-05-14,56,1,0
2021-05-15,2,11,0
2021-05-16,0,1,0
2021-05-17,44,6,0
2021-05-18,64,9,0
2021-05-19,127,6,0
2021-05-20,71,4,0
2021-05-21,104,14,0
2021-05-22,7,0,0
2021-05-23,1,0,0
2021-05-24,42,6,0
2021-05-25,88,1,0
2021-05-26,100,0,0
2021-05-27,74,2,0
2021-05-28,76,2,0
2021-05-29,14,0,0
2021-05-30,6,0,0
2021-05-31,55,2,0
2021-06-01,57,0,0
2021-06-02,99,4,0
2021-06-03,70,4,0
2021-06-04,79,6,0
2021-06-05,6,0,0
2021-06-06,5,0,0
2021-06-07,82,5,0
2021-06-08,79,0,0
2021-06-09,95,0,0
2021-06-10,68,0,0
2021-06-11,80,2,0
2021-06-12,3,1,0
2021-06-13,1,1,0
2021-06-14,34,0,0
2021-06-15,108,0,0
2021-06-16,85,0,0
2021-06-17,48,2,0
2021-06-18,105,0,0
2021-06-19,9,1,0
2021-06-20,1,0,0
2021-06-21,69,2,0
2021-06-22,45,0,0
2021-06-23,79,0,0
2021-06-24,74,6,0
2021-06-25,72,1,0
2021-06-26,6,0,0
2021-06-27,8,1,0
2021-06-28,82,0,0
2021-06-29,42,0,0
2021-06-30,73,0,0
2021-07-01,78,1,0
2021-07-02,43,7,0
2021-07-03,0,7,0
2021-07-04,5,0,0
2021-07-05,31,1,0
2021-07-06,35,3,0
2021-07-07,105,0,0
2021-07-08,68,1,0
2021-07-09,49,1,0
2021-07-10,5,0,0
2021-07-11,0,3,0
2021-07-12,31,0,0
2021-07-13,47,0,0
2021-07-14,61,2,0
2021-07-15,72,2,0
2021-07-16,84,7,0
2021-07-17,7,0,0
2021-07-18,5,0,0
2021-07-19,51,4,0
2021-07-20,51,4,0
2021-07-21,54,1,0
2021-07-22,55,1,0
2021-07-23,54,1,0
2021-07-24,9,1,0
2021-07-25,4,0,0
2021-07-26,53,2,0
2021-07-27,43,1,0
2021-07-28,52,10,0
2021-07-29,39,4,0
2021-07-30,9,0,0
2021-07-31,0,0,0
2021-08-01,1,1,0
2021-08-02,31,0,0
2021-08-03,71,2,0
2021-08-04,54,1,0
2021-08-05,40,2,0
2021-08-06,60,4,0
2021-08-07,6,0,0
2021-08-08,1,0,0
2021-08-09,22,2,0
2021-08-10,24,0,0
2021-08-11,45,2,0
2021-08-12,48,4,0
2021-08-13,50,6,0
2021-08-14,1,0,0
2021-08-15,1,0,0
2021-08-16,39,2,0
2021-08-17,60,0,0
2021-08-18,59,5,0
2021-08-19,80,0,0
2021-08-20,63,2,0
2021-08-21,7,0,0
2021-08-22,2,0,0
2021-08-23,66,0,0
2021-08-24,47,0,0
2021-08-25,62,1,0
2021-08-26,33,1,0
2021-08-27,25,0,0
2021-08-28,0,0,0
2021-08-29,2,0,0
2021-08-30,55,0,0
2021-08-31,50,3,0
2021-09-01,57,1,0
2021-09-02,56,2,0
2021-09-03,40,16,0
2021-09-04,3,1,0
2021-09-05,0,0,0
2021-09-06,24,2,0
2021-09-07,56,1,0
2021-09-08,31,0,0
2021-09-09,35,0,0
2021-09-10,60,0,0
2021-09-11,9,0,0
2021-09-12,1,0,0
2021-09-13,32,0,0
2021-09-14,62,2,0
2021-09-15,33,0,0
2021-09-16,54,0,0
2021-09-17,61,0,0
2021-09-18,12,2,0
2021-09-19,1,0,0
2021-09-20,61,4,0
2021-09-21,57,2,0
2021-09-22,62,0,0
2021-09-23,52,1,0
2021-09-24,63,0,0
2021-09-25,2,0,0
2021-09-26,1,0,0
2021-09-27,71,0,0
2021-09-28,49,1,0
2021-09-29,69,4,0
2021-09-30,48,1,0
2021-10-01,19,0,0
2021-10-02,0,0,0
2021-10-03,2,0,0
2021-10-04,31,1,0
2021-10-05,7,0,0
2021-10-06,33,0,0
2021-10-07,30,0,0
2021-10-08,50,0,0
2021-10-09,1,0,0
2021-10-10,1,0,0
2021-10-11,52,0,0
2021-10-12,72,3,0
2021-10-13,41,0,0
2021-10-14,51,0,0
2021-10-15,57,0,0
2021-10-16,10,0,0
2021-10-17,1,0,0
2021-10-18,28,0,0
2021-10-19,54,0,0
2021-10-20,44,0,0
2021-10-21,52,2,0
2021-10-22,52,2,0
2021-10-23,9,0,0
2021-10-24,2,0,0
2021-10-25,71,3,0
2021-10-26,46,0,0
2021-10-27,50,1,0
2021-10-28,27,0,0
2021-10-29,24,0,0
2021-10-30,5,0,0
2021-10-31,0,0,0
2021-11-01,70,0,0
2021-11-02,56,0,0
2021-11-03,73,0,0
2021-11-04,61,0,0
2021-11-05,60,0,0
2021-11-06,4,1,0
2021-11-07,3,0,0
2021-11-08,45,0,0
2021-11-09,96,0,0
2021-11-10,84,0,0
2021-11-11,62,0,0
2021-11-12,72,0,0
2021-11-13,1,0,0
2021-11-14,2,0,0
2021-11-15,37,0,0
2021-11-16,43,0,0
2021-11-17,42,0,0
2021-11-18,43,1,0
2021-11-19,68,0,0
2021-11-20,23,0,0
2021-11-21,9,0,0
2021-11-22,43,2,0
2021-11-23,50,0,0
2021-11-24,41,0,0
2021-11-25,29,2,0
2021-11-26,37,0,0
2021-11-27,2,0,0
2021-11-28,8,0,0
2021-11-29,67,0,0
2021-11-30,32,0,0
2021-12-01,60,0,0
2021-12-02,27,1,0
2021-12-03,9,4,0
2021-12-04,0,0,0
2021-12-05,0,0,0
2021-12-06,43,0,0
2021-12-07,69,0,0
2021-12-08,76,0,0
2021-12-09,48,0,0
2021-12-10,42,0,0
2021-12-11,12,0,0
2021-12-12,0,0,0
