,NomicFoundation/hardhat,wagmi-dev/wagmi,dethcrypto/typechain
2022-06-14,16,0,0
2022-06-15,65,1,0
2022-06-16,51,1,6
2022-06-17,17,0,0
2022-06-18,2,1,0
2022-06-19,0,0,0
2022-06-20,0,1,0
2022-06-21,0,1,0
2022-06-22,1,1,0
2022-06-23,0,0,0
2022-06-24,1,0,0
2022-06-25,0,0,0
2022-06-26,0,3,0
2022-06-27,0,6,0
2022-06-28,2,5,0
2022-06-29,1,1,0
2022-06-30,19,1,0
2022-07-01,4,1,0
2022-07-02,0,0,0
2022-07-03,0,1,0
2022-07-04,16,3,0
2022-07-05,42,4,0
2022-07-06,34,2,0
2022-07-07,29,0,0
2022-07-08,11,0,0
2022-07-09,8,0,0
2022-07-10,0,0,0
2022-07-11,7,1,0
2022-07-12,8,0,0
2022-07-13,10,0,0
2022-07-14,8,0,0
2022-07-15,6,0,0
2022-07-16,3,0,0
2022-07-17,1,2,0
2022-07-18,7,3,0
2022-07-19,14,3,0
2022-07-20,9,6,0
2022-07-21,8,0,0
2022-07-22,1,4,0
2022-07-23,0,3,0
2022-07-24,0,2,0
2022-07-25,0,7,0
2022-07-26,0,4,0
2022-07-27,2,1,0
2022-07-28,1,0,0
2022-07-29,1,2,0
2022-07-30,0,0,0
2022-07-31,0,0,0
2022-08-01,0,0,0
2022-08-02,1,0,0
2022-08-03,4,0,0
2022-08-04,1,0,0
2022-08-05,2,5,0
2022-08-06,0,0,0
2022-08-07,0,0,0
2022-08-08,4,0,0
2022-08-09,4,1,0
2022-08-10,3,1,0
2022-08-11,16,3,0
2022-08-12,24,0,0
2022-08-13,0,2,0
2022-08-14,0,1,0
2022-08-15,6,0,0
2022-08-16,15,0,0
2022-08-17,4,1,0
2022-08-18,4,1,0
2022-08-19,2,0,0
2022-08-20,9,0,0
2022-08-21,3,0,0
2022-08-22,0,0,0
2022-08-23,0,1,0
2022-08-24,4,0,0
2022-08-25,0,0,0
2022-08-26,16,0,0
2022-08-27,47,0,0
2022-08-28,55,0,0
2022-08-29,2,0,0
2022-08-30,31,0,0
2022-08-31,30,0,0
2022-09-01,1,1,0
2022-09-02,7,1,0
2022-09-03,1,2,0
2022-09-04,5,0,0
2022-09-05,8,0,0
2022-09-06,10,3,0
2022-09-07,8,0,0
2022-09-08,4,1,0
2022-09-09,5,1,2
2022-09-10,3,0,0
2022-09-11,0,1,0
2022-09-12,3,0,0
2022-09-13,2,1,1
2022-09-14,33,0,0
2022-09-15,11,0,0
2022-09-16,4,3,0
2022-09-17,4,0,0
2022-09-18,0,1,0
2022-09-19,0,1,0
2022-09-20,3,1,0
2022-09-21,1,5,0
2022-09-22,2,2,0
2022-09-23,1,0,0
2022-09-24,1,0,0
2022-09-25,0,0,0
2022-09-26,1,1,0
2022-09-27,2,2,0
2022-09-28,14,3,0
2022-09-29,1,2,0
2022-09-30,16,0,0
2022-10-01,1,0,0
2022-10-02,0,0,0
2022-10-03,11,0,0
2022-10-04,6,0,0
2022-10-05,13,2,0
2022-10-06,5,1,0
2022-10-07,3,2,0
2022-10-08,1,0,0
2022-10-09,2,0,0
2022-10-10,3,0,0
2022-10-11,0,2,0
2022-10-12,4,0,0
2022-10-13,2,5,0
2022-10-14,0,2,0
2022-10-15,0,0,0
2022-10-16,0,1,0
2022-10-17,5,4,0
2022-10-18,3,1,0
2022-10-19,7,1,0
2022-10-20,3,0,0
2022-10-21,0,0,0
2022-10-22,0,0,0
2022-10-23,0,0,0
2022-10-24,2,0,0
2022-10-25,1,1,0
2022-10-26,8,5,0
2022-10-27,9,2,0
2022-10-28,3,2,0
2022-10-29,0,0,0
2022-10-30,1,1,0
2022-10-31,1,3,0
2022-11-01,4,1,1
2022-11-02,17,3,0
2022-11-03,1,0,0
2022-11-04,0,3,0
2022-11-05,0,0,0
2022-11-06,0,0,0
2022-11-07,2,1,0
2022-11-08,0,1,0
2022-11-09,1,5,0
2022-11-10,1,0,0
2022-11-11,1,3,0
2022-11-12,1,2,0
2022-11-13,2,0,0
2022-11-14,7,0,0
2022-11-15,3,2,0
2022-11-16,21,2,0
2022-11-17,9,1,0
2022-11-18,10,0,0
2022-11-19,2,0,0
2022-11-20,0,2,0
2022-11-21,1,3,0
2022-11-22,2,2,0
2022-11-23,2,1,0
2022-11-24,12,0,0
2022-11-25,0,1,0
2022-11-26,0,0,0
2022-11-27,2,0,0
2022-11-28,1,5,0
2022-11-29,8,2,0
2022-11-30,1,3,0
2022-12-01,0,2,0
2022-12-02,1,3,0
2022-12-03,0,0,0
2022-12-04,0,2,0
2022-12-05,6,0,0
2022-12-06,4,1,0
2022-12-07,2,2,0
2022-12-08,9,2,0
2022-12-09,1,5,0
2022-12-10,11,0,0
2022-12-11,0,1,0
2022-12-12,18,2,1
2022-12-13,6,2,0
2022-12-14,9,4,0
2022-12-15,5,4,0
2022-12-16,0,2,0
2022-12-17,0,1,0
2022-12-18,1,0,0
2022-12-19,0,0,0
2022-12-20,0,0,0
2022-12-21,2,1,0
2022-12-22,7,0,0
2022-12-23,1,1,0
2022-12-24,2,0,0
2022-12-25,6,2,0
2022-12-26,1,0,0
2022-12-27,11,2,0
2022-12-28,0,2,0
2022-12-29,9,1,0
2022-12-30,4,0,0
2022-12-31,2,1,0
2023-01-01,0,0,0
2023-01-02,5,3,0
2023-01-03,7,3,0
2023-01-04,14,1,0
2023-01-05,13,1,0
2023-01-06,17,1,0
2023-01-07,1,0,0
2023-01-08,3,1,0
2023-01-09,6,3,0
2023-01-10,6,5,0
2023-01-11,3,2,0
2023-01-12,15,0,0
2023-01-13,6,1,0
2023-01-14,0,0,0
2023-01-15,0,0,0
2023-01-16,11,1,0
2023-01-17,0,4,0
2023-01-18,10,0,0
2023-01-19,5,0,0
2023-01-20,2,1,0
2023-01-21,1,0,0
2023-01-22,0,0,0
2023-01-23,1,3,0
2023-01-24,1,1,0
2023-01-25,4,0,0
2023-01-26,1,5,0
2023-01-27,0,2,0
2023-01-28,2,0,0
2023-01-29,0,1,0
2023-01-30,0,5,0
2023-01-31,0,5,0
2023-02-01,0,1,0
2023-02-02,0,2,0
2023-02-03,2,6,0
2023-02-04,0,0,0
2023-02-05,0,1,0
2023-02-06,2,0,0
2023-02-07,2,1,0
2023-02-08,14,2,0
2023-02-09,19,2,0
2023-02-10,20,0,0
2023-02-11,39,1,0
2023-02-12,4,0,0
2023-02-13,3,2,0
2023-02-14,3,0,0
2023-02-15,0,0,0
2023-02-16,4,0,0
2023-02-17,1,2,0
2023-02-18,1,0,0
2023-02-19,1,1,0
2023-02-20,2,3,1
2023-02-21,21,1,1
2023-02-22,10,0,1
2023-02-23,10,0,0
2023-02-24,3,2,0
2023-02-25,0,0,0
2023-02-26,0,0,0
2023-02-27,3,1,0
2023-02-28,2,1,0
2023-03-01,14,1,0
2023-03-02,3,0,0
2023-03-03,1,0,0
2023-03-04,4,0,0
2023-03-05,0,1,0
2023-03-06,0,0,0
2023-03-07,0,0,0
2023-03-08,5,0,0
2023-03-09,2,1,0
2023-03-10,5,0,1
2023-03-11,0,0,0
2023-03-12,1,0,0
2023-03-13,1,1,0
2023-03-14,0,1,0
2023-03-15,0,0,0
2023-03-16,16,0,0
2023-03-17,9,4,0
2023-03-18,0,0,0
2023-03-19,1,0,0
2023-03-20,2,6,0
2023-03-21,0,5,0
2023-03-22,3,0,0
2023-03-23,0,1,0
2023-03-24,0,1,0
2023-03-25,0,0,0
2023-03-26,0,0,0
2023-03-27,6,2,0
2023-03-28,0,0,0
2023-03-29,0,2,0
2023-03-30,0,0,0
2023-03-31,1,0,0
2023-04-01,0,0,0
2023-04-02,1,0,0
2023-04-03,1,2,0
2023-04-04,3,1,0
2023-04-05,0,0,0
2023-04-06,0,2,0
2023-04-07,1,2,0
2023-04-08,0,0,0
2023-04-09,0,0,0
2023-04-10,10,0,0
2023-04-11,2,1,0
2023-04-12,1,0,0
2023-04-13,4,0,0
2023-04-14,0,1,0
2023-04-15,5,0,0
2023-04-16,0,0,0
2023-04-17,0,1,0
2023-04-18,34,2,0
2023-04-19,3,1,0
2023-04-20,15,2,0
2023-04-21,1,0,0
2023-04-22,0,0,0
2023-04-23,5,0,0
2023-04-24,10,0,0
2023-04-25,11,3,0
2023-04-26,11,0,0
2023-04-27,10,0,0
2023-04-28,6,0,0
2023-04-29,0,0,0
2023-04-30,0,0,0
2023-05-01,0,0,0
2023-05-02,0,0,0
2023-05-03,6,0,0
2023-05-04,3,0,0
2023-05-05,0,1,0
2023-05-06,0,0,0
2023-05-07,0,0,4
2023-05-08,3,1,0
2023-05-09,0,7,0
2023-05-10,8,3,0
2023-05-11,7,2,0
2023-05-12,10,2,3
2023-05-13,0,0,1
2023-05-14,0,1,0
2023-05-15,5,1,0
2023-05-16,0,1,0
2023-05-17,0,0,0
2023-05-18,26,1,0
2023-05-19,5,0,0
2023-05-20,1,0,0
2023-05-21,0,0,0
2023-05-22,1,0,0
2023-05-23,6,1,1
2023-05-24,7,3,3
2023-05-25,2,6,0
2023-05-26,3,6,0
2023-05-27,0,0,0
2023-05-28,0,1,0
2023-05-29,1,0,0
2023-05-30,10,0,0
2023-05-31,5,1,0
2023-06-01,3,1,0
2023-06-02,2,6,0
2023-06-03,3,0,0
2023-06-04,0,0,0
2023-06-05,36,0,1
2023-06-06,5,0,0
2023-06-07,35,0,0
2023-06-08,16,6,0
2023-06-09,5,0,0
2023-06-10,0,1,0
2023-06-11,0,0,0
2023-06-12,16,4,0
2023-06-13,2,0,0
2023-06-14,16,1,0
2023-06-15,4,1,0
2023-06-16,10,0,0
2023-06-17,5,0,0
2023-06-18,15,1,0
2023-06-19,12,0,0
2023-06-20,15,0,0
2023-06-21,8,4,0
2023-06-22,10,1,0
2023-06-23,3,2,0
2023-06-24,0,1,0
2023-06-25,0,7,0
2023-06-26,6,0,0
2023-06-27,3,5,0
2023-06-28,3,0,0
2023-06-29,8,1,0
2023-06-30,14,0,0
2023-07-01,0,0,0
2023-07-02,0,0,0
2023-07-03,16,6,0
2023-07-04,35,2,0
2023-07-05,4,1,0
2023-07-06,5,2,0
2023-07-07,0,0,0
2023-07-08,0,0,0
2023-07-09,2,0,0
2023-07-10,5,1,0
2023-07-11,8,0,0
2023-07-12,14,0,0
2023-07-13,8,1,0
2023-07-14,6,0,0
2023-07-15,6,2,0
2023-07-16,9,0,0
2023-07-17,15,0,3
2023-07-18,0,0,0
2023-07-19,7,0,0
2023-07-20,5,1,0
2023-07-21,15,1,0
2023-07-22,0,0,0
2023-07-23,4,0,0
2023-07-24,3,1,1
2023-07-25,17,1,0
2023-07-26,9,0,0
2023-07-27,5,0,0
2023-07-28,3,0,0
2023-07-29,0,0,0
2023-07-30,0,0,0
2023-07-31,1,0,0
2023-08-01,16,0,0
2023-08-02,9,0,0
2023-08-03,2,0,0
2023-08-04,8,0,0
2023-08-05,2,0,0
2023-08-06,2,0,0
2023-08-07,18,0,0
2023-08-08,7,0,0
2023-08-09,12,4,0
2023-08-10,8,1,0
2023-08-11,30,0,0
2023-08-12,1,0,0
2023-08-13,0,0,0
2023-08-14,13,1,0
2023-08-15,6,0,0
2023-08-16,1,0,0
2023-08-17,4,0,0
2023-08-18,4,0,0
2023-08-19,0,0,0
2023-08-20,0,0,2
2023-08-21,0,0,0
2023-08-22,0,0,0
2023-08-23,1,0,0
2023-08-24,7,1,0
2023-08-25,11,0,0
2023-08-26,4,0,0
2023-08-27,0,0,0
2023-08-28,15,0,0
2023-08-29,3,0,0
2023-08-30,10,4,0
2023-08-31,2,7,0
2023-09-01,1,3,0
2023-09-02,0,0,0
2023-09-03,0,0,0
2023-09-04,0,4,0
2023-09-05,0,0,0
2023-09-06,3,0,0
2023-09-07,1,0,0
2023-09-08,1,0,0
2023-09-09,1,0,0
2023-09-10,0,1,0
2023-09-11,7,0,0
2023-09-12,4,0,0
2023-09-13,1,0,0
2023-09-14,1,0,0
2023-09-15,14,1,0
2023-09-16,4,0,0
2023-09-17,0,0,0
2023-09-18,3,0,0
2023-09-19,5,0,0
2023-09-20,1,0,0
2023-09-21,1,0,0
2023-09-22,7,1,0
2023-09-23,0,0,0
2023-09-24,0,0,0
2023-09-25,3,0,0
2023-09-26,0,1,0
2023-09-27,3,1,0
2023-09-28,6,0,0
2023-09-29,2,0,0
2023-09-30,1,1,0
2023-10-01,0,0,0
2023-10-02,1,2,0
2023-10-03,9,0,0
2023-10-04,23,0,0
2023-10-05,6,0,0
2023-10-06,7,0,0
2023-10-07,3,0,1
2023-10-08,0,0,0
2023-10-09,94,0,0
2023-10-10,22,2,0
2023-10-11,15,1,0
2023-10-12,10,0,0
2023-10-13,3,0,1
2023-10-14,22,0,0
2023-10-15,11,0,1
2023-10-16,7,0,0
2023-10-17,8,2,0
2023-10-18,3,0,0
2023-10-19,12,0,0
2023-10-20,9,1,0
2023-10-21,24,0,0
2023-10-22,49,0,1
2023-10-23,8,0,0
2023-10-24,22,0,0
2023-10-25,9,0,0
2023-10-26,6,0,0
2023-10-27,7,0,0
2023-10-28,0,0,0
2023-10-29,0,0,0
2023-10-30,17,0,0
2023-10-31,16,0,0
2023-11-01,9,0,0
2023-11-02,7,1,0
2023-11-03,9,0,0
2023-11-04,1,0,0
2023-11-05,0,0,0
2023-11-06,12,4,0
2023-11-07,15,0,0
2023-11-08,19,2,0
2023-11-09,12,0,0
2023-11-10,20,0,0
2023-11-11,2,0,0
2023-11-12,9,0,0
2023-11-13,17,0,0
2023-11-14,20,0,0
2023-11-15,16,2,0
2023-11-16,10,0,0
2023-11-17,3,0,0
2023-11-18,1,0,0
2023-11-19,0,0,0
2023-11-20,4,0,0
2023-11-21,0,0,0
