,apache/groovy,jetbrains/kotlin,scala/scala
2024-03-02,0,1,1
2024-03-03,0,1,0
2024-03-04,3,45,0
2024-03-05,1,52,4
2024-03-06,0,48,1
2024-03-07,0,56,2
2024-03-08,6,38,1
2024-03-09,3,32,1
2024-03-10,7,3,2
2024-03-11,2,62,2
2024-03-12,0,71,0
2024-03-13,1,52,2
2024-03-14,0,79,9
2024-03-15,0,61,1
2024-03-16,0,3,4
2024-03-17,0,0,2
2024-03-18,1,32,0
2024-03-19,1,46,3
2024-03-20,0,50,0
2024-03-21,1,41,1
2024-03-22,3,40,0
2024-03-23,0,2,0
2024-03-24,0,0,4
2024-03-25,0,31,2
2024-03-26,8,46,5
2024-03-27,4,29,3
2024-03-28,0,49,0
2024-03-29,0,10,0
2024-03-30,1,0,1
2024-03-31,2,4,0
2024-04-01,0,1,0
2024-04-02,0,53,1
2024-04-03,0,56,0
2024-04-04,2,58,3
2024-04-05,0,25,2
2024-04-06,9,0,4
2024-04-07,0,1,0
2024-04-08,1,31,12
2024-04-09,1,31,7
2024-04-10,1,24,4
2024-04-11,0,29,4
2024-04-12,0,54,1
2024-04-13,0,2,2
2024-04-14,0,0,0
2024-04-15,0,42,6
2024-04-16,1,68,1
2024-04-17,0,59,4
2024-04-18,5,70,0
2024-04-19,10,64,1
2024-04-20,1,0,0
2024-04-21,1,0,1
2024-04-22,1,51,0
2024-04-23,2,52,0
2024-04-24,4,42,0
2024-04-25,1,57,0
2024-04-26,0,37,0
2024-04-27,0,7,0
2024-04-28,1,0,0
2024-04-29,0,36,0
2024-04-30,1,31,0
2024-05-01,3,2,2
2024-05-02,0,46,0
2024-05-03,3,14,1
2024-05-04,1,0,0
2024-05-05,0,0,1
2024-05-06,0,36,3
2024-05-07,0,55,1
2024-05-08,3,60,5
2024-05-09,2,9,0
2024-05-10,2,33,0
2024-05-11,0,0,0
2024-05-12,1,4,1
2024-05-13,1,51,3
2024-05-14,1,35,0
2024-05-15,0,76,0
2024-05-16,1,33,0
2024-05-17,0,31,0
2024-05-18,4,5,0
2024-05-19,4,2,0
2024-05-20,1,8,1
2024-05-21,0,47,6
2024-05-22,0,47,6
2024-05-23,1,33,0
2024-05-24,0,13,0
2024-05-25,0,3,0
2024-05-26,2,0,0
2024-05-27,0,68,0
2024-05-28,1,71,0
2024-05-29,2,105,2
2024-05-30,1,67,0
2024-05-31,0,31,0
2024-06-01,4,6,1
2024-06-02,7,0,0
2024-06-03,2,34,1
2024-06-04,5,70,7
2024-06-05,2,43,2
2024-06-06,1,30,1
2024-06-07,0,94,1
2024-06-08,0,1,0
2024-06-09,0,0,1
2024-06-10,1,35,1
2024-06-11,0,66,2
2024-06-12,3,24,1
2024-06-13,1,28,2
2024-06-14,5,34,1
2024-06-15,12,1,0
2024-06-16,4,9,0
2024-06-17,2,88,2
2024-06-18,2,80,0
2024-06-19,2,84,3
2024-06-20,4,38,2
2024-06-21,2,89,1
2024-06-22,4,17,4
2024-06-23,3,1,3
2024-06-24,13,69,5
2024-06-25,3,57,1
2024-06-26,2,45,3
2024-06-27,1,42,0
2024-06-28,0,54,0
2024-06-29,0,23,0
2024-06-30,1,4,0
2024-07-01,1,60,0
2024-07-02,2,95,0
2024-07-03,1,34,2
2024-07-04,0,19,0
2024-07-05,1,48,0
2024-07-06,5,1,0
2024-07-07,1,0,0
2024-07-08,0,37,0
2024-07-09,2,56,1
2024-07-10,2,49,5
2024-07-11,0,33,6
2024-07-12,1,30,4
2024-07-13,1,4,0
2024-07-14,1,0,1
2024-07-15,0,36,7
2024-07-16,0,53,1
2024-07-17,0,39,1
2024-07-18,1,50,6
2024-07-19,1,14,0
2024-07-20,0,1,0
2024-07-21,0,0,3
2024-07-22,0,72,3
2024-07-23,1,37,0
2024-07-24,0,45,0
2024-07-25,0,53,0
2024-07-26,0,29,1
2024-07-27,0,2,0
2024-07-28,0,0,0
2024-07-29,0,34,0
2024-07-30,0,43,2
2024-07-31,0,24,3
2024-08-01,0,18,0
2024-08-02,0,39,0
2024-08-03,0,0,0
2024-08-04,1,0,0
2024-08-05,0,50,0
2024-08-06,0,25,1
2024-08-07,0,54,14
2024-08-08,0,14,10
2024-08-09,0,22,2
2024-08-10,3,1,0
2024-08-11,0,1,0
2024-08-12,0,41,0
2024-08-13,1,21,9
2024-08-14,0,50,17
2024-08-15,0,12,11
2024-08-16,0,17,5
2024-08-17,0,0,0
2024-08-18,0,0,0
2024-08-19,0,25,0
2024-08-20,0,34,0
2024-08-21,0,93,1
2024-08-22,0,38,0
2024-08-23,0,27,0
2024-08-24,6,3,0
2024-08-25,0,0,0
2024-08-26,0,28,0
2024-08-27,0,51,0
2024-08-28,0,33,0
2024-08-29,1,55,1
2024-08-30,1,22,0
2024-08-31,1,4,1
2024-09-01,0,0,0
2024-09-02,1,55,3
2024-09-03,9,104,0
2024-09-04,3,33,2
2024-09-05,4,58,0
2024-09-06,2,76,0
2024-09-07,1,1,0
2024-09-08,3,0,0
2024-09-09,3,39,0
2024-09-10,2,27,1
2024-09-11,4,22,1
2024-09-12,2,31,3
2024-09-13,3,20,0
2024-09-14,1,14,0
2024-09-15,0,5,0
2024-09-16,0,23,3
2024-09-17,1,43,1
2024-09-18,4,33,1
2024-09-19,2,49,0
2024-09-20,1,35,0
2024-09-21,0,102,0
