,fffaraz/awesome-cpp,rust-unofficial/awesome-rust,avelino/awesome-go
2019-04-10,1,2,3
2019-04-11,2,1,2
2019-04-12,0,0,0
2019-04-13,2,1,0
2019-04-14,1,3,0
2019-04-15,1,0,0
2019-04-16,6,2,0
2019-04-17,1,0,0
2019-04-18,0,0,2
2019-04-19,0,0,0
2019-04-20,0,1,0
2019-04-21,0,0,0
2019-04-22,0,0,0
2019-04-23,0,0,0
2019-04-24,2,0,0
2019-04-25,0,0,1
2019-04-26,2,1,8
2019-04-27,0,6,0
2019-04-28,3,11,0
2019-04-29,0,0,6
2019-04-30,0,0,1
2019-05-01,0,0,0
2019-05-02,0,2,2
2019-05-03,0,0,0
2019-05-04,0,0,0
2019-05-05,0,0,0
2019-05-06,0,1,0
2019-05-07,0,1,6
2019-05-08,0,0,0
2019-05-09,1,0,1
2019-05-10,1,0,0
2019-05-11,0,2,0
2019-05-12,0,0,0
2019-05-13,2,3,0
2019-05-14,2,1,1
2019-05-15,0,0,0
2019-05-16,1,0,0
2019-05-17,0,0,2
2019-05-18,0,0,0
2019-05-19,0,1,0
2019-05-20,0,4,12
2019-05-21,2,0,4
2019-05-22,1,0,0
2019-05-23,0,0,1
2019-05-24,0,2,2
2019-05-25,0,1,0
2019-05-26,2,0,1
2019-05-27,3,0,3
2019-05-28,0,1,2
2019-05-29,2,3,0
2019-05-30,3,1,1
2019-05-31,3,1,0
2019-06-01,0,0,0
2019-06-02,0,25,0
2019-06-03,0,1,0
2019-06-04,1,0,0
2019-06-05,0,0,4
2019-06-06,0,2,1
2019-06-07,0,0,3
2019-06-08,2,0,0
2019-06-09,0,1,0
2019-06-10,0,0,0
2019-06-11,0,1,1
2019-06-12,0,0,0
2019-06-13,0,0,0
2019-06-14,0,0,1
2019-06-15,0,0,1
2019-06-16,0,1,0
2019-06-17,0,3,12
2019-06-18,0,0,1
2019-06-19,0,0,1
2019-06-20,0,0,0
2019-06-21,0,1,1
2019-06-22,1,0,0
2019-06-23,0,1,0
2019-06-24,0,2,0
2019-06-25,0,0,0
2019-06-26,0,0,0
2019-06-27,0,0,2
2019-06-28,0,0,0
2019-06-29,0,1,0
2019-06-30,0,0,0
2019-07-01,0,0,10
2019-07-02,0,0,1
2019-07-03,0,1,0
2019-07-04,0,0,1
2019-07-05,0,1,0
2019-07-06,0,10,1
2019-07-07,1,1,1
2019-07-08,0,0,0
2019-07-09,1,0,0
2019-07-10,0,2,0
2019-07-11,2,1,7
2019-07-12,0,0,0
2019-07-13,2,1,0
2019-07-14,0,0,0
2019-07-15,0,1,0
2019-07-16,0,0,0
2019-07-17,0,0,0
2019-07-18,0,0,0
2019-07-19,0,9,5
2019-07-20,0,0,0
2019-07-21,0,0,0
2019-07-22,0,2,1
2019-07-23,1,3,0
2019-07-24,0,0,0
2019-07-25,0,0,0
2019-07-26,0,0,0
2019-07-27,0,0,1
2019-07-28,0,0,0
2019-07-29,0,0,0
2019-07-30,2,2,0
2019-07-31,0,0,0
2019-08-01,0,6,0
2019-08-02,0,0,0
2019-08-03,9,1,0
2019-08-04,3,0,0
2019-08-05,0,1,0
2019-08-06,0,1,0
2019-08-07,0,0,0
2019-08-08,0,0,0
2019-08-09,0,0,6
2019-08-10,0,0,0
2019-08-11,0,2,0
2019-08-12,0,0,3
2019-08-13,1,0,0
2019-08-14,0,0,0
2019-08-15,0,0,0
2019-08-16,2,0,0
2019-08-17,1,0,0
2019-08-18,0,2,1
2019-08-19,0,0,0
2019-08-20,0,1,0
2019-08-21,0,0,1
2019-08-22,0,0,0
2019-08-23,0,0,1
2019-08-24,0,0,0
2019-08-25,0,0,0
2019-08-26,0,0,0
2019-08-27,0,0,0
2019-08-28,0,0,0
2019-08-29,0,0,0
2019-08-30,0,0,0
2019-08-31,0,0,1
2019-09-01,0,0,0
2019-09-02,2,0,0
2019-09-03,1,2,0
2019-09-04,1,0,0
2019-09-05,0,1,0
2019-09-06,2,0,0
2019-09-07,0,0,0
2019-09-08,0,0,0
2019-09-09,0,0,0
2019-09-10,1,1,0
2019-09-11,0,0,0
2019-09-12,0,0,0
2019-09-13,0,0,0
2019-09-14,0,0,0
2019-09-15,0,0,0
2019-09-16,0,1,0
