,cacti/cacti,netdata/netdata,grafana/grafana
2022-03-28,1,9,0
2022-03-29,4,4,23
2022-03-30,1,11,26
2022-03-31,2,11,31
2022-04-01,0,7,24
2022-04-02,24,1,2
2022-04-03,1,0,0
2022-04-04,0,7,28
2022-04-05,2,5,32
2022-04-06,1,7,35
2022-04-07,0,3,19
2022-04-08,0,3,22
2022-04-09,2,1,0
2022-04-10,0,0,0
2022-04-11,3,12,15
2022-04-12,6,8,33
2022-04-13,8,7,27
2022-04-14,16,3,23
2022-04-15,53,8,13
2022-04-16,8,1,0
2022-04-17,0,0,0
2022-04-18,3,2,4
2022-04-19,4,10,13
2022-04-20,4,11,41
2022-04-21,0,2,35
2022-04-22,0,2,22
2022-04-23,1,2,2
2022-04-24,4,1,2
2022-04-25,1,8,19
2022-04-26,0,4,22
2022-04-27,0,7,24
2022-04-28,0,8,38
2022-04-29,0,2,28
2022-04-30,1,1,0
2022-05-01,1,0,0
2022-05-02,2,15,22
2022-05-03,1,12,26
2022-05-04,1,8,31
2022-05-05,0,9,36
2022-05-06,1,5,24
2022-05-07,0,4,0
2022-05-08,1,1,1
2022-05-09,0,6,6
2022-05-10,0,8,4
2022-05-11,0,9,8
2022-05-12,0,5,13
2022-05-13,0,7,8
2022-05-14,0,3,0
2022-05-15,1,3,2
2022-05-16,0,11,28
2022-05-17,0,10,35
2022-05-18,1,7,29
2022-05-19,0,4,30
2022-05-20,0,7,27
2022-05-21,0,3,5
2022-05-22,0,1,4
2022-05-23,0,7,62
2022-05-24,0,10,36
2022-05-25,0,4,39
2022-05-26,0,4,36
2022-05-27,0,8,9
2022-05-28,0,2,1
2022-05-29,0,1,0
2022-05-30,0,3,24
2022-05-31,0,9,39
2022-06-01,0,7,35
2022-06-02,0,7,37
2022-06-03,0,4,32
2022-06-04,2,1,5
2022-06-05,0,0,3
2022-06-06,1,5,15
2022-06-07,0,4,33
2022-06-08,1,5,31
2022-06-09,1,3,38
2022-06-10,5,4,29
2022-06-11,5,1,3
2022-06-12,0,0,0
2022-06-13,1,4,32
2022-06-14,4,9,40
2022-06-15,1,7,24
2022-06-16,3,12,25
2022-06-17,42,8,34
2022-06-18,12,1,1
2022-06-19,34,0,0
2022-06-20,3,4,30
2022-06-21,6,3,30
2022-06-22,6,8,40
2022-06-23,2,4,29
2022-06-24,6,2,21
2022-06-25,0,2,1
2022-06-26,6,2,0
2022-06-27,0,9,29
2022-06-28,3,12,22
2022-06-29,0,8,34
2022-06-30,28,19,27
2022-07-01,2,4,2
2022-07-02,0,1,0
2022-07-03,1,0,0
2022-07-04,0,2,17
2022-07-05,1,6,14
2022-07-06,1,8,39
2022-07-07,1,8,46
2022-07-08,0,6,27
2022-07-09,0,2,1
2022-07-10,0,1,0
2022-07-11,3,6,19
2022-07-12,0,9,20
2022-07-13,0,8,20
2022-07-14,0,4,37
2022-07-15,0,2,22
2022-07-16,0,1,1
2022-07-17,0,0,1
2022-07-18,0,2,24
2022-07-19,3,3,37
2022-07-20,6,5,33
2022-07-21,0,4,22
2022-07-22,4,3,23
2022-07-23,0,1,7
2022-07-24,0,1,3
2022-07-25,0,3,31
2022-07-26,0,4,28
2022-07-27,0,4,32
2022-07-28,0,7,22
2022-07-29,0,5,18
2022-07-30,0,1,0
2022-07-31,1,0,0
2022-08-01,0,4,30
2022-08-02,0,5,30
2022-08-03,0,4,42
2022-08-04,0,7,18
2022-08-05,0,5,5
2022-08-06,0,2,0
2022-08-07,4,1,0
2022-08-08,0,2,30
2022-08-09,25,4,26
2022-08-10,6,3,37
2022-08-11,0,4,34
2022-08-12,4,3,26
2022-08-13,0,5,2
2022-08-14,1,1,0
2022-08-15,0,3,9
2022-08-16,0,4,21
