,iced-rs/iced,emilk/egui,pistondevelopers/conrod
2019-12-02,10,1.969688576,0
2019-12-03,6,-0.8255963135999999,0
2019-12-04,10,-0.24,0
2019-12-05,7,-0.128,0
2019-12-06,6,-0.0832000000000001,1
2019-12-07,6,-0.059904000000000034,2
2019-12-08,4,-0.04592640000000001,0
2019-12-09,2,-0.03674111999999999,0
2019-12-10,2,-0.030311423999999986,1
2019-12-11,4,-0.025596313599999993,0
2019-12-12,2,0.0,0
2019-12-13,3,0.0,0
2019-12-14,11,0.0,2
2019-12-15,5,0.0,1
2019-12-16,2,0.0,1
2019-12-17,0,0.0,2
2019-12-18,11,0.0,0
2019-12-19,6,0.0,4
2019-12-20,0,0.0,0
2019-12-21,7,0.0,0
2019-12-22,0,0.0,3
2019-12-23,0,0.0,1
2019-12-24,1,0.0,2
2019-12-25,0,0.0,0
2019-12-26,0,0.0,5
2019-12-27,0,0.0,13
2019-12-28,2,0.0,0
2019-12-29,3,0.0,0
2019-12-30,8,0.0,1
2019-12-31,6,0.0,0
2020-01-01,3,0.0,0
2020-01-02,6,0.0,0
2020-01-03,4,0.0,0
2020-01-04,2,0.0,0
2020-01-05,7,0.0,0
2020-01-06,6,0.0,0
2020-01-07,8,0.0,0
2020-01-08,6,0.0,0
2020-01-09,6,0.0,0
2020-01-10,12,0.0,0
2020-01-11,2,0.0,0
2020-01-12,0,0.0,0
2020-01-13,6,0.0,0
2020-01-14,0,0.0,0
2020-01-15,1,0.0,0
2020-01-16,8,0.0,0
2020-01-17,0,0.0,0
2020-01-18,0,0.0,0
2020-01-19,5,0.0,0
2020-01-20,18,0.0,0
2020-01-21,0,0.0,0
2020-01-22,4,0.0,0
2020-01-23,1,0.0,1
2020-01-24,0,0.0,1
2020-01-25,1,0.0,0
2020-01-26,1,0.0,0
2020-01-27,1,0.0,0
2020-01-28,0,0.0,0
2020-01-29,0,0.0,0
2020-01-30,0,0.0,0
2020-01-31,0,0.0,0
2020-02-01,0,0.0,0
2020-02-02,1,0.0,0
2020-02-03,2,0.0,0
2020-02-04,5,0.0,0
2020-02-05,12,0.0,0
2020-02-06,17,0.0,0
2020-02-07,1,0.0,0
2020-02-08,6,0.0,0
2020-02-09,11,0.0,0
2020-02-10,4,0.0,3
2020-02-11,2,0.0,1
2020-02-12,16,0.0,6
2020-02-13,1,0.0,0
2020-02-14,14,0.0,1
2020-02-15,3,0.0,0
2020-02-16,3,0.0,0
2020-02-17,1,0.0,4
2020-02-18,4,0.0,0
2020-02-19,1,0.0,0
2020-02-20,4,0.0,1
2020-02-21,1,0.0,0
2020-02-22,5,0.0,0
2020-02-23,3,0.0,0
2020-02-24,4,0.0,0
2020-02-25,13,0.0,0
2020-02-26,11,0.0,0
2020-02-27,1,0.0,0
2020-02-28,4,0.0,0
2020-02-29,1,0.0,1
2020-03-01,2,0.0,0
2020-03-02,1,0.0,3
2020-03-03,0,0.0,3
2020-03-04,6,0.0,0
2020-03-05,3,0.0,0
2020-03-06,3,0.0,0
2020-03-07,7,0.0,0
2020-03-08,1,0.0,0
2020-03-09,1,0.0,0
2020-03-10,6,0.0,0
2020-03-11,4,0.0,0
2020-03-12,1,0.0,0
2020-03-13,6,0.0,0
2020-03-14,15,0.0,0
2020-03-15,0,0.0,0
2020-03-16,4,0.0,0
2020-03-17,8,0.0,0
2020-03-18,6,0.0,0
2020-03-19,6,0.0,0
2020-03-20,8,0.0,0
2020-03-21,3,0.0,0
2020-03-22,1,0.0,0
2020-03-23,7,0.0,0
2020-03-24,13,0.0,0
2020-03-25,4,0.0,0
2020-03-26,6,0.0,0
2020-03-27,1,0.0,0
2020-03-28,6,0.0,0
2020-03-29,9,0.0,2
2020-03-30,8,0.0,0
2020-03-31,6,0.0,0
2020-04-01,3,0.0,0
2020-04-02,30,0.0,0
2020-04-03,0,0.0,0
2020-04-04,2,0.0,0
2020-04-05,5,0.0,0
2020-04-06,5,0.0,0
2020-04-07,2,0.0,0
2020-04-08,3,0.0,0
2020-04-09,6,0.0,0
2020-04-10,2,0.0,0
2020-04-11,4,3.0,0
2020-04-12,0,1.8000000000000003,0
2020-04-13,4,-1.5599999999999996,0
2020-04-14,14,-0.552,0
2020-04-15,4,1.6831999999999998,0
2020-04-16,3,0.985344,0
2020-04-17,1,3.8012544000000004,0
2020-04-18,2,2.5079987200000007,0
2020-04-19,7,3.0882211840000005,0
2020-04-20,0,5.4530343936,0
2020-04-21,0,12.0077751296,0
2020-04-22,3,4.295572480000001,0
2020-04-23,2,-0.39722854400000074,0
2020-04-24,26,-2.6646885376,0
2020-04-25,4,8.300225126399999,0
2020-04-26,3,-5.698645504,0
2020-04-27,4,-2.0488104960000006,0
2020-04-28,14,-1.1020274688000002,0
2020-04-29,14,2.3760386047999997,0
2020-04-30,15,-3.4939862015999994,1
2020-05-01,16,3.4692704256,0
2020-05-02,8,-1.9108557823999996,0
2020-05-03,3,-0.5987884031999999,2
2020-05-04,12,3.7308850176,0
2020-05-05,1,7.400535142400001,0
2020-05-06,1,-5.003120537599999,0
2020-05-07,0,1.1922571264,0
2020-05-08,0,4.7432412159999995,0
2020-05-09,0,-3.8428723199999997,4
2020-05-10,0,17.456146944,0
2020-05-11,0,-2.5222386687999983,0
2020-05-12,0,2.666661683200001,0
2020-05-13,0,-1.6301015039999989,0
2020-05-14,2,-4.078235648000001,0
2020-05-15,3,-1.9847490560000005,0
2020-05-16,0,4.650702745599999,0
2020-05-17,0,6.6175770624000005,0
2020-05-18,0,-5.421695487999999,0
2020-05-19,10,2.8430834688,0
2020-05-20,3,5.8388831232000005,0
2020-05-21,6,0.04127989760000084,0
2020-05-22,10,-1.8884918271999998,0
2020-05-23,0,14.47614464,0
2020-05-24,0,-7.1587998719999995,0
2020-05-25,2,-3.3887300608000004,0
2020-05-26,7,0.13253683199999955,0
2020-05-27,10,-0.9870336000000006,0
2020-05-28,13,-1.5289553920000003,0
2020-05-29,9,-0.8960294912,0
2020-05-30,5,10.423235072,0
2020-05-31,0,-4.803117977599999,2
2020-06-01,4,-1.6286027775999998,0
2020-06-02,6,-0.7765024768,0
2020-06-03,1,5.493718016,0
2020-06-04,1,-2.7702240255999997,0
2020-06-05,9,0.014606643199999936,0
2020-06-06,0,-0.9860761599999999,1
2020-06-07,0,-0.5363128320000001,0
2020-06-08,11,-0.38449172480000005,0
2020-06-09,3,-0.1793792000000001,0
2020-06-10,3,5.85982464,2
2020-06-11,2,0.4861025280000004,0
2020-06-12,1,-0.015159500799999837,1
2020-06-13,9,-1.559155712,0
2020-06-14,2,1.3056018431999998,0
2020-06-15,0,-1.232512,0
2020-06-16,0,-0.5508352000000002,0
2020-06-17,0,-0.36701696000000006,0
2020-06-18,1,-0.275172352,0
2020-06-19,2,-0.2189011968,0
2020-06-20,1,-0.1146322944,0
2020-06-21,0,-0.06233743359999998,0
2020-06-22,0,0.969688576,0
2020-06-23,3,-0.4255963135999999,0
2020-06-24,1,-0.12,0
2020-06-25,2,-0.064,0
2020-06-26,0,-0.04160000000000005,0
2020-06-27,1,-0.029952000000000017,0
2020-06-28,1,-0.022963200000000007,0
2020-06-29,3,-0.018370559999999994,0
2020-06-30,3,-0.015155711999999993,0
2020-07-01,10,-0.012798156799999997,0
2020-07-02,0,0.0,0
2020-07-03,0,0.0,0
2020-07-04,1,0.0,0
2020-07-05,0,0.0,0
2020-07-06,1,0.0,0
2020-07-07,0,0.0,0
2020-07-08,23,0.0,0
2020-07-09,13,0.0,0
2020-07-10,10,0.0,0
2020-07-11,0,0.0,0
2020-07-12,0,0.0,0
2020-07-13,0,0.0,0
2020-07-14,0,0.0,0
2020-07-15,0,0.0,0
2020-07-16,4,0.0,0
2020-07-17,0,3.0,0
2020-07-18,1,10.8,1
2020-07-19,0,-5.159999999999999,0
2020-07-20,0,-0.6319999999999999,0
2020-07-21,0,-0.29280000000000017,0
2020-07-22,3,2.8909439999999993,0
2020-07-23,5,1.7876864000000001,0
2020-07-24,1,-2.51627008,1
2020-07-25,0,-1.0734658559999999,0
2020-07-26,0,-0.6955782144000001,0
2020-07-27,2,-0.4811196416000002,0
2020-07-28,2,-0.24518707200000006,0
