,kong/kong,traefik/traefik,haproxy/haproxy
2016-08-09,6,0,8.0
2016-08-10,2,0,10.0
2016-08-11,8,1,0.0
2016-08-12,4,0,0.0
2016-08-13,0,0,0.0
2016-08-14,0,0,6.0
2016-08-15,1,3,0.0
2016-08-16,3,8,0.0
2016-08-17,4,1,0.0
2016-08-18,2,2,0.0
2016-08-19,4,6,0.0
2016-08-20,2,0,0.0
2016-08-21,0,0,0.0
2016-08-22,2,3,0.0
2016-08-23,6,0,3.0
2016-08-24,0,1,1.0
2016-08-25,2,2,0.0
2016-08-26,0,1,0.0
2016-08-27,0,0,0.0
2016-08-28,0,0,0.0
2016-08-29,5,0,1.0
2016-08-30,5,1,5.0
2016-08-31,0,0,0.0
2016-09-01,5,0,0.0
2016-09-02,14,0,0.0
2016-09-03,0,0,0.0
2016-09-04,0,0,0.0
2016-09-05,5,0,0.0
2016-09-06,3,0,1.0
2016-09-07,0,0,0.0
2016-09-08,13,0,0.0
2016-09-09,0,0,0.0
2016-09-10,0,0,0.0
2016-09-11,0,0,5.0
2016-09-12,0,1,10.0
2016-09-13,4,3,5.0
2016-09-14,10,5,0.0
2016-09-15,9,3,0.0
2016-09-16,15,0,0.0
2016-09-17,1,0,0.0
2016-09-18,0,0,0.0
2016-09-19,7,8,0.0
2016-09-20,3,9,0.0
2016-09-21,5,7,0.0
2016-09-22,0,0,0.0
2016-09-23,1,4,1.0
2016-09-24,3,0,0.0
2016-09-25,0,0,0.0
2016-09-26,0,0,0.0
2016-09-27,0,9,0.0
2016-09-28,4,4,0.0
2016-09-29,3,1,0.0
2016-09-30,0,22,0.0
2016-10-01,0,1,2.0
2016-10-02,0,2,0.0
2016-10-03,2,3,1.0
2016-10-04,1,0,0.0
2016-10-05,0,0,0.0
2016-10-06,2,5,0.0
2016-10-07,1,4,0.0
2016-10-08,5,0,0.0
2016-10-09,0,0,0.0
2016-10-10,2,1,0.0
2016-10-11,0,0,0.0
2016-10-12,3,2,0.0
2016-10-13,1,2,0.0
2016-10-14,0,0,0.0
2016-10-15,0,0,0.0
2016-10-16,0,0,0.0
2016-10-17,7,6,1.0
2016-10-18,2,0,0.0
2016-10-19,0,3,1.0
2016-10-20,0,0,1.0
2016-10-21,1,0,11.0
2016-10-22,3,0,0.0
2016-10-23,0,0,0.0
2016-10-24,1,1,4.0
2016-10-25,2,3,14.0
2016-10-26,0,10,3.0
2016-10-27,2,0,0.0
