,microlinkhq/metascraper,scrapy/scrapy,seleniumhq/selenium
2018-04-01,0,0,0
2018-04-02,0,1,4
2018-04-03,0,2,15
2018-04-04,0,1,3
2018-04-05,1,1,4
2018-04-06,1,0,0
2018-04-07,3,0,0
2018-04-08,10,0,2
2018-04-09,0,0,5
2018-04-10,3,0,7
2018-04-11,4,0,0
2018-04-12,3,0,5
2018-04-13,0,3,6
2018-04-14,0,0,0
2018-04-15,0,0,0
2018-04-16,0,0,2
2018-04-17,0,0,3
2018-04-18,0,0,0
2018-04-19,0,1,0
2018-04-20,0,0,4
2018-04-21,0,0,1
2018-04-22,0,0,0
2018-04-23,1,1,7
2018-04-24,0,0,1
2018-04-25,0,1,9
2018-04-26,0,1,6
2018-04-27,0,0,0
2018-04-28,0,0,1
2018-04-29,3,0,0
2018-04-30,0,0,9
2018-05-01,0,0,20
2018-05-02,0,0,0
2018-05-03,0,0,0
2018-05-04,0,0,0
2018-05-05,0,0,0
2018-05-06,0,0,1
2018-05-07,0,0,7
2018-05-08,0,0,16
2018-05-09,0,0,13
2018-05-10,4,0,8
2018-05-11,0,0,8
2018-05-12,6,0,1
2018-05-13,1,0,0
2018-05-14,1,0,2
2018-05-15,5,0,1
2018-05-16,0,1,0
2018-05-17,9,4,1
2018-05-18,0,0,16
2018-05-19,0,0,1
2018-05-20,0,0,3
2018-05-21,0,0,8
2018-05-22,0,0,0
2018-05-23,0,1,9
2018-05-24,0,0,5
2018-05-25,0,0,2
2018-05-26,0,0,18
2018-05-27,4,0,1
2018-05-28,0,0,0
2018-05-29,3,0,2
2018-05-30,0,1,3
2018-05-31,1,0,2
2018-06-01,0,6,5
2018-06-02,3,5,0
2018-06-03,0,0,0
2018-06-04,0,0,6
2018-06-05,0,0,7
2018-06-06,0,0,0
2018-06-07,0,0,0
2018-06-08,0,0,0
2018-06-09,0,1,0
2018-06-10,0,0,1
2018-06-11,0,0,2
2018-06-12,0,0,9
2018-06-13,0,1,11
2018-06-14,0,2,0
2018-06-15,0,0,5
2018-06-16,0,0,0
2018-06-17,0,0,0
2018-06-18,0,0,2
2018-06-19,0,2,0
2018-06-20,0,1,1
2018-06-21,0,1,0
2018-06-22,0,0,0
2018-06-23,0,1,6
2018-06-24,0,1,2
2018-06-25,0,2,13
2018-06-26,0,0,2
2018-06-27,0,5,3
2018-06-28,0,1,5
2018-06-29,0,1,1
2018-06-30,0,0,4
2018-07-01,0,5,4
2018-07-02,0,0,0
2018-07-03,0,4,0
2018-07-04,0,2,0
2018-07-05,0,3,0
2018-07-06,3,1,2
2018-07-07,0,0,2
2018-07-08,0,0,4
2018-07-09,0,10,2
2018-07-10,3,0,10
2018-07-11,0,5,5
2018-07-12,0,0,2
2018-07-13,0,2,5
2018-07-14,0,2,3
2018-07-15,2,4,0
2018-07-16,0,0,1
2018-07-17,0,2,5
2018-07-18,0,6,11
2018-07-19,0,2,7
2018-07-20,0,4,2
2018-07-21,1,0,0
2018-07-22,0,0,0
2018-07-23,0,0,4
2018-07-24,0,0,6
2018-07-25,0,5,3
2018-07-26,0,7,6
2018-07-27,0,2,2
2018-07-28,0,0,0
2018-07-29,0,0,2
2018-07-30,0,0,12
2018-07-31,0,2,10
2018-08-01,0,0,3
2018-08-02,0,3,5
2018-08-03,0,2,8
2018-08-04,0,1,1
2018-08-05,0,0,0
2018-08-06,0,1,3
2018-08-07,0,1,9
2018-08-08,0,0,16
2018-08-09,0,1,7
2018-08-10,2,1,1
2018-08-11,8,6,1
2018-08-12,0,0,2
2018-08-13,5,0,0
2018-08-14,0,0,1
2018-08-15,3,25,6
2018-08-16,0,0,2
2018-08-17,8,7,0
2018-08-18,6,4,1
2018-08-19,0,2,3
2018-08-20,0,1,3
2018-08-21,0,0,2
2018-08-22,1,2,3
2018-08-23,5,4,1
2018-08-24,2,1,3
2018-08-25,2,0,2
2018-08-26,3,0,0
2018-08-27,3,0,0
2018-08-28,3,1,2
2018-08-29,3,1,4
2018-08-30,0,0,27
2018-08-31,1,0,6
