,NLnetLabs/unbound,pi-hole/pi-hole,AdguardTeam/AdGuardHome
2019-05-27,1,2,4
2019-05-28,2,0,45
2019-05-29,1,0,1
2019-05-30,0,6,4
2019-05-31,0,4,4
2019-06-01,0,3,0
2019-06-02,0,0,0
2019-06-03,1,4,13
2019-06-04,3,1,11
2019-06-05,1,2,2
2019-06-06,1,0,23
2019-06-07,0,0,5
2019-06-08,0,0,0
2019-06-09,0,0,0
2019-06-10,0,3,2
2019-06-11,2,0,0
2019-06-12,9,1,0
2019-06-13,0,1,0
2019-06-14,1,1,0
2019-06-15,0,4,0
2019-06-16,0,9,0
2019-06-17,3,3,0
2019-06-18,10,0,1
2019-06-19,0,0,0
2019-06-20,0,0,2
2019-06-21,0,0,0
2019-06-22,0,0,0
2019-06-23,0,0,0
2019-06-24,2,0,1
2019-06-25,2,2,3
2019-06-26,0,1,4
2019-06-27,0,2,11
2019-06-28,0,0,0
2019-06-29,0,3,0
2019-06-30,0,10,0
2019-07-01,0,2,6
2019-07-02,0,0,4
2019-07-03,0,5,2
2019-07-04,0,5,4
2019-07-05,1,7,18
2019-07-06,0,6,0
2019-07-07,0,3,0
2019-07-08,0,5,4
2019-07-09,1,3,2
2019-07-10,0,3,0
2019-07-11,0,4,0
2019-07-12,1,1,2
2019-07-13,0,1,0
2019-07-14,0,0,0
2019-07-15,0,0,7
2019-07-16,2,0,8
2019-07-17,0,0,4
2019-07-18,0,1,0
2019-07-19,2,0,13
2019-07-20,0,4,0
2019-07-21,0,0,0
2019-07-22,0,5,4
2019-07-23,1,0,3
2019-07-24,0,0,6
2019-07-25,0,0,0
2019-07-26,0,0,0
2019-07-27,0,0,0
2019-07-28,0,0,0
2019-07-29,3,1,5
2019-07-30,0,1,0
2019-07-31,0,0,4
2019-08-01,6,0,0
2019-08-02,0,0,4
2019-08-03,0,0,0
2019-08-04,0,1,0
2019-08-05,0,7,13
2019-08-06,0,1,1
2019-08-07,2,0,1
2019-08-08,3,0,4
2019-08-09,0,0,0
2019-08-10,0,0,0
2019-08-11,0,0,1
2019-08-12,3,1,0
2019-08-13,1,0,7
2019-08-14,6,2,3
2019-08-15,7,1,0
2019-08-16,5,0,8
2019-08-17,0,1,0
2019-08-18,0,0,0
2019-08-19,1,0,5
2019-08-20,0,7,7
2019-08-21,1,17,1
2019-08-22,4,6,7
2019-08-23,3,1,6
2019-08-24,0,2,0
2019-08-25,0,1,0
2019-08-26,0,2,1
2019-08-27,1,1,1
2019-08-28,0,0,1
2019-08-29,0,1,4
2019-08-30,0,1,6
2019-08-31,0,2,0
2019-09-01,0,3,0
2019-09-02,3,1,3
2019-09-03,1,2,2
2019-09-04,1,2,17
2019-09-05,0,0,0
2019-09-06,0,1,0
2019-09-07,0,6,0
2019-09-08,0,1,0
2019-09-09,5,0,2
2019-09-10,0,0,1
2019-09-11,1,0,3
2019-09-12,0,0,19
2019-09-13,0,0,3
2019-09-14,0,0,0
2019-09-15,0,1,0
2019-09-16,0,0,6
2019-09-17,0,3,5
2019-09-18,1,1,0
2019-09-19,11,0,10
2019-09-20,8,0,0
2019-09-21,1,0,0
2019-09-22,0,2,0
2019-09-23,2,0,9
2019-09-24,1,0,0
2019-09-25,1,0,4
2019-09-26,3,3,11
2019-09-27,0,0,7
2019-09-28,0,0,0
2019-09-29,0,2,0
2019-09-30,0,0,1
2019-10-01,0,0,1
2019-10-02,1,0,9
2019-10-03,8,2,2
2019-10-04,0,0,3
2019-10-05,0,0,0
2019-10-06,0,2,0
2019-10-07,1,0,2
2019-10-08,0,0,1
2019-10-09,0,0,15
2019-10-10,0,0,9
2019-10-11,0,0,6
2019-10-12,0,0,0
2019-10-13,0,1,0
2019-10-14,0,4,3
2019-10-15,0,2,7
2019-10-16,0,3,4
2019-10-17,0,0,2
2019-10-18,0,0,5
2019-10-19,0,0,0
2019-10-20,0,0,0
2019-10-21,3,0,6
2019-10-22,3,0,12
2019-10-23,3,0,10
2019-10-24,1,0,3
2019-10-25,0,0,3
2019-10-26,0,0,0
2019-10-27,0,2,0
2019-10-28,0,2,0
2019-10-29,0,0,0
2019-10-30,0,1,0
2019-10-31,0,0,0
2019-11-01,1,0,0
2019-11-02,1,0,0
2019-11-03,0,0,0
2019-11-04,1,0,0
2019-11-05,0,1,0
2019-11-06,0,0,0
2019-11-07,0,1,6
2019-11-08,0,3,2
2019-11-09,0,0,0
2019-11-10,0,0,0
2019-11-11,3,2,3
2019-11-12,0,3,3
2019-11-13,3,2,0
2019-11-14,0,1,0
2019-11-15,0,1,0
2019-11-16,0,1,0
2019-11-17,0,0,0
2019-11-18,5,0,0
2019-11-19,13,0,14
2019-11-20,27,0,21
2019-11-21,0,0,4
2019-11-22,4,0,2
2019-11-23,0,0,0
2019-11-24,0,0,0
2019-11-25,1,1,6
2019-11-26,1,2,11
2019-11-27,0,3,3
2019-11-28,0,0,0
2019-11-29,0,2,15
