,apache/cassandra,linkedin/venice,voldemort/voldemort
2015-05-11,3.0,0,3
2015-05-12,26.0,0,2
2015-05-13,10.0,0,3
2015-05-14,16.0,0,0
2015-05-15,40.0,0,1
2015-05-16,5.0,0,0
2015-05-17,5.0,0,0
2015-05-18,14.0,0,2
2015-05-19,26.0,0,0
2015-05-20,16.0,0,0
2015-05-21,7.0,0,0
2015-05-22,15.0,0,1
2015-05-23,2.0,0,0
2015-05-24,0.0,0,0
2015-05-25,1.0,0,0
2015-05-26,32.0,0,0
2015-05-27,19.0,0,1
2015-05-28,8.0,0,0
2015-05-29,17.0,0,0
2015-05-30,0.0,0,0
2015-05-31,0.0,0,1
2015-06-01,11.0,0,0
2015-06-02,12.0,0,0
2015-06-03,31.0,0,0
2015-06-04,25.0,0,2
2015-06-05,11.0,0,1
2015-06-06,1.0,0,3
2015-06-07,2.0,0,0
2015-06-08,9.0,0,2
2015-06-09,5.0,0,4
2015-06-10,6.0,0,0
2015-06-11,17.0,0,0
2015-06-12,11.0,0,3
2015-06-13,0.0,0,0
2015-06-14,0.0,0,0
2015-06-15,2.0,0,0
2015-06-16,17.0,0,0
2015-06-17,8.0,0,1
2015-06-18,20.0,0,0
2015-06-19,6.0,0,0
2015-06-20,1.0,0,0
2015-06-21,0.0,0,0
2015-06-22,12.0,0,0
2015-06-23,10.0,0,0
2015-06-24,9.0,0,0
2015-06-25,8.0,0,0
2015-06-26,23.0,1,0
2015-06-27,0.0,0,0
2015-06-28,7.0,0,0
2015-06-29,9.0,0,1
2015-06-30,17.0,1,3
2015-07-01,20.0,0,3
2015-07-02,35.0,0,0
2015-07-03,0.0,0,0
2015-07-04,0.0,0,0
2015-07-05,2.0,0,0
2015-07-06,21.0,0,0
2015-07-07,13.0,0,0
2015-07-08,18.0,1,0
2015-07-09,9.0,0,0
2015-07-10,5.0,0,1
2015-07-11,0.0,0,0
2015-07-12,5.0,0,0
2015-07-13,8.0,7,0
2015-07-14,1.0,0,0
2015-07-15,20.0,0,0
2015-07-16,11.0,1,1
2015-07-17,20.0,0,0
2015-07-18,4.0,0,0
2015-07-19,0.0,0,0
2015-07-20,6.0,0,2
2015-07-21,8.0,0,0
2015-07-22,15.0,0,0
2015-07-23,19.0,0,1
2015-07-24,15.0,0,0
2015-07-25,0.0,0,0
2015-07-26,0.0,0,0
2015-07-27,3.0,1,1
2015-07-28,20.0,0,0
2015-07-29,19.0,0,3
2015-07-30,14.0,0,0
2015-07-31,5.0,3,0
2015-08-01,2.0,0,0
2015-08-02,1.0,0,0
2015-08-03,20.0,0,0
2015-08-04,14.0,0,0
2015-08-05,10.0,0,0
2015-08-06,25.0,0,0
2015-08-07,38.0,0,1
2015-08-08,6.0,1,0
2015-08-09,17.0,0,0
2015-08-10,24.0,1,0
2015-08-11,34.0,0,15
2015-08-12,12.0,0,11
2015-08-13,9.0,0,1
2015-08-14,29.0,0,1
2015-08-15,0.0,0,1
2015-08-16,3.0,0,0
2015-08-17,20.0,0,0
2015-08-18,23.0,0,0
2015-08-19,22.0,0,0
2015-08-20,21.0,0,0
2015-08-21,19.0,0,0
2015-08-22,6.0,0,0
2015-08-23,7.0,0,0
2015-08-24,23.0,0,5
2015-08-25,39.0,0,1
2015-08-26,17.0,0,0
2015-08-27,14.0,0,0
2015-08-28,28.0,0,1
2015-08-29,0.0,0,0
2015-08-30,0.0,0,0
2015-08-31,15.0,0,1
2015-09-01,23.0,0,0
2015-09-02,12.0,0,1
2015-09-03,16.0,0,0
2015-09-04,34.0,0,0
2015-09-05,3.0,0,0
2015-09-06,0.0,0,0
2015-09-07,8.0,0,0
2015-09-08,19.0,0,1
2015-09-09,10.0,0,0
2015-09-10,22.0,0,0
2015-09-11,24.0,0,0
2015-09-12,0.0,0,0
2015-09-13,10.0,0,0
2015-09-14,2.0,0,3
2015-09-15,22.0,0,2
2015-09-16,43.0,0,0
2015-09-17,25.0,0,0
2015-09-18,48.0,0,0
2015-09-19,18.0,0,0
2015-09-20,0.0,0,0
2015-09-21,0.0,0,0
2015-09-22,5.0,0,1
2015-09-23,0.0,0,0
2015-09-24,8.0,0,2
2015-09-25,0.0,0,3
2015-09-26,0.0,0,0
2015-09-27,0.0,0,0
2015-09-28,0.0,0,1
2015-09-29,14.0,0,1
2015-09-30,13.0,0,0
2015-10-01,18.0,0,1
2015-10-02,16.0,0,2
2015-10-03,0.0,0,1
2015-10-04,0.0,0,0
2015-10-05,0.0,1,1
2015-10-06,0.0,0,1
2015-10-07,19.0,0,0
2015-10-08,10.0,0,1
2015-10-09,16.0,0,0
2015-10-10,4.0,0,0
2015-10-11,0.0,0,0
2015-10-12,22.0,0,0
2015-10-13,16.0,0,0
2015-10-14,31.0,0,0
2015-10-15,10.0,0,0
2015-10-16,30.0,0,1
2015-10-17,4.0,0,1
2015-10-18,0.0,0,0
2015-10-19,13.0,0,2
2015-10-20,11.0,0,0
2015-10-21,25.0,0,0
2015-10-22,4.0,0,1
2015-10-23,11.0,0,0
2015-10-24,0.0,0,0
2015-10-25,0.0,0,0
2015-10-26,13.0,0,1
2015-10-27,13.0,0,6
2015-10-28,23.0,0,0
2015-10-29,9.0,0,1
2015-10-30,12.0,0,3
2015-10-31,0.0,0,0
2015-11-01,0.0,0,0
2015-11-02,12.0,0,0
2015-11-03,8.0,0,4
2015-11-04,31.0,0,2
2015-11-05,21.0,0,0
2015-11-06,40.0,0,2
2015-11-07,0.0,0,0
2015-11-08,0.0,0,0
2015-11-09,12.0,0,1
2015-11-10,17.0,0,0
2015-11-11,15.0,0,2
2015-11-12,14.0,0,2
2015-11-13,26.0,0,3
2015-11-14,0.0,0,0
2015-11-15,0.0,0,0
2015-11-16,4.0,0,2
2015-11-17,21.0,0,2
2015-11-18,17.0,0,1
2015-11-19,15.0,0,0
2015-11-20,37.0,0,0
2015-11-21,0.0,0,1
2015-11-22,0.0,0,0
2015-11-23,18.0,0,1
2015-11-24,12.0,0,0
2015-11-25,20.0,0,2
2015-11-26,26.0,0,0
2015-11-27,40.0,0,0
2015-11-28,0.0,0,0
2015-11-29,0.0,0,0
2015-11-30,7.0,0,0
2015-12-01,23.0,0,0
2015-12-02,44.0,0,0
2015-12-03,18.0,0,0
2015-12-04,43.0,0,1
2015-12-05,1.0,0,1
2015-12-06,0.0,0,0
2015-12-07,0.0,0,0
2015-12-08,0.0,0,3
2015-12-09,0.0,0,1
