,plantuml/plantuml,mermaid-js/mermaid,yuzutech/kroki
2019-11-07,0,18,-0.033595410143749914
2019-11-08,0,30,0.0
2019-11-09,0,0,0.0
2019-11-10,0,0,0.0
2019-11-11,0,0,0.0
2019-11-12,0,10,0.0
2019-11-13,0,0,4.0
2019-11-14,0,0,-0.40000000000000036
2019-11-15,0,0,0.8199999999999998
2019-11-16,0,0,-0.2140000000000002
2019-11-17,0,14,1.8723500000000002
2019-11-18,0,2,-0.292967
2019-11-19,0,6,-0.16331054999999983
2019-11-20,0,10,-0.11749153499999987
2019-11-21,0,3,-0.09276026456249971
2019-11-22,0,0,-0.07692260639374977
2019-11-23,0,1,-0.0358923380156249
2019-11-24,0,0,-0.03058624503593741
2019-11-25,0,0,-0.01913662603124995
2019-11-26,0,4,-0.016797705071874957
2019-11-27,0,5,0.0
2019-11-28,0,21,0.0
2019-11-29,0,1,0.0
2019-11-30,0,13,0.0
2019-12-01,0,7,0.0
2019-12-02,0,5,0.0
2019-12-03,0,8,0.0
2019-12-04,0,5,0.0
2019-12-05,0,2,0.0
2019-12-06,0,1,0.0
2019-12-07,0,3,0.0
2019-12-08,0,7,0.0
2019-12-09,0,1,0.0
2019-12-10,1,12,0.0
2019-12-11,0,16,0.0
2019-12-12,0,2,0.0
2019-12-13,0,1,1.0
2019-12-14,0,6,6.9
2019-12-15,0,5,-0.7450000000000007
2019-12-16,0,1,-0.34350000000000025
2019-12-17,0,0,0.7798375
2019-12-18,0,7,3.7392457500000003
2019-12-19,0,2,-0.5709792625
2019-12-20,0,2,1.6882722162500001
2019-12-21,0,1,-0.4218866867656249
2019-12-22,0,0,-0.26414379364531204
2019-12-23,0,9,-0.19342098025156215
2019-12-24,0,2,-0.10506674624999966
2019-12-25,0,1,-0.08617659801562474
2019-12-26,0,2,-0.0729961295984373
2019-12-27,0,0,-0.05578280264374985
2019-12-28,0,0,-0.01913662603124995
2019-12-29,0,1,-0.016797705071874957
2019-12-30,0,0,0.0
2019-12-31,0,6,0.0
2020-01-01,0,4,0.0
2020-01-02,0,13,0.0
2020-01-03,0,1,0.0
2020-01-04,0,0,0.0
2020-01-05,0,3,0.0
2020-01-06,0,1,0.0
2020-01-07,0,1,0.0
2020-01-08,0,10,0.0
2020-01-09,0,2,0.0
2020-01-10,0,6,0.0
2020-01-11,0,2,0.0
2020-01-12,1,4,0.0
2020-01-13,0,2,0.0
2020-01-14,0,3,0.0
2020-01-15,0,11,0.0
2020-01-16,0,0,0.0
2020-01-17,0,0,0.0
2020-01-18,0,0,0.0
2020-01-19,0,1,0.0
2020-01-20,0,0,0.0
2020-01-21,0,0,0.0
2020-01-22,0,5,0.0
2020-01-23,0,0,0.0
2020-01-24,0,3,0.0
2020-01-25,0,2,0.0
2020-01-26,0,1,0.0
2020-01-27,0,9,0.0
2020-01-28,0,0,0.0
2020-01-29,0,8,0.0
2020-01-30,0,1,0.0
2020-01-31,0,0,0.0
2020-02-01,0,0,0.0
2020-02-02,0,1,0.0
2020-02-03,0,1,0.0
2020-02-04,0,2,0.0
2020-02-05,0,6,0.0
2020-02-06,0,0,0.0
2020-02-07,0,1,0.0
2020-02-08,0,0,0.0
2020-02-09,0,0,1.0
2020-02-10,0,0,-0.10000000000000009
2020-02-11,0,1,-0.04500000000000003
2020-02-12,0,0,-0.028500000000000022
2020-02-13,0,1,-0.020662499999999924
2020-02-14,0,0,-0.016116749999999947
2020-02-15,0,1,1.9868379875
2020-02-16,0,30,0.7889063037499998
2020-02-17,0,1,-0.19956831301562514
2020-02-18,1,0,-0.11039885253593756
2020-02-19,0,0,-0.06982499999999987
2020-02-20,0,0,-0.05289599999999982
2020-02-21,0,8,-0.04244077499999987
2020-02-22,0,2,0.964650595
2020-02-23,0,16,4.86976967771875
2020-02-24,0,7,-0.5713660180875004
2020-02-25,0,6,5.738101147464063
2020-02-26,0,7,-0.7631625000000005
2020-02-27,0,10,-0.3894292499999997
2020-02-28,2,1,-0.2647457624999998
2020-02-29,0,9,-0.20087875874999933
2020-03-01,0,0,-0.1617372942656245
2020-03-02,0,3,-0.13521249261406212
2020-03-03,1,2,-0.1085564401796872
2020-03-04,0,1,6.9425901219062505
2020-03-05,0,0,12.249606884784374
2020-03-06,0,1,-1.6150000000000013
2020-03-07,0,2,-0.7845000000000005
2020-03-08,0,11,15.4848625
2020-03-09,0,1,-0.9814297500000002
2020-03-10,0,10,-1.1216518374999995
2020-03-11,0,10,-0.7497620362499996
2020-03-12,0,1,-0.5702962423593732
2020-03-13,0,0,-0.4617105369546861
2020-03-14,0,10,10.664105967032814
2020-03-15,0,0,-1.2906611525000005
2020-03-16,0,3,3.3408132955000003
2020-03-17,0,4,4.142550046409375
2020-03-18,1,4,-0.9156863525359372
2020-03-19,1,0,5.48371575
2020-03-20,0,0,-0.9699321374999998
2020-03-21,0,0,1.4401898412500007
2020-03-22,0,4,4.390516756828125
2020-03-23,0,0,1.083452774604688
2020-03-24,0,2,-0.6724422333124999
2020-03-25,0,5,-0.43423405022187456
2020-03-26,0,0,2.6988975598203133
2020-03-27,0,0,5.49435734690625
2020-03-28,0,4,-0.9056240702156251
2020-03-29,0,4,-0.4564291322812499
2020-03-30,0,7,-0.3198141626499996
2020-03-31,0,0,2.766543861289063
2020-04-01,0,1,0.5470157574281251
2020-04-02,0,5,1.6527468362500002
2020-04-03,0,0,0.574232883453125
2020-04-04,0,5,-0.36309393570156223
2020-04-05,1,1,-0.22140586521562472
2020-04-06,0,0,0.8745722125000003
2020-04-07,0,0,1.8006608987500003
2020-04-08,0,0,-0.327239410296875
2020-04-09,0,2,-0.1886142756234374
