,DevExpress/testcafe,seleniumhq/selenium,cypress-io/cypress
2019-11-23,0,2,0
2019-11-24,0,0,0
2019-11-25,1,1,1
2019-11-26,2,0,9
2019-11-27,1,2,11
2019-11-28,0,3,7
2019-11-29,0,6,0
2019-11-30,0,0,0
2019-12-01,0,0,0
2019-12-02,1,6,9
2019-12-03,1,2,3
2019-12-04,0,1,5
2019-12-05,0,0,6
2019-12-06,1,1,12
2019-12-07,0,0,0
2019-12-08,0,1,0
2019-12-09,1,0,7
2019-12-10,0,0,3
2019-12-11,0,1,7
2019-12-12,0,0,13
2019-12-13,2,0,1
2019-12-14,0,1,0
2019-12-15,0,0,0
2019-12-16,0,0,3
2019-12-17,4,1,1
2019-12-18,7,0,2
2019-12-19,2,1,5
2019-12-20,2,0,0
2019-12-21,0,1,3
2019-12-22,0,0,1
2019-12-23,0,1,5
2019-12-24,0,0,2
2019-12-25,1,0,0
2019-12-26,0,1,5
2019-12-27,3,1,5
2019-12-28,0,0,1
2019-12-29,0,0,0
2019-12-30,3,0,1
2019-12-31,0,0,0
2020-01-01,0,3,0
2020-01-02,0,2,1
2020-01-03,0,8,1
2020-01-04,0,11,1
2020-01-05,0,0,0
2020-01-06,0,5,2
2020-01-07,0,2,6
2020-01-08,0,10,1
2020-01-09,1,3,9
2020-01-10,2,4,7
2020-01-11,0,1,2
2020-01-12,0,0,0
2020-01-13,1,0,7
2020-01-14,1,0,0
2020-01-15,0,3,4
2020-01-16,2,15,4
2020-01-17,7,0,0
2020-01-18,0,0,0
2020-01-19,0,0,0
2020-01-20,0,0,1
2020-01-21,2,1,0
2020-01-22,0,0,2
2020-01-23,3,4,1
2020-01-24,0,0,3
2020-01-25,0,0,2
2020-01-26,0,0,1
2020-01-27,0,1,5
2020-01-28,1,0,0
2020-01-29,2,0,2
2020-01-30,0,2,4
2020-01-31,0,0,5
2020-02-01,0,0,1
2020-02-02,0,0,0
2020-02-03,0,0,6
2020-02-04,4,14,3
2020-02-05,1,0,7
2020-02-06,3,0,7
2020-02-07,2,0,10
2020-02-08,0,1,0
2020-02-09,0,0,0
2020-02-10,1,0,4
2020-02-11,0,0,3
2020-02-12,2,2,4
2020-02-13,0,0,5
2020-02-14,2,2,10
2020-02-15,0,3,2
2020-02-16,0,0,0
2020-02-17,6,1,1
2020-02-18,2,0,2
2020-02-19,1,0,3
2020-02-20,0,0,5
2020-02-21,1,0,6
2020-02-22,0,0,1
2020-02-23,0,0,0
2020-02-24,0,2,8
2020-02-25,3,0,10
2020-02-26,1,1,5
2020-02-27,0,1,3
2020-02-28,0,4,14
2020-02-29,0,1,3
2020-03-01,0,0,0
2020-03-02,4,1,5
2020-03-03,5,1,6
2020-03-04,2,3,1
2020-03-05,2,7,2
2020-03-06,0,1,4
2020-03-07,0,3,3
2020-03-08,0,2,0
2020-03-09,0,1,5
2020-03-10,0,6,1
2020-03-11,0,2,4
2020-03-12,1,9,2
2020-03-13,0,5,1
2020-03-14,0,0,1
2020-03-15,0,0,0
2020-03-16,2,4,10
2020-03-17,2,13,8
2020-03-18,0,4,2
2020-03-19,1,2,1
2020-03-20,2,10,0
2020-03-21,0,3,2
2020-03-22,0,9,0
2020-03-23,1,2,3
2020-03-24,1,2,12
2020-03-25,2,1,4
2020-03-26,2,0,4
2020-03-27,1,1,15
2020-03-28,0,0,0
2020-03-29,0,0,0
2020-03-30,2,15,4
2020-03-31,3,38,0
2020-04-01,1,8,1
2020-04-02,0,7,4
2020-04-03,1,17,7
2020-04-04,0,4,0
2020-04-05,0,11,0
2020-04-06,2,9,10
2020-04-07,4,8,4
2020-04-08,2,3,2
2020-04-09,1,12,1
2020-04-10,0,3,6
2020-04-11,0,5,0
2020-04-12,0,16,0
2020-04-13,0,5,5
2020-04-14,1,13,4
2020-04-15,7,4,0
2020-04-16,0,4,2
2020-04-17,0,9,1
2020-04-18,0,12,0
2020-04-19,0,8,0
2020-04-20,0,12,9
2020-04-21,2,2,12
2020-04-22,2,1,4
2020-04-23,0,15,6
2020-04-24,1,5,1
2020-04-25,0,21,0
2020-04-26,0,8,3
2020-04-27,3,7,6
2020-04-28,0,10,6
2020-04-29,1,17,11
2020-04-30,1,1,6
2020-05-01,0,16,4
2020-05-02,0,0,6
2020-05-03,0,4,0
2020-05-04,0,7,11
2020-05-05,0,1,6
2020-05-06,2,10,4
2020-05-07,3,3,5
2020-05-08,3,1,20
2020-05-09,0,1,1
2020-05-10,0,0,0
2020-05-11,0,3,8
2020-05-12,0,14,7
2020-05-13,1,2,7
2020-05-14,1,0,6
2020-05-15,3,3,22
2020-05-16,0,1,12
2020-05-17,0,0,2
2020-05-18,0,2,17
2020-05-19,4,40,12
2020-05-20,3,19,7
2020-05-21,3,0,3
2020-05-22,2,3,2
2020-05-23,0,1,0
2020-05-24,0,3,2
2020-05-25,3,2,1
2020-05-26,2,2,9
2020-05-27,2,9,13
2020-05-28,5,13,8
2020-05-29,0,1,10
2020-05-30,0,1,3
2020-05-31,0,1,0
2020-06-01,6,5,8
2020-06-02,3,2,3
2020-06-03,1,1,8
2020-06-04,0,4,14
2020-06-05,2,7,15
2020-06-06,0,0,0
2020-06-07,0,0,0
2020-06-08,6,2,6
2020-06-09,2,2,6
2020-06-10,2,2,14
2020-06-11,1,2,1
2020-06-12,0,0,8
2020-06-13,0,2,1
2020-06-14,0,0,0
2020-06-15,3,1,5
2020-06-16,0,9,5
2020-06-17,1,0,6
2020-06-18,2,9,4
2020-06-19,3,7,5
2020-06-20,1,0,1
2020-06-21,0,0,0
2020-06-22,3,4,8
2020-06-23,5,0,6
2020-06-24,1,2,3
2020-06-25,1,0,3
2020-06-26,1,1,3
2020-06-27,0,0,1
2020-06-28,0,0,0
2020-06-29,1,3,9
2020-06-30,5,0,13
2020-07-01,0,6,5
2020-07-02,0,2,4
2020-07-03,3,0,2
2020-07-04,0,0,1
2020-07-05,0,0,0
2020-07-06,8,0,5
2020-07-07,1,11,9
2020-07-08,1,4,6
2020-07-09,1,1,1
2020-07-10,0,6,4
2020-07-11,0,8,4
2020-07-12,0,0,1
2020-07-13,2,5,20
2020-07-14,3,5,5
2020-07-15,2,9,11
2020-07-16,5,9,7
2020-07-17,0,6,9
2020-07-18,1,1,13
2020-07-19,0,2,2
2020-07-20,1,8,22
2020-07-21,2,14,6
2020-07-22,0,4,6
2020-07-23,0,4,11
2020-07-24,0,3,1
2020-07-25,0,0,2
2020-07-26,0,0,0
2020-07-27,0,1,2
2020-07-28,2,1,5
2020-07-29,3,3,4
2020-07-30,0,1,2
2020-07-31,5,0,2
2020-08-01,0,0,0
2020-08-02,0,1,0
2020-08-03,2,2,7
2020-08-04,2,0,4
2020-08-05,1,2,2
2020-08-06,8,0,2
2020-08-07,1,0,3
2020-08-08,0,0,1
2020-08-09,0,0,0
2020-08-10,0,1,18
2020-08-11,1,3,4
2020-08-12,4,3,12
2020-08-13,0,1,11
2020-08-14,0,1,8
2020-08-15,0,1,4
2020-08-16,0,0,0
2020-08-17,0,7,4
2020-08-18,2,12,4
2020-08-19,3,4,6
2020-08-20,0,2,1
2020-08-21,1,5,5
2020-08-22,0,1,0
2020-08-23,0,0,0
2020-08-24,1,0,6
2020-08-25,0,0,2
2020-08-26,4,0,1
2020-08-27,3,1,7
2020-08-28,1,0,2
2020-08-29,0,0,1
2020-08-30,0,0,0
2020-08-31,1,0,5
2020-09-01,1,0,5
2020-09-02,2,0,2
2020-09-03,5,2,1
2020-09-04,0,7,1
2020-09-05,0,0,0
2020-09-06,0,1,0
2020-09-07,0,20,0
2020-09-08,1,3,7
2020-09-09,0,3,5
2020-09-10,2,4,8
2020-09-11,1,2,9
2020-09-12,0,0,1
2020-09-13,0,1,0
2020-09-14,2,6,8
2020-09-15,0,12,5
2020-09-16,2,9,6
2020-09-17,2,5,7
2020-09-18,1,2,4
2020-09-19,0,0,4
2020-09-20,0,0,0
2020-09-21,1,6,1
2020-09-22,1,2,3
2020-09-23,1,0,2
2020-09-24,1,1,6
2020-09-25,1,8,16
2020-09-26,0,0,3
2020-09-27,0,0,1
2020-09-28,0,6,5
2020-09-29,0,18,14
2020-09-30,0,7,7
2020-10-01,2,1,9
2020-10-02,1,8,5
2020-10-03,0,0,1
2020-10-04,0,0,0
2020-10-05,2,4,1
2020-10-06,0,6,7
2020-10-07,1,13,8
2020-10-08,1,0,12
2020-10-09,2,4,2
2020-10-10,0,1,0
2020-10-11,0,0,1
2020-10-12,1,6,0
2020-10-13,0,7,6
2020-10-14,0,4,15
2020-10-15,2,3,2
2020-10-16,0,0,3
2020-10-17,0,0,0
2020-10-18,0,1,0
2020-10-19,1,3,4
2020-10-20,4,18,3
2020-10-21,0,5,4
2020-10-22,0,0,2
2020-10-23,0,3,2
2020-10-24,0,0,0
2020-10-25,0,0,0
2020-10-26,2,5,7
2020-10-27,0,5,4
2020-10-28,0,4,4
2020-10-29,1,9,14
2020-10-30,1,3,14
2020-10-31,0,0,0
2020-11-01,0,5,0
2020-11-02,1,12,5
2020-11-03,2,8,6
2020-11-04,0,9,3
2020-11-05,0,11,1
2020-11-06,1,10,1
2020-11-07,0,5,0
2020-11-08,0,4,0
2020-11-09,0,19,8
2020-11-10,3,27,5
2020-11-11,1,6,0
2020-11-12,1,13,1
2020-11-13,2,13,0
2020-11-14,0,2,3
2020-11-15,0,4,0
2020-11-16,4,9,4
2020-11-17,0,16,3
2020-11-18,1,6,1
2020-11-19,1,11,1
2020-11-20,0,8,3
2020-11-21,0,3,0
2020-11-22,0,12,0
2020-11-23,2,24,14
2020-11-24,2,39,4
2020-11-25,2,5,1
2020-11-26,4,8,0
2020-11-27,8,11,0
2020-11-28,0,10,0
2020-11-29,0,13,0
2020-11-30,2,11,15
2020-12-01,1,7,0
2020-12-02,3,14,7
2020-12-03,1,7,9
2020-12-04,2,12,4
2020-12-05,0,6,0
2020-12-06,0,13,0
2020-12-07,3,12,5
2020-12-08,1,7,0
2020-12-09,2,8,5
2020-12-10,0,6,2
2020-12-11,7,5,3
2020-12-12,0,0,0
2020-12-13,0,0,0
2020-12-14,1,2,3
2020-12-15,4,10,0
2020-12-16,5,2,5
2020-12-17,1,7,3
2020-12-18,0,9,3
2020-12-19,0,0,0
2020-12-20,0,4,1
2020-12-21,2,4,12
2020-12-22,1,3,0
2020-12-23,2,0,2
2020-12-24,1,2,1
2020-12-25,3,1,0
2020-12-26,0,0,0
2020-12-27,0,0,0
2020-12-28,2,1,2
2020-12-29,1,1,2
2020-12-30,1,1,0
2020-12-31,0,0,0
2021-01-01,0,0,0
2021-01-02,0,2,0
2021-01-03,0,5,0
2021-01-04,0,3,3
2021-01-05,0,4,13
2021-01-06,0,2,7
2021-01-07,0,5,0
2021-01-08,1,10,5
2021-01-09,0,3,0
2021-01-10,0,1,0
2021-01-11,2,4,9
2021-01-12,2,3,2
2021-01-13,4,11,3
2021-01-14,4,9,1
2021-01-15,2,5,1
2021-01-16,0,0,0
2021-01-17,0,2,1
2021-01-18,2,0,0
2021-01-19,2,5,5
2021-01-20,4,2,4
2021-01-21,0,12,3
2021-01-22,1,15,4
2021-01-23,0,5,0
2021-01-24,0,4,0
2021-01-25,2,9,0
2021-01-26,2,10,3
2021-01-27,1,5,11
2021-01-28,1,9,1
2021-01-29,1,3,6
2021-01-30,1,4,2
2021-01-31,0,6,0
2021-02-01,0,9,7
2021-02-02,0,25,4
2021-02-03,0,7,0
2021-02-04,0,11,12
2021-02-05,1,5,28
2021-02-06,0,7,0
2021-02-07,0,7,0
2021-02-08,2,9,24
2021-02-09,4,22,21
2021-02-10,1,12,6
2021-02-11,2,20,9
2021-02-12,1,9,11
2021-02-13,0,20,0
2021-02-14,0,5,2
2021-02-15,9,13,13
2021-02-16,1,6,15
2021-02-17,0,10,18
2021-02-18,2,4,14
2021-02-19,1,6,3
2021-02-20,0,4,1
2021-02-21,0,4,0
2021-02-22,0,15,8
2021-02-23,0,11,3
2021-02-24,1,5,4
2021-02-25,2,2,9
2021-02-26,1,0,2
2021-02-27,0,0,1
2021-02-28,0,1,1
2021-03-01,0,12,3
2021-03-02,1,8,5
2021-03-03,1,10,10
2021-03-04,4,4,6
2021-03-05,1,2,15
2021-03-06,0,3,3
2021-03-07,1,1,0
2021-03-08,0,3,11
2021-03-09,1,5,4
2021-03-10,1,6,17
2021-03-11,5,7,4
2021-03-12,0,7,4
2021-03-13,1,4,1
2021-03-14,0,0,1
2021-03-15,2,34,18
2021-03-16,2,15,22
2021-03-17,3,9,9
2021-03-18,1,9,15
2021-03-19,1,9,13
2021-03-20,1,0,2
2021-03-21,0,1,0
2021-03-22,4,4,11
2021-03-23,1,11,7
2021-03-24,2,3,3
2021-03-25,1,2,5
2021-03-26,1,3,5
2021-03-27,0,1,0
2021-03-28,0,0,0
2021-03-29,1,5,14
2021-03-30,0,9,19
2021-03-31,1,1,7
2021-04-01,3,3,21
2021-04-02,2,0,16
2021-04-03,0,0,1
2021-04-04,0,0,0
2021-04-05,1,0,20
2021-04-06,0,2,11
2021-04-07,2,6,7
2021-04-08,3,8,2
2021-04-09,4,5,4
2021-04-10,0,0,1
2021-04-11,0,3,0
2021-04-12,0,14,5
2021-04-13,0,17,13
2021-04-14,0,1,3
2021-04-15,1,2,8
2021-04-16,2,0,3
2021-04-17,0,0,0
2021-04-18,0,0,0
2021-04-19,4,5,3
2021-04-20,0,9,3
2021-04-21,1,6,17
2021-04-22,2,6,17
2021-04-23,0,0,4
2021-04-24,0,2,0
2021-04-25,0,0,0
2021-04-26,17,5,13
2021-04-27,4,5,10
2021-04-28,4,0,5
2021-04-29,0,4,16
2021-04-30,1,0,9
2021-05-01,0,0,0
2021-05-02,0,2,0
2021-05-03,0,1,4
2021-05-04,3,2,2
2021-05-05,2,4,17
2021-05-06,4,9,6
2021-05-07,7,2,7
2021-05-08,0,0,0
2021-05-09,0,1,0
2021-05-10,1,9,13
2021-05-11,0,11,12
2021-05-12,8,11,13
2021-05-13,0,2,13
2021-05-14,1,0,4
2021-05-15,0,0,0
2021-05-16,0,0,0
2021-05-17,1,1,5
2021-05-18,0,5,1
2021-05-19,0,6,5
2021-05-20,0,0,5
2021-05-21,0,1,4
2021-05-22,0,0,0
2021-05-23,0,0,0
2021-05-24,2,13,9
2021-05-25,1,3,1
2021-05-26,1,6,10
2021-05-27,4,3,2
2021-05-28,2,0,2
2021-05-29,0,0,0
2021-05-30,0,0,0
2021-05-31,1,0,6
2021-06-01,2,2,9
2021-06-02,2,4,8
2021-06-03,1,5,5
2021-06-04,3,13,11
2021-06-05,0,0,0
2021-06-06,0,0,0
2021-06-07,4,6,7
2021-06-08,0,8,8
2021-06-09,0,6,5
2021-06-10,0,18,4
2021-06-11,0,2,1
2021-06-12,0,0,0
2021-06-13,0,2,0
2021-06-14,0,3,1
2021-06-15,0,3,3
2021-06-16,1,5,3
2021-06-17,2,4,13
2021-06-18,1,0,4
2021-06-19,0,0,0
2021-06-20,0,0,0
2021-06-21,0,0,4
2021-06-22,1,3,4
2021-06-23,0,0,6
2021-06-24,0,2,15
2021-06-25,0,3,4
2021-06-26,0,0,0
2021-06-27,0,0,1
2021-06-28,2,4,1
2021-06-29,0,3,10
2021-06-30,2,4,5
2021-07-01,0,4,0
2021-07-02,0,4,0
2021-07-03,0,2,0
2021-07-04,0,0,0
2021-07-05,0,3,1
2021-07-06,1,8,12
2021-07-07,2,1,8
2021-07-08,4,3,2
2021-07-09,1,1,1
2021-07-10,0,0,0
2021-07-11,0,0,0
2021-07-12,7,7,13
2021-07-13,1,7,7
2021-07-14,1,1,3
2021-07-15,1,6,2
2021-07-16,1,7,5
2021-07-17,0,0,0
2021-07-18,0,0,0
2021-07-19,2,2,13
2021-07-20,0,3,14
2021-07-21,4,2,11
2021-07-22,0,0,8
2021-07-23,0,1,6
2021-07-24,0,0,5
2021-07-25,0,0,1
2021-07-26,1,0,10
2021-07-27,1,2,5
2021-07-28,2,3,6
2021-07-29,0,1,17
2021-07-30,0,3,5
2021-07-31,0,0,7
2021-08-01,0,0,1
2021-08-02,4,0,21
2021-08-03,1,2,19
2021-08-04,0,0,29
2021-08-05,0,10,14
2021-08-06,0,3,26
2021-08-07,0,0,0
2021-08-08,0,0,0
2021-08-09,0,5,6
2021-08-10,0,8,6
2021-08-11,4,5,5
2021-08-12,1,1,9
2021-08-13,3,3,0
2021-08-14,1,0,0
2021-08-15,0,0,0
2021-08-16,0,9,5
2021-08-17,0,0,6
2021-08-18,3,4,17
2021-08-19,2,0,6
2021-08-20,5,3,1
2021-08-21,1,1,0
2021-08-22,1,0,0
2021-08-23,2,3,14
2021-08-24,1,4,12
2021-08-25,0,0,8
2021-08-26,3,4,2
2021-08-27,0,2,4
2021-08-28,0,0,0
2021-08-29,0,0,1
2021-08-30,1,7,6
2021-08-31,0,8,10
2021-09-01,2,14,3
2021-09-02,3,2,0
2021-09-03,0,1,0
2021-09-04,0,0,0
2021-09-05,0,5,0
2021-09-06,0,3,1
2021-09-07,0,3,8
2021-09-08,6,7,6
2021-09-09,2,1,12
2021-09-10,0,4,19
2021-09-11,0,0,4
2021-09-12,0,1,1
2021-09-13,1,6,12
2021-09-14,3,5,7
2021-09-15,0,2,8
2021-09-16,2,6,9
2021-09-17,1,5,6
2021-09-18,0,0,0
2021-09-19,0,0,0
2021-09-20,0,10,2
2021-09-21,0,11,8
2021-09-22,1,10,4
2021-09-23,1,0,9
2021-09-24,0,17,8
2021-09-25,0,2,2
2021-09-26,0,0,0
2021-09-27,0,11,6
2021-09-28,2,38,4
2021-09-29,1,17,3
2021-09-30,1,11,5
2021-10-01,1,3,5
2021-10-02,0,0,2
2021-10-03,0,0,0
2021-10-04,1,2,3
2021-10-05,3,1,8
2021-10-06,2,0,12
2021-10-07,0,8,8
2021-10-08,1,14,12
2021-10-09,0,4,3
2021-10-10,0,1,0
2021-10-11,1,9,8
2021-10-12,1,12,5
2021-10-13,0,16,12
2021-10-14,0,5,9
2021-10-15,0,3,14
2021-10-16,0,0,0
2021-10-17,0,1,0
2021-10-18,1,7,8
2021-10-19,2,8,10
2021-10-20,1,14,26
2021-10-21,0,5,5
2021-10-22,6,7,8
2021-10-23,0,0,1
2021-10-24,0,0,0
2021-10-25,0,12,17
2021-10-26,0,1,8
2021-10-27,2,3,5
2021-10-28,0,1,4
2021-10-29,0,3,11
2021-10-30,0,0,0
2021-10-31,0,1,0
2021-11-01,1,0,15
2021-11-02,3,2,7
2021-11-03,10,8,3
2021-11-04,0,4,7
2021-11-05,0,8,3
2021-11-06,0,0,0
2021-11-07,0,0,0
2021-11-08,1,2,8
2021-11-09,2,6,20
2021-11-10,2,0,15
2021-11-11,2,0,0
2021-11-12,1,0,3
2021-11-13,0,0,0
2021-11-14,0,0,2
2021-11-15,0,3,6
2021-11-16,4,10,8
2021-11-17,1,17,3
2021-11-18,4,12,6
2021-11-19,0,5,7
2021-11-20,0,0,4
2021-11-21,0,0,1
2021-11-22,1,9,9
2021-11-23,1,6,8
2021-11-24,1,3,7
2021-11-25,0,0,0
2021-11-26,2,7,0
2021-11-27,0,4,0
2021-11-28,0,1,1
2021-11-29,2,6,21
2021-11-30,1,7,3
2021-12-01,1,21,4
2021-12-02,1,3,12
2021-12-03,4,3,10
2021-12-04,0,0,2
2021-12-05,0,0,4
2021-12-06,1,0,7
2021-12-07,1,0,22
2021-12-08,2,2,11
2021-12-09,0,2,10
2021-12-10,1,3,7
2021-12-11,0,0,1
2021-12-12,0,4,1
2021-12-13,1,6,1
2021-12-14,5,3,4
2021-12-15,0,1,6
2021-12-16,2,3,17
2021-12-17,0,4,5
2021-12-18,0,0,2
2021-12-19,0,0,0
2021-12-20,0,4,10
2021-12-21,0,0,12
2021-12-22,2,0,5
2021-12-23,4,1,0
2021-12-24,0,14,0
2021-12-25,0,1,0
2021-12-26,0,9,0
2021-12-27,9,4,0
2021-12-28,0,0,0
2021-12-29,0,3,0
2021-12-30,0,4,0
2021-12-31,0,5,0
2022-01-01,0,7,0
2022-01-02,0,0,0
2022-01-03,0,1,7
2022-01-04,0,8,7
2022-01-05,0,3,6
2022-01-06,0,3,8
2022-01-07,0,1,7
2022-01-08,0,2,0
2022-01-09,0,2,0
2022-01-10,1,5,14
2022-01-11,2,2,4
2022-01-12,0,2,9
2022-01-13,2,2,6
2022-01-14,0,0,5
2022-01-15,0,1,0
2022-01-16,0,1,0
2022-01-17,0,4,0
2022-01-18,2,0,10
2022-01-19,2,5,13
2022-01-20,1,4,10
2022-01-21,0,4,23
2022-01-22,0,1,0
2022-01-23,0,1,0
2022-01-24,1,11,9
2022-01-25,6,0,15
2022-01-26,2,0,9
2022-01-27,0,3,10
2022-01-28,0,2,9
2022-01-29,0,2,1
2022-01-30,0,3,0
2022-01-31,0,3,17
2022-02-01,0,2,5
2022-02-02,0,6,6
2022-02-03,0,15,5
2022-02-04,1,7,5
2022-02-05,0,0,1
2022-02-06,0,1,0
2022-02-07,0,0,11
2022-02-08,2,0,31
2022-02-09,0,5,11
2022-02-10,0,2,24
2022-02-11,0,3,16
2022-02-12,0,0,2
2022-02-13,0,0,1
2022-02-14,0,2,17
2022-02-15,0,0,9
2022-02-16,2,0,8
2022-02-17,1,0,9
2022-02-18,2,2,19
2022-02-19,0,4,2
2022-02-20,0,0,2
2022-02-21,2,5,19
2022-02-22,2,6,30
2022-02-23,0,3,18
2022-02-24,0,3,9
2022-02-25,3,4,19
2022-02-26,0,1,5
2022-02-27,0,0,1
2022-02-28,3,3,14
2022-03-01,0,11,10
2022-03-02,0,2,8
2022-03-03,0,8,6
2022-03-04,0,6,21
2022-03-05,0,0,2
2022-03-06,0,0,2
2022-03-07,0,0,8
2022-03-08,0,2,22
2022-03-09,0,5,19
2022-03-10,0,2,10
2022-03-11,0,1,6
2022-03-12,0,1,0
2022-03-13,0,0,0
2022-03-14,0,0,22
2022-03-15,0,0,23
2022-03-16,2,0,22
2022-03-17,0,2,5
2022-03-18,0,0,4
2022-03-19,0,0,0
2022-03-20,0,0,0
2022-03-21,0,1,12
2022-03-22,1,2,17
2022-03-23,0,5,21
2022-03-24,0,5,25
2022-03-25,1,5,12
2022-03-26,0,4,0
2022-03-27,0,2,3
2022-03-28,1,3,15
2022-03-29,2,4,30
2022-03-30,4,10,15
2022-03-31,2,0,22
2022-04-01,2,11,18
2022-04-02,0,1,0
2022-04-03,0,0,0
2022-04-04,0,2,16
2022-04-05,1,3,15
2022-04-06,1,9,16
2022-04-07,4,12,14
2022-04-08,1,7,20
2022-04-09,0,1,0
2022-04-10,0,1,1
2022-04-11,0,3,18
2022-04-12,0,0,16
2022-04-13,0,9,11
2022-04-14,2,13,19
2022-04-15,1,0,6
2022-04-16,0,0,0
2022-04-17,0,1,0
2022-04-18,4,2,6
2022-04-19,0,1,16
2022-04-20,0,7,7
2022-04-21,0,5,7
2022-04-22,0,1,6
2022-04-23,0,2,2
2022-04-24,0,0,0
2022-04-25,2,1,12
2022-04-26,0,0,9
2022-04-27,1,8,4
2022-04-28,0,13,8
2022-04-29,0,1,10
2022-04-30,0,0,0
2022-05-01,0,2,1
2022-05-02,0,7,17
2022-05-03,0,5,26
2022-05-04,1,1,10
2022-05-05,1,8,31
2022-05-06,4,0,17
2022-05-07,0,12,0
2022-05-08,0,0,0
2022-05-09,0,15,32
2022-05-10,2,10,12
2022-05-11,1,5,8
2022-05-12,3,8,20
2022-05-13,2,3,17
2022-05-14,0,3,0
2022-05-15,0,1,0
2022-05-16,1,1,9
2022-05-17,3,0,18
2022-05-18,1,3,7
2022-05-19,2,2,6
2022-05-20,0,1,2
2022-05-21,0,0,0
2022-05-22,0,0,0
2022-05-23,1,7,8
2022-05-24,2,19,8
2022-05-25,0,27,10
2022-05-26,2,1,7
2022-05-27,2,21,11
2022-05-28,0,0,0
2022-05-29,0,1,0
2022-05-30,0,10,0
2022-05-31,4,8,7
2022-06-01,2,3,18
2022-06-02,1,1,9
2022-06-03,0,2,3
2022-06-04,0,0,0
2022-06-05,0,0,0
2022-06-06,1,0,10
2022-06-07,2,2,3
2022-06-08,1,11,2
2022-06-09,0,14,3
2022-06-10,0,5,8
2022-06-11,0,0,0
2022-06-12,0,0,0
2022-06-13,0,9,17
2022-06-14,0,3,2
2022-06-15,2,1,4
2022-06-16,1,2,4
2022-06-17,0,4,2
2022-06-18,0,1,0
2022-06-19,0,3,0
2022-06-20,0,2,0
2022-06-21,0,1,4
2022-06-22,1,16,5
2022-06-23,2,30,6
2022-06-24,1,3,2
