,sveltejs/svelte,angular/angular,facebook/react
2021-08-23,0,3.0,3
2021-08-24,6,0.0,5
2021-08-25,1,12.0,2
2021-08-26,0,14.0,3
2021-08-27,8,0.0,0
2021-08-28,1,0.0,1
2021-08-29,0,0.0,0
2021-08-30,0,3.0,4
2021-08-31,0,0.0,0
2021-09-01,2,4.0,5
2021-09-02,2,14.0,1
2021-09-03,0,0.0,0
2021-09-04,0,0.0,0
2021-09-05,0,0.0,0
2021-09-06,0,0.0,11
2021-09-07,0,11.0,11
2021-09-08,0,4.0,3
2021-09-09,0,25.0,6
2021-09-10,8,9.0,3
2021-09-11,0,0.0,1
2021-09-12,0,0.0,1
2021-09-13,0,10.0,2
2021-09-14,0,17.0,3
2021-09-15,5,20.0,4
2021-09-16,0,11.0,0
2021-09-17,0,13.0,6
2021-09-18,0,0.0,0
2021-09-19,0,1.0,0
2021-09-20,0,11.0,12
2021-09-21,0,10.0,13
2021-09-22,7,10.0,7
2021-09-23,0,29.0,3
2021-09-24,0,12.0,8
2021-09-25,1,0.0,0
2021-09-26,1,0.0,0
2021-09-27,0,13.0,9
2021-09-28,1,7.0,4
2021-09-29,1,18.0,4
2021-09-30,6,3.0,7
2021-10-01,2,85.0,2
2021-10-02,0,0.0,1
2021-10-03,4,1.0,0
2021-10-04,0,22.0,2
2021-10-05,0,13.0,1
2021-10-06,0,28.0,3
2021-10-07,2,8.0,1
2021-10-08,0,10.0,3
2021-10-09,0,1.0,0
2021-10-10,1,1.0,0
2021-10-11,0,6.0,2
2021-10-12,2,17.0,1
2021-10-13,0,11.0,3
2021-10-14,0,9.0,3
2021-10-15,0,8.0,6
2021-10-16,0,0.0,0
2021-10-17,3,0.0,0
2021-10-18,0,17.0,3
2021-10-19,1,15.0,6
2021-10-20,2,5.0,4
2021-10-21,1,10.0,7
2021-10-22,1,0.0,1
2021-10-23,0,0.0,0
2021-10-24,1,0.0,1
2021-10-25,1,10.0,0
2021-10-26,0,15.0,0
2021-10-27,0,5.0,3
2021-10-28,0,4.0,1
2021-10-29,0,45.0,0
2021-10-30,0,0.0,0
2021-10-31,0,0.0,3
2021-11-01,2,2.0,6
2021-11-02,3,3.0,2
2021-11-03,1,12.0,3
2021-11-04,3,20.0,4
2021-11-05,0,18.0,1
2021-11-06,1,0.0,1
2021-11-07,0,0.0,0
2021-11-08,2,15.0,3
2021-11-09,3,17.0,6
2021-11-10,0,25.0,0
2021-11-11,1,0.0,2
2021-11-12,0,0.0,2
2021-11-13,0,0.0,0
2021-11-14,1,0.0,0
2021-11-15,1,3.0,11
