,freecodecamp/freecodecamp,ossu/computer-science,exercism/exercism
2022-11-11,8,0.0,0
2022-11-12,0,0.0,0
2022-11-13,0,2.0,0
2022-11-14,9,-0.20000000000000018,0
2022-11-15,3,-0.09000000000000007,0
2022-11-16,3,-0.057000000000000044,0
2022-11-17,3,-0.04132499999999985,0
2022-11-18,2,-0.032233499999999894,0
2022-11-19,0,-0.02632402499999992,0
2022-11-20,0,-0.022187392499999934,0
2022-11-21,2,-0.01913662603124995,0
2022-11-22,3,0.983202294928125,0
2022-11-23,1,-0.10000000000000009,1
2022-11-24,3,-0.04500000000000003,0
2022-11-25,9,-0.028500000000000022,0
2022-11-26,0,-0.020662499999999924,0
2022-11-27,1,1.98388325,0
2022-11-28,5,-0.21316201250000014,0
2022-11-29,1,-0.10109369625000003,0
2022-11-30,5,3.933431686984375,0
2022-12-01,3,-0.44972385253593766,0
2022-12-02,9,-0.21223350000000002,1
2022-12-03,0,1.859675975,0
2022-12-04,0,-0.3048373924999998,0
2022-12-05,7,-0.1736036260312498,0
2022-12-06,7,-0.12644575507187483,0
2022-12-07,4,-0.08569978499999972,0
2022-12-08,3,1.9294932479375002,0
2022-12-09,7,-0.25991943514375004,0
2022-12-10,2,-0.1121873925,0
2022-12-11,1,-0.07613662603124999,0
2022-12-12,10,-0.05812270507187481,0
2022-12-13,2,0.9677665000000001,1
2022-12-14,8,-0.126324025,0
2022-12-15,4,-0.06718739249999997,0
2022-12-16,7,-0.047636626031249976,0
2022-12-17,0,-0.03746020507187488,0
2022-12-18,0,3.98388325,0
2022-12-19,7,1.5868379874999996,0
2022-12-20,8,-0.3910936962500003,0
2022-12-21,4,-0.21356831301562512,0
2022-12-22,7,-0.14804885253593722,0
2022-12-23,6,-0.10579199999999964,0
2022-12-24,1,-0.08488154999999974,0
2022-12-25,0,-0.07069880999999979,0
2022-12-26,0,-0.06046064456249983,0
2022-12-27,0,-0.052732036174999865,0
2022-12-28,1,-0.016797705071874957,0
2022-12-29,0,0.0,0
2022-12-30,1,0.0,0
2022-12-31,3,0.0,0
2023-01-01,0,0.0,0
2023-01-02,12,0.0,0
2023-01-03,10,0.0,0
2023-01-04,7,0.0,0
2023-01-05,5,0.0,0
2023-01-06,7,0.0,0
2023-01-07,6,0.0,0
2023-01-08,3,0.0,0
2023-01-09,6,0.0,0
2023-01-10,9,0.0,0
2023-01-11,8,2.0,0
2023-01-12,3,-0.20000000000000018,0
2023-01-13,3,-0.09000000000000007,0
2023-01-14,0,-0.057000000000000044,0
2023-01-15,0,1.9586750000000002,0
2023-01-16,2,-0.23223350000000006,0
2023-01-17,6,-0.11632402499999998,0
2023-01-18,2,-0.07918739249999998,0
2023-01-19,8,-0.0604616260312498,0
2023-01-20,3,-0.04903120507187485,0
2023-01-21,1,1.9736759750000001,0
2023-01-22,0,-0.2221873925000001,0
2023-01-23,11,-0.10913662603125002,0
2023-01-24,1,-0.073797705071875,0
2023-01-25,10,-0.04132499999999985,0
2023-01-26,7,-0.032233499999999894,0
2023-01-27,6,-0.02632402499999992,0
2023-01-28,0,-0.022187392499999934,0
2023-01-29,1,-0.01913662603124995,0
2023-01-30,7,-0.016797705071874957,0
2023-01-31,3,0.0,0
2023-02-01,6,0.0,0
2023-02-02,7,0.0,0
2023-02-03,2,0.0,0
2023-02-04,0,0.0,0
2023-02-05,1,0.0,0
2023-02-06,2,1.0,0
2023-02-07,2,-0.10000000000000009,0
2023-02-08,8,-0.04500000000000003,0
2023-02-09,6,-0.028500000000000022,0
2023-02-10,11,-0.020662499999999924,1
2023-02-11,4,-0.016116749999999947,0
2023-02-12,0,-0.01316201249999996,0
2023-02-13,7,-0.011093696249999967,0
2023-02-14,3,-0.009568313015624975,0
2023-02-15,0,-0.008398852535937478,0
2023-02-16,7,0.0,0
2023-02-17,5,0.0,0
2023-02-18,15,0.0,0
2023-02-19,3,0.0,0
2023-02-20,6,0.0,0
2023-02-21,10,0.0,0
2023-02-22,4,0.0,0
2023-02-23,8,0.0,0
2023-02-24,9,0.0,0
2023-02-25,0,0.0,0
2023-02-26,0,0.0,0
2023-02-27,5,0.0,0
2023-02-28,14,0.0,0
2023-03-01,2,0.0,0
2023-03-02,4,0.0,0
2023-03-03,2,0.0,0
2023-03-04,0,0.0,0
2023-03-05,0,0.0,0
2023-03-06,11,0.0,0
2023-03-07,8,0.0,0
2023-03-08,8,0.0,0
2023-03-09,6,0.0,0
2023-03-10,12,0.0,0
2023-03-11,3,0.0,0
2023-03-12,1,0.0,0
2023-03-13,8,0.0,0
2023-03-14,6,0.0,0
2023-03-15,6,0.0,0
2023-03-16,9,0.0,0
2023-03-17,5,0.0,0
2023-03-18,5,0.0,0
2023-03-19,1,0.0,0
2023-03-20,5,0.0,0
2023-03-21,14,0.0,0
2023-03-22,3,0.0,0
2023-03-23,9,0.0,0
2023-03-24,13,0.0,0
2023-03-25,2,0.0,0
2023-03-26,0,0.0,0
2023-03-27,5,0.0,0
2023-03-28,4,0.0,0
2023-03-29,3,0.0,0
2023-03-30,13,0.0,0
2023-03-31,5,0.0,0
2023-04-01,1,0.0,0
2023-04-02,1,0.0,0
2023-04-03,12,0.0,0
2023-04-04,3,1.0,0
2023-04-05,10,1.9,0
2023-04-06,7,-0.24500000000000022,0
2023-04-07,3,-0.11850000000000009,0
2023-04-08,2,-0.07766249999999997,0
2023-04-09,0,0.9425582500000003,0
2023-04-10,9,-0.14539551249999993,0
2023-04-11,4,-0.08241772124999992,0
2023-04-12,6,-0.06025570551562494,0
2023-04-13,5,-0.048197978567187355,0
2023-04-14,2,-0.032914455071874904,0
2023-04-15,0,-0.01316201249999996,0
2023-04-16,0,-0.011093696249999967,0
2023-04-17,15,-0.009568313015624975,0
2023-04-18,6,-0.008398852535937478,0
2023-04-19,10,0.0,0
2023-04-20,13,0.0,0
2023-04-21,4,0.0,0
2023-04-22,1,0.0,0
2023-04-23,1,0.0,0
2023-04-24,11,0.0,0
2023-04-25,8,0.0,0
2023-04-26,11,1.0,0
2023-04-27,8,-0.10000000000000009,0
2023-04-28,7,-0.04500000000000003,0
2023-04-29,1,-0.028500000000000022,0
2023-04-30,1,-0.020662499999999924,0
2023-05-01,6,-0.016116749999999947,0
2023-05-02,7,-0.01316201249999996,0
2023-05-03,7,-0.011093696249999967,0
2023-05-04,5,-0.009568313015624975,0
2023-05-05,9,0.9916011474640625,0
2023-05-06,0,-0.10000000000000009,0
2023-05-07,0,-0.04500000000000003,0
2023-05-08,6,-0.028500000000000022,0
2023-05-09,14,-0.020662499999999924,0
2023-05-10,8,-0.016116749999999947,0
2023-05-11,2,-0.01316201249999996,0
2023-05-12,6,-0.011093696249999967,0
2023-05-13,0,-0.009568313015624975,0
2023-05-14,0,-0.008398852535937478,0
2023-05-15,4,0.0,0
2023-05-16,8,0.0,0
2023-05-17,7,0.0,0
2023-05-18,9,0.0,0
2023-05-19,5,0.0,0
2023-05-20,1,0.0,0
2023-05-21,0,0.0,0
2023-05-22,5,0.0,0
2023-05-23,5,0.0,0
2023-05-24,14,0.0,0
2023-05-25,5,0.0,0
2023-05-26,7,0.0,0
2023-05-27,1,0.0,0
2023-05-28,2,0.0,0
2023-05-29,1,0.0,0
2023-05-30,6,0.0,0
2023-05-31,6,0.0,0
2023-06-01,8,0.0,0
2023-06-02,6,0.0,0
2023-06-03,2,0.0,0
2023-06-04,2,0.0,0
2023-06-05,3,0.0,0
2023-06-06,4,0.0,0
2023-06-07,7,0.0,0
2023-06-08,1,0.0,0
2023-06-09,4,0.0,0
2023-06-10,0,0.0,0
2023-06-11,0,0.0,0
2023-06-12,4,0.0,0
2023-06-13,2,0.0,0
2023-06-14,9,0.0,0
2023-06-15,5,0.0,0
2023-06-16,6,0.0,0
2023-06-17,2,0.0,0
2023-06-18,0,0.0,0
2023-06-19,1,0.0,0
2023-06-20,8,0.0,0
2023-06-21,4,0.0,0
2023-06-22,10,0.0,0
2023-06-23,2,0.0,0
2023-06-24,1,0.0,0
2023-06-25,1,0.0,0
2023-06-26,3,0.0,0
2023-06-27,4,0.0,0
2023-06-28,1,0.0,0
2023-06-29,14,0.0,0
2023-06-30,6,0.0,0
2023-07-01,1,0.0,0
2023-07-02,0,0.0,0
2023-07-03,6,0.0,0
2023-07-04,2,0.0,0
2023-07-05,7,0.0,0
2023-07-06,12,0.0,0
2023-07-07,3,0.0,0
2023-07-08,1,0.0,0
2023-07-09,0,0.0,0
2023-07-10,8,0.0,0
2023-07-11,14,0.0,1
2023-07-12,6,0.0,0
