,rust-unofficial/awesome-rust,avelino/awesome-go,fffaraz/awesome-cpp
2018-12-22,2,0,1
2018-12-23,0,0,5
2018-12-24,0,0,0
2018-12-25,1,0,1
2018-12-26,0,0,0
2018-12-27,1,0,0
2018-12-28,0,0,0
2018-12-29,2,0,1
2018-12-30,0,0,0
2018-12-31,1,0,1
2019-01-01,0,0,1
2019-01-02,0,0,0
2019-01-03,4,0,0
2019-01-04,11,0,0
2019-01-05,5,4,1
2019-01-06,0,2,0
2019-01-07,1,2,1
2019-01-08,6,6,0
2019-01-09,0,1,0
2019-01-10,1,1,0
2019-01-11,2,0,0
2019-01-12,0,0,1
2019-01-13,3,0,1
2019-01-14,1,6,0
2019-01-15,0,1,0
2019-01-16,0,3,1
2019-01-17,9,0,0
2019-01-18,2,0,0
2019-01-19,0,0,0
2019-01-20,1,0,0
2019-01-21,1,0,2
2019-01-22,0,0,2
2019-01-23,0,0,0
2019-01-24,0,6,0
2019-01-25,1,0,0
2019-01-26,0,0,0
2019-01-27,0,0,0
2019-01-28,0,0,0
2019-01-29,1,0,0
2019-01-30,0,5,0
2019-01-31,0,2,0
2019-02-01,0,0,0
2019-02-02,0,0,0
2019-02-03,0,0,0
2019-02-04,0,2,0
2019-02-05,0,2,0
2019-02-06,0,1,0
2019-02-07,1,0,2
2019-02-08,5,3,0
2019-02-09,0,0,0
2019-02-10,0,0,0
2019-02-11,0,0,0
2019-02-12,2,2,0
2019-02-13,0,0,0
2019-02-14,0,0,2
2019-02-15,8,0,2
2019-02-16,1,0,0
2019-02-17,5,0,3
2019-02-18,1,0,0
2019-02-19,1,0,0
2019-02-20,3,10,0
2019-02-21,0,1,0
2019-02-22,1,0,0
2019-02-23,0,0,0
2019-02-24,0,1,1
2019-02-25,0,4,2
2019-02-26,14,4,0
2019-02-27,0,0,0
2019-02-28,3,0,0
2019-03-01,0,0,0
2019-03-02,0,0,0
2019-03-03,0,0,0
2019-03-04,0,0,0
2019-03-05,0,0,4
2019-03-06,0,2,0
2019-03-07,0,6,2
2019-03-08,0,2,0
2019-03-09,0,0,1
2019-03-10,0,0,1
2019-03-11,0,0,1
2019-03-12,0,1,2
2019-03-13,0,1,0
2019-03-14,0,0,7
2019-03-15,0,0,1
2019-03-16,0,3,0
2019-03-17,0,0,4
2019-03-18,0,0,0
2019-03-19,0,6,1
2019-03-20,0,1,1
2019-03-21,0,2,2
2019-03-22,0,0,3
2019-03-23,0,3,0
2019-03-24,0,4,0
2019-03-25,0,0,2
2019-03-26,0,0,2
2019-03-27,0,1,0
2019-03-28,0,1,0
2019-03-29,10,0,0
2019-03-30,0,0,5
2019-03-31,0,1,0
2019-04-01,0,1,0
2019-04-02,0,4,0
2019-04-03,0,8,1
2019-04-04,0,1,1
2019-04-05,4,3,0
2019-04-06,0,0,0
2019-04-07,0,0,0
2019-04-08,0,1,0
2019-04-09,16,3,2
2019-04-10,2,3,1
2019-04-11,1,2,2
2019-04-12,0,0,0
2019-04-13,1,0,2
2019-04-14,3,0,1
2019-04-15,0,0,1
2019-04-16,2,0,6
2019-04-17,0,0,1
2019-04-18,0,2,0
2019-04-19,0,0,0
2019-04-20,1,0,0
2019-04-21,0,0,0
2019-04-22,0,0,0
2019-04-23,0,0,0
2019-04-24,0,0,2
2019-04-25,0,1,0
2019-04-26,1,8,2
2019-04-27,6,0,0
2019-04-28,11,0,3
2019-04-29,0,6,0
2019-04-30,0,1,0
2019-05-01,0,0,0
2019-05-02,2,2,0
2019-05-03,0,0,0
2019-05-04,0,0,0
2019-05-05,0,0,0
2019-05-06,1,0,0
2019-05-07,1,6,0
2019-05-08,0,0,0
2019-05-09,0,1,1
2019-05-10,0,0,1
2019-05-11,2,0,0
2019-05-12,0,0,0
2019-05-13,3,0,2
2019-05-14,1,1,2
2019-05-15,0,0,0
2019-05-16,0,0,1
2019-05-17,0,2,0
2019-05-18,0,0,0
2019-05-19,1,0,0
2019-05-20,4,12,0
2019-05-21,0,4,2
2019-05-22,0,0,1
2019-05-23,0,1,0
2019-05-24,2,2,0
2019-05-25,1,0,0
2019-05-26,0,1,2
2019-05-27,0,3,3
2019-05-28,1,2,0
2019-05-29,3,0,2
2019-05-30,1,1,3
2019-05-31,1,0,3
2019-06-01,0,0,0
2019-06-02,25,0,0
2019-06-03,1,0,0
2019-06-04,0,0,1
2019-06-05,0,4,0
2019-06-06,2,1,0
2019-06-07,0,3,0
2019-06-08,0,0,2
2019-06-09,1,0,0
2019-06-10,0,0,0
2019-06-11,1,1,0
2019-06-12,0,0,0
2019-06-13,0,0,0
2019-06-14,0,1,0
2019-06-15,0,1,0
2019-06-16,1,0,0
2019-06-17,3,12,0
2019-06-18,0,1,0
2019-06-19,0,1,0
2019-06-20,0,0,0
2019-06-21,1,1,0
2019-06-22,0,0,1
2019-06-23,1,0,0
2019-06-24,2,0,0
2019-06-25,0,0,0
2019-06-26,0,0,0
2019-06-27,0,2,0
2019-06-28,0,0,0
2019-06-29,1,0,0
2019-06-30,0,0,0
2019-07-01,0,10,0
2019-07-02,0,1,0
2019-07-03,1,0,0
2019-07-04,0,1,0
2019-07-05,1,0,0
2019-07-06,10,1,0
2019-07-07,1,1,1
2019-07-08,0,0,0
2019-07-09,0,0,1
2019-07-10,2,0,0
2019-07-11,1,7,2
2019-07-12,0,0,0
2019-07-13,1,0,2
2019-07-14,0,0,0
2019-07-15,1,0,0
2019-07-16,0,0,0
