,rclone/rclone,iterate-ch/cyberduck,aws/aws-cli
2021-02-20,0,0,1
2021-02-21,1,0,0
2021-02-22,0,0,4
2021-02-23,12,1,4
2021-02-24,11,2,3
2021-02-25,0,0,3
2021-02-26,0,1,3
2021-02-27,0,0,0
2021-02-28,1,0,0
2021-03-01,1,4,3
2021-03-02,0,5,4
2021-03-03,0,6,3
2021-03-04,1,2,4
2021-03-05,4,6,5
2021-03-06,0,0,0
2021-03-07,1,0,0
2021-03-08,1,8,4
2021-03-09,0,6,7
2021-03-10,1,7,9
2021-03-11,9,2,5
2021-03-12,2,5,5
2021-03-13,7,1,1
2021-03-14,3,3,0
2021-03-15,31,5,10
2021-03-16,11,18,4
2021-03-17,2,9,3
2021-03-18,4,6,6
2021-03-19,0,5,3
2021-03-20,0,0,0
2021-03-21,2,0,0
2021-03-22,8,8,6
2021-03-23,5,0,3
2021-03-24,6,4,3
2021-03-25,1,3,3
2021-03-26,2,9,7
2021-03-27,1,3,0
2021-03-28,0,8,0
2021-03-29,4,7,4
2021-03-30,4,17,3
2021-03-31,5,4,9
2021-04-01,0,2,6
2021-04-02,0,0,4
2021-04-03,3,0,0
2021-04-04,3,0,0
2021-04-05,3,0,4
2021-04-06,5,10,6
2021-04-07,5,4,7
2021-04-08,9,3,6
2021-04-09,0,21,3
2021-04-10,2,1,0
2021-04-11,0,0,0
2021-04-12,11,13,4
2021-04-13,8,7,4
2021-04-14,0,20,3
2021-04-15,0,7,4
2021-04-16,4,18,0
2021-04-17,3,0,0
2021-04-18,1,1,0
2021-04-19,3,29,3
2021-04-20,5,15,1
2021-04-21,2,14,4
2021-04-22,2,27,3
2021-04-23,0,4,5
2021-04-24,2,0,0
2021-04-25,2,3,0
2021-04-26,16,11,3
2021-04-27,3,30,3
2021-04-28,21,32,6
2021-04-29,0,28,5
2021-04-30,6,11,8
2021-05-01,1,3,0
2021-05-02,2,1,0
2021-05-03,2,10,6
2021-05-04,1,8,3
2021-05-05,0,16,6
2021-05-06,0,6,3
2021-05-07,1,3,3
2021-05-08,0,0,0
2021-05-09,0,3,0
2021-05-10,0,17,3
2021-05-11,1,3,3
2021-05-12,1,6,3
2021-05-13,2,0,0
2021-05-14,19,1,4
2021-05-15,0,0,0
2021-05-16,0,4,0
2021-05-17,8,3,3
2021-05-18,4,9,3
2021-05-19,2,3,3
2021-05-20,0,6,3
2021-05-21,2,3,4
2021-05-22,1,0,0
2021-05-23,0,0,0
2021-05-24,0,5,3
2021-05-25,0,4,3
2021-05-26,0,7,4
2021-05-27,0,21,8
2021-05-28,8,0,8
2021-05-29,0,0,0
2021-05-30,0,0,0
2021-05-31,1,6,0
2021-06-01,0,9,3
2021-06-02,0,6,3
2021-06-03,0,8,3
2021-06-04,0,3,3
2021-06-05,0,0,0
2021-06-06,0,0,0
2021-06-07,0,1,3
2021-06-08,3,15,3
2021-06-09,1,11,3
2021-06-10,4,3,3
2021-06-11,11,4,3
2021-06-12,0,0,0
2021-06-13,0,0,0
2021-06-14,1,5,3
2021-06-15,0,2,3
2021-06-16,0,7,4
2021-06-17,0,1,3
2021-06-18,0,7,0
2021-06-19,0,0,0
2021-06-20,0,3,0
2021-06-21,1,5,3
2021-06-22,2,3,1
2021-06-23,0,3,3
2021-06-24,0,9,3
2021-06-25,0,3,3
2021-06-26,0,0,0
2021-06-27,0,0,0
2021-06-28,0,4,3
2021-06-29,0,9,0
2021-06-30,0,10,3
2021-07-01,0,13,3
2021-07-02,0,2,3
2021-07-03,0,1,0
2021-07-04,0,0,0
2021-07-05,11,3,0
2021-07-06,1,2,5
2021-07-07,9,3,3
2021-07-08,5,2,3
2021-07-09,0,2,3
2021-07-10,4,1,0
2021-07-11,1,0,0
2021-07-12,0,5,3
2021-07-13,0,0,3
2021-07-14,2,8,4
2021-07-15,2,1,4
2021-07-16,0,0,3
2021-07-17,0,1,0
2021-07-18,0,0,0
2021-07-19,0,5,4
2021-07-20,9,4,5
2021-07-21,0,2,3
2021-07-22,0,7,3
2021-07-23,0,0,3
2021-07-24,2,1,0
2021-07-25,1,2,0
2021-07-26,0,2,5
2021-07-27,1,0,3
2021-07-28,0,0,8
2021-07-29,1,1,3
2021-07-30,3,4,5
2021-07-31,1,0,0
2021-08-01,4,0,0
2021-08-02,0,0,3
2021-08-03,0,5,3
2021-08-04,0,6,5
2021-08-05,0,46,3
2021-08-06,0,3,5
2021-08-07,0,1,0
2021-08-08,0,1,0
2021-08-09,1,3,4
2021-08-10,4,1,3
2021-08-11,5,3,3
2021-08-12,0,7,5
2021-08-13,3,142,6
2021-08-14,4,0,0
2021-08-15,0,0,0
2021-08-16,1,21,3
2021-08-17,0,8,3
2021-08-18,0,13,5
2021-08-19,6,8,3
2021-08-20,7,7,4
2021-08-21,0,0,0
2021-08-22,0,9,0
2021-08-23,0,6,3
2021-08-24,0,10,3
2021-08-25,0,18,4
2021-08-26,0,2,4
2021-08-27,0,2,5
2021-08-28,0,0,0
2021-08-29,0,0,0
2021-08-30,0,15,3
2021-08-31,8,4,5
2021-09-01,0,21,6
2021-09-02,1,22,5
2021-09-03,1,7,3
2021-09-04,0,0,0
2021-09-05,0,0,0
2021-09-06,2,11,0
2021-09-07,0,6,3
2021-09-08,0,3,3
2021-09-09,1,8,4
2021-09-10,0,4,3
2021-09-11,2,3,0
2021-09-12,1,0,0
2021-09-13,0,33,3
2021-09-14,0,1,4
2021-09-15,0,2,2
2021-09-16,0,16,4
2021-09-17,4,12,3
2021-09-18,1,1,0
2021-09-19,0,5,0
2021-09-20,1,11,0
2021-09-21,0,8,8
2021-09-22,0,19,6
2021-09-23,0,33,3
2021-09-24,0,7,3
2021-09-25,0,0,0
2021-09-26,0,0,0
2021-09-27,0,16,3
2021-09-28,2,9,6
2021-09-29,0,13,7
2021-09-30,7,20,3
2021-10-01,8,10,3
2021-10-02,6,1,1
2021-10-03,0,0,0
2021-10-04,0,8,3
2021-10-05,2,0,3
2021-10-06,0,5,3
2021-10-07,3,5,3
2021-10-08,3,0,3
2021-10-09,3,4,0
2021-10-10,0,1,0
2021-10-11,12,25,5
2021-10-12,2,12,3
2021-10-13,5,0,4
2021-10-14,8,10,3
2021-10-15,19,54,3
2021-10-16,3,0,0
2021-10-17,0,18,0
2021-10-18,4,22,3
2021-10-19,13,9,3
2021-10-20,22,23,4
2021-10-21,8,26,4
2021-10-22,6,3,4
2021-10-23,3,6,0
2021-10-24,0,3,0
2021-10-25,0,25,3
2021-10-26,0,16,3
2021-10-27,1,4,3
2021-10-28,1,3,4
2021-10-29,1,7,5
2021-10-30,4,0,0
2021-10-31,6,0,0
2021-11-01,24,4,3
2021-11-02,3,5,5
2021-11-03,5,7,5
2021-11-04,2,7,5
2021-11-05,4,5,6
2021-11-06,1,1,0
2021-11-07,1,0,0
2021-11-08,1,0,7
2021-11-09,9,6,3
2021-11-10,8,10,3
2021-11-11,10,12,3
2021-11-12,1,16,3
2021-11-13,0,0,0
2021-11-14,0,2,0
2021-11-15,6,17,3
2021-11-16,0,23,4
2021-11-17,3,7,3
