,scikit-learn/scikit-learn,mlpack/mlpack,statsmodels/statsmodels
2022-10-23,4,1,1
2022-10-24,5,2,5
2022-10-25,5,6,5
2022-10-26,5,1,5
2022-10-27,2,1,2
2022-10-28,9,0,0
2022-10-29,0,0,0
2022-10-30,0,0,0
2022-10-31,2,1,4
2022-11-01,3,1,3
2022-11-02,4,0,9
2022-11-03,19,5,0
2022-11-04,8,3,1
2022-11-05,1,0,0
2022-11-06,0,0,1
2022-11-07,2,2,0
2022-11-08,1,0,1
2022-11-09,0,0,2
2022-11-10,5,0,1
2022-11-11,1,6,1
2022-11-12,5,0,1
2022-11-13,4,0,1
2022-11-14,3,6,0
2022-11-15,17,0,0
2022-11-16,9,4,0
2022-11-17,10,2,0
2022-11-18,11,3,0
2022-11-19,0,2,0
2022-11-20,1,0,0
2022-11-21,2,4,1
2022-11-22,9,0,0
2022-11-23,4,1,0
2022-11-24,8,0,0
2022-11-25,14,0,0
2022-11-26,0,0,3
2022-11-27,0,0,2
2022-11-28,9,1,2
2022-11-29,6,0,5
2022-11-30,8,0,8
2022-12-01,5,8,3
2022-12-02,8,6,0
2022-12-03,1,4,1
2022-12-04,0,0,1
2022-12-05,2,2,8
2022-12-06,6,4,7
2022-12-07,5,1,2
2022-12-08,3,1,12
2022-12-09,5,0,6
2022-12-10,0,0,1
2022-12-11,0,0,0
2022-12-12,2,0,0
2022-12-13,6,0,0
2022-12-14,3,0,0
2022-12-15,5,0,0
2022-12-16,1,0,0
2022-12-17,0,0,0
2022-12-18,0,0,0
2022-12-19,4,0,1
2022-12-20,0,0,0
2022-12-21,0,0,0
2022-12-22,5,0,0
2022-12-23,0,1,2
2022-12-24,0,0,0
2022-12-25,0,0,0
2022-12-26,0,0,0
2022-12-27,7,0,3
2022-12-28,12,0,0
2022-12-29,3,5,0
2022-12-30,0,0,0
2022-12-31,4,0,0
2023-01-01,0,1,0
2023-01-02,4,0,0
2023-01-03,8,0,1
2023-01-04,3,0,0
