,redis/redis,tarantool/tarantool,memcached/memcached
2023-01-23,0,6,0
2023-01-24,0,8,0
2023-01-25,2,11,0
2023-01-26,1,8,1
2023-01-27,0,1,0
2023-01-28,0,0,1
2023-01-29,0,0,0
2023-01-30,2,13,0
2023-01-31,1,2,0
2023-02-01,2,5,3
2023-02-02,4,3,0
2023-02-03,2,3,0
2023-02-04,0,0,0
2023-02-05,0,0,0
2023-02-06,1,2,0
2023-02-07,0,1,0
2023-02-08,0,10,0
2023-02-09,2,1,1
2023-02-10,0,8,0
2023-02-11,0,0,0
2023-02-12,1,0,0
2023-02-13,0,15,0
2023-02-14,3,3,0
2023-02-15,1,16,2
2023-02-16,3,4,0
2023-02-17,0,9,1
2023-02-18,0,0,0
2023-02-19,2,14,0
2023-02-20,1,26,0
2023-02-21,3,1,0
2023-02-22,0,3,1
2023-02-23,3,0,0
2023-02-24,0,0,0
2023-02-25,0,0,2
2023-02-26,1,0,0
2023-02-27,0,9,1
2023-02-28,4,0,2
2023-03-01,0,8,1
2023-03-02,0,5,1
2023-03-03,1,13,0
2023-03-04,1,0,0
2023-03-05,1,0,0
2023-03-06,0,7,1
2023-03-07,3,2,1
2023-03-08,3,0,13
2023-03-09,1,3,0
2023-03-10,0,5,1
2023-03-11,1,1,0
2023-03-12,4,0,1
2023-03-13,1,2,0
2023-03-14,1,3,0
2023-03-15,5,6,0
2023-03-16,3,0,1
2023-03-17,2,3,0
2023-03-18,0,0,0
2023-03-19,2,0,0
2023-03-20,4,10,0
2023-03-21,3,10,1
2023-03-22,6,3,0
2023-03-23,2,3,0
2023-03-24,0,9,1
2023-03-25,0,0,0
2023-03-26,2,0,7
2023-03-27,1,1,0
2023-03-28,0,5,0
2023-03-29,2,10,0
2023-03-30,2,3,0
2023-03-31,0,8,0
2023-04-01,0,0,0
2023-04-02,2,0,0
2023-04-03,0,10,2
2023-04-04,5,0,0
2023-04-05,1,9,0
2023-04-06,0,2,0
2023-04-07,0,5,0
2023-04-08,0,0,0
2023-04-09,1,0,0
2023-04-10,1,3,1
2023-04-11,1,2,2
2023-04-12,3,7,0
2023-04-13,4,4,1
2023-04-14,1,2,0
2023-04-15,0,0,0
2023-04-16,2,0,0
2023-04-17,1,4,0
2023-04-18,4,2,3
2023-04-19,3,0,2
2023-04-20,3,6,0
2023-04-21,0,10,1
2023-04-22,0,0,0
2023-04-23,1,0,0
2023-04-24,2,1,0
2023-04-25,2,1,0
2023-04-26,0,3,1
2023-04-27,1,1,0
2023-04-28,0,1,4
2023-04-29,0,0,0
2023-04-30,0,0,0
2023-05-01,4,0,0
2023-05-02,1,1,0
2023-05-03,2,4,0
2023-05-04,2,1,0
2023-05-05,0,2,0
2023-05-06,1,0,0
2023-05-07,3,0,0
2023-05-08,5,0,4
2023-05-09,2,0,1
2023-05-10,1,0,0
2023-05-11,2,2,0
2023-05-12,1,1,2
2023-05-13,0,0,0
2023-05-14,2,0,0
2023-05-15,0,11,0
2023-05-16,2,3,0
2023-05-17,1,0,0
2023-05-18,4,3,1
2023-05-19,0,19,0
2023-05-20,0,0,0
2023-05-21,0,0,0
2023-05-22,2,4,0
2023-05-23,3,2,1
2023-05-24,7,2,0
2023-05-25,0,5,0
2023-05-26,1,3,0
2023-05-27,0,0,0
2023-05-28,5,0,0
2023-05-29,3,3,0
2023-05-30,3,0,0
2023-05-31,0,4,0
2023-06-01,0,7,0
2023-06-02,0,4,0
2023-06-03,0,0,0
2023-06-04,1,0,0
2023-06-05,1,0,0
2023-06-06,1,2,0
2023-06-07,0,7,0
2023-06-08,1,4,0
2023-06-09,0,6,0
2023-06-10,0,0,0
2023-06-11,4,0,2
2023-06-12,1,0,1
2023-06-13,2,8,3
2023-06-14,2,0,1
2023-06-15,2,5,3
2023-06-16,4,4,3
2023-06-17,0,0,0
2023-06-18,2,0,0
2023-06-19,1,11,0
2023-06-20,10,6,0
2023-06-21,3,35,0
2023-06-22,2,25,0
2023-06-23,0,4,0
2023-06-24,0,0,0
2023-06-25,2,0,0
2023-06-26,1,0,0
2023-06-27,4,19,0
2023-06-28,0,3,0
2023-06-29,1,10,0
2023-06-30,0,3,0
2023-07-01,1,0,0
2023-07-02,1,0,0
2023-07-03,1,13,1
2023-07-04,0,17,0
2023-07-05,2,6,0
2023-07-06,2,2,0
2023-07-07,1,0,0
2023-07-08,0,0,0
2023-07-09,0,0,0
2023-07-10,1,3,0
2023-07-11,0,0,0
2023-07-12,0,2,1
2023-07-13,4,2,0
2023-07-14,0,5,0
2023-07-15,0,0,0
2023-07-16,2,0,0
2023-07-17,0,0,0
2023-07-18,1,0,0
2023-07-19,0,4,0
2023-07-20,1,1,0
2023-07-21,0,2,0
2023-07-22,0,0,0
2023-07-23,0,0,0
2023-07-24,0,5,0
2023-07-25,4,3,0
2023-07-26,0,5,0
2023-07-27,0,4,0
2023-07-28,0,4,10
2023-07-29,0,0,0
2023-07-30,1,0,0
2023-07-31,0,2,0
2023-08-01,1,0,0
2023-08-02,2,6,5
2023-08-03,0,2,2
2023-08-04,0,3,0
2023-08-05,4,0,0
2023-08-06,0,0,0
2023-08-07,0,6,0
2023-08-08,0,3,0
2023-08-09,0,3,0
2023-08-10,2,7,0
2023-08-11,0,4,0
2023-08-12,0,0,0
2023-08-13,0,0,0
2023-08-14,0,3,0
2023-08-15,1,9,0
2023-08-16,5,12,0
2023-08-17,0,1,0
2023-08-18,0,10,0
2023-08-19,0,0,1
2023-08-20,2,0,0
2023-08-21,4,7,0
2023-08-22,1,9,1
2023-08-23,0,16,0
2023-08-24,0,6,0
2023-08-25,0,10,0
2023-08-26,0,0,0
2023-08-27,1,0,0
2023-08-28,0,4,0
2023-08-29,0,5,0
2023-08-30,4,3,1
2023-08-31,4,0,0
2023-09-01,1,3,0
2023-09-02,1,0,0
2023-09-03,1,0,0
2023-09-04,1,16,0
2023-09-05,0,1,0
2023-09-06,0,3,0
2023-09-07,0,2,0
