,jonas/tig,jesseduffield/lazygit,dandavison/delta
2019-09-29,0,0,-0.015155711999999993
2019-09-30,0,2,7.9872018432
2019-10-01,0,0,2.8000000000000007
2019-10-02,0,0,-1.3599999999999994
2019-10-03,0,0,-2.032
2019-10-04,0,0,-0.9568000000000003
2019-10-05,0,0,-0.6172160000000004
2019-10-06,0,0,-0.4466176000000002
2019-10-07,0,0,-0.34464768
2019-10-08,0,0,-0.27739545599999993
2019-10-09,0,0,-0.23006064639999993
2019-10-10,0,0,-0.10710036479999997
2019-10-11,0,0,-0.025596313599999993
2019-10-12,0,0,0.0
2019-10-13,0,0,3.0
2019-10-14,0,0,6.800000000000001
2019-10-15,0,0,-3.559999999999999
2019-10-16,0,0,3.848
2019-10-17,0,0,2.3632000000000004
2019-10-18,0,0,-0.02265600000000001
2019-10-19,0,0,0.5714944000000002
2019-10-20,0,3,-2.32681728
2019-10-21,0,0,-1.1021916160000003
2019-10-22,0,0,-0.7410161664000001
2019-10-23,0,0,1.4762899455999998
2019-10-24,0,0,0.87362304
2019-10-25,0,0,-1.3037706239999998
2019-10-26,0,0,-0.5325696
2019-10-27,0,8,3.7049383936
2019-10-28,0,0,-1.7814984703999999
2019-10-29,0,0,-0.5858304000000001
2019-10-30,0,0,1.66133248
2019-10-31,0,0,-1.033452544
2019-11-01,0,0,-0.4157157376
2019-11-02,0,0,3.7545508864
2019-11-03,0,0,-1.7566822399999997
2019-11-04,0,0,-0.600526848
2019-11-05,0,30,-0.3531190272
2019-11-06,7,1,-0.20314112000000017
2019-11-07,2,1,-0.15011942400000006
2019-11-08,0,0,-0.11744911360000002
2019-11-09,2,4,-0.07348223999999998
2019-11-10,0,13,-0.06062284799999997
2019-11-11,2,6,-0.051192627199999986
2019-11-12,0,5,0.0
2019-11-13,0,3,0.0
2019-11-14,0,3,1.0
2019-11-15,0,0,-0.3999999999999999
2019-11-16,1,0,-0.12
2019-11-17,0,2,0.9359999999999999
2019-11-18,0,0,1.5584
2019-11-19,0,0,-0.9499519999999998
2019-11-20,0,0,2.6730368
2019-11-21,0,34,-1.3879705599999999
2019-11-22,0,0,0.5116922879999999
2019-11-23,0,0,-0.6876653568
2019-11-24,1,0,-0.30909696000000014
2019-11-25,1,0,1.794247168
2019-11-26,0,2,4.0464008192000005
2019-11-27,0,2,-0.35065999359999944
2019-11-28,0,0,0.40356966400000016
2019-11-29,1,0,-1.4999650303999998
2019-11-30,0,0,-0.6510597120000002
2019-12-01,0,0,-0.4196845568000002
2019-12-02,0,0,0.7053388799999998
2019-12-03,0,0,0.37200537600000005
2019-12-04,0,0,5.2959576064
2019-12-05,0,7,0.28495667200000074
2019-12-06,0,1,-0.08150773759999996
2019-12-07,0,7,-1.6411483136
2019-12-08,0,3,-0.7345152000000004
2019-12-09,0,0,-0.4738457600000002
2019-12-10,0,0,3.655638528
2019-12-11,0,0,-0.8669708287999995
2019-12-12,0,0,2.9152294912000003
2019-12-13,0,4,3.8650028032000003
2019-12-14,0,1,-3.1791058943999997
2019-12-15,0,0,-1.1630043136000001
2019-12-16,0,0,-0.6722048000000003
2019-12-17,0,0,-0.4658534400000003
2019-12-18,0,0,-0.3505582080000001
2019-12-19,0,0,-0.2776097792
2019-12-20,0,0,-0.18364436479999993
2019-12-21,0,0,-0.14212689919999993
2019-12-22,0,0,-0.07678894079999998
2019-12-23,0,0,0.0
2019-12-24,0,0,1.0
2019-12-25,0,0,-0.3999999999999999
2019-12-26,0,0,-0.12
2019-12-27,0,0,-0.064
2019-12-28,0,0,0.9583999999999999
2019-12-29,0,0,-0.42995199999999995
2019-12-30,0,0,-0.1429632
2019-12-31,0,0,-0.08237056
2020-01-01,0,0,-0.05675571200000004
2020-01-02,0,0,-0.042750156800000015
2020-01-03,0,4,-0.022963200000000007
2020-01-04,0,1,-0.018370559999999994
2020-01-05,0,2,-0.015155711999999993
2020-01-06,0,5,-0.012798156799999997
2020-01-07,0,10,0.0
2020-01-08,0,10,0.0
2020-01-09,0,3,3.0
2020-01-10,0,0,-1.1999999999999997
2020-01-11,0,1,-0.36
2020-01-12,0,8,0.808
2020-01-13,0,0,1.4752
2020-01-14,0,0,-1.0098559999999999
2020-01-15,0,0,-0.37288960000000004
2020-01-16,0,2,-0.22471168000000002
2020-01-17,0,0,-0.1586191360000001
2020-01-18,0,0,-0.12126167040000002
2020-01-19,0,0,-0.06429696000000001
2020-01-20,0,0,-0.05189683199999998
2020-01-21,0,0,-0.043109580799999984
2020-01-22,0,0,-0.025596313599999993
2020-01-23,0,0,0.0
2020-01-24,0,0,0.0
2020-01-25,0,0,0.0
2020-01-26,0,0,0.0
2020-01-27,0,0,0.0
2020-01-28,0,2,0.0
2020-01-29,0,5,0.0
2020-01-30,0,2,0.0
2020-01-31,0,5,0.0
2020-02-01,0,0,0.0
2020-02-02,0,6,0.0
2020-02-03,0,2,0.0
2020-02-04,0,2,0.0
2020-02-05,0,2,0.0
2020-02-06,0,2,4.0
2020-02-07,0,0,-0.5999999999999996
2020-02-08,2,0,2.12
2020-02-09,0,4,-1.5759999999999996
2020-02-10,0,1,-0.5904000000000001
2020-02-11,0,0,-0.3534080000000001
2020-02-12,0,0,3.7533952
2020-02-13,0,1,-1.7863014399999997
2020-02-14,0,12,0.37211699200000004
2020-02-15,1,8,-0.7774600191999999
2020-02-16,0,0,-0.34466529280000013
2020-02-17,0,0,0.7777975295999999
2020-02-18,0,1,-0.5334528
2020-02-19,0,1,-0.22343424
2020-02-20,0,0,-0.14758604799999997
2020-02-21,0,0,-0.11116318720000004
2020-02-22,0,0,-0.04510771200000001
2020-02-23,1,3,-0.035761356800000005
2020-02-24,0,9,-0.018370559999999994
2020-02-25,7,6,-0.015155711999999993
2020-02-26,0,2,0.9872018432
2020-02-27,1,4,4.6
2020-02-28,0,1,1.8800000000000003
2020-02-29,0,10,-2.2639999999999993
2020-03-01,0,0,8.1584
2020-03-02,0,1,-1.0939519999999998
2020-03-03,0,12,2.3808768
2020-03-04,0,2,7.811005440000001
2020-03-05,0,2,-5.765261311999999
2020-03-06,0,0,-2.1964269568
2020-03-07,0,0,-1.3331384320000002
2020-03-08,0,2,-0.8927772672000005
2020-03-09,0,3,-0.6358010880000002
2020-03-10,0,0,-0.5050985472
2020-03-11,0,2,-0.3162491903999999
2020-03-12,0,0,-0.2307036159999999
2020-03-13,1,0,-0.14077972479999995
2020-03-14,0,0,0.0
2020-03-15,0,0,0.0
2020-03-16,0,0,0.0
2020-03-17,0,0,0.0
2020-03-18,0,6,0.0
2020-03-19,0,3,0.0
2020-03-20,0,0,0.0
2020-03-21,0,15,0.0
2020-03-22,0,4,0.0
2020-03-23,0,2,0.0
2020-03-24,0,21,0.0
2020-03-25,0,11,0.0
2020-03-26,0,19,0.0
2020-03-27,0,3,0.0
2020-03-28,2,27,0.0
2020-03-29,0,19,0.0
2020-03-30,0,0,0.0
2020-03-31,0,0,0.0
2020-04-01,0,0,0.0
2020-04-02,0,2,0.0
2020-04-03,0,1,0.0
2020-04-04,3,0,0.0
2020-04-05,0,0,0.0
2020-04-06,0,0,0.0
2020-04-07,0,0,0.0
2020-04-08,1,0,0.0
2020-04-09,0,0,0.0
2020-04-10,0,0,0.0
2020-04-11,0,0,3.0
2020-04-12,1,0,5.800000000000001
2020-04-13,1,0,-3.1599999999999993
2020-04-14,0,0,-1.032
2020-04-15,0,1,2.4272
2020-04-16,0,1,7.418944
2020-04-17,0,0,-0.23855359999999948
2020-04-18,1,0,0.9121459200000004
2020-04-19,0,0,-2.9548610559999995
2020-04-20,0,6,-1.3447404544000003
2020-04-21,0,2,-0.8504446976000003
2020-04-22,0,3,3.4520115199999997
2020-04-23,0,0,-2.0224629759999995
2020-04-24,0,0,-0.8201309183999999
2020-04-25,0,0,0.49471150080000004
2020-04-26,0,0,24.3217845248
2020-04-27,0,3,0.708999372800001
2020-04-28,0,0,4.4441472000000015
2020-04-29,0,0,-6.835082239999998
2020-04-30,0,0,6.325425151999999
2020-05-01,0,0,-5.1685558272000005
2020-05-02,0,0,-1.0851225600000007
2020-05-03,0,0,-0.6880389120000001
2020-05-04,0,1,-0.41927751680000025
2020-05-05,0,0,8.760803328000001
2020-05-06,0,0,-4.451802828799998
2020-05-07,0,1,-2.3665063936
2020-05-08,0,0,-1.1957562367999999
2020-05-09,0,1,1.1926911999999994
2020-05-10,0,0,-1.2968491008
2020-05-11,0,0,1.3848039424
2020-05-12,0,0,-1.2089470975999999
2020-05-13,0,3,-0.5338797056
2020-05-14,0,0,5.6561605632
2020-05-15,0,3,-2.5419245567999997
2020-05-16,0,0,1.18335488
2020-05-17,0,0,0.7397621760000002
2020-05-18,0,2,1.6480625664
2020-05-19,0,2,-1.7780234239999997
2020-05-20,0,0,0.26542448639999994
2020-05-21,0,0,1.15467264
2020-05-22,0,0,1.758435328
2020-05-23,0,0,7.2466875392
2020-05-24,0,0,-4.265542143999999
2020-05-25,0,0,0.5038285823999997
2020-05-26,0,0,8.3452693504
2020-05-27,0,0,8.1930525696
2020-05-28,0,0,-0.9183544319999992
2020-05-29,0,1,5.011909939200001
2020-05-30,0,1,14.735697510400001
2020-05-31,2,0,3.9549577215999996
2020-06-01,6,0,-4.180532531199999
2020-06-02,0,0,-4.652250624
2020-06-03,0,1,6.793130086399999
2020-06-04,0,0,-0.9418531839999993
2020-06-05,0,0,-5.470123110399999
2020-06-06,0,0,-1.6454878208000001
2020-06-07,0,0,4.83890688
2020-06-08,0,0,-4.1513187328
2020-06-09,0,0,5.344045056000001
2020-06-10,0,0,9.263444275200001
2020-06-11,0,0,15.3363154944
2020-06-12,0,0,-2.2723411967999976
2020-06-13,0,0,-7.619101900799999
2020-06-14,0,0,-0.3822136320000009
2020-06-15,0,0,2.639793459199999
2020-06-16,0,0,-1.3100466176000003
2020-06-17,0,0,8.768334336
2020-06-18,0,0,-4.566232473599999
2020-06-19,0,0,-0.43659274239999935
2020-06-20,0,0,4.0006375424
2020-06-21,0,0,4.8148697088
2020-06-22,0,0,4.7007959040000005
2020-06-23,0,0,-4.1727028224
2020-06-24,0,0,-3.3456851968
2020-06-25,0,0,16.2100422656
2020-06-26,0,0,7.5866886144
2020-06-27,0,0,-2.3490461695999993
2020-06-28,0,0,6.528644505600001
2020-06-29,0,0,-8.2684205056
2020-06-30,0,0,16.4837823488
2020-07-01,0,0,12.825937408000001
2020-07-02,0,0,-12.074141593599999
2020-07-03,0,0,-5.556850175999999
2020-07-04,0,0,-1.3239737344000009
2020-07-05,0,0,-2.969517772800001
2020-07-06,0,0,6.2836286463999995
2020-07-07,0,0,-2.419892838399999
2020-07-08,0,0,8.408199680000001
2020-07-09,0,0,-0.8348190719999984
2020-07-10,0,4,8.863760281600001
2020-07-11,0,0,5.1236447232
2020-07-12,0,6,-7.411521024
2020-07-13,0,2,1.9720408064
2020-07-14,0,4,2.1308579839999995
2020-07-15,0,0,4.6618351616
2020-07-16,0,2,-5.5821075455999996
2020-07-17,0,0,-1.4029339648000003
2020-07-18,0,2,-1.85682176
2020-07-19,0,1,-1.1371725824000003
2020-07-20,0,0,-0.7167778816000001
2020-07-21,0,1,-0.43427072000000005
2020-07-22,0,0,5.649787904
