,microsoft/TypeScript,definitelytyped/definitelytyped,sindresorhus/type-fest
2023-07-26,3,9,0
2023-07-27,1,6,1
2023-07-28,6,7,0
2023-07-29,1,3,0
2023-07-30,0,2,2
2023-07-31,3,19,0
2023-08-01,2,10,0
2023-08-02,2,6,0
2023-08-03,6,7,0
2023-08-04,2,8,0
2023-08-05,4,8,0
2023-08-06,1,3,0
2023-08-07,7,12,0
2023-08-08,5,8,4
2023-08-09,5,11,0
2023-08-10,1,4,0
2023-08-11,2,7,0
2023-08-12,1,3,0
2023-08-13,0,1,1
2023-08-14,7,11,1
2023-08-15,8,8,0
2023-08-16,8,1,0
2023-08-17,4,4,0
2023-08-18,0,7,0
2023-08-19,1,2,0
2023-08-20,0,3,0
2023-08-21,1,5,0
2023-08-22,3,8,0
2023-08-23,8,5,0
2023-08-24,8,12,1
2023-08-25,2,3,1
2023-08-26,5,4,3
2023-08-27,0,0,2
2023-08-28,11,8,0
2023-08-29,4,6,0
2023-08-30,4,11,0
2023-08-31,2,7,0
2023-09-01,3,6,0
2023-09-02,1,6,0
2023-09-03,1,4,0
2023-09-04,0,3,1
2023-09-05,1,7,0
2023-09-06,4,8,0
2023-09-07,2,3,0
2023-09-08,2,7,0
2023-09-09,1,5,0
2023-09-10,0,1,0
2023-09-11,3,14,0
2023-09-12,5,12,0
2023-09-13,13,16,0
2023-09-14,4,7,0
2023-09-15,4,12,0
2023-09-16,1,10,0
2023-09-17,1,2,0
2023-09-18,2,13,0
2023-09-19,5,8,0
2023-09-20,5,9,0
2023-09-21,6,6,0
2023-09-22,11,8,0
2023-09-23,3,5,0
2023-09-24,1,5,0
2023-09-25,3,10,0
2023-09-26,5,13,3
2023-09-27,3,9,0
2023-09-28,2,2,0
2023-09-29,8,4,0
2023-09-30,1,3,3
2023-10-01,1,2,0
2023-10-02,4,15,0
2023-10-03,3,12,0
2023-10-04,5,20,0
2023-10-05,5,12,0
2023-10-06,2,9,0
2023-10-07,1,6,2
2023-10-08,1,7,0
2023-10-09,3,31,0
2023-10-10,4,22,0
2023-10-11,1,15,0
2023-10-12,4,15,0
2023-10-13,2,9,0
2023-10-14,1,5,0
2023-10-15,1,1,0
2023-10-16,4,5,1
2023-10-17,1,13,3
2023-10-18,1,18,3
2023-10-19,4,18,0
2023-10-20,2,6,0
2023-10-21,1,1,3
2023-10-22,0,6,0
2023-10-23,2,5,1
2023-10-24,5,5,1
2023-10-25,5,11,6
2023-10-26,5,11,1
2023-10-27,3,11,0
2023-10-28,5,2,0
2023-10-29,1,4,0
2023-10-30,4,14,1
2023-10-31,2,9,0
2023-11-01,1,8,0
2023-11-02,3,6,1
2023-11-03,10,12,0
2023-11-04,1,4,1
2023-11-05,1,5,0
2023-11-06,3,9,0
2023-11-07,3,9,1
2023-11-08,2,7,4
2023-11-09,3,5,2
2023-11-10,1,7,0
2023-11-11,0,3,1
2023-11-12,0,2,0
2023-11-13,4,3,4
2023-11-14,2,3,0
2023-11-15,5,4,3
2023-11-16,6,12,0
2023-11-17,4,4,4
2023-11-18,1,1,1
2023-11-19,1,0,0
2023-11-20,4,12,1
2023-11-21,13,16,2
2023-11-22,5,15,0
2023-11-23,0,9,0
2023-11-24,0,3,1
2023-11-25,0,1,0
2023-11-26,0,2,0
2023-11-27,5,9,0
2023-11-28,7,21,1
2023-11-29,10,10,0
2023-11-30,10,9,0
2023-12-01,4,10,0
2023-12-02,2,7,2
2023-12-03,0,16,0
2023-12-04,3,66,2
2023-12-05,3,38,0
2023-12-06,3,76,0
2023-12-07,5,11,1
2023-12-08,7,10,0
2023-12-09,0,4,0
2023-12-10,1,0,0
2023-12-11,7,9,0
2023-12-12,2,24,0
2023-12-13,6,10,0
2023-12-14,0,6,0
2023-12-15,4,25,1
2023-12-16,1,5,0
2023-12-17,0,6,0
2023-12-18,1,9,0
2023-12-19,1,4,0
2023-12-20,1,3,0
2023-12-21,1,12,0
2023-12-22,0,7,0
2023-12-23,0,2,0
2023-12-24,0,2,0
2023-12-25,0,3,0
2023-12-26,1,8,0
2023-12-27,0,21,2
2023-12-28,0,17,0
2023-12-29,0,14,0
2023-12-30,1,6,0
2023-12-31,0,1,0
2024-01-01,0,21,0
2024-01-02,9,17,1
2024-01-03,3,16,0
2024-01-04,5,4,1
2024-01-05,3,5,0
2024-01-06,1,6,0
2024-01-07,0,2,0
2024-01-08,2,11,0
2024-01-09,9,12,0
2024-01-10,5,5,0
2024-01-11,7,8,0
2024-01-12,3,5,0
2024-01-13,1,1,0
2024-01-14,0,5,0
2024-01-15,1,5,0
2024-01-16,6,10,0
2024-01-17,2,9,0
2024-01-18,3,5,0
2024-01-19,9,9,0
2024-01-20,1,5,0
2024-01-21,0,4,2
2024-01-22,2,14,1
2024-01-23,2,6,0
2024-01-24,2,7,2
2024-01-25,3,21,0
2024-01-26,1,16,0
2024-01-27,1,5,0
2024-01-28,2,5,0
2024-01-29,4,11,0
2024-01-30,4,8,2
2024-01-31,3,11,0
2024-02-01,4,23,0
2024-02-02,3,5,0
2024-02-03,0,9,0
2024-02-04,1,4,0
2024-02-05,1,9,0
2024-02-06,1,11,0
2024-02-07,5,18,0
2024-02-08,1,15,0
2024-02-09,2,8,0
2024-02-10,1,4,0
2024-02-11,1,4,0
2024-02-12,3,14,0
2024-02-13,6,11,0
2024-02-14,2,5,0
2024-02-15,4,13,0
2024-02-16,5,5,0
2024-02-17,1,6,0
2024-02-18,0,2,0
2024-02-19,1,8,0
2024-02-20,3,6,0
2024-02-21,3,7,0
2024-02-22,4,11,2
2024-02-23,8,23,0
2024-02-24,1,10,0
2024-02-25,1,0,0
2024-02-26,4,27,0
2024-02-27,3,20,0
2024-02-28,5,10,0
2024-02-29,2,34,0
2024-03-01,5,24,0
2024-03-02,4,5,0
2024-03-03,1,2,0
2024-03-04,6,13,3
2024-03-05,0,14,2
2024-03-06,3,7,0
2024-03-07,1,8,0
2024-03-08,4,8,2
2024-03-09,0,1,0
2024-03-10,1,2,0
2024-03-11,7,10,0
2024-03-12,6,3,1
2024-03-13,4,3,0
2024-03-14,3,7,0
2024-03-15,9,7,0
2024-03-16,2,2,1
2024-03-17,1,7,0
2024-03-18,7,20,2
2024-03-19,5,19,2
2024-03-20,6,10,3
2024-03-21,7,21,0
2024-03-22,1,20,1
2024-03-23,0,5,0
2024-03-24,0,1,2
2024-03-25,8,14,0
2024-03-26,4,8,0
2024-03-27,15,4,0
2024-03-28,5,8,0
2024-03-29,9,9,0
2024-03-30,1,8,1
2024-03-31,0,2,1
2024-04-01,2,6,0
2024-04-02,7,5,4
2024-04-03,7,14,1
2024-04-04,11,13,0
2024-04-05,5,16,0
2024-04-06,1,1,0
2024-04-07,1,6,0
2024-04-08,4,5,1
2024-04-09,4,22,1
2024-04-10,3,11,1
2024-04-11,2,7,0
2024-04-12,8,6,1
