,vercel/next.js,tanstack/router,remix-run/react-router
2019-07-04,3,0,0
2019-07-05,7,0,0
2019-07-06,0,0,0
2019-07-07,2,0,0
2019-07-08,20,0,0
2019-07-09,15,0,0
2019-07-10,14,0,1
2019-07-11,9,0,0
2019-07-12,4,0,0
2019-07-13,1,0,0
2019-07-14,1,0,0
2019-07-15,11,0,0
2019-07-16,16,0,0
2019-07-17,5,0,0
2019-07-18,6,0,0
2019-07-19,3,0,0
2019-07-20,0,0,0
2019-07-21,0,0,0
2019-07-22,5,0,0
2019-07-23,1,0,1
2019-07-24,1,4,0
2019-07-25,16,2,1
2019-07-26,4,0,0
2019-07-27,6,0,0
2019-07-28,1,0,0
2019-07-29,11,0,0
2019-07-30,7,0,0
2019-07-31,5,0,0
2019-08-01,6,0,3
2019-08-02,1,0,1
2019-08-03,4,0,0
2019-08-04,2,0,1
2019-08-05,4,0,0
2019-08-06,5,0,0
2019-08-07,3,0,0
2019-08-08,6,0,1
2019-08-09,4,0,0
2019-08-10,1,0,0
2019-08-11,9,0,0
2019-08-12,13,0,0
2019-08-13,8,0,0
2019-08-14,11,0,0
2019-08-15,6,0,0
2019-08-16,6,0,0
2019-08-17,0,0,0
2019-08-18,5,0,0
2019-08-19,9,0,0
2019-08-20,16,0,0
2019-08-21,5,0,0
2019-08-22,6,0,2
2019-08-23,12,0,0
2019-08-24,5,0,0
2019-08-25,2,0,0
2019-08-26,2,0,1
2019-08-27,5,0,0
2019-08-28,2,0,1
2019-08-29,6,0,0
2019-08-30,3,0,0
2019-08-31,2,0,0
2019-09-01,1,0,0
2019-09-02,6,0,0
2019-09-03,6,0,0
2019-09-04,6,0,1
2019-09-05,5,0,0
2019-09-06,7,0,1
2019-09-07,3,0,0
2019-09-08,1,0,0
2019-09-09,3,0,0
2019-09-10,7,0,1
2019-09-11,9,0,2
2019-09-12,4,0,0
2019-09-13,8,0,2
2019-09-14,5,0,1
2019-09-15,2,0,0
2019-09-16,9,0,1
2019-09-17,9,0,1
2019-09-18,10,0,6
2019-09-19,9,0,3
2019-09-20,2,0,2
2019-09-21,1,0,0
2019-09-22,0,0,1
2019-09-23,1,0,7
2019-09-24,6,0,3
2019-09-25,2,0,3
2019-09-26,4,0,0
2019-09-27,5,3,15
2019-09-28,7,0,1
2019-09-29,1,0,1
2019-09-30,2,0,5
2019-10-01,4,0,3
2019-10-02,10,0,1
2019-10-03,7,0,2
2019-10-04,5,0,5
2019-10-05,3,0,2
2019-10-06,4,0,2
2019-10-07,7,0,2
2019-10-08,13,0,4
2019-10-09,4,0,2
2019-10-10,7,0,1
2019-10-11,7,0,0
2019-10-12,1,0,0
2019-10-13,1,0,0
2019-10-14,4,0,0
2019-10-15,4,0,2
2019-10-16,13,0,1
2019-10-17,4,0,4
2019-10-18,10,0,6
2019-10-19,1,0,0
2019-10-20,1,0,0
2019-10-21,3,0,3
2019-10-22,2,0,2
2019-10-23,10,0,0
2019-10-24,1,0,1
2019-10-25,2,0,0
2019-10-26,6,0,0
2019-10-27,2,0,0
2019-10-28,3,0,0
2019-10-29,8,0,0
2019-10-30,15,0,0
2019-10-31,9,0,0
2019-11-01,3,0,0
2019-11-02,5,0,0
2019-11-03,0,0,0
2019-11-04,4,0,0
2019-11-05,6,0,0
2019-11-06,1,0,0
2019-11-07,3,0,0
2019-11-08,6,0,1
2019-11-09,5,0,0
2019-11-10,10,0,0
2019-11-11,10,0,0
2019-11-12,1,0,0
2019-11-13,10,0,0
2019-11-14,3,0,0
2019-11-15,12,0,0
2019-11-16,2,0,0
2019-11-17,0,0,0
2019-11-18,3,0,0
2019-11-19,6,0,0
2019-11-20,4,0,0
2019-11-21,5,0,0
2019-11-22,3,0,0
2019-11-23,2,0,0
2019-11-24,0,0,0
2019-11-25,14,0,0
2019-11-26,11,0,0
2019-11-27,15,0,0
2019-11-28,4,0,0
2019-11-29,0,0,0
2019-11-30,0,0,0
2019-12-01,2,0,0
2019-12-02,4,0,0
2019-12-03,7,0,0
2019-12-04,3,0,0
2019-12-05,15,0,0
2019-12-06,4,0,0
2019-12-07,9,0,0
2019-12-08,4,0,0
2019-12-09,5,0,0
2019-12-10,7,0,0
2019-12-11,16,0,0
2019-12-12,8,0,0
2019-12-13,7,0,0
2019-12-14,9,0,0
2019-12-15,0,0,0
2019-12-16,4,0,0
2019-12-17,3,0,0
2019-12-18,4,0,0
2019-12-19,2,0,0
2019-12-20,5,0,0
2019-12-21,2,0,0
2019-12-22,2,0,0
2019-12-23,6,0,0
2019-12-24,7,0,0
2019-12-25,0,0,0
2019-12-26,6,0,0
2019-12-27,4,0,0
2019-12-28,2,0,0
2019-12-29,4,0,0
2019-12-30,13,2,0
2019-12-31,5,0,0
2020-01-01,1,0,0
2020-01-02,4,0,0
2020-01-03,25,0,0
2020-01-04,9,0,0
2020-01-05,0,0,0
2020-01-06,9,0,0
2020-01-07,6,0,0
2020-01-08,7,0,0
2020-01-09,17,0,0
2020-01-10,15,0,0
2020-01-11,1,0,0
2020-01-12,4,0,0
2020-01-13,3,0,0
2020-01-14,13,0,0
2020-01-15,10,0,0
2020-01-16,5,0,0
2020-01-17,10,0,0
2020-01-18,1,0,0
2020-01-19,3,0,0
2020-01-20,23,0,0
2020-01-21,8,0,0
2020-01-22,14,0,0
2020-01-23,23,0,0
2020-01-24,3,0,0
2020-01-25,2,0,0
2020-01-26,2,0,0
2020-01-27,14,0,0
2020-01-28,10,0,0
2020-01-29,6,0,0
2020-01-30,10,0,7
2020-01-31,1,0,7
2020-02-01,6,0,16
2020-02-02,4,0,0
2020-02-03,14,0,6
2020-02-04,8,0,5
2020-02-05,8,0,1
2020-02-06,1,0,0
2020-02-07,7,0,2
2020-02-08,4,0,0
2020-02-09,0,0,0
2020-02-10,3,0,0
2020-02-11,5,0,0
2020-02-12,6,0,0
2020-02-13,12,0,0
2020-02-14,5,0,5
2020-02-15,2,0,0
2020-02-16,1,0,0
2020-02-17,3,0,0
2020-02-18,15,0,1
2020-02-19,19,0,2
2020-02-20,9,0,0
2020-02-21,8,0,3
2020-02-22,5,0,6
2020-02-23,0,0,0
2020-02-24,11,0,1
2020-02-25,8,0,0
2020-02-26,6,0,0
2020-02-27,8,0,0
2020-02-28,8,0,0
2020-02-29,3,0,0
2020-03-01,6,0,0
2020-03-02,8,0,2
2020-03-03,4,0,3
2020-03-04,8,0,0
2020-03-05,10,0,5
2020-03-06,9,0,2
2020-03-07,0,0,0
2020-03-08,1,0,0
2020-03-09,13,0,3
2020-03-10,4,0,0
2020-03-11,7,0,0
2020-03-12,11,0,0
2020-03-13,13,0,3
2020-03-14,2,0,0
2020-03-15,4,0,0
2020-03-16,4,0,0
2020-03-17,6,0,0
2020-03-18,13,0,0
2020-03-19,6,0,0
2020-03-20,8,0,0
2020-03-21,1,0,1
2020-03-22,0,0,0
2020-03-23,6,0,0
2020-03-24,9,0,0
2020-03-25,9,0,0
2020-03-26,11,0,4
2020-03-27,3,0,0
2020-03-28,7,0,0
2020-03-29,0,0,0
2020-03-30,58,0,1
2020-03-31,7,0,0
2020-04-01,10,0,0
2020-04-02,9,0,0
2020-04-03,8,0,1
2020-04-04,1,0,2
2020-04-05,5,0,0
2020-04-06,24,0,0
2020-04-07,17,0,1
2020-04-08,5,0,0
2020-04-09,10,0,0
2020-04-10,7,0,0
2020-04-11,5,0,1
2020-04-12,0,0,0
2020-04-13,15,0,0
2020-04-14,15,0,0
2020-04-15,12,0,0
2020-04-16,2,0,0
2020-04-17,13,0,0
2020-04-18,3,0,0
2020-04-19,4,0,0
2020-04-20,15,0,0
2020-04-21,13,0,1
2020-04-22,15,0,3
2020-04-23,5,0,0
2020-04-24,11,0,0
2020-04-25,2,0,2
2020-04-26,4,0,0
2020-04-27,4,0,0
2020-04-28,9,0,0
2020-04-29,7,0,2
2020-04-30,12,0,0
2020-05-01,2,0,0
2020-05-02,36,0,1
2020-05-03,6,0,0
2020-05-04,16,0,2
2020-05-05,10,0,4
2020-05-06,16,0,0
2020-05-07,9,0,7
2020-05-08,9,0,0
2020-05-09,8,0,1
2020-05-10,9,0,0
2020-05-11,19,0,1
2020-05-12,6,0,2
2020-05-13,11,0,0
2020-05-14,10,0,2
2020-05-15,18,0,6
2020-05-16,9,0,0
2020-05-17,5,0,0
2020-05-18,26,0,0
2020-05-19,20,0,0
2020-05-20,27,0,0
2020-05-21,4,0,2
2020-05-22,23,0,0
2020-05-23,13,0,0
2020-05-24,4,0,0
2020-05-25,11,0,0
2020-05-26,13,0,2
2020-05-27,21,0,1
2020-05-28,19,0,0
2020-05-29,10,0,0
2020-05-30,5,0,0
2020-05-31,8,0,0
2020-06-01,15,0,0
2020-06-02,13,0,0
2020-06-03,8,0,0
2020-06-04,13,0,0
2020-06-05,16,1,0
2020-06-06,6,0,0
2020-06-07,2,2,0
2020-06-08,9,0,0
2020-06-09,13,0,0
2020-06-10,18,0,0
2020-06-11,15,0,1
2020-06-12,9,0,0
2020-06-13,4,0,4
2020-06-14,2,0,0
2020-06-15,6,0,0
2020-06-16,7,0,0
2020-06-17,9,0,0
2020-06-18,5,0,4
2020-06-19,3,0,7
2020-06-20,3,0,0
2020-06-21,2,0,0
2020-06-22,10,0,0
2020-06-23,10,0,0
2020-06-24,5,0,0
2020-06-25,6,0,1
2020-06-26,4,0,0
2020-06-27,7,0,0
2020-06-28,5,0,0
2020-06-29,11,0,1
2020-06-30,10,0,0
2020-07-01,5,0,0
2020-07-02,4,0,0
2020-07-03,3,0,0
2020-07-04,1,0,0
2020-07-05,2,0,0
2020-07-06,3,0,1
2020-07-07,14,0,0
2020-07-08,8,0,0
2020-07-09,11,0,0
2020-07-10,5,0,0
2020-07-11,2,0,0
2020-07-12,7,0,1
2020-07-13,10,0,0
2020-07-14,8,0,0
2020-07-15,10,0,0
2020-07-16,9,0,0
2020-07-17,11,1,0
2020-07-18,7,0,0
2020-07-19,8,0,0
2020-07-20,13,0,0
2020-07-21,8,0,0
2020-07-22,1,0,0
2020-07-23,3,0,0
2020-07-24,5,0,0
2020-07-25,6,0,0
2020-07-26,3,0,0
2020-07-27,10,0,1
2020-07-28,19,0,0
2020-07-29,17,0,0
2020-07-30,13,0,0
2020-07-31,9,0,0
2020-08-01,3,0,0
2020-08-02,3,0,0
2020-08-03,8,0,0
2020-08-04,16,0,0
2020-08-05,26,0,0
2020-08-06,13,0,0
2020-08-07,6,0,0
2020-08-08,5,0,0
2020-08-09,0,0,0
2020-08-10,24,0,0
2020-08-11,5,0,0
2020-08-12,4,0,0
2020-08-13,15,0,0
2020-08-14,8,0,0
2020-08-15,2,0,0
2020-08-16,2,0,0
2020-08-17,8,0,0
2020-08-18,18,0,0
2020-08-19,8,0,0
2020-08-20,14,0,0
2020-08-21,7,0,0
2020-08-22,8,0,0
2020-08-23,2,0,0
2020-08-24,11,0,1
2020-08-25,7,0,0
2020-08-26,3,0,0
2020-08-27,4,0,0
2020-08-28,3,0,0
2020-08-29,1,0,0
2020-08-30,11,0,0
2020-08-31,1,0,0
2020-09-01,12,0,0
2020-09-02,8,0,0
2020-09-03,7,0,0
2020-09-04,4,0,0
2020-09-05,5,0,0
2020-09-06,2,0,0
2020-09-07,6,0,0
2020-09-08,6,0,0
2020-09-09,6,0,0
2020-09-10,10,0,0
2020-09-11,6,0,0
2020-09-12,12,0,0
2020-09-13,2,0,0
2020-09-14,8,0,0
2020-09-15,6,0,0
2020-09-16,2,0,0
2020-09-17,0,0,0
2020-09-18,3,0,0
2020-09-19,1,0,0
2020-09-20,1,0,0
2020-09-21,11,0,0
2020-09-22,3,0,0
2020-09-23,1,0,0
2020-09-24,5,0,0
2020-09-25,4,0,0
2020-09-26,0,0,0
2020-09-27,1,0,0
2020-09-28,2,0,0
2020-09-29,2,0,0
2020-09-30,1,0,0
2020-10-01,2,0,0
2020-10-02,4,0,0
2020-10-03,2,0,0
2020-10-04,1,0,0
2020-10-05,9,0,0
2020-10-06,2,0,0
2020-10-07,4,0,0
2020-10-08,5,0,0
2020-10-09,2,0,0
2020-10-10,2,0,0
2020-10-11,3,0,0
2020-10-12,3,0,0
2020-10-13,3,0,0
2020-10-14,8,0,0
2020-10-15,9,0,0
2020-10-16,13,0,0
2020-10-17,4,0,0
2020-10-18,2,0,0
2020-10-19,6,0,0
2020-10-20,10,0,0
2020-10-21,15,0,1
2020-10-22,7,0,0
2020-10-23,4,0,0
2020-10-24,8,0,0
2020-10-25,2,0,0
2020-10-26,9,0,0
2020-10-27,31,0,0
2020-10-28,3,0,0
2020-10-29,11,0,0
2020-10-30,6,0,0
2020-10-31,2,0,0
2020-11-01,9,0,0
2020-11-02,14,0,0
2020-11-03,14,0,0
2020-11-04,14,0,0
2020-11-05,15,0,0
2020-11-06,15,0,0
2020-11-07,7,0,0
2020-11-08,1,0,0
2020-11-09,15,0,0
2020-11-10,12,0,0
2020-11-11,16,0,0
2020-11-12,23,0,0
2020-11-13,13,0,0
2020-11-14,7,0,0
2020-11-15,3,0,0
2020-11-16,5,0,0
2020-11-17,6,0,0
2020-11-18,6,0,0
2020-11-19,5,0,0
2020-11-20,11,0,0
2020-11-21,1,0,0
2020-11-22,1,0,0
2020-11-23,4,0,0
2020-11-24,12,0,0
2020-11-25,8,0,0
2020-11-26,1,0,0
2020-11-27,0,0,0
2020-11-28,1,0,0
2020-11-29,0,0,0
2020-11-30,4,0,0
2020-12-01,8,0,0
2020-12-02,5,0,1
2020-12-03,1,0,0
2020-12-04,6,0,0
2020-12-05,0,0,0
2020-12-06,0,0,0
2020-12-07,5,0,0
2020-12-08,5,0,0
2020-12-09,5,0,0
2020-12-10,3,0,0
2020-12-11,1,0,0
2020-12-12,4,0,0
2020-12-13,0,0,0
2020-12-14,5,0,0
2020-12-15,0,0,0
2020-12-16,6,0,0
2020-12-17,5,0,0
2020-12-18,4,0,0
2020-12-19,0,0,0
2020-12-20,0,0,0
2020-12-21,3,0,0
2020-12-22,11,0,0
2020-12-23,0,0,0
2020-12-24,0,0,0
2020-12-25,1,0,0
2020-12-26,0,0,0
2020-12-27,2,0,0
2020-12-28,19,0,0
2020-12-29,13,0,0
2020-12-30,19,0,0
2020-12-31,13,0,0
2021-01-01,7,0,0
2021-01-02,2,0,0
2021-01-03,4,0,0
2021-01-04,36,0,0
2021-01-05,11,0,0
2021-01-06,19,0,0
2021-01-07,7,0,0
2021-01-08,0,0,0
2021-01-09,0,0,0
2021-01-10,1,0,0
2021-01-11,20,0,0
2021-01-12,2,0,0
2021-01-13,7,0,0
2021-01-14,6,0,0
2021-01-15,10,0,0
2021-01-16,1,0,0
2021-01-17,5,0,0
2021-01-18,4,0,0
2021-01-19,11,0,0
2021-01-20,5,0,0
2021-01-21,3,0,0
2021-01-22,8,0,0
2021-01-23,4,0,0
2021-01-24,3,0,0
2021-01-25,14,0,0
2021-01-26,16,0,0
2021-01-27,2,0,0
2021-01-28,2,0,0
2021-01-29,9,0,0
2021-01-30,2,0,0
2021-01-31,0,0,0
2021-02-01,5,0,0
2021-02-02,4,0,0
2021-02-03,7,0,0
2021-02-04,5,0,0
2021-02-05,6,0,0
2021-02-06,1,0,0
2021-02-07,5,0,0
2021-02-08,0,0,0
2021-02-09,5,0,0
2021-02-10,0,0,0
2021-02-11,5,0,0
2021-02-12,4,0,0
2021-02-13,0,0,0
2021-02-14,0,0,0
2021-02-15,2,0,0
2021-02-16,6,0,0
2021-02-17,3,0,0
2021-02-18,7,0,0
2021-02-19,6,0,0
2021-02-20,1,0,0
2021-02-21,1,0,0
2021-02-22,5,0,0
2021-02-23,3,0,0
2021-02-24,10,0,0
2021-02-25,6,0,0
2021-02-26,2,0,0
2021-02-27,3,0,0
2021-02-28,0,0,0
2021-03-01,7,0,0
2021-03-02,9,0,0
2021-03-03,8,0,0
2021-03-04,5,0,0
2021-03-05,4,0,0
2021-03-06,0,0,0
2021-03-07,1,0,0
2021-03-08,11,0,0
2021-03-09,7,0,0
2021-03-10,3,0,0
2021-03-11,3,0,0
2021-03-12,6,0,0
2021-03-13,0,0,0
2021-03-14,1,0,0
2021-03-15,8,0,0
2021-03-16,9,0,0
2021-03-17,5,0,0
2021-03-18,11,0,0
2021-03-19,10,0,0
2021-03-20,2,0,0
2021-03-21,0,0,0
2021-03-22,8,0,0
2021-03-23,11,0,0
2021-03-24,10,0,0
2021-03-25,1,0,0
2021-03-26,6,0,0
2021-03-27,0,0,0
2021-03-28,3,0,0
2021-03-29,12,0,0
2021-03-30,3,0,0
2021-03-31,4,0,0
2021-04-01,7,0,0
2021-04-02,7,0,0
2021-04-03,0,0,0
2021-04-04,2,0,0
2021-04-05,4,0,0
2021-04-06,6,0,0
2021-04-07,4,0,0
2021-04-08,8,0,0
2021-04-09,3,0,0
2021-04-10,0,0,0
2021-04-11,2,0,0
2021-04-12,10,0,0
2021-04-13,5,0,0
2021-04-14,5,0,0
2021-04-15,7,0,0
2021-04-16,4,1,0
2021-04-17,6,0,0
2021-04-18,6,0,0
2021-04-19,11,0,0
2021-04-20,34,0,0
2021-04-21,8,9,1
2021-04-22,9,0,2
2021-04-23,5,0,3
2021-04-24,1,0,0
2021-04-25,3,0,4
2021-04-26,3,0,0
2021-04-27,3,0,2
2021-04-28,8,0,4
2021-04-29,3,0,4
2021-04-30,7,0,0
2021-05-01,1,0,1
2021-05-02,0,0,0
2021-05-03,2,0,0
2021-05-04,1,0,3
2021-05-05,10,0,1
2021-05-06,5,0,0
2021-05-07,14,0,0
2021-05-08,0,0,1
2021-05-09,0,0,0
2021-05-10,14,0,3
2021-05-11,6,0,6
2021-05-12,6,0,3
2021-05-13,9,0,0
2021-05-14,10,0,0
2021-05-15,1,0,0
2021-05-16,5,0,0
2021-05-17,5,0,0
2021-05-18,8,0,0
2021-05-19,15,0,2
2021-05-20,3,0,0
2021-05-21,1,0,1
2021-05-22,3,0,0
2021-05-23,2,0,0
2021-05-24,7,0,2
2021-05-25,1,0,0
2021-05-26,2,0,0
2021-05-27,3,0,0
2021-05-28,6,0,0
2021-05-29,3,0,0
2021-05-30,0,0,0
2021-05-31,1,0,0
2021-06-01,4,0,0
2021-06-02,8,0,0
2021-06-03,8,0,0
2021-06-04,3,0,0
2021-06-05,3,0,0
2021-06-06,1,0,0
2021-06-07,15,0,0
2021-06-08,18,0,0
2021-06-09,17,0,0
2021-06-10,9,0,0
2021-06-11,15,0,0
2021-06-12,2,0,0
2021-06-13,3,0,0
2021-06-14,10,0,1
2021-06-15,13,0,1
2021-06-16,22,0,0
2021-06-17,17,0,1
2021-06-18,10,0,0
2021-06-19,0,0,0
2021-06-20,4,0,0
2021-06-21,4,0,0
2021-06-22,12,0,0
2021-06-23,6,0,0
2021-06-24,9,0,3
2021-06-25,7,0,4
2021-06-26,0,0,0
2021-06-27,0,0,0
2021-06-28,6,0,0
2021-06-29,5,0,0
2021-06-30,10,0,0
2021-07-01,13,0,0
2021-07-02,12,0,0
2021-07-03,0,0,0
2021-07-04,1,0,0
2021-07-05,2,0,0
2021-07-06,9,0,0
2021-07-07,10,0,0
2021-07-08,7,2,0
2021-07-09,7,0,0
2021-07-10,3,0,0
2021-07-11,2,0,0
2021-07-12,19,0,0
2021-07-13,5,0,0
2021-07-14,4,0,0
2021-07-15,8,0,4
2021-07-16,13,0,2
2021-07-17,0,0,0
2021-07-18,0,0,0
2021-07-19,9,0,0
2021-07-20,20,0,0
2021-07-21,5,0,3
2021-07-22,12,0,0
2021-07-23,11,0,6
2021-07-24,2,0,0
2021-07-25,9,0,0
2021-07-26,6,0,0
2021-07-27,10,0,0
2021-07-28,3,0,0
2021-07-29,7,0,1
2021-07-30,2,0,0
2021-07-31,1,0,0
2021-08-01,2,0,0
2021-08-02,9,0,0
2021-08-03,11,0,0
2021-08-04,6,0,2
2021-08-05,9,0,0
2021-08-06,7,0,0
2021-08-07,0,0,0
2021-08-08,1,0,0
2021-08-09,8,0,1
2021-08-10,7,0,2
2021-08-11,17,0,10
2021-08-12,16,0,3
2021-08-13,15,0,8
2021-08-14,12,0,0
2021-08-15,5,0,0
2021-08-16,10,0,0
2021-08-17,8,0,2
2021-08-18,10,0,5
2021-08-19,9,0,0
2021-08-20,7,2,10
2021-08-21,0,0,0
2021-08-22,1,0,2
2021-08-23,6,0,2
2021-08-24,10,0,2
2021-08-25,12,0,4
2021-08-26,3,0,2
2021-08-27,2,0,0
2021-08-28,1,0,1
2021-08-29,1,0,0
2021-08-30,7,0,0
2021-08-31,9,0,1
2021-09-01,6,0,10
2021-09-02,16,0,3
2021-09-03,7,0,5
2021-09-04,1,0,1
2021-09-05,1,0,2
2021-09-06,13,0,0
2021-09-07,18,0,1
2021-09-08,6,0,4
2021-09-09,8,0,5
2021-09-10,4,0,7
2021-09-11,3,0,1
2021-09-12,1,0,0
2021-09-13,14,0,0
2021-09-14,5,0,0
2021-09-15,11,0,0
2021-09-16,18,0,0
2021-09-17,13,0,4
2021-09-18,2,0,2
2021-09-19,2,0,0
2021-09-20,7,0,8
2021-09-21,19,0,1
2021-09-22,9,0,1
2021-09-23,4,0,1
2021-09-24,6,0,7
2021-09-25,0,0,0
2021-09-26,2,0,0
2021-09-27,6,0,3
2021-09-28,10,0,5
2021-09-29,10,0,0
2021-09-30,9,0,6
2021-10-01,8,0,6
2021-10-02,1,0,6
2021-10-03,2,0,2
2021-10-04,6,0,12
2021-10-05,16,0,3
2021-10-06,14,0,1
2021-10-07,5,0,20
2021-10-08,6,0,10
2021-10-09,6,0,3
2021-10-10,10,0,2
2021-10-11,21,0,0
2021-10-12,6,0,2
2021-10-13,17,0,3
2021-10-14,9,7,11
2021-10-15,16,17,14
2021-10-16,5,11,5
2021-10-17,7,7,1
2021-10-18,17,3,8
2021-10-19,11,3,38
2021-10-20,16,33,11
2021-10-21,17,39,37
2021-10-22,16,0,7
2021-10-23,7,18,3
2021-10-24,13,16,0
2021-10-25,21,0,1
2021-10-26,41,11,0
2021-10-27,26,0,2
2021-10-28,27,0,3
2021-10-29,14,0,25
2021-10-30,13,10,1
2021-10-31,3,2,2
2021-11-01,14,20,8
2021-11-02,18,4,8
2021-11-03,24,8,3
2021-11-04,14,10,14
2021-11-05,10,0,55
2021-11-06,6,0,1
2021-11-07,2,3,7
2021-11-08,18,12,8
2021-11-09,23,3,9
2021-11-10,6,13,7
2021-11-11,24,13,1
2021-11-12,7,33,1
2021-11-13,5,12,0
2021-11-14,6,0,0
2021-11-15,22,15,3
2021-11-16,15,17,1
2021-11-17,12,11,1
2021-11-18,10,10,3
2021-11-19,10,17,7
2021-11-20,2,19,3
2021-11-21,10,7,3
2021-11-22,8,11,8
2021-11-23,5,8,4
2021-11-24,4,3,1
2021-11-25,8,1,0
2021-11-26,15,0,1
2021-11-27,0,0,0
2021-11-28,3,1,0
2021-11-29,10,0,3
2021-11-30,15,0,2
2021-12-01,8,0,1
2021-12-02,8,0,7
2021-12-03,16,0,6
2021-12-04,6,0,1
2021-12-05,5,0,0
2021-12-06,4,2,1
2021-12-07,13,0,0
2021-12-08,11,0,2
2021-12-09,7,0,11
2021-12-10,7,0,7
2021-12-11,2,2,4
2021-12-12,4,0,1
2021-12-13,11,0,4
2021-12-14,9,3,3
2021-12-15,6,0,3
2021-12-16,17,0,12
2021-12-17,10,0,15
2021-12-18,5,0,2
2021-12-19,2,0,0
2021-12-20,8,0,0
2021-12-21,10,0,1
2021-12-22,8,0,0
2021-12-23,5,0,0
2021-12-24,2,0,0
2021-12-25,1,0,0
2021-12-26,2,0,1
2021-12-27,0,0,2
2021-12-28,2,0,0
2021-12-29,2,0,1
2021-12-30,0,0,0
2021-12-31,1,0,1
2022-01-01,5,0,0
2022-01-02,3,0,0
2022-01-03,9,0,0
2022-01-04,8,0,3
2022-01-05,12,0,2
2022-01-06,7,0,0
2022-01-07,1,0,0
2022-01-08,1,0,0
2022-01-09,0,0,0
2022-01-10,7,0,1
2022-01-11,5,0,0
2022-01-12,14,0,0
2022-01-13,8,0,1
2022-01-14,11,0,0
2022-01-15,1,0,0
2022-01-16,2,0,1
2022-01-17,14,0,1
2022-01-18,3,11,0
2022-01-19,9,0,0
2022-01-20,5,1,5
2022-01-21,12,0,2
