,storybookjs/storybook,histoire-dev/histoire,tajo/ladle
2023-01-07,20,0,0
2023-01-08,7,0,0
2023-01-09,38,0,1
2023-01-10,68,0,0
2023-01-11,25,0,0
2023-01-12,53,0,0
2023-01-13,89,0,1
2023-01-14,28,0,0
2023-01-15,17,0,0
2023-01-16,45,0,0
2023-01-17,54,0,0
2023-01-18,42,0,0
2023-01-19,76,0,0
2023-01-20,61,0,0
2023-01-21,9,0,0
2023-01-22,23,0,0
2023-01-23,38,0,0
2023-01-24,51,0,1
2023-01-25,57,0,1
2023-01-26,38,0,6
2023-01-27,29,0,0
2023-01-28,8,0,0
2023-01-29,5,0,0
2023-01-30,45,0,0
2023-01-31,42,0,2
2023-02-01,58,0,0
2023-02-02,30,0,1
2023-02-03,34,0,1
2023-02-04,21,0,0
2023-02-05,9,16,6
2023-02-06,42,1,0
2023-02-07,39,0,2
2023-02-08,15,14,0
2023-02-09,20,3,13
2023-02-10,19,12,7
2023-02-11,6,2,0
2023-02-12,3,0,0
2023-02-13,40,0,2
2023-02-14,31,0,2
2023-02-15,55,11,9
2023-02-16,67,5,8
2023-02-17,36,7,4
2023-02-18,7,3,3
2023-02-19,5,0,0
2023-02-20,57,0,0
2023-02-21,68,0,0
2023-02-22,58,0,0
2023-02-23,55,0,0
2023-02-24,42,0,1
2023-02-25,7,0,0
2023-02-26,0,0,0
2023-02-27,44,0,0
2023-02-28,39,0,0
2023-03-01,50,0,0
2023-03-02,43,0,0
2023-03-03,43,0,0
2023-03-04,7,0,0
2023-03-05,9,0,2
2023-03-06,35,0,3
2023-03-07,31,0,11
2023-03-08,51,0,0
2023-03-09,54,0,0
2023-03-10,27,0,0
2023-03-11,0,0,0
2023-03-12,0,0,0
2023-03-13,52,0,0
2023-03-14,49,0,0
2023-03-15,31,0,0
2023-03-16,34,9,0
2023-03-17,25,2,0
2023-03-18,4,0,0
2023-03-19,2,0,0
2023-03-20,53,0,0
2023-03-21,21,0,1
2023-03-22,43,0,2
2023-03-23,39,0,1
2023-03-24,31,0,0
2023-03-25,8,0,0
2023-03-26,0,0,0
2023-03-27,14,0,0
2023-03-28,32,0,0
2023-03-29,36,0,0
2023-03-30,40,0,0
2023-03-31,36,0,0
2023-04-01,6,0,0
2023-04-02,3,0,0
2023-04-03,42,0,0
2023-04-04,35,0,0
2023-04-05,61,0,0
2023-04-06,17,0,1
2023-04-07,4,0,1
2023-04-08,3,0,2
2023-04-09,3,0,0
2023-04-10,21,0,0
2023-04-11,35,11,0
2023-04-12,35,0,0
2023-04-13,27,0,3
2023-04-14,20,6,1
2023-04-15,6,0,0
2023-04-16,5,0,0
2023-04-17,55,1,5
2023-04-18,50,0,1
2023-04-19,33,0,2
2023-04-20,28,0,0
2023-04-21,26,0,2
2023-04-22,4,0,0
2023-04-23,1,0,0
2023-04-24,29,0,0
2023-04-25,53,0,0
2023-04-26,28,0,0
2023-04-27,28,0,2
2023-04-28,39,0,0
2023-04-29,4,0,0
2023-04-30,8,0,0
2023-05-01,41,0,0
2023-05-02,14,0,0
2023-05-03,55,0,0
2023-05-04,27,0,0
2023-05-05,14,0,0
2023-05-06,1,0,0
2023-05-07,13,0,0
2023-05-08,27,0,0
2023-05-09,23,0,0
2023-05-10,37,0,0
2023-05-11,42,0,0
2023-05-12,18,0,0
2023-05-13,1,0,0
2023-05-14,4,0,0
2023-05-15,25,0,0
2023-05-16,21,0,0
2023-05-17,7,0,0
2023-05-18,17,0,0
2023-05-19,23,0,0
2023-05-20,3,0,0
2023-05-21,8,0,0
2023-05-22,30,0,0
2023-05-23,52,0,0
2023-05-24,34,0,0
2023-05-25,17,0,0
2023-05-26,52,0,0
2023-05-27,9,0,3
2023-05-28,7,0,0
2023-05-29,11,0,0
2023-05-30,40,0,0
2023-05-31,51,0,0
2023-06-01,37,0,0
2023-06-02,32,0,0
2023-06-03,9,0,0
2023-06-04,15,0,0
2023-06-05,41,0,0
2023-06-06,83,0,0
2023-06-07,118,0,2
2023-06-08,98,0,0
2023-06-09,82,0,0
2023-06-10,1,0,1
2023-06-11,2,0,0
2023-06-12,45,0,1
2023-06-13,62,6,2
2023-06-14,55,0,0
2023-06-15,43,0,0
2023-06-16,23,0,0
2023-06-17,39,0,0
2023-06-18,3,0,0
2023-06-19,63,0,0
2023-06-20,43,0,0
2023-06-21,83,0,0
2023-06-22,68,0,0
2023-06-23,47,0,0
2023-06-24,5,0,0
2023-06-25,1,0,0
2023-06-26,16,0,0
2023-06-27,23,0,0
2023-06-28,9,0,0
2023-06-29,4,0,0
2023-06-30,19,0,0
2023-07-01,0,0,0
2023-07-02,7,0,0
2023-07-03,29,0,0
2023-07-04,71,0,0
2023-07-05,56,0,0
2023-07-06,80,2,0
2023-07-07,39,0,0
2023-07-08,14,0,0
2023-07-09,12,0,0
2023-07-10,75,0,1
2023-07-11,85,0,0
2023-07-12,55,0,0
2023-07-13,37,0,0
2023-07-14,8,0,4
2023-07-15,4,2,0
2023-07-16,5,0,2
2023-07-17,21,0,0
2023-07-18,42,0,0
2023-07-19,43,0,0
2023-07-20,16,0,0
2023-07-21,40,0,0
2023-07-22,4,0,0
2023-07-23,2,0,0
2023-07-24,53,0,0
2023-07-25,55,0,0
2023-07-26,43,0,0
2023-07-27,27,0,0
2023-07-28,8,0,0
2023-07-29,7,0,0
2023-07-30,5,0,0
2023-07-31,31,0,0
2023-08-01,48,0,0
2023-08-02,25,0,0
2023-08-03,37,0,0
2023-08-04,7,0,0
2023-08-05,0,0,0
2023-08-06,2,0,0
2023-08-07,16,0,4
2023-08-08,2,1,0
2023-08-09,30,0,0
2023-08-10,23,0,2
2023-08-11,38,0,0
2023-08-12,1,0,0
2023-08-13,7,14,0
2023-08-14,12,3,0
2023-08-15,26,3,0
2023-08-16,37,3,0
2023-08-17,5,0,0
2023-08-18,16,0,0
2023-08-19,3,0,0
2023-08-20,5,0,0
2023-08-21,70,0,0
2023-08-22,34,6,0
2023-08-23,28,2,0
2023-08-24,23,0,0
2023-08-25,25,0,0
2023-08-26,1,0,0
2023-08-27,0,0,0
2023-08-28,26,0,0
2023-08-29,48,0,1
2023-08-30,17,0,0
2023-08-31,23,0,0
2023-09-01,20,0,0
2023-09-02,4,0,1
2023-09-03,3,0,0
2023-09-04,49,0,3
2023-09-05,27,0,6
2023-09-06,15,0,0
2023-09-07,7,0,1
2023-09-08,29,0,0
2023-09-09,4,0,0
2023-09-10,3,0,0
2023-09-11,19,0,0
2023-09-12,30,0,0
2023-09-13,18,0,0
2023-09-14,39,0,0
2023-09-15,29,0,1
2023-09-16,5,0,0
2023-09-17,2,0,7
2023-09-18,40,0,1
2023-09-19,64,0,5
2023-09-20,69,0,0
2023-09-21,26,0,2
2023-09-22,61,0,1
2023-09-23,5,0,0
2023-09-24,17,7,0
2023-09-25,14,1,1
2023-09-26,5,0,2
2023-09-27,0,0,1
2023-09-28,1,0,0
2023-09-29,0,0,0
2023-09-30,5,6,2
2023-10-01,2,0,2
2023-10-02,33,0,1
2023-10-03,67,0,8
2023-10-04,41,0,1
2023-10-05,61,0,0
2023-10-06,27,0,0
2023-10-07,3,1,0
2023-10-08,14,0,0
2023-10-09,45,0,0
2023-10-10,38,0,0
2023-10-11,60,0,0
2023-10-12,42,0,0
2023-10-13,24,0,0
2023-10-14,0,0,0
2023-10-15,5,0,0
2023-10-16,5,0,0
2023-10-17,34,0,2
2023-10-18,41,1,0
2023-10-19,31,0,0
2023-10-20,40,0,0
2023-10-21,1,0,0
2023-10-22,10,0,0
2023-10-23,17,0,0
2023-10-24,18,0,2
2023-10-25,15,6,0
2023-10-26,30,0,0
2023-10-27,38,0,0
2023-10-28,2,0,0
2023-10-29,0,0,0
2023-10-30,34,0,0
2023-10-31,33,0,2
2023-11-01,52,0,0
2023-11-02,76,0,0
2023-11-03,60,0,0
2023-11-04,9,0,0
2023-11-05,10,0,0
2023-11-06,30,0,1
2023-11-07,29,0,0
2023-11-08,23,0,0
2023-11-09,21,0,0
2023-11-10,25,0,0
2023-11-11,0,0,0
2023-11-12,2,0,0
2023-11-13,27,11,0
2023-11-14,20,0,0
2023-11-15,24,0,0
2023-11-16,24,1,0
2023-11-17,42,0,0
2023-11-18,4,0,0
2023-11-19,3,0,1
2023-11-20,71,0,1
2023-11-21,31,1,0
2023-11-22,60,0,0
2023-11-23,25,0,0
2023-11-24,54,0,0
2023-11-25,7,4,0
2023-11-26,3,0,0
2023-11-27,31,0,0
2023-11-28,77,0,2
2023-11-29,69,0,0
2023-11-30,55,2,0
2023-12-01,27,0,2
2023-12-02,14,0,0
2023-12-03,4,0,1
2023-12-04,35,0,0
2023-12-05,51,0,0
2023-12-06,33,0,0
2023-12-07,15,0,1
2023-12-08,15,0,0
2023-12-09,0,0,0
2023-12-10,24,0,0
2023-12-11,40,0,0
2023-12-12,26,0,0
2023-12-13,25,0,0
2023-12-14,23,0,0
2023-12-15,24,0,0
2023-12-16,1,0,0
2023-12-17,1,0,0
2023-12-18,31,0,0
2023-12-19,36,0,0
2023-12-20,9,0,0
2023-12-21,16,0,0
2023-12-22,13,0,0
2023-12-23,1,0,0
2023-12-24,4,0,0
2023-12-25,0,0,0
2023-12-26,2,0,0
2023-12-27,7,0,0
2023-12-28,31,0,0
2023-12-29,30,0,0
2023-12-30,13,0,0
2023-12-31,3,0,0
2024-01-01,6,0,0
2024-01-02,28,0,0
2024-01-03,51,0,0
2024-01-04,24,0,0
2024-01-05,60,0,0
2024-01-06,11,0,0
2024-01-07,4,0,0
2024-01-08,24,0,0
2024-01-09,43,0,0
2024-01-10,53,0,0
2024-01-11,37,0,0
2024-01-12,35,0,0
2024-01-13,24,0,0
2024-01-14,5,0,0
2024-01-15,51,6,1
2024-01-16,54,0,0
2024-01-17,36,0,0
2024-01-18,42,0,0
2024-01-19,35,0,0
2024-01-20,1,0,0
2024-01-21,3,0,0
2024-01-22,31,0,0
2024-01-23,23,0,0
2024-01-24,29,0,0
2024-01-25,25,2,0
2024-01-26,17,0,0
2024-01-27,12,0,0
2024-01-28,10,0,0
2024-01-29,25,0,0
2024-01-30,31,0,0
2024-01-31,74,0,0
2024-02-01,52,0,0
2024-02-02,15,0,0
2024-02-03,3,0,0
2024-02-04,0,4,0
2024-02-05,24,0,0
2024-02-06,32,2,0
2024-02-07,22,0,0
2024-02-08,24,0,0
2024-02-09,37,0,0
2024-02-10,5,0,0
2024-02-11,2,0,0
2024-02-12,37,0,0
2024-02-13,27,0,0
2024-02-14,10,0,0
2024-02-15,34,0,0
2024-02-16,58,0,0
2024-02-17,7,0,0
2024-02-18,9,0,0
2024-02-19,72,1,0
2024-02-20,53,0,0
2024-02-21,20,1,0
2024-02-22,21,0,0
2024-02-23,58,0,0
2024-02-24,6,0,0
2024-02-25,2,0,0
2024-02-26,51,0,0
2024-02-27,73,0,0
2024-02-28,49,0,0
2024-02-29,33,0,0
2024-03-01,29,0,0
2024-03-02,13,0,0
2024-03-03,2,0,0
2024-03-04,49,0,0
2024-03-05,64,0,0
2024-03-06,39,0,0
2024-03-07,51,0,0
2024-03-08,31,0,0
2024-03-09,1,0,0
2024-03-10,2,0,0
2024-03-11,57,0,0
2024-03-12,53,0,0
2024-03-13,50,5,0
2024-03-14,35,2,0
2024-03-15,19,0,0
2024-03-16,11,0,0
2024-03-17,26,0,2
2024-03-18,30,0,0
2024-03-19,30,0,0
2024-03-20,28,0,0
2024-03-21,61,0,0
2024-03-22,16,0,0
2024-03-23,0,0,0
2024-03-24,4,0,0
2024-03-25,18,0,0
2024-03-26,28,0,0
2024-03-27,18,0,0
2024-03-28,11,0,0
2024-03-29,9,0,0
2024-03-30,12,0,0
2024-03-31,7,0,0
2024-04-01,10,0,0
2024-04-02,24,2,0
2024-04-03,8,0,0
2024-04-04,27,0,0
2024-04-05,38,1,0
2024-04-06,1,0,0
2024-04-07,1,0,0
2024-04-08,16,2,0
2024-04-09,70,3,0
2024-04-10,72,0,0
2024-04-11,68,0,0
2024-04-12,56,0,0
2024-04-13,1,0,0
2024-04-14,2,0,0
2024-04-15,31,1,0
2024-04-16,31,0,0
2024-04-17,45,0,0
2024-04-18,41,0,0
2024-04-19,53,0,0
2024-04-20,6,0,0
2024-04-21,0,0,0
2024-04-22,25,0,0
2024-04-23,7,0,0
2024-04-24,9,0,0
2024-04-25,15,0,0
2024-04-26,10,0,0
2024-04-27,2,0,0
2024-04-28,2,0,0
2024-04-29,30,0,0
2024-04-30,44,0,0
2024-05-01,29,0,0
2024-05-02,27,0,0
2024-05-03,9,0,0
2024-05-04,10,0,0
2024-05-05,26,0,0
2024-05-06,42,0,0
2024-05-07,58,0,0
2024-05-08,21,0,0
2024-05-09,15,0,0
2024-05-10,7,0,0
2024-05-11,0,0,0
2024-05-12,8,0,0
2024-05-13,45,0,0
2024-05-14,80,0,0
2024-05-15,56,0,1
2024-05-16,18,0,0
2024-05-17,36,0,0
2024-05-18,13,0,0
2024-05-19,5,0,0
2024-05-20,8,0,0
2024-05-21,11,0,0
2024-05-22,19,0,0
2024-05-23,25,0,0
2024-05-24,24,0,0
2024-05-25,5,0,0
2024-05-26,0,0,0
2024-05-27,22,0,0
2024-05-28,4,0,0
2024-05-29,9,0,0
2024-05-30,6,0,1
2024-05-31,13,0,3
2024-06-01,0,0,0
2024-06-02,8,0,0
2024-06-03,35,0,0
2024-06-04,22,0,0
2024-06-05,31,0,0
2024-06-06,28,0,0
2024-06-07,34,0,0
2024-06-08,30,0,0
2024-06-09,14,0,0
2024-06-10,32,0,0
2024-06-11,21,0,0
2024-06-12,26,0,0
2024-06-13,25,0,0
2024-06-14,17,0,0
2024-06-15,4,0,0
2024-06-16,3,0,0
2024-06-17,14,0,0
2024-06-18,21,0,0
2024-06-19,16,0,0
2024-06-20,5,0,0
2024-06-21,8,0,0
2024-06-22,7,0,0
2024-06-23,9,0,0
2024-06-24,37,0,1
2024-06-25,48,2,0
2024-06-26,51,0,0
2024-06-27,58,0,0
2024-06-28,75,0,0
2024-06-29,2,0,0
2024-06-30,0,0,0
2024-07-01,45,0,0
2024-07-02,70,0,0
2024-07-03,90,0,0
2024-07-04,13,0,0
2024-07-05,35,0,0
2024-07-06,5,0,0
2024-07-07,7,0,0
2024-07-08,54,0,0
2024-07-09,28,0,0
2024-07-10,105,0,0
2024-07-11,46,0,0
2024-07-12,55,0,0
2024-07-13,10,0,0
2024-07-14,1,0,0
2024-07-15,35,0,0
2024-07-16,26,0,0
2024-07-17,20,0,0
2024-07-18,18,0,0
2024-07-19,39,0,0
2024-07-20,1,0,0
2024-07-21,3,0,0
2024-07-22,8,0,0
2024-07-23,18,0,0
2024-07-24,22,0,0
2024-07-25,22,0,0
2024-07-26,9,0,0
2024-07-27,2,0,0
2024-07-28,4,0,0
2024-07-29,40,0,0
2024-07-30,41,0,0
2024-07-31,45,0,0
2024-08-01,40,0,0
2024-08-02,29,0,0
2024-08-03,13,0,0
2024-08-04,3,0,0
2024-08-05,34,0,0
2024-08-06,52,0,2
2024-08-07,52,0,0
2024-08-08,45,0,0
2024-08-09,32,0,0
2024-08-10,6,0,0
2024-08-11,0,0,0
2024-08-12,26,0,0
2024-08-13,72,0,0
2024-08-14,62,0,0
2024-08-15,28,0,1
2024-08-16,29,0,0
2024-08-17,4,0,0
2024-08-18,3,0,0
2024-08-19,22,0,0
2024-08-20,11,0,0
2024-08-21,14,0,1
2024-08-22,26,6,0
2024-08-23,15,0,1
2024-08-24,0,0,0
2024-08-25,0,0,0
2024-08-26,25,0,0
2024-08-27,29,0,0
2024-08-28,21,0,0
2024-08-29,20,0,0
2024-08-30,13,0,0
2024-08-31,4,0,0
2024-09-01,0,0,0
2024-09-02,28,0,0
2024-09-03,19,0,0
2024-09-04,13,0,0
2024-09-05,24,0,0
2024-09-06,20,0,0
2024-09-07,6,0,0
2024-09-08,0,0,0
2024-09-09,16,0,0
2024-09-10,6,0,0
2024-09-11,21,0,0
2024-09-12,4,0,0
2024-09-13,13,0,0
2024-09-14,21,0,0
2024-09-15,4,0,0
2024-09-16,22,0,0
2024-09-17,12,0,0
2024-09-18,5,0,0
2024-09-19,6,0,0
2024-09-20,8,0,0
2024-09-21,8,0,0
2024-09-22,6,0,0
2024-09-23,25,0,0
2024-09-24,29,0,0
2024-09-25,35,0,0
2024-09-26,30,0,0
2024-09-27,20,0,0
2024-09-28,5,0,0
2024-09-29,0,0,0
2024-09-30,58,0,0
2024-10-01,42,0,0
2024-10-02,39,0,0
2024-10-03,11,0,0
2024-10-04,16,0,0
2024-10-05,1,0,0
2024-10-06,1,0,0
2024-10-07,18,1,2
2024-10-08,22,0,0
2024-10-09,24,0,0
2024-10-10,22,0,0
2024-10-11,14,0,0
2024-10-12,15,0,0
2024-10-13,5,0,0
2024-10-14,17,0,0
2024-10-15,25,0,0
2024-10-16,22,0,0
2024-10-17,16,0,0
2024-10-18,7,0,0
2024-10-19,10,0,0
2024-10-20,8,0,0
2024-10-21,35,0,0
2024-10-22,11,0,0
2024-10-23,35,0,0
2024-10-24,26,0,0
2024-10-25,14,0,0
2024-10-26,0,0,0
2024-10-27,4,0,0
2024-10-28,35,0,0
2024-10-29,33,0,0
2024-10-30,30,0,0
2024-10-31,22,0,0
2024-11-01,27,0,0
2024-11-02,5,0,0
2024-11-03,4,0,0
2024-11-04,21,0,0
2024-11-05,21,0,0
2024-11-06,6,0,0
2024-11-07,4,0,0
2024-11-08,9,0,0
2024-11-09,2,0,0
2024-11-10,2,0,0
2024-11-11,6,0,0
2024-11-12,36,0,4
2024-11-13,24,0,0
2024-11-14,37,0,0
2024-11-15,19,0,0
2024-11-16,11,0,0
2024-11-17,11,0,0
2024-11-18,34,0,0
2024-11-19,41,0,0
2024-11-20,23,0,0
2024-11-21,16,0,0
2024-11-22,37,0,0
2024-11-23,9,0,0
2024-11-24,0,0,0
2024-11-25,34,0,0
2024-11-26,51,0,0
2024-11-27,38,0,0
2024-11-28,28,0,0
2024-11-29,56,0,0
2024-11-30,8,0,0
2024-12-01,1,0,0
2024-12-02,51,0,0
2024-12-03,45,0,0
2024-12-04,49,0,0
2024-12-05,34,0,0
2024-12-06,63,0,0
2024-12-07,1,0,0
2024-12-08,2,0,0
2024-12-09,35,0,0
2024-12-10,49,0,0
2024-12-11,45,0,0
2024-12-12,37,0,0
2024-12-13,41,0,0
2024-12-14,3,0,0
2024-12-15,15,0,0
2024-12-16,61,0,0
2024-12-17,20,0,0
2024-12-18,34,0,0
2024-12-19,22,0,0
2024-12-20,26,0,0
2024-12-21,2,0,0
2024-12-22,2,0,0
2024-12-23,18,0,2
2024-12-24,18,0,2
2024-12-25,2,0,0
2024-12-26,0,0,0
2024-12-27,10,0,0
2024-12-28,2,0,0
2024-12-29,0,0,0
2024-12-30,3,0,0
2024-12-31,2,0,0
2025-01-01,0,0,0
2025-01-02,30,0,0
2025-01-03,28,0,2
2025-01-04,4,0,0
2025-01-05,10,0,0
2025-01-06,17,0,0
2025-01-07,44,0,0
2025-01-08,36,1,0
2025-01-09,27,0,0
2025-01-10,45,0,0
2025-01-11,0,0,0
2025-01-12,1,0,0
2025-01-13,29,0,0
2025-01-14,16,0,0
2025-01-15,26,0,0
2025-01-16,28,0,0
2025-01-17,37,0,0
2025-01-18,2,0,0
2025-01-19,0,0,0
2025-01-20,33,0,0
2025-01-21,18,0,0
2025-01-22,33,1,0
2025-01-23,32,0,0
2025-01-24,21,3,0
2025-01-25,0,0,0
2025-01-26,3,0,0
2025-01-27,26,0,0
2025-01-28,35,0,0
2025-01-29,45,0,0
2025-01-30,28,0,0
2025-01-31,46,0,0
2025-02-01,15,0,0
2025-02-02,2,0,0
2025-02-03,35,0,0
2025-02-04,40,0,0
2025-02-05,52,0,0
2025-02-06,40,0,0
2025-02-07,12,0,0
2025-02-08,0,0,0
2025-02-09,0,0,0
2025-02-10,14,0,0
2025-02-11,39,0,0
2025-02-12,35,0,0
2025-02-13,36,0,0
2025-02-14,21,0,0
2025-02-15,10,0,0
2025-02-16,0,0,0
2025-02-17,16,0,0
2025-02-18,36,0,0
2025-02-19,36,0,0
2025-02-20,19,0,0
2025-02-21,24,8,0
2025-02-22,1,0,0
2025-02-23,9,0,0
2025-02-24,30,0,0
2025-02-25,40,0,0
2025-02-26,37,0,0
2025-02-27,47,0,0
2025-02-28,40,0,0
2025-03-01,11,0,0
2025-03-02,22,0,0
2025-03-03,23,0,0
2025-03-04,16,0,0
2025-03-05,48,0,0
2025-03-06,54,0,0
2025-03-07,58,0,0
2025-03-08,2,0,0
2025-03-09,2,0,0
2025-03-10,32,0,0
2025-03-11,88,0,0
2025-03-12,39,0,0
2025-03-13,28,0,0
2025-03-14,38,0,0
2025-03-15,2,0,0
2025-03-16,12,0,0
2025-03-17,53,0,0
2025-03-18,72,0,0
2025-03-19,43,0,1
2025-03-20,55,0,5
2025-03-21,47,0,0
2025-03-22,5,0,0
2025-03-23,1,0,0
2025-03-24,60,0,0
2025-03-25,64,0,0
2025-03-26,76,0,0
2025-03-27,65,0,0
